genes,descriptions,num_populations,is_shared,EAS,EUR,AFR,SAS,AMR
LOC105379566,endogenous retrovirus group K member 18 Pol protein,5,Yes,9.549671035019063,10.98034267291396,6.977579333667118,9.699658557973898,10.178136195811629
ARHGAP39,Rho GTPase activating protein 39,5,Yes,9.847586467769409,8.433192715324264,10.945948230567717,9.248899692014524,10.595396986343163
IGH,immunoglobulin heavy locus,5,Yes,9.198989419429635,10.148784824316762,10.94231934853711,9.869012748356349,9.80848984685559
LOC124907560,,5,Yes,10.924771249155043,3.6663637445901145,6.3677445833283075,8.957702969405773,10.437433103594453
LOC124901644,putative uncharacterized protein FLJ44672,5,Yes,10.81143359116081,10.721132122157252,10.91978123092392,10.474178566331187,10.806639039725336
LOC124906590,putative uncharacterized protein FLJ44672,5,Yes,10.62456759796138,10.68842361861939,9.810239320635269,10.841120250746268,10.321603755261156
SLC19A1,solute carrier family 19 member 1,5,Yes,6.609939573551157,5.94373601038274,5.850276962982446,10.783162471395523,5.700075615777964
ANKLE2,ankyrin repeat and LEM domain containing 2,5,Yes,8.616934570939112,10.775611684730928,9.917426544970086,10.008834024208344,9.548787634915344
LOC124906650,,5,Yes,10.772964431962361,10.144199447356199,9.692209952858041,9.854429883324666,9.813100640373731
LOC101929692,uncharacterized LOC101929692,5,Yes,10.755023869488706,8.199187552065881,8.236572772770367,6.557811203917915,6.410937326487932
FAM230C,family with sequence similarity 230 member C,5,Yes,10.74073263154939,8.815955223477005,9.266206014820382,8.978355775029225,9.019126962504327
RIPK1,receptor interacting serine/threonine kinase 1,5,Yes,10.242759830501551,9.437679268586168,10.73625644587794,9.672423128611976,9.969959786867651
LOC389831,uncharacterized LOC389831,5,Yes,10.723932700370584,10.217079429247253,9.226937024420048,10.364516564553753,9.500977112966783
LOC124906773,uncharacterized LOC124906773,5,Yes,10.705062081660271,6.254330546012641,6.762420761060421,8.761074155822334,8.486932975470841
HLA-K,,5,Yes,9.575854041947663,10.44352041673849,9.963487846954616,10.660577459933139,10.268621239478362
EIPR1,EARP complex and GARP complex interacting protein 1,5,Yes,10.625705471342913,10.092172162972458,9.123176652678218,6.2752019440598845,8.518282898018054
LOC124908139,B melanoma antigen 3-like,5,Yes,8.338208267248003,10.605665379981582,8.826529197592015,8.72244610222521,4.718405132846812
TMEM178B,transmembrane protein 178B,5,Yes,7.110214538073699,10.599562320639013,8.193209818340211,5.45635593565466,7.2324390653037725
LOC124907486,5.8S ribosomal RNA,5,Yes,8.205514547498824,7.036064319257384,8.522352816641037,10.568752801897574,8.301048505590556
CORO7-PAM16,CORO7-PAM16 readthrough,5,Yes,9.507022084285705,8.161680135980458,9.956600773047994,10.51574691987393,9.389853529864753
LOC124906470,uncharacterized LOC124906470,5,Yes,8.74312323396991,9.97427297796181,8.554652630595221,10.508096071584202,6.798727073329675
ZSCAN5A,zinc finger and SCAN domain containing 5A,5,Yes,10.012677411302528,10.100342122964104,9.207776995431741,10.498204853695256,9.462364218614505
LOC124906624,,5,Yes,10.49790863763879,10.155861504288879,9.242974542410847,10.012704787448795,9.415134496918688
RTEL1,regulator of telomere elongation helicase 1,5,Yes,10.180265878996018,10.477124105032422,8.320403470605129,7.692764823457901,9.275429576855213
DPH7,diphthamide biosynthesis 7,5,Yes,10.448737378074377,7.6042342334326305,9.323727032324008,6.545894812373729,7.791734747565455
LOC100419987,,5,Yes,9.961799051895886,9.334180614900173,10.445062091667138,4.692495617555217,7.693758924390338
B3GNTL1,UDP-GlcNAc:betaGal beta-1%2C3-N-acetylglucosaminyltransferase like 1,5,Yes,5.298224569600425,4.8898562960671965,6.917771253508288,10.426239475099434,7.511446872800091
CALN1,calneuron 1,5,Yes,9.529092827273944,10.421644528430345,10.359737083521386,9.978671719641913,8.790499347923479
MTCO3P1,,5,Yes,5.912078991607174,7.048246097789238,9.52111158431484,10.197514602878181,10.42020006594288
MUC2,mucin 2%2C oligomeric mucus/gel-forming,5,Yes,10.367865249543003,9.603041961273997,9.158193406336022,10.3277769657557,10.066530652898631
LOC124906772,uncharacterized LOC124906772,5,Yes,10.349399422712686,7.280873216145058,7.310684049037756,8.942713169877369,8.28426937983412
ILRUN,inflammation and lipid regulator with UBA-like and NBR1-like domains,5,Yes,10.344736221347986,10.206508675148083,9.335718366824116,9.774931875720018,7.373762206481885
LOC124907540,uncharacterized LOC124907540,5,Yes,10.32276489128243,6.0889010232240315,7.120261866796985,9.723982849989966,10.28853748181848
IGLON5,IgLON family member 5,5,Yes,10.277637628458104,6.47472037425136,10.104745624528125,7.308824987464878,10.094245013785974
LOC124906938,collagen alpha-2(IV) chain-like,5,Yes,9.085161839628242,10.264793962997675,9.587373180810042,5.1481294275739415,9.518012973428977
LOC124907537,,5,Yes,8.036527672279467,9.16764053637344,3.9830593662943046,5.0634886153529415,10.252218283020087
KIR3DL1,killer cell immunoglobulin like receptor%2C three Ig domains and long cytoplasmic tail 1,5,Yes,5.884219191799034,5.170954047144983,5.117888238063235,10.24544052410871,8.447035077055183
PIEZO1,piezo type mechanosensitive ion channel component 1 (Er blood group),5,Yes,8.658808224690164,8.449111557756853,10.227384131832324,9.607612288326791,8.419867745585078
LOC124906623,,5,Yes,9.907709233869014,9.661946960438272,8.588235843542298,10.201538368682568,9.434512386101632
LOC124908082,uncharacterized LOC124908082,5,Yes,9.83163143003357,9.001159530209469,10.105524675639701,10.115106854903871,10.201111743192964
PTPRN2,protein tyrosine phosphatase receptor type N2,5,Yes,10.164388146109772,9.109453048388975,10.138401912817354,10.075860659314557,9.45762566320697
LOC124906774,uncharacterized LOC124906774,5,Yes,10.159244549719197,7.438309081369522,7.486287630360647,8.644881998979956,7.866006212124193
COL4A1,collagen type IV alpha 1 chain,5,Yes,9.555879201816703,9.584382069830244,10.12611250697738,6.8667924670762535,9.078983441725578
MORN1,MORN repeat containing 1,5,Yes,10.099831390116702,8.29277162365361,7.907935590200263,7.141513791825968,6.266759024623683
SSU72L5,SSU72 like 5,5,Yes,9.168729961700285,9.993354834754696,10.099287833582494,7.111794280762726,8.941529115012285
LOC124904989,uncharacterized LOC124904989,5,Yes,10.031421039643112,7.513332823150817,7.808252515113253,5.752129554072746,7.879735912159387
LOC124901645,putative uncharacterized protein FLJ44672,5,Yes,9.972067704000182,9.589580159746157,9.946270078434718,9.456482599503884,9.702637192784492
BAGE2,,5,Yes,8.136066866335005,9.964669967194254,6.315628894929594,6.937480614620032,6.759525531742248
LOC124906582,elastin-like,5,Yes,8.678042003744602,9.950428723131127,9.440990174552343,6.115011186062991,8.626021777926002
LOC128966676,uncharacterized LOC128966676,5,Yes,9.892486345842771,4.904909799325223,9.306479863981032,7.8151394480229115,8.673786111465953
LOC112268183,,5,Yes,8.176749767347577,9.862324755225428,7.714683408596361,7.474809938590953,6.890896205059608
LOC127239154,uncharacterized LOC127239154,5,Yes,8.255418407602615,9.823469362527534,6.945956209194207,8.104312486354049,8.775885884834866
GALP,galanin like peptide,5,Yes,9.81669842474136,9.548576409090877,9.500931014144678,4.334112522902952,9.819799152926421
GRAMD4,GRAM domain containing 4,5,Yes,9.816076395258227,8.847347159597726,9.159485667934788,9.467728789683397,9.194789292277264
CLDN14-AS1,CLDN14 antisense RNA 1,5,Yes,9.466912926992647,9.680942967925466,9.815031995121094,6.538819508896317,8.985019267651149
LINC02571,long intergenic non-protein coding RNA 2571,5,Yes,9.275855865304747,8.778425669389863,9.400334932589383,9.801430893756738,9.159625396519212
LOC124907541,uncharacterized LOC124907541,5,Yes,9.423826799686788,5.402620266996262,6.3525350266462635,9.105294601664143,9.744012260310031
HCG4P4,,5,Yes,7.3502729996398974,8.47138368283658,9.04645186473856,9.256148678984452,9.737758210618324
KIR2DS4,killer cell immunoglobulin like receptor%2C two Ig domains and short cytoplasmic tail 4,5,Yes,7.184669913211603,3.919335329597164,6.414237114200669,9.733133976571066,9.169802029882739
LOC124901650,putative uncharacterized protein FLJ44672,5,Yes,9.670520080864248,9.64584726801668,9.676514639680354,8.824471469815855,9.536249863762421
LOC124907511,,5,Yes,7.343448534510319,7.3213546034615895,7.569702839642426,9.656470103799695,7.7522367763804265
LOC124900859,uncharacterized LOC124900859,5,Yes,9.013454859683833,8.93394247293815,9.484108107741863,9.600130114531895,9.555564040206173
CACNA1H,calcium voltage-gated channel subunit alpha1 H,5,Yes,9.590946537770048,8.215285604369203,8.325700964416187,6.126473781553229,6.670994584918355
DBNDD1,dysbindin domain containing 1,5,Yes,9.528135524511342,8.940680988885605,9.112217181736945,7.0772283739458315,8.463787633639686
RNA45SN2,RNA%2C 45S pre-ribosomal N2,5,Yes,9.51163980518673,6.718604865474074,6.957460740820454,5.513473602416794,9.48840760047236
CABLES1,Cdk5 and Abl enzyme substrate 1,5,Yes,9.459338259926747,6.697400236127432,8.810500729226147,9.371929848968485,8.441445093114377
AHNAK2,AHNAK nucleoprotein 2,5,Yes,6.74573310896558,8.084507036571091,8.104018111556387,8.867737467837793,9.457285332672754
LOC101929800,uncharacterized LOC101929800,5,Yes,8.335311473772979,8.336724546275141,9.447620854244304,9.223980636339101,8.661431000252547
LOC124906771,uncharacterized LOC124906771,5,Yes,9.414560927208239,7.062105121887427,5.595468721880165,9.060835679740759,7.608920643375205
GMEB2,glucocorticoid modulatory element binding protein 2,5,Yes,6.117777156919749,7.4726894689804535,7.362453603205218,9.388683235984754,7.371341886943015
LOC101060145,,5,Yes,8.551886681835134,9.349837069516967,8.343916626499336,6.819863009944074,7.715327091577811
LOC101930100,uncharacterized LOC101930100,5,Yes,6.789024309905377,8.073667710563722,5.453574039617833,7.280716743214515,9.325345490333017
LOC124907008,,5,Yes,9.18782944068666,7.281280729304742,9.11361139659413,9.307453396903549,7.81833612437353
MICA-AS1,MICA antisense RNA 1,5,Yes,8.5959541571294391,8.83954242324749,8.218419039336226,9.29419477095058,7.629467557108691
CNTN6,contactin 6,5,Yes,9.269519500179017,7.0235282772605325,8.353571163034843,7.464117083248395,8.038159697817427
YBEY,ybeY metalloendoribonuclease,5,Yes,8.400591058397996,8.00260790423019,8.985349785965015,6.714710926376312,9.265549321920682
LOC107987360,,5,Yes,5.98047516170828,9.249942521567387,7.37287560311622,NA,6.660358353898241
LINC02691,long intergenic non-protein coding RNA 2691,5,Yes,9.213844711879657,8.977178500419116,8.206995691424828,6.577429201897987,7.452023132384097
LOC124907547,uncharacterized LOC124907547,5,Yes,4.657862174045751,9.207558469052465,5.274180976058245,4.114121995266504,4.205443047768839
TMEM255B,transmembrane protein 255B,5,Yes,8.270395862396922,8.335867898886796,8.750159209778714,9.194172257817177,7.555923947293241
LOC124906642,,5,Yes,9.070207244005324,7.34459173287469,NA,9.190244526141848,8.652869419078934
LOC100533650,putative uncharacterized protein FLJ92257,5,Yes,9.117084585735247,7.971017555850851,9.184336142515452,6.643859119619425,NA
GP6-AS1,GP6 antisense RNA 1,5,Yes,7.911346075064544,9.17992124734716,7.152599672059968,7.5893725991649275,7.358174241878547
LOC124907364,protein FAM104B-like,5,Yes,7.843909508808272,8.097511003327732,8.294463048148579,9.175477505766214,8.038360269569022
LOC124906770,uncharacterized LOC124906770,5,Yes,6.887163638811918,7.466722916383865,6.025332489964092,9.172297294990157,6.142955705181833
LOC124908128,,5,Yes,7.689172109588627,7.394138569172331,5.793488912553389,8.707469466835464,9.165113986405586
LOC100507393,,5,Yes,9.164261459703845,8.681683081331315,8.81484210983393,4.746834823506639,8.13475818702369
PARP10,poly(ADP-ribose) polymerase family member 10,5,Yes,7.385600043350728,9.153340230608856,8.156500657881653,7.411632816631122,5.911456696455808
