haplotype.name	haplotype.group
200066_HG01255.mat@HG01255#2#JBHDTC010000035.1:144859422-145410932:0-551511	HaploGroup1
200067_HG01258.pat@HG01258#1#CM088111.1:145536551-146088052:0-551502	HaploGroup1
200068_HG01258.mat@HG01258#2#CM088140.1:143887660-144439117:0-551458	HaploGroup1
200069_HG01261.pat@HG01261#1#CM085908.1:147625037-148176595:0-551559	HaploGroup1
200070_HG01261.mat@HG01261#2#JBHDVH010000010.1:142264168-142815821:0-551654	HaploGroup1
200071_HG01346.pat@HG01346#1#CM086586.1:144780900-145332371:0-551472	HaploGroup1
200072_HG01346.mat@HG01346#2#CM086599.1:147057443-147608976:0-551534	HaploGroup1
200073_HG01358.pat@HG01358#1#CM089053.1:145614528-146166008:0-551481	HaploGroup1
200074_HG01358.mat@HG01358#2#CM089066.1:144675024-145226487:0-551464	HaploGroup1
200075_HG01361.pat@HG01361#1#CM089022.1:144701451-145252856:0-551406	HaploGroup1
200076_HG01361.mat@HG01361#2#CM089038.1:145138970-145690470:0-551501	HaploGroup1
200077_HG01433.pat@HG01433#1#JBHDSJ010000060.1:146114920-146666435:0-551516	HaploGroup1
200078_HG01433.mat@HG01433#2#CM086509.1:145398843-145950309:0-551467	HaploGroup1
200079_HG01496.pat@HG01496#1#JBHDRZ010000049.1:95020005-95571570:0-551566	HaploGroup1
200080_HG01496.mat@HG01496#2#JBHDSA010000011.1:91198647-91750161:0-551515	HaploGroup1
200081_HG01884.pat@HG01884#1#JBHDSB010000012.1:92692285-93243670:0-551386	HaploGroup1
200082_HG01884.mat@HG01884#2#JBHDSC010000004.1:93277349-93828902:0-551554	HaploGroup1
200084_HG01891.mat@HG01891#2#CM088207.1:144280665-144832192:0-551528	HaploGroup1
200085_HG01928.pat@HG01928#1#CM088986.1:146303703-146855246:0-551544	HaploGroup1
200086_HG01928.mat@HG01928#2#JAGYVP020000038.1:145194087-145745644:0-551558	HaploGroup1
200087_HG01934.pat@HG01934#1#JBHIIA010000058.1:93597547-94149013:0-551467	HaploGroup1
200088_HG01934.mat@HG01934#2#JBHIIB010000010.1:93499668-94051132:0-551465	HaploGroup1
200089_HG01940.pat@HG01940#1#CM088631.1:145291370-145842898:0-551529	HaploGroup1
200090_HG01940.mat@HG01940#2#CM088661.1:145827238-146378757:0-551520	HaploGroup1
200091_HG01943.pat@HG01943#1#JBHIIK010000012.1:93593929-94145403:0-551475	HaploGroup1
200092_HG01943.mat@HG01943#2#JBHIIL010000060.1:93705334-94256802:0-551469	HaploGroup1
200093_HG01952.pat@HG01952#1#JAHAME020000037.1:145956467-146507996:0-551530	HaploGroup1
200094_HG01952.mat@HG01952#2#CM087997.1:145126972-145678389:0-551418	HaploGroup1
200095_HG01960.pat@HG01960#1#JBHIHM010000030.1:94208867-94760408:0-551542	HaploGroup1
200096_HG01960.mat@HG01960#2#JBHIHN010000003.1:93514286-94065781:0-551496	HaploGroup1
200097_HG01969.pat@HG01969#1#JBHIHO010000044.1:93167034-93718478:0-551445	HaploGroup1
200098_HG01969.mat@HG01969#2#JBHIHP010000002.1:94156865-94708404:0-551540	HaploGroup1
200099_HG01975.pat@HG01975#1#JBJUVS010000063.1:95346044-95897538:0-551495	HaploGroup1
200100_HG01975.mat@HG01975#2#JBJUVT010000004.1:94125368-94676857:0-551490	HaploGroup1
200101_HG01981.pat@HG01981#1#CM086321.1:146465669-147017109:0-551441	HaploGroup1
200102_HG01981.mat@HG01981#2#CM086335.1:145924689-146476210:0-551522	HaploGroup1
200103_HG01993.pat@HG01993#1#CM086494.1:145556330-146107766:0-551437	HaploGroup1
200104_HG01993.mat@HG01993#2#CM086535.1:146087757-146639294:0-551538	HaploGroup1
200105_HG02004.pat@HG02004#1#JBHDRT010000012.1:145706438-146257942:0-551505	HaploGroup1
200106_HG02004.mat@HG02004#2#CM086311.1:146053530-146605077:0-551548	HaploGroup1
200107_HG02015.pat@HG02015#1#CM085891.1:144116349-144667797:0-551449	HaploGroup1
200108_HG02015.mat@HG02015#2#CM085898.1:145617113-146168565:0-551453	HaploGroup1
200109_HG02027.pat@HG02027#1#CM086976.1:145455785-146007339:0-551555	HaploGroup1
200110_HG02027.mat@HG02027#2#CM086986.1:146747485-147298981:0-551497	HaploGroup1
200111_HG02055.pat@HG02055#1#JAHEPK020000002.1:94208882-94760450:0-551569	HaploGroup1
200112_HG02055.mat@HG02055#2#JAHEPJ020000014.1:94213446-94764929:0-551484	HaploGroup1
200113_HG02056.pat@HG02056#1#JBHDVC010000052.1:93571851-94123401:0-551551	HaploGroup1
200114_HG02056.mat@HG02056#2#JBHDVD010000004.1:92830052-93381612:0-551561	HaploGroup1
200115_HG02071.pat@HG02071#1#JBHIGI010000007.1:97502033-98053472:0-551440	HaploGroup1
200116_HG02071.mat@HG02071#2#JBHIGJ010000048.1:93994377-94545811:6-551435	HaploGroup1
200117_HG02074.pat@HG02074#1#CM088269.1:145598393-146149931:0-551539	HaploGroup1
200118_HG02074.mat@HG02074#2#CM088295.1:144584418-145135914:0-551497	HaploGroup1
200119_HG02080.pat@HG02080#1#JAHEOW020000007.1:147260351-147811877:0-551527	HaploGroup1
200120_HG02080.mat@HG02080#2#CM092046.1:145317031-145868528:0-551498	HaploGroup1
200121_HG02083.pat@HG02083#1#CM086953.1:145986847-146538372:0-551526	HaploGroup1
200122_HG02083.mat@HG02083#2#JBHDTW010000014.1:93546571-94098102:0-551532	HaploGroup1
200124_HG02109.mat@HG02109#2#CM092145.1:144577707-145129270:0-551564	HaploGroup1
200125_HG02129.pat@HG02129#1#CM085848.1:143418130-143969671:0-551542	HaploGroup1
200126_HG02129.mat@HG02129#2#CM085859.1:145618801-146170327:0-551527	HaploGroup1
200127_HG02132.pat@HG02132#1#CM086895.1:146779089-147330608:0-551520	HaploGroup1
200128_HG02132.mat@HG02132#2#CM086906.1:145749302-146300732:6-551431	HaploGroup1
200129_HG02135.pat@HG02135#1#JBHIGM010000094.1:93441150-93992675:0-551526	HaploGroup1
200130_HG02135.mat@HG02135#2#JBHIGN010000053.1:93973627-94525121:0-551495	HaploGroup1
200131_HG02145.pat@HG02145#1#JAHKSG020000074.1:93351154-93902731:0-551578	HaploGroup1
200132_HG02145.mat@HG02145#2#JAHKSF020000008.1:93264076-93815624:0-551549	HaploGroup1
200133_HG02148.pat@HG02148#1#JAHAMG020000061.1:94456046-95007537:0-551492	HaploGroup1
200135_HG02258.pat@HG02258#1#CM085824.1:146344306-146895877:0-551572	HaploGroup1
200136_HG02258.mat@HG02258#2#CM085835.1:146381544-146932906:0-551363	HaploGroup1
200137_HG02280.pat@HG02280#1#JBHDRR010000011.1:146111684-146663250:0-551567	HaploGroup1
200138_HG02280.mat@HG02280#2#CM086280.1:145392768-145944350:0-551583	HaploGroup1
200139_HG02293.pat@HG02293#1#JBHDRN010000071.1:93513492-94064933:0-551442	HaploGroup1
200140_HG02293.mat@HG02293#2#JBHDRO010000063.1:93965606-94517147:0-551542	HaploGroup1
200141_HG02300.pat@HG02300#1#JBHDSD010000015.1:93271193-93822608:0-551416	HaploGroup1
200142_HG02300.mat@HG02300#2#JBHDSE010000062.1:94290564-94842017:0-551454	HaploGroup1
200143_HG02451.pat@HG02451#1#JBHDRJ010000049.1:144531108-145082648:0-551541	HaploGroup1
200144_HG02451.mat@HG02451#2#CM086224.1:145427898-145979461:0-551564	HaploGroup1
200145_HG02486.pat@HG02486#1#JAGYVM020000003.1:145813598-146365204:0-551607	HaploGroup1
200146_HG02486.mat@HG02486#2#CM088217.1:147181595-147733087:0-551493	HaploGroup1
200147_HG02514.pat@HG02514#1#JBJKOI010000009.1:144706733-145258220:0-551488	HaploGroup1
200148_HG02514.mat@HG02514#2#CM098746.1:145270297-145821819:0-551523	HaploGroup1
200149_HG02523.pat@HG02523#1#JBHDTT010000060.1:145332511-145883954:0-551444	HaploGroup1
200150_HG02523.mat@HG02523#2#CM086936.1:146021261-146572814:0-551554	HaploGroup1
200151_HG02559.pat@HG02559#1#CM088233.1:145004416-145555864:0-551449	HaploGroup1
200152_HG02559.mat@HG02559#2#CM088246.1:144009582-144561446:0-551865	HaploGroup1
200153_HG02572.pat@HG02572#1#CM088153.1:145604264-146155822:0-551559	HaploGroup1
200154_HG02572.mat@HG02572#2#CM088171.1:146973846-147525305:0-551460	HaploGroup1
200155_HG02602.pat@HG02602#1#CM099685.1:146563686-147115226:0-551541	HaploGroup1
200156_HG02602.mat@HG02602#2#JBJUVL010000005.1:135713144-136264655:0-551512	HaploGroup1
200157_HG02615.pat@HG02615#1#CM086671.1:144700965-145252513:0-551549	HaploGroup1
200158_HG02615.mat@HG02615#2#CM086692.1:147620357-148171937:0-551581	HaploGroup1
200159_HG02622.pat@HG02622#1#JAHAOO020000009.1:143642368-144194051:0-551684	HaploGroup1
200160_HG02622.mat@HG02622#2#CM088097.1:143498483-144049936:0-551454	HaploGroup1
200161_HG02630.pat@HG02630#1#CM091807.1:146174027-146725764:0-551738	HaploGroup1
200162_HG02630.mat@HG02630#2#CM091738.1:144595410-145146863:0-551454	HaploGroup1
200163_HG02647.pat@HG02647#1#CM086557.1:144598698-145150156:0-551459	HaploGroup1
200164_HG02647.mat@HG02647#2#JBHDSQ010000003.1:144082492-144634079:0-551588	HaploGroup1
200165_HG02668.pat@HG02668#1#JBHIIC010000009.1:145969088-146520671:0-551584	HaploGroup1
200166_HG02668.mat@HG02668#2#CM088895.1:144646057-145197558:0-551502	HaploGroup1
200167_HG02698.pat@HG02698#1#JBHDTL010000051.1:93627058-94178528:0-551471	HaploGroup1
200168_HG02698.mat@HG02698#2#JBHDTM010000031.1:94381449-94932978:0-551530	HaploGroup1
200169_HG02717.pat@HG02717#1#CM088957.1:146340382-146891764:0-551383	HaploGroup1
200170_HG02717.mat@HG02717#2#CM088970.1:146229584-146781130:0-551547	HaploGroup1
200171_HG02723.pat@HG02723#1#CM092029.1:145174205-145725708:0-551504	HaploGroup1
200172_HG02723.mat@HG02723#2#CM092011.1:145069912-145621586:0-551675	HaploGroup1
200173_HG02735.pat@HG02735#1#CM089329.1:144788810-145340280:0-551471	HaploGroup1
200174_HG02735.mat@HG02735#2#JBHIIJ010000003.1:145335043-145886490:0-551448	HaploGroup1
200175_HG02738.pat@HG02738#1#JBJXQJ010000015.1:145588490-146140042:0-551553	HaploGroup1
200176_HG02738.mat@HG02738#2#CM099931.1:145998110-146549518:0-551409	HaploGroup1
200177_HG02809.pat@HG02809#1#CM088343.1:144776837-145328361:0-551525	HaploGroup1
200178_HG02809.mat@HG02809#2#CM088361.1:145092314-145643696:0-551383	HaploGroup1
200179_HG02818.pat@HG02818#1#JAHEOS020000045.1:93773250-94324920:0-551671	HaploGroup1
200180_HG02818.mat@HG02818#2#JAHEOR020000004.1:92230654-92782222:0-551569	HaploGroup1
200181_HG02841.pat@HG02841#1#CM098701.1:145055651-145607223:0-551573	HaploGroup1
200183_HG02886.pat@HG02886#1#CM088084.1:145483949-146035535:0-551587	HaploGroup1
200184_HG02886.mat@HG02886#2#CM088125.1:144750651-145302195:0-551545	HaploGroup1
200186_HG02984.mat@HG02984#2#JBJKON010000007.1:93589859-94141458:0-551600	HaploGroup1
200187_HG03017.pat@HG03017#1#CM088910.1:146456894-147008338:0-551445	HaploGroup1
200188_HG03017.mat@HG03017#2#CM088926.1:146233481-146785017:0-551537	HaploGroup1
200189_HG03041.pat@HG03041#1#CM088713.1:146341689-146893292:0-551604	HaploGroup1
200190_HG03041.mat@HG03041#2#CM088730.1:144589814-145141413:0-551600	HaploGroup1
200191_HG03050.pat@HG03050#1#CM098761.1:145976877-146528250:0-551374	HaploGroup1
200192_HG03050.mat@HG03050#2#JBJKOL010000007.1:147269022-147820550:0-551529	HaploGroup1
200193_HG03098.pat@HG03098#1#CM092229.1:146011285-146562847:0-551563	HaploGroup1
200194_HG03098.mat@HG03098#2#CM092217.1:145675001-146226603:0-551603	HaploGroup1
200195_HG03239.pat@HG03239#1#CM088746.1:144838447-145389978:0-551532	HaploGroup1
200196_HG03239.mat@HG03239#2#JBHIHT010000009.1:144479953-145031430:0-551478	HaploGroup1
200197_HG03453.pat@HG03453#1#CM088011.1:145863887-146415298:0-551412	HaploGroup1
200198_HG03453.mat@HG03453#2#JAGYVV020000074.1:145594799-146146222:0-551424	HaploGroup1
200199_HG03486.pat@HG03486#1#CM091972.1:146365953-146917818:0-551866	HaploGroup1
200200_HG03486.mat@HG03486#2#CM091958.1:146574733-147126174:0-551442	HaploGroup1
200201_HG03540.pat@HG03540#1#CM088048.1:145060515-145612131:0-551617	HaploGroup1
200202_HG03540.mat@HG03540#2#CM088061.1:143464091-144015515:0-551425	HaploGroup1
200203_HG03579.pat@HG03579#1#CM088943.1:145121386-145672802:0-551417	HaploGroup1
200204_HG03579.mat@HG03579#2#CM089286.1:145030877-145582448:0-551572	HaploGroup1
200205_HG03654.pat@HG03654#1#JBHDTN010000005.1:144686881-145238325:0-551445	HaploGroup1
200206_HG03654.mat@HG03654#2#CM086855.1:145663731-146215227:0-551497	HaploGroup1
200207_HG03669.pat@HG03669#1#CM086732.1:143560023-144111559:0-551537	HaploGroup1
200208_HG03669.mat@HG03669#2#JBHDTE010000006.1:144312655-144864169:0-551515	HaploGroup1
200209_HG03688.pat@HG03688#1#JBHDTJ010000062.1:93929829-94481288:0-551460	HaploGroup1
200210_HG03688.mat@HG03688#2#JBHDTK010000060.1:94646906-95198461:0-551556	HaploGroup1
200211_HG03704.pat@HG03704#1#JBHDRL010000006.1:94088881-94640374:0-551494	HaploGroup1
200212_HG03704.mat@HG03704#2#JBHDRM010000035.1:95101366-95652927:0-551562	HaploGroup1
200213_HG03710.pat@HG03710#1#CM086867.1:146853218-147404669:0-551452	HaploGroup1
200214_HG03710.mat@HG03710#2#CM086881.1:144376792-144928323:0-551532	HaploGroup1
200215_HG03804.pat@HG03804#1#CM088329.1:145225246-145776701:0-551456	HaploGroup1
200216_HG03804.mat@HG03804#2#CM088378.1:146908473-147460004:0-551532	HaploGroup1
200217_HG03816.pat@HG03816#1#JBJXWF010000011.1:93922872-94474372:0-551501	HaploGroup1
200218_HG03816.mat@HG03816#2#JBJXWG010000016.1:93977441-94529019:0-551579	HaploGroup1
200219_HG03831.pat@HG03831#1#CM086525.1:145703105-146254567:0-551463	HaploGroup1
200220_HG03831.mat@HG03831#2#CM086546.1:145309460-145860886:0-551427	HaploGroup1
200221_HG03834.pat@HG03834#1#CM085795.1:146904062-147455542:0-551481	HaploGroup1
200222_HG03834.mat@HG03834#2#CM085811.1:147017487-147569046:0-551560	HaploGroup1
200223_HG03927.pat@HG03927#1#CM086635.1:146609351-147160836:0-551486	HaploGroup1
200224_HG03927.mat@HG03927#2#CM086657.1:144562730-145114206:0-551477	HaploGroup1
200225_HG03942.pat@HG03942#1#CM088391.1:144630640-145182115:0-551476	HaploGroup1
200226_HG03942.mat@HG03942#2#CM088402.1:146540793-147092278:0-551486	HaploGroup1
200227_HG04115.pat@HG04115#1#JBHDTF010000053.1:146264478-146816015:0-551538	HaploGroup1
200228_HG04115.mat@HG04115#2#JBHDTG010000046.1:144899528-145451112:0-551585	HaploGroup1
200229_HG04157.pat@HG04157#1#JBHIGU010000016.1:16785265-17336815:0-551551	HaploGroup1
200230_HG04157.mat@HG04157#2#JBHIGV010000004.1:12803534-13354982:0-551449	HaploGroup1
200231_HG04160.pat@HG04160#1#CM088425.1:146195105-146746562:0-551458	HaploGroup1
200232_HG04160.mat@HG04160#2#CM088447.1:145557889-146109405:0-551517	HaploGroup1
200233_HG04184.pat@HG04184#1#JBHDSH010000048.1:94522268-95073729:0-551462	HaploGroup1
200234_HG04184.mat@HG04184#2#JBHDSI010000001.1:145504390-146055898:0-551509	HaploGroup1
200235_HG04187.pat@HG04187#1#JBJUVO010000060.1:145581214-146132662:0-551449	HaploGroup1
200236_HG04187.mat@HG04187#2#CM099754.1:147708701-148260127:0-551427	HaploGroup1
200237_HG04199.pat@HG04199#1#CM086778.1:144694973-145246391:0-551419	HaploGroup1
200238_HG04199.mat@HG04199#2#JBHDTI010000002.1:144889086-145440647:0-551562	HaploGroup1
200239_HG04204.pat@HG04204#1#JBHIGY010000004.1:93472202-94023656:0-551455	HaploGroup1
200240_HG04204.mat@HG04204#2#JBHIGZ010000010.1:94762651-95314141:0-551491	HaploGroup1
200241_HG04228.pat@HG04228#1#JBHIHA010000054.1:94525262-95076814:0-551553	HaploGroup1
200242_HG04228.mat@HG04228#2#JBHIHB010000005.1:94266519-94818027:0-551509	HaploGroup1
200243_NA18906.pat@NA18906#1#CM091934.1:145206650-145758129:0-551480	HaploGroup1
200244_NA18906.mat@NA18906#2#JAHEON020000005.1:143096896-143648460:0-551565	HaploGroup1
200245_NA19240.pat@NA19240#1#JAHEOM020000043.1:145617964-146169532:0-551569	HaploGroup1
200246_NA19240.mat@NA19240#2#JAHEOL020000031.1:145015617-145567163:0-551547	HaploGroup1
200247_NA20129.pat@NA20129#1#JAHEPE020000003.1:135348383-135899803:0-551421	HaploGroup1
200248_NA20129.mat@NA20129#2#CM092119.1:145542062-146093598:0-551537	HaploGroup1
200249_NA21309.pat@NA21309#1#CM092107.1:144638756-145190334:0-551579	HaploGroup1
200250_NA21309.mat@NA21309#2#CM092098.1:144285408-144836933:0-551526	HaploGroup1
200251_HG01978.pat@HG01978#1#JAGYVR020000018.1:94055482-94607013:0-551532	HaploGroup1
200252_HG01978.mat@HG01978#2#JAGYVS020000038.1:94102966-94654518:0-551553	HaploGroup1
200253_HG02257.pat@HG02257#1#CM089219.1:148184337-148735870:0-551534	HaploGroup1
200254_HG02257.mat@HG02257#2#CM089258.1:144177065-144728574:0-551510	HaploGroup1
200255_HG03516.pat@HG03516#1#CM089204.1:146459923-147011373:0-551451	HaploGroup1
200256_HG03516.mat@HG03516#2#JAGYYT020000034.1:144730861-145282336:0-551476	HaploGroup1
200257_HG00097.hap1@HG00097#1#JBIRDD010000049.1:83424895-83976370:0-551476	HaploGroup1
200258_HG00097.hap2@HG00097#2#JBIRDE010000004.1:94617507-95169032:0-551526	HaploGroup1
200259_HG00099.hap1@HG00099#1#JBHDWO010000001.1:144662354-145213899:0-551546	HaploGroup1
200261_HG00126.hap1@HG00126#1#JBHIKU010000030.1:143693827-144245336:0-551510	HaploGroup1
200262_HG00126.hap2@HG00126#2#JBHIKV010000045.1:146976152-147527589:0-551438	HaploGroup1
200263_HG00128.hap1@HG00128#1#CM090078.1:145444277-145995708:0-551432	HaploGroup1
200264_HG00128.hap2@HG00128#2#CM090094.1:146051841-146603381:0-551541	HaploGroup1
200265_HG00133.hap1@HG00133#1#CM090048.1:147114445-147665968:0-551524	HaploGroup1
200266_HG00133.hap2@HG00133#2#CM090063.1:145130916-145682378:0-551463	HaploGroup1
200267_HG00140.hap1@HG00140#1#CM087110.1:145488078-146039554:0-551477	HaploGroup1
200268_HG00140.hap2@HG00140#2#CM087135.1:146395843-146947429:0-551587	HaploGroup1
200269_HG00146.hap1@HG00146#1#JBHIKO010000048.1:144163662-144715153:0-551492	HaploGroup1
200270_HG00146.hap2@HG00146#2#CM090035.1:145174369-145725892:0-551524	HaploGroup1
200271_HG00232.hap1@HG00232#1#JBHIKM010000016.1:94000759-94552192:0-551434	HaploGroup1
200272_HG00232.hap2@HG00232#2#JBHIKN010000041.1:94207484-94759027:0-551544	HaploGroup1
200273_HG00235.hap1@HG00235#1#JBIRED010000049.1:146223516-146774972:0-551457	HaploGroup1
200274_HG00235.hap2@HG00235#2#JBIREE010000039.1:145350209-145901722:0-551514	HaploGroup1
200275_HG00253.hap1@HG00253#1#JBIREJ010000041.1:93836488-94388023:0-551536	HaploGroup1
200276_HG00253.hap2@HG00253#2#JBIREK010000009.1:94568663-95120100:0-551438	HaploGroup1
200277_HG00272.hap1@HG00272#1#CM094187.1:147000318-147551736:0-551419	HaploGroup1
200278_HG00272.hap2@HG00272#2#CM094214.1:145066256-145617792:0-551537	HaploGroup1
200279_HG00280.hap1@HG00280#1#CM087148.1:145014175-145565617:0-551443	HaploGroup1
200280_HG00280.hap2@HG00280#2#CM087159.1:144433007-144984537:0-551531	HaploGroup1
200281_HG00290.hap1@HG00290#1#CM089980.1:144998585-145550138:0-551554	HaploGroup1
200282_HG00290.hap2@HG00290#2#JBHIKL010000028.1:94524277-95075794:0-551518	HaploGroup1
200283_HG00320.hap1@HG00320#1#CM089949.1:145119885-145671427:0-551543	HaploGroup1
200284_HG00320.hap2@HG00320#2#CM089963.1:146032976-146584493:0-551518	HaploGroup1
200285_HG00321.hap1@HG00321#1#CM089539.1:144708830-145260259:0-551430	HaploGroup1
200286_HG00321.hap2@HG00321#2#CM089570.1:146508268-147059696:0-551429	HaploGroup1
200287_HG00323.hap1@HG00323#1#JBHDWM010000004.1:145197623-145749170:0-551548	HaploGroup1
