chromosome,start,end,T_pooled_myr,genes,genes_renamed,descriptions,gene_biotypes,SRA_overlap_percent,tr_overlap_percent
chr20_hap1_hsa19,58725000,58726000,12.29470832,LOC129135345,RFPL4A,ret finger protein-like 4A,protein_coding,0,0
chr1_hap1_hsa1,229652000,229653000,12.21137738,MORN1,MORN1,MORN repeat containing 1,protein_coding,0,100
chr23_hap1_hsa22,52149000,52150000,12.16304582,TTLL8,TTLL8,tubulin tyrosine ligase like 8,protein_coding,0,100
chr19_hap1_hsa17,96288000,96289000,12.08547985,TBCD,TBCD,tubulin folding cofactor D,protein_coding,0,100
chr19_hap1_hsa17,10735000,10736000,12.05955641,RPH3AL,RPH3AL,rabphilin 3A like (without C2 domains),protein_coding,0,100
chr14_hap1_hsa13,118378000,118379000,11.94174902,ATP11A,ATP11A,ATPase phospholipid transporting 11A,protein_coding,35.4,31.5
chr15_hap1_hsa14,102619000,102620000,11.91899812,C14H14orf180,C14H14orf180,chromosome 14 C14orf180 homolog,protein_coding,0,100
chr7_hap1_hsa8,14363000,14364000,11.91195425,PRAG1,PRAG1,PEAK1 related%2C kinase-activating pseudokinase 1,protein_coding,11,90.8
chr2_hap1_hsa3,200815000,200816000,11.88001281,LOC134809638,MOST-1,protein MOST-1,protein_coding,0,1.6
chr5_hap1_hsa6,162728000,162729000,11.83715656,PLEKHG1,PLEKHG1,pleckstrin homology and RhoGEF domain containing G1,protein_coding,0,100
chr5_hap1_hsa6,182826000,182827000,11.81789039,LOC104004287,PGM5,phosphoglucomutase-like protein 5,protein_coding,0,1.1
chr1_hap1_hsa1,227401000,227402000,11.79261213,AJAP1,AJAP1,adherens junctions associated protein 1,protein_coding,0,100
chr11_hap1_hsa9,115596000,115597000,11.7834854,DOCK8,DOCK8,dedicator of cytokinesis 8,protein_coding,18.2,70.2
chr5_hap1_hsa6,182492000,182493000,11.6794293,FAM120B,FAM120B,family with sequence similarity 120 member B,protein_coding,0,100
chr5_hap1_hsa6,6534000,6535000,11.58742183,EXOC2,EXOC2,exocyst complex component 2,protein_coding,2.3,93.3
chr23_hap1_hsa22,51995000,51996000,11.54928124,ZBED4,ZBED4,zinc finger BED-type containing 4,protein_coding,0,100
chr20_hap1_hsa19,55681000,55682000,11.45446267,ZNF28,ZNF28,zinc finger protein 28,protein_coding,46,0
chr8_hap1_hsa10,13343000,13344000,11.40916615,DIP2C,DIP2C,disco interacting protein 2 homolog C,protein_coding,6.5,88.3
chr11_hap1_hsa9,3676000,3677000,11.38167575,COL5A1,COL5A1,collagen type V alpha 1 chain,protein_coding,0,0
chr11_hap1_hsa9,936000,937000,11.34344445,PNPLA7,PNPLA7,patatin like phospholipase domain containing 7,protein_coding,19.4,46.3
chr15_hap1_hsa14,103314000,103315000,11.22358417,BRF1,BRF1,BRF1 RNA polymerase III transcription initiation factor subunit,protein_coding,21.2,0
chr5_hap1_hsa6,6081000,6082000,11.22080507,LOC129144202,TUBB8,tubulin beta-8 chain-like,protein_coding,0,4.3
chr13_hap1_hsa2b,141151000,141152000,11.19623408,TWIST2,TWIST2,twist family bHLH transcription factor 2,protein_coding,0,0
chr22_hap1_hsa21,47107000,47108000,11.1937025,PCNT,PCNT,pericentrin,protein_coding,0.9,94.5
chr15_hap1_hsa14,104021000,104022000,11.15747388,LOC134806971,IGHV4-30-4,immunoglobulin heavy variable 4-30-4-like,V_segment,91.7,0
chr11_hap1_hsa9,115741000,115742000,11.09807305,ZNG1A,ZNG1A,Zn regulated GTPase metalloprotein activator 1A,protein_coding,0,1.7
chr3_hap1_hsa4,24517000,24518000,11.07021397,PPARGC1A,PPARGC1A,PPARG coactivator 1 alpha,protein_coding,9.6,2.2
chr1_hap1_hsa1,217891000,217892000,11.03231636,LOC129138211,PRAMEF11,PRAME family member 11-like,protein_coding,0,1.8
chr23_hap1_hsa22,50660000,50661000,10.94462426,TAFA5,TAFA5,TAFA chemokine like family member 5,protein_coding,0,100
chr1_hap1_hsa1,206108000,206109000,10.94271753,RUNX3,RUNX3,RUNX family transcription factor 3,protein_coding,7.9,92.6
chr20_hap1_hsa19,2706000,2707000,10.91691937,SHC2,SHC2,SHC adaptor protein 2,protein_coding,0,0
chr10_hap1_hsa12,7594000,7595000,10.91096889,B4GALNT3,B4GALNT3,beta-1%2C4-N-acetyl-galactosaminyltransferase 3,protein_coding,33,66.1
chr5_hap1_hsa6,37159000,37160000,10.86598164,PATR-C,HLA-C,major histocompatibility complex%2C class I%2C C,protein_coding,45.2,0
chr14_hap1_hsa13,115822000,115823000,10.80773955,COL4A1,COL4A1,collagen type IV alpha 1 chain,protein_coding,0,100
chr15_hap1_hsa14,102926000,102927000,10.7854958,CEP170B,CEP170B,centrosomal protein 170B,protein_coding,0,4.1
chr16_hap1_hsa15,93233000,93234000,10.75825657,PCSK6,PCSK6,proprotein convertase subtilisin/kexin type 6,protein_coding,0,100
chr1_hap1_hsa1,228878000,228879000,10.65324465,PRDM16,PRDM16,PR/SET domain 16,protein_coding,0,0
chr9_hap1_hsa11,4681000,4682000,10.61250126,PTDSS2,PTDSS2,phosphatidylserine synthase 2,protein_coding,0,100
chr2_hap1_hsa3,4463000,4464000,10.61127417,LOC749565,PTMA,prothymosin alpha-like,protein_coding,35,60.3
chr10_hap1_hsa12,139111000,139112000,10.60036679,GALNT9,GALNT9,polypeptide N-acetylgalactosaminyltransferase 9,protein_coding,17.2,82.6
chr4_hap1_hsa5,177647000,177648000,10.59880829,RASGEF1C,RASGEF1C,RasGEF domain family member 1C,protein_coding,0,100
chr2_hap1_hsa3,199632000,199633000,10.55470543,RNF168,RNF168,ring finger protein 168,protein_coding,0,100
chr21_hap1_hsa20,70099000,70100000,10.5505467,ZBTB46,ZBTB46,zinc finger and BTB domain containing 46,protein_coding,0,0
chr20_hap1_hsa19,56649000,56650000,10.45121329,NLRP12,NLRP12,NLR family pyrin domain containing 12,protein_coding,4.3,1.6
chr19_hap1_hsa17,11130000,11131000,10.4460297,VPS53,VPS53,VPS53 subunit of GARP complex,protein_coding,0.3,100
chr16_hap1_hsa15,92083000,92084000,10.40405751,ADAMTS17,ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,protein_coding,2.4,1.5
chr2_hap1_hsa3,198966000,198967000,10.34051225,MUC4,MUC4,mucin 4%2C cell surface associated,protein_coding,0,100
chr4_hap1_hsa5,175019000,175020000,10.30551625,SLC34A1,SLC34A1,solute carrier family 34 member 1,protein_coding,20.2,86.9
chr12_hap1_hsa2a,121572000,121573000,10.29199813,SNTG2,SNTG2,syntrophin gamma 2,protein_coding,0,100
chr5_hap1_hsa6,35852000,35853000,10.28506526,PATR-A,HLA-A,patr class I histocompatibility antigen%2C A-126 alpha chain,protein_coding,24.7,3.1
chr1_hap1_hsa1,228255000,228256000,10.280002,CEP104,CEP104,centrosomal protein 104,protein_coding,1.8,100
chr18_hap1_hsa16,87336000,87337000,10.26417376,ACSF3,ACSF3,acyl-CoA synthetase family member 3,protein_coding,0,100
chr1_hap1_hsa1,225688000,225689000,10.22307427,ACOT7,ACOT7,acyl-CoA thioesterase 7,protein_coding,0,100
chr3_hap1_hsa4,3786000,3787000,10.22018531,RGS12,RGS12,regulator of G protein signaling 12,protein_coding,32.1,68.5
chr15_hap1_hsa14,103485000,103486000,10.20395832,MTA1,MTA1,metastasis associated 1,protein_coding,9.9,90.1
chr19_hap1_hsa17,10641000,10642000,10.10434398,DOC2B,DOC2B,double C2 domain beta,protein_coding,0,100
chr20_hap1_hsa19,4505000,4506000,9.966038694,DOT1L,DOT1L,DOT1 like histone lysine methyltransferase,protein_coding,5.2,0
chr17_hap1_hsa18,90099000,90100000,9.856193341,TXNL4A,TXNL4A,thioredoxin like 4A,protein_coding,20.3,79.3
chr1_hap1_hsa1,228185000,228186000,9.842228065,C1H1orf174,C1H1orf174,chromosome 1 C1orf174 homolog,protein_coding,1.7,0
chr18_hap1_hsa16,3947000,3948000,9.835508281,IFT140,IFT140,intraflagellar transport 140;transmembrane protein 204,protein_coding,0,100
chr18_hap1_hsa16,3947000,3948000,9.835508281,TMEM204,TMEM204,intraflagellar transport 140;transmembrane protein 204,protein_coding,0,100
chr12_hap1_hsa2a,9855000,9856000,9.779879141,ZNG1B,ZNG1B,Zn regulated GTPase metalloprotein activator 1B,protein_coding,0,1.3
chr14_hap1_hsa13,119917000,119918000,9.744269454,UPF3A,UPF3A,UPF3A regulator of nonsense mediated mRNA decay,protein_coding,0,100
chr8_hap1_hsa10,145169000,145170000,9.73388207,CFAP46,CFAP46,cilia and flagella associated protein 46,protein_coding,0,100
chr5_hap1_hsa6,179230000,179231000,9.706468986,CCR6,CCR6,C-C motif chemokine receptor 6,protein_coding,38.2,46.6
chr20_hap1_hsa19,59150000,59151000,9.693968896,ZSCAN5C,ZSCAN5C,zinc finger and SCAN domain containing 5C,protein_coding,34.3,2.1
chr6_hap1_hsa7,6703000,6704000,9.630277621,DNAAF5,DNAAF5,dynein axonemal assembly factor 5,protein_coding,9.5,94.6
chr16_hap1_hsa15,11075000,11076000,9.620360066,LOC112205572,NEK4,serine/threonine-protein kinase Nek4-like,protein_coding,0,1.9
chr14_hap1_hsa13,119087000,119088000,9.607828106,ADPRHL1,ADPRHL1,ADP-ribosylhydrolase like 1,protein_coding,31.5,6.1
chr19_hap1_hsa17,95610000,95611000,9.593797052,CSNK1D,CSNK1D,casein kinase 1 delta,protein_coding,0,100
chr8_hap1_hsa10,19706000,19707000,9.573658949,LOC107976907,ERVK-16,endogenous retrovirus group K member 16 Rec protein,protein_coding,1.6,0
chr2_hap1_hsa3,3929000,3930000,9.572568482,LOC739761,ZNG1F,putative COBW domain-containing protein 7,protein_coding,0,25.7
chr12_hap1_hsa2a,121086000,121087000,9.560992381,MYT1L,MYT1L,myelin transcription factor 1 like,protein_coding,3.6,99
chr23_hap1_hsa22,52921000,52922000,9.559130576,ACR,ACR,acrosin,protein_coding,0,30.9
chr7_hap1_hsa8,155469000,155470000,9.544776478,LOC129135354,TRIM52,E3 ubiquitin-protein ligase TRIM52,protein_coding,0,50.1
chr4_hap1_hsa5,2177000,2178000,9.530051423,LPCAT1,LPCAT1,lysophosphatidylcholine acyltransferase 1,protein_coding,0,100
chr5_hap1_hsa6,70671000,70672000,9.511492952,LOC100609532,EYS,protein eyes shut homolog,protein_coding,3.3,2.9
chr3_hap1_hsa4,57612000,57613000,9.508991326,ADAMTS3,ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3,protein_coding,2.6,0
chr7_hap1_hsa8,150528000,150529000,9.492995526,TRAPPC9,TRAPPC9,trafficking protein particle complex subunit 9,protein_coding,0,100
chr21_hap1_hsa20,70522000,70523000,9.48700464,MYT1,MYT1,myelin transcription factor 1,protein_coding,9,70.8
chr17_hap1_hsa18,90288000,90289000,9.471455729,PARD6G,PARD6G,par-6 family cell polarity regulator gamma,protein_coding,0,100
chr14_hap1_hsa13,118190000,118191000,9.441320721,TUBGCP3,VAV2,tubulin gamma complex component 3,protein_coding,3.2,18
chr20_hap1_hsa19,58581000,58582000,9.438900054,LOC129138013,RFPL4A,ret finger protein-like 4A,protein_coding;protein_coding,0,1.4
chr10_hap1_hsa12,7511000,7512000,9.365931806,CCDC77,CCDC77,coiled-coil domain containing 77,protein_coding,0,7.7
chr4_hap1_hsa5,18215000,18216000,9.281790604,LOC134810145,TAFA5,TATA-box-binding protein-associated factor 11-like protein 5,protein_coding,0,0
chr4_hap1_hsa5,174491000,174492000,9.277468726,UNC5A,UNC5A,unc-5 netrin receptor A,protein_coding,0,100
chr11_hap1_hsa9,353000,354000,9.276306415,CACNA1B,CACNA1B,calcium voltage-gated channel subunit alpha1 B,protein_coding,0,88.7
chr13_hap1_hsa2b,141275000,141276000,9.266950081,HDAC4,HDAC4,histone deacetylase 4,protein_coding,0,100
chr20_hap1_hsa19,57039000,57040000,9.256139337,LILRB3,LILRB3,leukocyte immunoglobulin like receptor B3,protein_coding,20.1,3.3
chr1_hap1_hsa1,1235000,1236000,9.223813231,OR2W3,OR2W3,olfactory receptor family 2 subfamily W member 3,protein_coding,0,100
chr1_hap1_hsa1,1235000,1236000,9.223813231,TRIM58,TRIM58,tripartite motif containing 58,protein_coding,0,100
chr10_hap1_hsa12,137454000,137455000,9.207084876,RIMBP2,RIMBP2,RIMS binding protein 2,protein_coding,68.2,37.9
chr12_hap1_hsa2a,9696000,9697000,9.206137971,LOC129143198,MALRD1,MAM and LDL-receptor class A domain-containing protein 1-like,protein_coding,0,1.4
chr9_hap1_hsa11,5197000,5198000,9.198925552,AP2A2,AP2A2,adaptor related protein complex 2 subunit alpha 2,protein_coding,0,100
chr22_hap1_hsa21,46592000,46593000,9.130958612,PCBP3,PCBP3,poly(rC) binding protein 3,protein_coding,0,100
chr19_hap1_hsa17,12851000,12852000,9.128577471,SGSM2,SGSM2,small G protein signaling modulator 2,protein_coding,30,73.1
chr16_hap1_hsa15,92424000,92425000,9.086606906,LINS1,LINS1,lines homolog 1,protein_coding,0,100
chr14_hap1_hsa13,52015000,52016000,9.083056101,LOC112205253,MALRD1,MAM and LDL-receptor class A domain-containing protein 1-like,protein_coding,0,2.3
chr5_hap1_hsa6,136222000,136223000,9.058045445,NKAIN2,NKAIN2,sodium/potassium transporting ATPase interacting 2,protein_coding,1.2,3.9
chr11_hap1_hsa9,115190000,115191000,9.03868364,KANK1,KANK1,KN motif and ankyrin repeat domains 1,protein_coding,0,0
chr22_hap1_hsa21,46882000,46883000,9.038612746,LSS,LSS,lanosterol synthase,protein_coding,2.7,97.2
chr2_hap1_hsa3,200826000,200827000,9.036707972,LOC112208690,MYLK2,myosin light chain kinase 2%2C skeletal/cardiac muscle-like,protein_coding,15.2,16.3
chr6_hap1_hsa7,168519000,168520000,9.01805054,ACTR3B,ACTR3B,actin related protein 3B,protein_coding,0,0
chr18_hap1_hsa16,4778000,4779000,8.997253544,TRAF7,TRAF7,TNF receptor associated factor 7,protein_coding,17.4,3.7
chr5_hap1_hsa6,9097000,9098000,8.991715347,BPHL,BPHL,biphenyl hydrolase like,protein_coding,0,0
chr7_hap1_hsa8,151712000,151713000,8.980747502,PTP4A3,PTP4A3,protein tyrosine phosphatase 4A3,protein_coding,0,100
chr7_hap1_hsa8,155341000,155342000,8.978572019,ZNF16,ZNF16,zinc finger protein 16,protein_coding,1,77
chr7_hap1_hsa8,22928000,22929000,8.971308568,SGCZ,SGCZ,sarcoglycan zeta,protein_coding,8.4,3.5
chr18_hap1_hsa16,2784000,2785000,8.915523845,RAB11FIP3,RAB11FIP3,RAB11 family interacting protein 3,protein_coding,53.2,3.2
chr16_hap1_hsa15,93055000,93056000,8.906045786,CHSY1,CHSY1,chondroitin sulfate synthase 1,protein_coding,67.5,34.2
chr17_hap1_hsa18,90487000,90488000,8.903952074,LOC747817,TUBA8,tubulin beta-8 chain-like,protein_coding,0,0
chr5_hap1_hsa6,38996000,38997000,8.869954704,LOC100610904,HLA-DPB1,HLA class II histocompatibility antigen%2C DP beta 1 chain-like,protein_coding,100,0
chr9_hap1_hsa11,4763000,4764000,8.830326915,RASSF7,RASSF7,Ras association domain family member 7,protein_coding,0,100
chr6_hap1_hsa7,174245000,174246000,8.819125835,VIPR2,VIPR2,vasoactive intestinal peptide receptor 2,protein_coding,60.5,37.2
chr17_hap1_hsa18,89852000,89853000,8.802551377,CTDP1,CTDP1,CTD phosphatase subunit 1,protein_coding,0.1,100
chr2_hap1_hsa3,197813000,197814000,8.776096256,TMEM44,TMEM44,transmembrane protein 44,protein_coding,0,100
chr20_hap1_hsa19,56170000,56171000,8.771082386,ZNF845,ZNF845,zinc finger protein 845,protein_coding,29.5,3.4
chr1_hap1_hsa1,2115000,2116000,8.768661975,ZNF695,ZNF695,zinc finger protein 695,protein_coding,5.3,52.7
chr1_hap1_hsa1,217111000,217112000,8.75671719,KAZN,KAZN,kazrin%2C periplakin interacting protein,protein_coding,100,0
chr17_hap1_hsa18,89440000,89441000,8.751174301,ATP9B,ATP9B,ATPase phospholipid transporting 9B (putative),protein_coding,0,0
chr7_hap1_hsa8,23866000,23867000,8.698358059,TUSC3,TUSC3,tumor suppressor candidate 3,protein_coding,100,0
chr11_hap1_hsa9,1061000,1062000,8.6904641,EXD3,EXD3,exonuclease 3'-5' domain containing 3,protein_coding,3.6,0
chr21_hap1_hsa20,67582000,67583000,8.656256909,CDH4,CDH4,cadherin 4,protein_coding,0,100
chr20_hap1_hsa19,59190000,59191000,8.636977878,ZSCAN5A,ZSCAN5A,zinc finger and SCAN domain containing 5A,protein_coding,49.3,2.5
chr4_hap1_hsa5,1209000,1210000,8.567014382,SLC9A3,SLC9A3,solute carrier family 9 member A3,protein_coding,0,1.5
chr22_hap1_hsa21,46982000,46983000,8.566377759,C21H21orf58,C21H21orf58,chromosome 21 C21orf58 homolog,protein_coding,22.3,7.7
chr1_hap1_hsa1,214424000,214425000,8.505423709,LOC129136527,NBPF15,neuroblastoma breakpoint family member 15-like,protein_coding,0,3.3
chr19_hap1_hsa17,93572000,93573000,8.504145556,CARD14,CARD14,caspase recruitment domain family member 14,protein_coding,0,3.5
chr2_hap1_hsa3,201312000,201313000,8.48730092,LOC738663,TUBB8,tubulin beta-8 chain-like,protein_coding,7.9,2.1
chr18_hap1_hsa16,2902000,2903000,8.478863812,CAPN15,CAPN15,calpain 15,protein_coding,0,0
chr6_hap1_hsa7,6116000,6117000,8.466850014,FAM20C,FAM20C,FAM20C golgi associated secretory pathway kinase,protein_coding,0,100
chr6_hap1_hsa7,5957000,5958000,8.459491078,LOC104008153,FAM157A,putative protein FAM157A,protein_coding,0,1.4
chr20_hap1_hsa19,55778000,55779000,8.45194053,ZNF888,ZNF888,zinc finger protein 888,protein_coding,46.5,1.4
chr9_hap1_hsa11,4908000,4909000,8.441520275,DEAF1,DEAF1,DEAF1 transcription factor,protein_coding,6.4,0
chr20_hap1_hsa19,4978000,4979000,8.426640691,GNG7,GNG7,G protein subunit gamma 7,protein_coding,15.7,1.9
chr11_hap1_hsa9,97265000,97266000,8.40648394,ADAMTSL1,ADAMTSL1,ADAMTS like 1,protein_coding,21.2,1.1
chr2_hap1_hsa3,199063000,199064000,8.364593422,TNK2,TNK2,tyrosine kinase non receptor 2,protein_coding,18.4,86.4
chr6_hap1_hsa7,8246000,8247000,8.363561032,SNX8,SNX8,sorting nexin 8,protein_coding,9.8,9.2
chr20_hap1_hsa19,2629000,2630000,8.360617505,SPMAP2,SPMAP2,sperm microtubule associated protein 2,protein_coding,16.3,85.9
chr20_hap1_hsa19,68045000,68046000,8.325091375,LOC129137991,MALRD1,MAM and LDL-receptor class A domain-containing protein 1-like,protein_coding,0,0
chr18_hap1_hsa16,3329000,3330000,8.324967973,LMF1,LMF1,lipase maturation factor 1,protein_coding,0,0
chr19_hap1_hsa17,12365000,12366000,8.294393779,RPA1,RPA1,replication protein A1,protein_coding,0,0
chr20_hap1_hsa19,56313000,56314000,8.286085849,LOC104003432,ZNF813,zinc finger protein 813,protein_coding,12.4,0
chr5_hap1_hsa6,36937000,36938000,8.26359447,LOC462552,HCG22,protein PBMUCL2,protein_coding,99.4,3
chr10_hap1_hsa12,9570000,9571000,8.26332484,CACNA1C,CACNA1C,calcium voltage-gated channel subunit alpha1 C,protein_coding,6.2,0
chr4_hap1_hsa5,827000,828000,8.254115994,PLEKHG4B,PLEKHG4B,pleckstrin homology and RhoGEF domain containing G4B,protein_coding,0,100
chr1_hap1_hsa1,228581000,228582000,8.244381012,MEGF6,MEGF6,multiple EGF like domains 6,protein_coding,2.8,100
chr13_hap1_hsa2b,143421000,143422000,8.238622146,PASK,PASK,PAS domain containing serine/threonine kinase,protein_coding,0,0
chr19_hap1_hsa17,11342000,11343000,8.23067605,NXN,NXN,nucleoredoxin,protein_coding,52.5,55.6
