species,gene,id,feature,consequence,chrom,pos,end,svtype,svlen,total_allele_count,allele_frequency,type_simplified
bonobo,LPA,svim_asm.115074,XM_063605063.1,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr5_pat_hsa6,180606324,180611891,DEL,-5567,2,0.2,Non-repeat
bonobo,LPA,svim_asm.115078,XM_063605063.1,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr5_pat_hsa6,180761883,180767431,DEL,-5548,1,0.1,Non-repeat
bonobo,MUC5AC,Sniffles2.DUP.1D8M8,XM_063608031.1,"feature_elongation,coding_sequence_variant",chr9_pat_hsa11,3594123,3595242,DUP,1119,3,0.3,NA
bonobo,NBPF8,svim_asm.67313,XM_055102543.2,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr1_pat_hsa1,112900728,112904218,DEL,-3490,3,0.3,Non-repeat
bonobo,NBPF8,svim_asm.67314,XM_055102543.2,"splice_acceptor_variant,splice_donor_variant,inframe_deletion,splice_donor_5th_base_variant,intron_variant",chr1_pat_hsa1,112907658,112913982,DEL,-6324,1,0.1,Non-repeat
bonobo,NBPF8,svim_asm.67317,XM_055102543.2,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr1_pat_hsa1,112917331,112919763,DEL,-2432,1,0.1,Non-repeat
bonobo,NBPF8,svim_asm.67318,XM_055102543.2,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr1_pat_hsa1,112923645,112926077,DEL,-2432,1,0.1,Non-repeat
bonobo,NBPF8,svim_asm.67319,XM_055102543.2,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr1_pat_hsa1,112924014,112955581,DEL,-31567,2,0.2,Non-repeat
bonobo,NBPF8,svim_asm.67320,XM_055102543.2,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr1_pat_hsa1,112929957,112932388,DEL,-2431,1,0.1,Non-repeat
bonobo,NBPF8,svim_asm.67321,XM_055102543.2,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr1_pat_hsa1,112936270,112938703,DEL,-2433,1,0.1,Non-repeat
bonobo,NBPF8,svim_asm.67322,XM_055102543.2,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr1_pat_hsa1,112942582,112951328,DEL,-8746,1,0.1,Non-repeat
bonobo,PAGE2B,svim_asm.152761,"XM_034949570.2,XM_055106471.1",transcript_ablation,chrX_mat_hsaX,56470141,56484514,DEL,-14373,6,0.6,Non-repeat
bonobo,PRH1,Sniffles2.DEL.63CM9,XM_063593349.1,"feature_truncation,coding_sequence_variant,5_prime_UTR_variant,intron_variant",chr10_mat_hsa12,16512728,16540207,DEL,-27479,4,0.4,Non-repeat
bonobo,RIPOR2,svim_asm.112499,"XM_055113230.2,XM_055113231.2,XM_055113232.2,XM_055113233.2","splice_donor_variant,splice_donor_5th_base_variant,5_prime_UTR_variant,intron_variant",chr5_pat_hsa6,39572085,39578625,DEL,-6540,1,0.1,Non-repeat
bonobo,SCGB2B2,svim_asm.74042,XM_063600126.1,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant,intron_variant",chr20_pat_hsa19,40600726,40615684,DEL,-14958,2,0.2,Non-repeat
bonobo,SIGLEC5,svim_asm.74494,"XM_034946811.3,XM_055104455.2,XM_055104456.2,XM_063600553.1,XM_063600554.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,5_prime_UTR_variant,intron_variant",chr20_pat_hsa19,57673774,57690186,DEL,-16412,1,0.1,Non-repeat
bonobo,TEX28,svim_asm.154789,"XM_055106182.2,XM_055106183.2,XM_055106184.2","splice_donor_variant,splice_donor_5th_base_variant,5_prime_UTR_variant,intron_variant,splice_acceptor_variant",chrX_mat_hsaX,154223925,154227632,DEL,-3707,2,0.2,Non-repeat
bonobo,TEX50,svim_asm.66662,XM_003824672.6,"stop_gained,frameshift_variant",chr1_pat_hsa1,76088839,76088839,INS,2332,4,0.4,Non-repeat
bonobo,UPF3A,Sniffles2.DEL.1760MD,"XM_024925275.4,XM_034937095.3,XM_034937096.3,XM_034937100.3,XM_034937101.3,XM_055097077.2,XM_055097078.2,XM_055097079.2,XM_063595999.1,XM_063596000.1","feature_truncation,coding_sequence_variant,intron_variant,stop_lost,3_prime_UTR_variant",chr14_pat_hsa13,115788040,115788640,DEL,-600,2,0.2,Non-repeat
bonobo,VWDE,svim_asm.118648,"XM_024929704.4,XM_034963721.3,XM_055115715.2","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,5_prime_UTR_variant,intron_variant",chr6_mat_hsa7,17268792,17283497,DEL,-14705,1,0.1,Non-repeat
bonobo,WDSUB1,svim_asm.21628,"XM_003820957.5,XM_034954334.3,XM_034954336.3,XM_034954339.3,XM_034954340.3,XM_055108617.2,XM_055108619.2,XM_055108621.2,XM_055108624.2,XM_063595386.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr13_mat_hsa2b,61936132,61937078,DEL,-946,1,0.1,Non-repeat
bonobo,ZMYND19,Sniffles2.DEL.9AMA,"XM_034929664.4,XM_034929665.3,XM_063594074.1","feature_truncation,coding_sequence_variant,intron_variant,5_prime_UTR_variant",chr11_mat_hsa9,1765424,1767478,DEL,-2054,1,0.1,Non-repeat
bonobo,ZMYND19,Sniffles2.DEL.9BMA,"XM_034929664.4,XM_034929665.3,XM_063594074.1","feature_truncation,coding_sequence_variant,intron_variant",chr11_mat_hsa9,1766633,1767397,DEL,-764,3,0.3,Non-repeat
bonobo,ZNG1A,svim_asm.11807,XM_063594042.1,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,3_prime_UTR_variant,intron_variant",chr11_mat_hsa9,124432292,124448415,DEL,-16123,1,0.1,Non-repeat
bonobo,ZNG1A,svim_asm.11811,XM_063594042.1,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,3_prime_UTR_variant,intron_variant",chr11_mat_hsa9,124433797,124441842,DEL,-8045,2,0.2,Non-repeat
chimpanzee,ACYP2,svim_asm.56132,"XM_016948522.3,XM_063789864.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,3_prime_UTR_variant,intron_variant",chr12_hap1_hsa2a,68443650,68466865,DEL,-23215,1,0.02083333333333333,Non-repeat
chimpanzee,AHRR,Sniffles2.DEL.12FM11,"XM_016952875.4,XM_063811029.1,XM_063811030.1,XM_063811033.1","feature_truncation,coding_sequence_variant,intron_variant,5_prime_UTR_variant",chr4_hap1_hsa5,1069869,1071347,DEL,-1478,7,0.14583333333333334,Non-repeat
chimpanzee,ANKRD20A1,svim_asm.31261,XM_054658176.2,"splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,5_prime_UTR_variant,intron_variant",chr11_hap1_hsa9,58696660,58701749,DEL,-5089,1,0.02083333333333333,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474836,"XM_024346307.3,XM_054660997.2","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant,3_prime_UTR_variant",chr8_hap1_hsa10,50125086,50136861,DEL,-11775,1,0.02083333333333333,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474837,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50131275,50201963,DEL,-70688,1,0.02083333333333333,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474838,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50131275,50190190,DEL,-58915,2,0.04166666666666666,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474839,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50131329,50190244,DEL,-58915,2,0.04166666666666666,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474840,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50131362,50213824,DEL,-82462,2,0.04166666666666666,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474841,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50133878,50204549,DEL,-70671,1,0.02083333333333333,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474842,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50145680,50204574,DEL,-58894,1,0.02083333333333333,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474843,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50146669,50229111,DEL,-82442,1,0.02083333333333333,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474844,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50154801,50225471,DEL,-70670,1,0.02083333333333333,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474845,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50157447,50228100,DEL,-70653,1,0.02083333333333333,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474846,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50158463,50229111,DEL,-70648,3,0.0625,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474848,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50169210,50228085,DEL,-58875,1,0.02083333333333333,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474849,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50169223,50228099,DEL,-58876,2,0.04166666666666666,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474850,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50169654,50228528,DEL,-58874,7,0.14583333333333334,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474851,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50170239,50229111,DEL,-58872,1,0.02083333333333333,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474852,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50170425,50229296,DEL,-58871,1,0.02083333333333333,Non-repeat
chimpanzee,ANKRD30A,svim_asm.474853,XM_024346307.3,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,50171642,50218746,DEL,-47104,4,0.08333333333333333,Non-repeat
chimpanzee,APOBEC3A,Sniffles2.DEL.1B87ME,XM_016939190.4,"feature_truncation,3_prime_UTR_variant",chr23_hap1_hsa22,40965297,40965503,DEL,-206,1,0.02083333333333333,Non-repeat
chimpanzee,ARSH,svim_asm.505219,XM_054676550.1,"splice_acceptor_variant,coding_sequence_variant,3_prime_UTR_variant,intron_variant",chrX_hap1_hsaX,3418224,3495398,DEL,-77174,1,0.02083333333333333,Non-repeat
chimpanzee,ATAD3B,svim_asm.244327,"XM_024355730.3,XM_024355732.3,XM_024355734.3,XM_054661732.2,XM_054661734.2",transcript_ablation,chr1_hap1_hsa1,230457928,230513158,DEL,-55230,1,0.02083333333333333,Non-repeat
chimpanzee,ATAD3B,svim_asm.244332,XM_054661732.2,"splice_donor_variant,splice_donor_5th_base_variant,5_prime_UTR_variant,intron_variant",chr1_hap1_hsa1,230480148,230480814,DEL,-666,10,0.20833333333333337,Non-repeat
chimpanzee,BRD9,Sniffles2.DEL.1F3M11,"XM_063811038.1,XM_063811039.1,XM_063811040.1,XM_063811041.1,XM_063811043.1,XM_063811044.1,XM_063811045.1,XM_063811046.1","stop_lost,feature_truncation,coding_sequence_variant,3_prime_UTR_variant,intron_variant",chr4_hap1_hsa5,1487668,1517232,DEL,-29564,23,0.4791666666666667,Non-repeat
chimpanzee,C4A,svim_asm.389578,NM_001320161.1,transcript_ablation,chr5_hap1_hsa6,37776591,37803054,DEL,-26463,5,0.10416666666666669,Non-repeat
chimpanzee,CCDC77,Sniffles2.DEL.15BCM0,"XM_054663921.2,XM_054663923.2,XM_054663924.2,XM_054663925.2,XM_054663927.2,XM_054663928.2,XM_054663929.2,XM_054663930.2,XM_054663931.2,XM_054663932.2,XM_054663934.2,XM_054663935.2,XM_054663936.2,XM_063785384.1,XM_063785385.1,XM_063785386.1,XM_063785387.1,XM_063785388.1,XM_063785389.1,XM_063785390.1,XM_063785391.1,XM_063785392.1,XM_063785393.1,XM_063785394.1,XR_010147926.1,XR_010147927.1,XR_010147928.1,XR_010147929.1","feature_truncation,coding_sequence_variant,intron_variant,non_coding_transcript_exon_variant",chr10_hap1_hsa12,7505103,7506587,DEL,-1484,1,0.02083333333333333,Non-repeat
chimpanzee,DDT,svim_asm.324776,"XM_063808347.1,XM_063808349.1,XM_063808351.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant,3_prime_UTR_variant",chr23_hap1_hsa22,25884416,25887417,INV,3001,17,0.3541666666666667,NA
chimpanzee,DMBT1,svim_asm.481303,"XM_024346654.3,XM_024346655.3","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,134694979,134701488,DEL,-6509,6,0.125,Non-repeat
chimpanzee,DMBT1,svim_asm.481306,"XM_024346654.3,XM_024346655.3","splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr8_hap1_hsa10,134707941,134708619,DEL,-678,4,0.08333333333333333,Non-repeat
chimpanzee,DPEP2NB,svim_asm.183262,XM_009431081.4,transcript_amplification,chr18_hap1_hsa16,66053067,66068210,DUP,15144,3,0.0625,NA
chimpanzee,GLB1L2,Sniffles2.DEL.271EM16,"XM_009424538.5,XM_009424539.5","feature_truncation,coding_sequence_variant,intron_variant",chr9_hap1_hsa11,136330764,136331681,DEL,-917,11,0.22916666666666663,Non-repeat
chimpanzee,GOLGA3,Sniffles2.DEL.31BCM0,"XM_024348189.3,XM_024348190.3,XM_024348191.3,XM_024348192.3,XM_024348193.3,XM_054663823.2,XM_054663824.2,XM_054663825.2,XM_054663827.2,XM_054663828.2,XM_054663829.2,XM_054663830.2,XM_063785299.1,XM_063785300.1,XM_063785301.1,XR_010147875.1,XR_010147876.1,XR_010147877.1","feature_truncation,coding_sequence_variant,intron_variant,non_coding_transcript_exon_variant",chr10_hap1_hsa12,139696467,139697813,DEL,-1346,1,0.02083333333333333,Non-repeat
chimpanzee,GSTM1,svim_asm.236243,"NM_001367585.1,XM_063803943.1",transcript_ablation,chr1_hap1_hsa1,121498614,121517101,DEL,-18487,18,0.375,Non-repeat
chimpanzee,H3Y2,svim_asm.371131,XM_024356552.3,transcript_ablation,chr4_hap1_hsa5,18544210,18627696,DEL,-83486,1,0.02083333333333333,Non-repeat
chimpanzee,HBA2,svim_asm.173945,NM_001042627.1,transcript_ablation,chr18_hap1_hsa16,2502414,2510016,DEL,-7602,6,0.125,Non-repeat
chimpanzee,HBA2,svim_asm.173946,NM_001042627.1,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,3_prime_UTR_variant,intron_variant",chr18_hap1_hsa16,2505161,2508963,DEL,-3802,15,0.3125,Non-repeat
chimpanzee,HNRNPCL1,svim_asm.241815,XM_054677975.2,transcript_ablation,chr1_hap1_hsa1,218987415,219062192,DEL,-74777,1,0.02083333333333333,Non-repeat
chimpanzee,HNRNPCL1,svim_asm.241816,XM_054677975.2,transcript_ablation,chr1_hap1_hsa1,218991317,219070231,DEL,-78914,3,0.0625,Non-repeat
chimpanzee,HNRNPCL1,svim_asm.241852,XM_054677975.2,"stop_gained,frameshift_variant",chr1_hap1_hsa1,219059602,219059602,INS,38129,5,0.10416666666666669,Non-repeat
chimpanzee,KIR2DL1,svim_asm.258766,XM_063800833.1,transcript_ablation,chr20_hap1_hsa19,57562258,57609825,DEL,-47567,1,0.02083333333333333,Non-repeat
chimpanzee,KIR2DL1,svim_asm.258772,XM_063800833.1,transcript_ablation,chr20_hap1_hsa19,57563685,57579548,DEL,-15863,1,0.02083333333333333,Non-repeat
chimpanzee,LILRA6,Sniffles2.DEL.1BA1MB,"NM_001009056.1,XR_010153461.1,XR_010153462.1","feature_truncation,3_prime_UTR_variant,non_coding_transcript_exon_variant,intron_variant",chr20_hap1_hsa19,57058366,57058691,DEL,-325,5,0.10416666666666669,Non-repeat
chimpanzee,LPA,svim_asm.398732,"XM_054686967.2,XM_054686968.2,XM_054686969.2,XM_063813639.1,XM_063813640.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr5_hap1_hsa6,172700256,172722481,DEL,-22225,1,0.02083333333333333,Non-repeat
chimpanzee,LPA,svim_asm.398733,"XM_054686967.2,XM_054686968.2,XM_054686969.2,XM_063813639.1,XM_063813640.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr5_hap1_hsa6,172700256,172716924,DEL,-16668,2,0.04166666666666666,Non-repeat
chimpanzee,LPA,svim_asm.398734,"XM_054686967.2,XM_054686968.2,XM_054686969.2,XM_063813639.1,XM_063813640.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr5_hap1_hsa6,172712240,172717793,DEL,-5553,2,0.04166666666666666,Non-repeat
chimpanzee,LPA,svim_asm.398736,"XM_054686967.2,XM_054686968.2,XM_054686969.2,XM_063813639.1,XM_063813640.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant,5_prime_UTR_variant",chr5_hap1_hsa6,172724069,172746248,DEL,-22179,1,0.02083333333333333,Non-repeat
chimpanzee,LPA,svim_asm.398738,"XM_054686967.2,XM_054686968.2,XM_054686969.2,XM_063813639.1,XM_063813640.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant,5_prime_UTR_variant",chr5_hap1_hsa6,172729087,172745720,DEL,-16633,3,0.0625,Non-repeat
chimpanzee,LPA,svim_asm.398739,"XM_054686967.2,XM_054686968.2,XM_054686969.2,XM_063813639.1,XM_063813640.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant,5_prime_UTR_variant",chr5_hap1_hsa6,172731229,172742327,DEL,-11098,3,0.0625,Non-repeat
chimpanzee,LPA,svim_asm.398740,"XM_054686967.2,XM_054686968.2,XM_054686969.2,XM_063813639.1,XM_063813640.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant,5_prime_UTR_variant",chr5_hap1_hsa6,172736782,172742327,DEL,-5545,4,0.08333333333333333,Non-repeat
chimpanzee,MGAM,svim_asm.428584,"XM_016958280.4,XM_016958281.4,XM_063815698.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr6_hap1_hsa7,157409962,157438949,DEL,-28987,2,0.04166666666666666,Non-repeat
chimpanzee,MPP7,svim_asm.474385,"XM_054660884.2,XM_054660887.2,XM_054660888.2,XM_054660891.2,XM_054660892.2,XM_054660893.2,XM_054660894.2,XM_054660895.2,XM_054660896.2,XM_054660899.2,XM_054660900.2,XM_063781528.1,XM_063781529.1,XM_063781530.1","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,5_prime_UTR_variant,intron_variant",chr8_hap1_hsa10,41273497,41275923,DEL,-2426,1,0.02083333333333333,Non-repeat
chimpanzee,MRGPRX1,svim_asm.492428,XM_001173536.6,transcript_ablation,chr9_hap1_hsa11,22956095,22978249,DEL,-22154,1,0.02083333333333333,Non-repeat
chimpanzee,MUC16,svim_asm.251317,"XM_054672882.2,XM_054672883.2","splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr20_hap1_hsa19,11665231,11668379,DEL,-3148,10,0.20833333333333337,Non-repeat
chimpanzee,MUC19,svim_asm.9029,XM_063785772.1,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr10_hap1_hsa12,55354300,55355841,DEL,-1541,2,0.04166666666666666,Non-repeat
chimpanzee,MUC4,Sniffles2.DEL.2C04MF,"XM_054682433.1,XM_063806455.1","feature_truncation,coding_sequence_variant,intron_variant",chr2_hap1_hsa3,198961861,198963810,DEL,-1949,1,0.02083333333333333,Non-repeat
chimpanzee,MUC5AC,Sniffles2.DUP.EE5M16,XM_063783583.1,"feature_elongation,coding_sequence_variant",chr9_hap1_hsa11,5431742,5432859,DUP,1117,16,0.3333333333333333,NA
chimpanzee,MUC5AC,Sniffles2.INS.EA6M16,XM_063783583.1,"feature_elongation,coding_sequence_variant",chr9_hap1_hsa11,5432554,5432554,INS,1109,1,0.02083333333333333,Non-repeat
chimpanzee,NAT8,svim_asm.55313,XM_001151030.8,transcript_ablation,chr12_hap1_hsa2a,49040889,49100929,DEL,-60040,3,0.0625,Non-repeat
chimpanzee,PCDHGA1,svim_asm.380440,NM_001082555.3,"splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr4_hap1_hsa5,139054527,139062829,DEL,-8302,1,0.02083333333333333,Non-repeat
chimpanzee,POTEA,svim_asm.444449,XM_001140309.6,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,intron_variant",chr7_hap1_hsa8,51607580,51620713,DEL,-13133,6,0.125,Non-repeat
chimpanzee,PRAMEF7,svim_asm.241815,XM_063789277.1,transcript_ablation,chr1_hap1_hsa1,218987415,219062192,DEL,-74777,1,0.02083333333333333,Non-repeat
chimpanzee,PRAMEF7,svim_asm.241816,XM_063789277.1,transcript_ablation,chr1_hap1_hsa1,218991317,219070231,DEL,-78914,3,0.0625,Non-repeat
chimpanzee,PRAMEF8,svim_asm.241432,XM_054679576.1,transcript_ablation,chr1_hap1_hsa1,217885509,217964856,DEL,-79347,2,0.04166666666666666,Non-repeat
chimpanzee,PRAMEF8,svim_asm.241439,XM_054679576.1,transcript_ablation,chr1_hap1_hsa1,217910349,217996115,DEL,-85766,1,0.02083333333333333,Non-repeat
chimpanzee,PRAMEF8,svim_asm.241440,XM_054679576.1,transcript_ablation,chr1_hap1_hsa1,217910552,217996318,DEL,-85766,1,0.02083333333333333,Non-repeat
chimpanzee,PRAMEF8,svim_asm.241441,XM_054679576.1,transcript_ablation,chr1_hap1_hsa1,217911601,217997371,DEL,-85770,7,0.14583333333333334,Non-repeat
chimpanzee,PSG4,svim_asm.257572,XM_063800762.1,"splice_acceptor_variant,coding_sequence_variant,3_prime_UTR_variant,intron_variant",chr20_hap1_hsa19,46123588,46142732,DEL,-19144,5,0.10416666666666669,Non-repeat
chimpanzee,SCGB2B2,svim_asm.256941,XM_009435339.4,"splice_acceptor_variant,splice_donor_variant,splice_donor_5th_base_variant,coding_sequence_variant,5_prime_UTR_variant,intron_variant",chr20_hap1_hsa19,37728236,37731442,DEL,-3206,1,0.02083333333333333,Non-repeat
chimpanzee,SCNN1D,Sniffles2.DEL.3567MA,"NM_001009072.1,XM_054679254.2,XM_054679331.2,XM_054679417.2,XM_054679456.2,XM_063811771.1,XM_063811815.1","stop_lost,feature_truncation,coding_sequence_variant,3_prime_UTR_variant,intron_variant",chr1_hap1_hsa1,230683957,230690891,DEL,-6934,2,0.04166666666666666,Non-repeat
