genes,descriptions,num_populations,is_shared,EUR,SAS,EAS,AMR,AFR
HLA-DRB2,,2,Yes,11.976148598903729,NA,NA,2.2395661295611657,NA
LOC105378305,uncharacterized LOC105378305,2,Yes,11.491968342943066,9.468601499532724,NA,NA,NA
LDLRAP1,low density lipoprotein receptor adaptor protein 1,2,Yes,8.61331112343633,11.371561727954552,NA,NA,NA
LOC101927967,uncharacterized LOC101927967,2,Yes,11.337365240549437,7.763370984841775,NA,NA,NA
CEP290,centrosomal protein 290,2,Yes,9.471908421829138,11.036875160028623,NA,NA,NA
RBMS3,RNA binding motif single stranded interacting protein 3,2,Yes,NA,10.88961190749474,NA,NA,2.013052175360622
TSSC2,,2,Yes,NA,10.832901514396903,NA,2.351218699937758,NA
MGAT4A,alpha-1%2C3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A,2,Yes,NA,10.763221571744582,NA,NA,1.5314698134171485
LOC100422352,,2,Yes,NA,10.32746838317975,NA,2.3518196707712584,NA
OR1E3,,2,Yes,10.079481216660222,7.0725526863285975,NA,NA,NA
UVRAG,UV radiation resistance associated,2,Yes,10.056681468430927,NA,3.256319551857737,NA,NA
ELMO1,engulfment and cell motility 1,2,Yes,NA,9.747026211302453,NA,2.512829718296706,NA
SORD,sorbitol dehydrogenase,2,Yes,NA,9.743003179613067,NA,2.556098902465486,NA
RGS7,regulator of G protein signaling 7,2,Yes,9.667554520350354,6.811462661906938,NA,NA,NA
L3MBTL4,L3MBTL histone methyl-lysine binding protein 4,2,Yes,9.574753803259828,NA,NA,2.783259571328576,NA
TMTC3,transmembrane O-mannosyltransferase targeting cadherins 3,2,Yes,7.584076028911839,8.858208313885912,NA,NA,NA
CUX2,cut like homeobox 2,2,Yes,8.413671984876718,NA,NA,8.806945273434746,NA
DOK5,docking protein 5,2,Yes,8.703141646680622,6.98529667032031,NA,NA,NA
LGSN,lengsin%2C lens protein with glutamine synthetase domain,2,Yes,NA,8.54749766658485,NA,2.634824874181154,NA
CDH8,cadherin 8,2,Yes,NA,8.532176868558253,NA,2.3138207149641485,NA
LOC105373611,uncharacterized LOC105373611,2,Yes,8.452908497565854,NA,NA,2.4007094857241986,NA
ARID1B,AT-rich interaction domain 1B,2,Yes,NA,8.136993601086399,NA,2.249610017772153,NA
GPC6,glypican 6,2,Yes,NA,8.13192011723798,NA,3.8492730291677817,NA
ANK3,ankyrin 3,2,Yes,8.123491468340879,7.179034049723724,NA,NA,NA
STXBP5-AS1,STXBP5 antisense RNA 1,2,Yes,NA,8.037553966370385,NA,2.373164692775833,NA
CALCRL-AS1,CALCRL and TFPI antisense RNA 1,2,Yes,NA,7.437173822515772,NA,NA,1.527661823976224
DTNA,dystrobrevin alpha,2,Yes,7.304904990028781,NA,NA,2.2880130600725304,NA
RYR1,ryanodine receptor 1,2,Yes,6.937219480299624,NA,7.29036203569971,NA,NA
OSBPL1A,oxysterol binding protein like 1A,2,Yes,7.2616729595693075,NA,NA,NA,1.4334805359716585
ABCA17P,,2,Yes,7.086441447214892,NA,3.669617459281424,NA,NA
KCNQ5,potassium voltage-gated channel subfamily Q member 5,2,Yes,7.044568328868967,NA,NA,NA,1.5769709326541237
WNT8B,Wnt family member 8B,2,Yes,7.044112830325044,NA,NA,6.712853114636294,NA
OCA2,OCA2 melanosomal transmembrane protein,2,Yes,NA,7.001215502590768,NA,NA,1.480876283125912
SEPTIN9,septin 9,2,Yes,6.989667709404879,NA,NA,2.481064810512855,NA
TDRD1,tudor domain containing 1,2,Yes,NA,6.980745993073905,NA,NA,1.828961120045529
LRP1B,LDL receptor related protein 1B,2,Yes,6.934506353036025,NA,3.3595363949713986,NA,NA
PACS2,phosphofurin acidic cluster sorting protein 2,2,Yes,NA,6.830824064946955,NA,2.8181188932514964,NA
MOSMO,modulator of smoothened,2,Yes,NA,NA,5.603708579438987,NA,1.4373647956491358
PACSIN1,protein kinase C and casein kinase substrate in neurons 1,2,Yes,NA,NA,NA,5.0174251091331366,1.865890958526749
SLC26A7,solute carrier family 26 member 7,2,Yes,NA,NA,NA,4.307558975595149,1.4010640599035602
PTPRK,protein tyrosine phosphatase receptor type K,2,Yes,NA,NA,NA,3.82651634741153,1.8125537742658149
VXN,vexin,2,Yes,NA,NA,3.5229860323902544,2.6835949795395093,NA
LOC105379535,uncharacterized LOC105379535,2,Yes,NA,NA,NA,3.488416476599002,1.7362200088959137
PTPRT,protein tyrosine phosphatase receptor type T,2,Yes,NA,NA,NA,3.444920501722453,1.482080463848246
ANKRD26P1,,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
C16orf87,chromosome 16 open reading frame 87,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
CKBP1,,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
DNAJA2,DnaJ heat shock protein family (Hsp40) member A2,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
DNAJA2-DT,DNAJA2 divergent transcript,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
GPT2,glutamic--pyruvic transaminase 2,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
LOC100130180,,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
LOC100421259,,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
LOC441768,,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
MYLK3,myosin light chain kinase 3,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
ORC6,origin recognition complex subunit 6,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
RAB43P1,,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
SHCBP1,SHC binding and spindle associated 1,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
VPS35,VPS35 retromer complex component,2,Yes,NA,NA,3.4285436673053704,NA,1.3994585774556931
DSCAM,DS cell adhesion molecule,2,Yes,NA,NA,NA,3.397929288146578,1.392542707769039
KAZN,kazrin%2C periplakin interacting protein,2,Yes,NA,NA,NA,3.1173085679350145,1.483950283996306
ADAM22,ADAM metallopeptidase domain 22,2,Yes,NA,NA,NA,3.0289338785163062,1.5287306065826418
MYO3A,myosin IIIA,2,Yes,NA,NA,NA,2.675562507387364,1.4558462811562585
LOC105377492,uncharacterized LOC105377492,2,Yes,NA,NA,NA,2.514105605412843,1.4435727630862518
OR11A1,olfactory receptor family 11 subfamily A member 1,2,Yes,NA,NA,NA,2.461338601548998,1.3987589621666503
AGAP1,ArfGAP with GTPase domain%2C ankyrin repeat and PH domain 1,2,Yes,NA,NA,NA,2.4603873883043583,1.3906446210249097
CDYL,chromodomain Y like,2,Yes,NA,NA,NA,2.428390928051317,1.8479131317384767
IGF1R,insulin like growth factor 1 receptor,2,Yes,NA,NA,NA,2.391514643695712,1.3901402459415044
CSMD2,CUB and Sushi multiple domains 2,2,Yes,NA,NA,NA,2.335037365045872,1.518170889642719
LIPH,lipase H,2,Yes,NA,NA,NA,2.277169627466521,1.5310287021966196
LOC124902170,uncharacterized LOC124902170,2,Yes,NA,NA,NA,2.2767876815653687,1.822290253816764
LMBR1,limb development membrane protein 1,2,Yes,NA,NA,NA,2.2514785412628977,1.4004688349887409
SINHCAFP2,,1,No,NA,47.14244873885335,NA,NA,NA
LOC124908434,ankyrin repeat domain-containing protein 36B-like,1,No,NA,38.3254340621941,NA,NA,NA
HLA-DRB3,major histocompatibility complex%2C class II%2C DR beta 3,1,No,29.61842011741476,NA,NA,NA,NA
LINC01140,long intergenic non-protein coding RNA 1140,1,No,24.477183445713653,NA,NA,NA,NA
GUSBP15,,1,No,24.37083601060943,NA,NA,NA,NA
MAMDC2,MAM domain containing 2,1,No,NA,23.307768002881065,NA,NA,NA
ZNF385B,zinc finger protein 385B,1,No,NA,22.219282334265788,NA,NA,NA
MRAP2,melanocortin 2 receptor accessory protein 2,1,No,22.183467362219325,NA,NA,NA,NA
LOC105373262,uncharacterized LOC105373262,1,No,NA,21.63868743590515,NA,NA,NA
SNX9,sorting nexin 9,1,No,20.666917126283,NA,NA,NA,NA
LMCD1,LIM and cysteine rich domains 1,1,No,19.771108720499697,NA,NA,NA,NA
LOC105369302,uncharacterized LOC105369302,1,No,NA,18.219598003083536,NA,NA,NA
ADH7,alcohol dehydrogenase 7 (class IV)%2C mu or sigma polypeptide,1,No,NA,17.92976244279183,NA,NA,NA
APOBEC2,apolipoprotein B mRNA editing enzyme catalytic subunit 2,1,No,NA,17.804840443343206,NA,NA,NA
RPL34-DT,RPL34 divergent transcript,1,No,17.375787275924292,NA,NA,NA,NA
CD5,CD5 molecule,1,No,NA,17.374214347935837,NA,NA,NA
OARD1,O-acyl-ADP-ribose deacylase 1,1,No,NA,17.021271167118186,NA,NA,NA
RAB27B,RAB27B%2C member RAS oncogene family,1,No,NA,16.704828841004865,NA,NA,NA
CDH9,cadherin 9,1,No,16.64948831054486,NA,NA,NA,NA
POLR2A,RNA polymerase II subunit A,1,No,NA,16.61498980916371,NA,NA,NA
MAPK10,mitogen-activated protein kinase 10,1,No,16.26156088622141,NA,NA,NA,NA
RAD51B,RAD51 paralog B,1,No,NA,16.244495164104002,NA,NA,NA
PARD3B,par-3 family cell polarity regulator beta,1,No,NA,16.239944744935023,NA,NA,NA
NFASC,neurofascin,1,No,NA,16.23812371661028,NA,NA,NA
LOC105374618,uncharacterized LOC105374618,1,No,16.12158970112778,NA,NA,NA,NA
LOC105372926,uncharacterized LOC105372926,1,No,NA,16.076018786002606,NA,NA,NA
LBH,LBH regulator of WNT signaling pathway,1,No,NA,16.032453125933554,NA,NA,NA
VPS37C,VPS37C subunit of ESCRT-I,1,No,NA,15.92769945923219,NA,NA,NA
HLA-DRB1,major histocompatibility complex%2C class II%2C DR beta 1,1,No,15.85289188135196,NA,NA,NA,NA
MCC,MCC regulator of WNT signaling pathway,1,No,15.5087406493895,NA,NA,NA,NA
ALDH4A1,aldehyde dehydrogenase 4 family member A1,1,No,15.317039996162634,NA,NA,NA,NA
LOC107984974,,1,No,14.908458195595092,NA,NA,NA,NA
LOC107986886,uncharacterized LOC107986886,1,No,14.88350532089076,NA,NA,NA,NA
LOC646030,,1,No,14.874623152039936,NA,NA,NA,NA
LOC124902260,uncharacterized LOC124902260,1,No,NA,14.52636730919183,NA,NA,NA
LINC00922,long intergenic non-protein coding RNA 922,1,No,14.344612889676508,NA,NA,NA,NA
IQCJ-SCHIP1,IQCJ-SCHIP1 readthrough,1,No,NA,14.270651566076433,NA,NA,NA
LOC107986167,uncharacterized LOC107986167,1,No,14.253905851072076,NA,NA,NA,NA
ZFP62,ZFP62 zinc finger protein,1,No,NA,14.19746706879492,NA,NA,NA
PATJ,PATJ crumbs cell polarity complex component,1,No,NA,NA,14.102910538080986,NA,NA
SCN2B,sodium voltage-gated channel beta subunit 2,1,No,NA,14.059760460572017,NA,NA,NA
MIR99AHG,mir-99a-let-7c cluster host gene,1,No,NA,14.034425305352356,NA,NA,NA
ABCC11,ATP binding cassette subfamily C member 11,1,No,13.95892049638078,NA,NA,NA,NA
SV2C,synaptic vesicle glycoprotein 2C,1,No,13.519800587269293,NA,NA,NA,NA
LOC107985511,uncharacterized LOC107985511,1,No,NA,13.345124999285469,NA,NA,NA
SOX2-OT,SOX2 overlapping transcript,1,No,NA,13.304625666097875,NA,NA,NA
IPO7,importin 7,1,No,13.2092663146699,NA,NA,NA,NA
PKDREJ,polycystin family receptor for egg jelly,1,No,NA,13.085118827751462,NA,NA,NA
ZBTB4,zinc finger and BTB domain containing 4,1,No,NA,13.045303420831337,NA,NA,NA
WSCD2,WSC domain containing 2,1,No,12.939207560740032,NA,NA,NA,NA
COL4A4,collagen type IV alpha 4 chain,1,No,12.909547449692052,NA,NA,NA,NA
TRMU,tRNA mitochondrial 2-thiouridylase,1,No,NA,12.85302545896197,NA,NA,NA
LOC105374023,uncharacterized LOC105374023,1,No,12.739526291278736,NA,NA,NA,NA
SMC5-DT,SMC5 divergent transcript,1,No,NA,12.62180169547846,NA,NA,NA
SLC66A2,solute carrier family 66 member 2,1,No,NA,12.58893056043539,NA,NA,NA
LINC00423,long intergenic non-protein coding RNA 423,1,No,12.451805610605652,NA,NA,NA,NA
LINC02046,long intergenic non-protein coding RNA 2046,1,No,12.397895513575246,NA,NA,NA,NA
LOC124902678,uncharacterized LOC124902678,1,No,NA,12.209990116161451,NA,NA,NA
LINC02598,long intergenic non-protein coding RNA 2598,1,No,12.112785232291552,NA,NA,NA,NA
SDK2,sidekick cell adhesion molecule 2,1,No,12.077037277500342,NA,NA,NA,NA
TMEM65,transmembrane protein 65,1,No,NA,11.995333888058456,NA,NA,NA
KIAA1671,KIAA1671,1,No,NA,11.983226406123098,NA,NA,NA
LINC01847,long intergenic non-protein coding RNA 1847,1,No,NA,11.964192487986509,NA,NA,NA
BTBD8,BTB domain containing 8,1,No,11.747873844399631,NA,NA,NA,NA
ARFGEF3,ARFGEF family member 3,1,No,NA,11.734258293762275,NA,NA,NA
SMC5,structural maintenance of chromosomes 5,1,No,NA,11.70845216205086,NA,NA,NA
LINC01789,long intergenic non-protein coding RNA 1789,1,No,NA,11.653810707154827,NA,NA,NA
LOC105370777,uncharacterized LOC105370777,1,No,NA,11.639647348927612,NA,NA,NA
ASAP2,ArfGAP with SH3 domain%2C ankyrin repeat and PH domain 2,1,No,11.634476930085944,NA,NA,NA,NA
MARK4,microtubule affinity regulating kinase 4,1,No,NA,11.489144053341343,NA,NA,NA
KYAT3,kynurenine aminotransferase 3,1,No,NA,11.468408883654131,NA,NA,NA
IMMP2L,inner mitochondrial membrane peptidase subunit 2,1,No,11.433837764752864,NA,NA,NA,NA
CEP162,centrosomal protein 162,1,No,11.42472791851223,NA,NA,NA,NA
TTC38,tetratricopeptide repeat domain 38,1,No,NA,11.412765295668182,NA,NA,NA
GTSE1,G2 and S-phase expressed 1,1,No,NA,11.33675797850567,NA,NA,NA
XXYLT1,xyloside xylosyltransferase 1,1,No,NA,11.27747438715771,NA,NA,NA
LOC105370739,uncharacterized LOC105370739,1,No,NA,11.250171844948996,NA,NA,NA
LOC101927066,uncharacterized LOC101927066,1,No,11.173049063735837,NA,NA,NA,NA
MME,membrane metalloendopeptidase,1,No,NA,11.151357092225687,NA,NA,NA
INVS,inversin,1,No,11.054314805231998,NA,NA,NA,NA
CELSR1,cadherin EGF LAG seven-pass G-type receptor 1,1,No,NA,10.938195542873126,NA,NA,NA
LOC101928516,uncharacterized LOC101928516,1,No,10.931330939489651,NA,NA,NA,NA
LOC101927711,uncharacterized LOC101927711,1,No,NA,10.927745897633551,NA,NA,NA
RUNX1T1,RUNX1 partner transcriptional co-repressor 1,1,No,NA,10.919774659163677,NA,NA,NA
PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,1,No,NA,10.783899174046338,NA,NA,NA
CHODL,chondrolectin,1,No,10.747953317757672,NA,NA,NA,NA
PTPRM,protein tyrosine phosphatase receptor type M,1,No,10.738695624901329,NA,NA,NA,NA
GPA33,glycoprotein A33,1,No,NA,10.706578803153237,NA,NA,NA
LINC02296,long intergenic non-protein coding RNA 2296,1,No,10.62286483901896,NA,NA,NA,NA
NEBL,nebulette,1,No,NA,10.552549189970616,NA,NA,NA
ACTR3B,actin related protein 3B,1,No,NA,10.526006578769724,NA,NA,NA
LOC101927157,uncharacterized LOC101927157,1,No,NA,10.472608338636029,NA,NA,NA
GPHN,gephyrin,1,No,10.389013813823087,NA,NA,NA,NA
NAA40,N-alpha-acetyltransferase 40%2C NatD catalytic subunit,1,No,10.38287564681664,NA,NA,NA,NA
TMEM117,transmembrane protein 117,1,No,10.36684389961383,NA,NA,NA,NA
BDH1,3-hydroxybutyrate dehydrogenase 1,1,No,NA,10.361179277443982,NA,NA,NA
SAXO4,stabilizer of axonemal microtubules 4,1,No,NA,10.344910452288142,NA,NA,NA
ATRN,attractin,1,No,10.343440722044988,NA,NA,NA,NA
GTSE1-DT,GTSE1 divergent transcript,1,No,NA,10.326069261046742,NA,NA,NA
SYNGR1,synaptogyrin 1,1,No,10.321937831835248,NA,NA,NA,NA
LOC124902439,uncharacterized LOC124902439,1,No,10.30427372413756,NA,NA,NA,NA
PHACTR1,phosphatase and actin regulator 1,1,No,NA,10.3039109115389,NA,NA,NA
XRN2,5'-3' exoribonuclease 2,1,No,10.274303202120356,NA,NA,NA,NA
REC114,REC114 meiotic recombination protein,1,No,NA,10.178696653891478,NA,NA,NA
NAALADL2,N-acetylated alpha-linked acidic dipeptidase like 2,1,No,10.145739953869024,NA,NA,NA,NA
LOC107984979,uncharacterized LOC107984979,1,No,10.142123179092223,NA,NA,NA,NA
PIWIL4-AS1,PIWIL4 antisense RNA 1,1,No,NA,10.089360174621266,NA,NA,NA
DNAH5,dynein axonemal heavy chain 5,1,No,NA,10.083989496553064,NA,NA,NA
RGS5,regulator of G protein signaling 5,1,No,10.076436665680324,NA,NA,NA,NA
LOC107985508,uncharacterized LOC107985508,1,No,NA,10.047556730926445,NA,NA,NA
PPME1,protein phosphatase methylesterase 1,1,No,NA,10.032397156740055,NA,NA,NA
PLCL2,phospholipase C like 2,1,No,NA,10.017520842839264,NA,NA,NA
LOC124900167,uncharacterized LOC124900167,1,No,9.99529187770974,NA,NA,NA,NA
LOC107984572,uncharacterized LOC107984572,1,No,NA,9.987876353319512,NA,NA,NA
LINC01780,long intergenic non-protein coding RNA 1780,1,No,9.981810028925356,NA,NA,NA,NA
GRID2,glutamate ionotropic receptor delta type subunit 2,1,No,NA,9.958567823697232,NA,NA,NA
GULP1,GULP PTB domain containing engulfment adaptor 1,1,No,NA,9.943156977356638,NA,NA,NA
LINC00871,long intergenic non-protein coding RNA 871,1,No,NA,9.861473143705032,NA,NA,NA
LINC02208,long intergenic non-protein coding RNA 2208,1,No,9.792007909404326,NA,NA,NA,NA
IGL,immunoglobulin lambda locus,1,No,NA,9.750563004097671,NA,NA,NA
LOC107984257,uncharacterized LOC107984257,1,No,9.703177827762197,NA,NA,NA,NA
LOC105371114,uncharacterized LOC105371114,1,No,NA,9.661076873136896,NA,NA,NA
KRBA1,KRAB-A domain containing 1,1,No,9.634468027182583,NA,NA,NA,NA
LOC729291,uncharacterized LOC729291,1,No,9.600047333505064,NA,NA,NA,NA
TBC1D22A,TBC1 domain family member 22A,1,No,9.56255781036845,NA,NA,NA,NA
SLC4A4,solute carrier family 4 member 4,1,No,NA,9.550500772554065,NA,NA,NA
RMEL3,enriched in melanoma 3,1,No,9.48543140185566,NA,NA,NA,NA
CLEC12A,C-type lectin domain family 12 member A,1,No,NA,NA,9.45783354973644,NA,NA
NRCAM,neuronal cell adhesion molecule,1,No,9.457805027137097,NA,NA,NA,NA
HLA-DQA1,major histocompatibility complex%2C class II%2C DQ alpha 1,1,No,9.43773823833832,NA,NA,NA,NA
ABCC12,ATP binding cassette subfamily C member 12,1,No,9.423484083377364,NA,NA,NA,NA
ANKRD30BL,ankyrin repeat domain 30B like,1,No,NA,9.423338701681033,NA,NA,NA
PEX5L,peroxisomal biogenesis factor 5 like,1,No,NA,9.39497157485355,NA,NA,NA
LOC105377300,uncharacterized LOC105377300,1,No,NA,9.394387214669417,NA,NA,NA
LINC03068,long intergenic non-protein coding RNA 3068,1,No,9.35082299219555,NA,NA,NA,NA
LRP5,LDL receptor related protein 5,1,No,9.340618099448337,NA,NA,NA,NA
RNU6-1179P,,1,No,NA,9.24752993705957,NA,NA,NA
TET1,tet methylcytosine dioxygenase 1,1,No,NA,9.211631239970966,NA,NA,NA
SLC25A21,solute carrier family 25 member 21,1,No,9.210546204505548,NA,NA,NA,NA
RAI14,retinoic acid induced 14,1,No,NA,9.192669825924416,NA,NA,NA
LOC107986066,uncharacterized LOC107986066,1,No,9.153452955451291,NA,NA,NA,NA
GRHL1,grainyhead like transcription factor 1,1,No,9.147855797085649,NA,NA,NA,NA
LOC105378310,uncharacterized LOC105378310,1,No,9.127203166252627,NA,NA,NA,NA
IKBKE,inhibitor of nuclear factor kappa B kinase subunit epsilon,1,No,NA,9.109096767839752,NA,NA,NA
HDAC9,histone deacetylase 9,1,No,NA,9.083928563410876,NA,NA,NA
LOC105372695,uncharacterized LOC105372695,1,No,9.081451055077894,NA,NA,NA,NA
MAP2,microtubule associated protein 2,1,No,NA,9.057578869052024,NA,NA,NA
DSCAML1,DS cell adhesion molecule like 1,1,No,NA,9.022997255833774,NA,NA,NA
NHSL1,NHS like 1,1,No,9.007774214584847,NA,NA,NA,NA
LOC107984543,uncharacterized LOC107984543,1,No,9.006219580496392,NA,NA,NA,NA
PTAFR,platelet activating factor receptor,1,No,8.98194312440095,NA,NA,NA,NA
ZNRF2,zinc and ring finger 2,1,No,8.939915737640721,NA,NA,NA,NA
ALDH1A3,aldehyde dehydrogenase 1 family member A3,1,No,NA,8.922178806692559,NA,NA,NA
NUP85,nucleoporin 85,1,No,NA,8.87307707969433,NA,NA,NA
CCDC63,coiled-coil domain containing 63,1,No,8.865666711602293,NA,NA,NA,NA
LOC105372085,uncharacterized LOC105372085,1,No,8.855165654587775,NA,NA,NA,NA
STYXL2,serine/threonine/tyrosine interacting like 2,1,No,NA,8.726087301096022,NA,NA,NA
WDR17,WD repeat domain 17,1,No,NA,8.71528934543422,NA,NA,NA
HLA-DPA1,major histocompatibility complex%2C class II%2C DP alpha 1,1,No,8.712989537144033,NA,NA,NA,NA
ARHGAP10,Rho GTPase activating protein 10,1,No,NA,8.702488948245154,NA,NA,NA
DUSP3,dual specificity phosphatase 3,1,No,8.697890442171222,NA,NA,NA,NA
PTPRQ,protein tyrosine phosphatase receptor type Q,1,No,8.673628353515936,NA,NA,NA,NA
PIEZO2,piezo type mechanosensitive ion channel component 2,1,No,8.63645568699114,NA,NA,NA,NA
SLC1A7,solute carrier family 1 member 7,1,No,NA,8.634322205088889,NA,NA,NA
CFAP299,cilia and flagella associated protein 299,1,No,8.601744550882445,NA,NA,NA,NA
ATP5MC3,ATP synthase membrane subunit c locus 3,1,No,8.585801632998445,NA,NA,NA,NA
HYDIN2,,1,No,NA,8.576078144635016,NA,NA,NA
LOC105373948,uncharacterized LOC105373948,1,No,NA,8.561374254495846,NA,NA,NA
LOC105370080,uncharacterized LOC105370080,1,No,8.54125611165174,NA,NA,NA,NA
LOC105370919,uncharacterized LOC105370919,1,No,8.533708081491126,NA,NA,NA,NA
SFMBT2,Scm like with four mbt domains 2,1,No,NA,8.492765980549882,NA,NA,NA
LOC124903080,uncharacterized LOC124903080,1,No,8.49137468488153,NA,NA,NA,NA
PCDH15,protocadherin related 15,1,No,8.448106902708025,NA,NA,NA,NA
LOC105375371,uncharacterized LOC105375371,1,No,8.432689494079924,NA,NA,NA,NA
FNIP2,folliculin interacting protein 2,1,No,NA,8.430822280429254,NA,NA,NA
BMAL2,basic helix-loop-helix ARNT like 2,1,No,NA,8.424764930505903,NA,NA,NA
LOC101928391,uncharacterized LOC101928391,1,No,8.395385095495222,NA,NA,NA,NA
TRPM1,transient receptor potential cation channel subfamily M member 1,1,No,NA,8.391624698398276,NA,NA,NA
RCAN2,regulator of calcineurin 2,1,No,NA,NA,8.37297816329938,NA,NA
KCNH8,potassium voltage-gated channel subfamily H member 8,1,No,8.371403906851048,NA,NA,NA,NA
SCOC,short coiled-coil protein,1,No,NA,8.369022388049322,NA,NA,NA
SCARA5,scavenger receptor class A member 5,1,No,NA,8.33508083625038,NA,NA,NA
VRK1,VRK serine/threonine kinase 1,1,No,8.332994702186513,NA,NA,NA,NA
TMEM33,transmembrane protein 33,1,No,8.31741940618947,NA,NA,NA,NA
FGF11,fibroblast growth factor 11,1,No,NA,8.307846510157848,NA,NA,NA
PHF20,PHD finger protein 20,1,No,8.303456327210782,NA,NA,NA,NA
SMIM14-DT,SMIM14 divergent transcript,1,No,8.295859821992295,NA,NA,NA,NA
LINC01822,long intergenic non-protein coding RNA 1822,1,No,NA,8.284190110173684,NA,NA,NA
CRLF3P3,,1,No,8.283853999281344,NA,NA,NA,NA
NDST4,N-deacetylase and N-sulfotransferase 4,1,No,8.275905539064631,NA,NA,NA,NA
IL4R,interleukin 4 receptor,1,No,8.269642593087436,NA,NA,NA,NA
GGA3,golgi associated%2C gamma adaptin ear containing%2C ARF binding protein 3,1,No,NA,8.267245576429394,NA,NA,NA
MAB21L4,mab-21 like 4,1,No,NA,8.227042529647933,NA,NA,NA
OR4D1,olfactory receptor family 4 subfamily D member 1,1,No,8.213057978962249,NA,NA,NA,NA
