genes,descriptions,num_populations,is_shared,EAS,EUR,AFR,SAS,AMR
LOC124905349,uncharacterized LOC124905349,5,Yes,14.158389197491728,12.670635348920092,13.310078989305625,12.41793572096313,14.385921221787564
HLA-C,major histocompatibility complex%2C class I%2C C,5,Yes,12.859683937340005,13.518282698993227,13.433318580160565,13.698426620009236,14.007539302838511
CHMP1A,charged multivesicular body protein 1A,5,Yes,12.29380398319059,13.983031207587192,13.353377537164922,12.8961155400409,12.992138696821515
HCG4P5,,5,Yes,13.92384171525682,11.205846427826543,13.553016191727258,13.44977881124695,13.847285342086789
DOCK1,dedicator of cytokinesis 1,5,Yes,12.917541950218586,13.740120114860986,12.656156065700717,12.321451499608338,11.999129480020367
FOXK2,forkhead box K2,5,Yes,11.662915863820203,12.497399619579518,12.578328329809679,12.435545280963934,12.807802014210642
FRG1-DT,FRG1 divergent transcript,5,Yes,11.316298050008037,9.97412794059883,12.367824463790344,10.385872566307128,11.417163837216876
LOC124903820,uncharacterized LOC124903820,5,Yes,12.123419396996914,11.33653903697936,10.785446831405885,8.054263268612958,8.832485459039843
F11-AS1,F11 antisense RNA 1,5,Yes,10.557161812284065,11.921225637244707,10.843984331069894,10.681545833081033,10.716210712014867
ZNF175,zinc finger protein 175,5,Yes,7.099335337292491,9.372789389186298,9.145474466778424,11.73501489824852,9.62296613198667
HLA-U,,5,Yes,10.259950597620545,11.063342807033251,10.823186273496784,11.66704004797417,11.569615209193158
LOC105373346,uncharacterized LOC105373346,5,Yes,11.066114265953974,11.462890788307854,10.921494841745012,10.901689449579674,10.289538002421208
LOC124906653,,5,Yes,11.136765091803655,10.878914353310712,10.997223820087433,10.587519297728093,11.002813353768557
SSH2,slingshot protein phosphatase 2,5,Yes,6.158439995122258,10.964312468748327,8.197220017311603,11.080146414191907,9.982702903483073
LINC01115,long intergenic non-protein coding RNA 1115,5,Yes,10.422516566939164,10.71673041454634,8.536759711352065,10.99367868397419,9.049518594867353
IGK,immunoglobulin kappa locus,5,Yes,7.546332613599437,10.979211306656122,6.256592406863833,5.366723558505303,5.93849124493851
ANKLE2,ankyrin repeat and LEM domain containing 2,5,Yes,8.616934570939112,10.775611684730928,9.917426544970086,10.008834024208344,9.548787634915344
ATP10A,ATPase phospholipid transporting 10A (putative),5,Yes,10.447726616199933,9.819563858024901,10.744636481063106,10.372309849319432,10.532709626898345
HLA-K,,5,Yes,9.575854041947663,10.44352041673849,9.963487846954616,10.660577459933139,10.268621239478362
SOD2,superoxide dismutase 2,5,Yes,10.438530518668141,10.610470864652578,10.207370877836977,10.601457474051731,10.201580204505843
PRKCA,protein kinase C alpha,5,Yes,8.574713807338656,10.163988082024835,8.045383451329357,10.458112379652546,9.259692392325155
MTCO3P1,,5,Yes,5.912078991607174,7.048246097789238,9.52111158431484,10.197514602878181,10.42020006594288
ILRUN,inflammation and lipid regulator with UBA-like and NBR1-like domains,5,Yes,10.344736221347986,10.206508675148083,9.335718366824116,9.774931875720018,7.184820811499681
SDK1,sidekick cell adhesion molecule 1,5,Yes,9.69174408919546,10.295602940637322,9.166922193343584,10.156831606956741,8.776667370036392
KIR3DL1,killer cell immunoglobulin like receptor%2C three Ig domains and long cytoplasmic tail 1,5,Yes,5.884219191799034,5.170954047144983,5.117888238063235,10.24544052410871,8.447035077055183
PIEZO1,piezo type mechanosensitive ion channel component 1 (Er blood group),5,Yes,8.658808224690164,8.449111557756853,10.227384131832324,9.607612288326791,8.419867745585078
SSU72L5,SSU72 like 5,5,Yes,9.168729961700285,9.993354834754696,10.099287833582494,7.111794280762726,8.941529115012285
CALN1,calneuron 1,5,Yes,9.219741074677788,8.587360457322267,9.630803044580237,9.978671719641913,8.283792581799105
IGH,immunoglobulin heavy locus,5,Yes,7.725186417984797,9.934352466343908,8.08338174331499,7.611561177020554,7.407468362304544
LINC02571,long intergenic non-protein coding RNA 2571,5,Yes,9.275855865304747,8.778425669389863,9.400334932589383,9.801430893756738,9.159625396519212
HCG4P4,,5,Yes,7.3502729996398974,8.47138368283658,9.04645186473856,9.256148678984452,9.737758210618324
HLA-A,major histocompatibility complex%2C class I%2C A,5,Yes,7.976115008379168,9.015823733827284,9.278544714975853,9.586443619275105,9.382691299316278
PCBP3,poly(rC) binding protein 3,5,Yes,9.19809742799319,6.91657154810157,9.57102484481092,9.541751153485109,9.18964889450381
AHNAK2,AHNAK nucleoprotein 2,5,Yes,6.74573310896558,8.084507036571091,8.104018111556387,8.867737467837793,9.457285332672754
PTPRN2,protein tyrosine phosphatase receptor type N2,5,Yes,8.974762528734301,7.828417329051452,9.29907045748224,8.946433282104632,9.422892666731283
MICA-AS1,MICA antisense RNA 1,5,Yes,8.189824528387922,8.549316843248077,8.05357876107342,9.192761811316373,7.399812737348551
LOC105375228,uncharacterized LOC105375228,5,Yes,9.156816067252008,7.053593983925425,7.683121935667896,6.9440532004225215,7.866785230547847
UCKL1,uridine-cytidine kinase 1 like 1,5,Yes,9.143920791912112,8.72775435791034,9.03148076189361,7.18938529669994,8.452252472558968
COL4A1,collagen type IV alpha 1 chain,5,Yes,9.138260521335294,8.34485500245368,9.140614634952723,6.741441591870244,8.683054890249034
USP8P1,,5,Yes,8.866313004978016,8.71564208823956,8.61273609876412,9.132530834214961,8.499496556028715
RPL3P2,,5,Yes,8.966302619720578,7.592592281516669,8.840015615205363,8.983297931908822,9.094319766082792
LMF1,lipase maturation factor 1,5,Yes,6.569063788690884,5.51347019803226,8.061013855522082,9.070495442605678,8.529875823945114
LOC101060145,,5,Yes,8.551886681835134,9.054697037668378,8.343916626499336,6.594708226806611,7.715327091577811
MUC22,mucin 22,5,Yes,7.250584971383232,8.98172952084447,8.727032660443188,9.005751154005551,8.408141461168196
SPIRE2,spire type actin nucleation factor 2,5,Yes,8.972804776947266,8.834866601349823,8.799392003128673,8.919796046052719,8.498076353080133
SGCZ,sarcoglycan zeta,5,Yes,8.924716892588613,7.952312297169691,8.52717910420962,7.3531758935526765,7.704997918403929
OR7M1P,,5,Yes,8.842598141006963,8.904121493601684,8.532579619662593,8.335934950053709,8.052904226833357
DSCAM,DS cell adhesion molecule,5,Yes,6.471964924017132,8.113737578702438,8.233198848260612,8.840250495094779,8.394700137114192
ZDHHC20P2,,5,Yes,6.190899011978769,7.755922859875223,7.752065417491735,8.698594036059042,7.942190315983696
HCP5B,HLA complex P5B,5,Yes,7.606758298327549,8.692127488663212,8.01144243028741,5.71791711263524,7.766137682703905
LOC442132,,5,Yes,8.666965944000971,6.246524064504678,7.2384773801430455,8.619415529057537,7.6164820828720075
CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,5,Yes,8.648524901412996,7.2993518605878895,8.51509826947127,7.02865731266294,8.029757447660055
HLA-W,,5,Yes,8.206305045766577,7.025242024732478,8.241329304675226,7.944276442489593,8.500736560189342
CYP21A2,cytochrome P450 family 21 subfamily A member 2,5,Yes,5.697778373973953,8.485032248583959,6.746108101406851,7.785128602692656,7.3996647969218285
CCDC6,coiled-coil domain containing 6,5,Yes,7.449882860551397,8.184390651719477,6.509707432420074,8.42404530049673,6.115353750535657
LOC105370733,uncharacterized LOC105370733,5,Yes,7.399585802241183,6.95402429307135,7.077213859507179,8.341972578470491,7.204564641838632
RNU6-283P,,5,Yes,7.998313322565385,7.853029637736368,7.855179756715247,8.317704072539618,7.954611722198575
CIP2A,cellular inhibitor of PP2A,5,Yes,8.245505768624062,4.509765768212247,7.844305172812568,7.461421527483791,7.316854916732819
LOC124901300,uncharacterized LOC124901300,5,Yes,7.141127775979421,7.314075909086283,6.922624076596032,8.236822744225982,6.273639652360781
FGFR3P1,,5,Yes,7.227305530503098,7.4355633642117835,7.453357561610229,8.092320797308089,7.450615633963011
MICA,MHC class I polypeptide-related sequence A,5,Yes,7.979643691481725,7.891576201750272,7.891307728062136,7.358167203771107,6.1412679419634815
FAM66A,family with sequence similarity 66 member A,5,Yes,5.018792511465408,6.594277387491285,5.255920248875184,7.928962015855569,6.0033064193494425
ETFB,electron transfer flavoprotein subunit beta,5,Yes,7.875648180079952,6.237794106207723,6.750285633449472,7.310533655745102,7.026849947405244
HLA-DPB1,major histocompatibility complex%2C class II%2C DP beta 1,5,Yes,7.852090865785913,6.27792036824714,7.389173269956074,7.287493143289018,7.830279216588866
HCG4,HLA complex group 4,5,Yes,7.849941029328073,7.804667878940443,7.148028480706409,4.518613261975833,7.116175677937851
GAS6-AS1,GAS6 antisense RNA 1,5,Yes,7.845228505657269,7.389067519599426,7.694798494185132,6.3417100227317516,6.141980561023519
HCG4P7,,5,Yes,7.095146256640542,7.80627492991888,6.825879028662836,5.663038320186443,6.743976502602789
HCG4B,HLA complex group 4B,5,Yes,7.357138588221624,7.743410639703514,7.453899648458646,7.658490004810006,7.545829201124878
EXD3,exonuclease 3'-5' domain containing 3,5,Yes,5.8292528724915496,7.733303607774304,6.7221173753889545,7.409819040454896,6.2275111316975345
LOC101930028,uncharacterized LOC101930028,5,Yes,7.683953173427123,6.599802889292594,7.541134552560752,6.721250999498697,6.899489682725958
FAM149A,family with sequence similarity 149 member A,5,Yes,7.31024231353146,7.139754373593081,7.0105987849491624,6.677399956091806,7.643807193965467
DLC1,DLC1 Rho GTPase activating protein,5,Yes,7.100082655835778,6.676826181799993,7.015329246228859,7.6067015790034995,7.023983295389807
RPH3AL,rabphilin 3A like (without C2 domains),5,Yes,7.030481421111985,7.604354880859397,5.582969522120637,6.179165124502364,6.743078618814412
HLA-T,,5,Yes,7.274058046979282,7.603774472770745,6.611755636939156,4.659582982214956,6.4301787851470555
HLA-S,,5,Yes,5.437657371125806,6.9142381627040885,6.827547608342386,7.5646531232681165,7.069884485564954
ART1,ADP-ribosyltransferase 1,5,Yes,7.553062485622045,5.692605821259216,6.525087982200981,7.281647409200236,6.47230749339363
HLA-H,,5,Yes,7.082702607125305,7.5165451803684995,6.923882941556577,6.352759182102547,6.978048547711777
PAK2,p21 (RAC1) activated kinase 2,5,Yes,5.548734955661319,7.509924900080293,5.472605407346328,7.039009938411978,6.475988836151896
TSBP1-AS1,TSBP1 and BTNL2 antisense RNA 1,5,Yes,7.500102349504358,6.9794181758996015,7.085012165923049,7.029778120563903,7.324153849425172
LOC102725019,uncharacterized LOC102725019,5,Yes,7.2644183371753686,6.275660586393571,7.052503495629213,5.154666276486576,7.439632634424646
DPEP1,dipeptidase 1,5,Yes,6.099179232258636,7.428686679689337,7.013242054703125,7.420620748391871,7.215570746987331
BRF1,BRF1 RNA polymerase III transcription initiation factor subunit,5,Yes,7.394796548368882,6.585428590121119,7.256713426467098,6.918256932599944,6.165720497101845
LOC353009,,5,Yes,6.711934746278648,7.392410349188906,6.847720252046685,6.062774575095385,6.812932850621083
LRRK1,leucine rich repeat kinase 1,5,Yes,7.366754962808037,6.886273405775899,7.137281461457395,6.56829174125367,6.88433305019938
TOLLIP,toll interacting protein,5,Yes,6.660517544529365,5.344897390387296,7.3282346876395374,7.244914584069459,6.9304050667001045
ZNF140,zinc finger protein 140,5,Yes,7.3197136709025505,7.148385450811326,6.691995959508801,5.181726466137764,6.482923492450722
LINC01508,long intergenic non-protein coding RNA 1508,5,Yes,7.188090251276662,4.94927664975242,6.988992804085854,7.304757731467496,6.9254215886813215
LOC105375021,uncharacterized LOC105375021,5,Yes,7.041920283307594,7.074778770086963,6.513238047344747,6.276963251996416,7.286005788074692
OR2T1,olfactory receptor family 2 subfamily T member 1,5,Yes,7.136081778861025,7.284294816938697,6.843616566462013,7.147396561955974,7.103794069826207
HLA-DQA2,major histocompatibility complex%2C class II%2C DQ alpha 2,5,Yes,6.623388055433159,6.731935194333266,6.383436233624323,7.277152192708343,6.799637838098358
HLA-P,,5,Yes,7.272190983023054,7.269047396487053,6.578110791766414,4.264378811224015,6.850391449470689
MICD,HLA complex group 9,5,Yes,5.959126540442108,6.01099615666777,6.917267434574182,7.2683191986035105,7.054255971670311
LOC105371430,uncharacterized LOC105371430,5,Yes,7.052713112917989,7.263096489459688,7.061462923876323,6.983769305451136,6.82390613017877
DHFRP2,,5,Yes,6.639716475796626,5.91101234551086,6.695337750238602,7.194041851258547,6.605976032793984
LOC124906560,uncharacterized LOC124906560,5,Yes,7.086729597397128,6.554230256196609,6.750247230055544,7.055873789027826,7.003133437662866
FAM182B,family with sequence similarity 182 member B,5,Yes,5.86798928404294,5.397866343116131,6.487465181874464,5.626836320050991,6.991888487853116
GOLGA8A,golgin A8 family member A,5,Yes,5.186900605231424,6.943903691113338,4.9647873572204535,5.056119552157873,4.187821068796054
ZNF516,zinc finger protein 516,5,Yes,6.365186031508408,6.935783131950431,6.674766187442909,6.4780476867261765,6.4515074242825134
YBEY,ybeY metalloendoribonuclease,5,Yes,6.170418130216367,5.724418238348236,6.67864920051872,6.064745109918893,6.885075150738976
MICB-DT,MICB divergent transcript,5,Yes,6.525883924187387,6.870748021660491,6.20733442514059,6.600900170990639,6.290380463158351
CNTN6,contactin 6,5,Yes,6.69879872071768,6.862968347659609,6.368234062562042,5.472963638286487,6.685069796725792
GOLGA8B,golgin A8 family member B,5,Yes,5.629938663871838,6.7699437292844635,5.500263420369727,5.3803230669511,5.3513261682865165
LINC01237,long intergenic non-protein coding RNA 1237,5,Yes,6.4150330903696045,5.601337618601411,6.763854755759294,4.2891939952734415,6.062066882379332
RNF213,ring finger protein 213,5,Yes,6.385321253622312,6.7539964628759694,6.272508192842377,6.044928333804539,4.875402685774953
GRAMD4,GRAM domain containing 4,5,Yes,6.741727566778019,6.614308563481345,5.742914036523737,6.172514666212779,6.069982348005075
RSU1P2,,5,Yes,6.381600979641225,5.457137234404861,6.164578010254373,6.7384315033906255,6.338056446781251
SPACA7,sperm acrosome associated 7,5,Yes,6.266330112555156,6.581621629006536,6.613305511713054,6.269531550402887,6.72847273292824
HCG27,HLA complex group 27,5,Yes,5.875220449601301,4.413958500686929,5.314383028669703,6.711162341699361,5.999599407599277
OR7E163P,,5,Yes,6.700873763022662,5.859732712223052,5.374176494760125,5.730199717134637,5.870363497949734
SNX25,sorting nexin 25,5,Yes,5.421490444170644,6.643158645445432,6.031430589776796,5.674064838718913,6.517790409479836
IGL,immunoglobulin lambda locus,5,Yes,6.36285235616809,6.477779301397849,6.566229898322745,6.114998433537291,6.131664927548138
PDCD6-AHRR,PDCD6-AHRR readthrough (NMD candidate),5,Yes,6.509898882604578,5.29604522433899,6.34487618241062,6.446446158736551,6.271837366591163
KHDRBS2,KH RNA binding domain containing%2C signal transduction associated 2,5,Yes,6.06747449090817,6.508171079158389,5.989633737142829,5.772085882100062,5.869833096778938
RASA3,RAS p21 protein activator 3,5,Yes,5.409547305543151,6.322910430862057,4.429454375018302,6.093130726866875,6.5040946091339364
SSU72L2,SSU72 like 2,5,Yes,5.60986817550185,6.4681307362088765,6.082271979834676,5.344124118613964,5.491582832007382
ZNF124,zinc finger protein 124,5,Yes,6.319768815683804,5.562536511779855,6.431458018073958,6.443061161602949,6.349322074191038
OR2T7,olfactory receptor family 2 subfamily T member 7,5,Yes,6.366677760362301,5.401445389802936,6.443015474832617,5.526277615735125,5.447416138782304
LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,5,Yes,5.4243872797553685,6.273220962719158,6.249879258944391,5.996645131072473,6.435470220477108
LILRB3,leukocyte immunoglobulin like receptor B3,5,Yes,6.275831439014859,6.358242240842485,6.171287925182055,5.3861287383097745,6.382401179867137
GOLGA3,golgin A3,5,Yes,5.80023814827238,6.376236788139526,5.6791066994799575,6.192998825197755,5.157310713709333
ATP11A,ATPase phospholipid transporting 11A,5,Yes,4.878819837729737,6.357634837939433,5.154604896187593,5.038062321726202,4.487120552517685
FAM230C,family with sequence similarity 230 member C,5,Yes,6.3049037551071265,5.100777711986871,5.703922561859183,6.277524789039461,5.720350074610565
ZSCAN5B,zinc finger and SCAN domain containing 5B,5,Yes,6.292734045715724,5.6347861627805065,5.797319330587798,5.813414693912241,5.659433527630776
OR3A2,olfactory receptor family 3 subfamily A member 2,5,Yes,5.988360750548782,5.8621807820835,6.287215059500458,5.815954701830835,5.81821107193032
ZNF600,zinc finger protein 600,5,Yes,6.175795710524634,6.282756303150361,5.525934197395154,4.671457243836513,5.248923702784205
LOC729732,uncharacterized LOC729732,5,Yes,6.28236005965746,5.464318068001598,5.657185621234238,5.288065793168836,5.0807136024260515
GRTP1,growth hormone regulated TBC protein 1,5,Yes,6.161274905742379,4.865750244126634,6.260796768518771,5.439393502747076,4.355165480890604
APBA1,amyloid beta precursor protein binding family A member 1,5,Yes,5.486604659996896,4.965239953681134,6.234596380363046,5.608033442461529,5.565121444080075
LOC283683,uncharacterized LOC283683,5,Yes,6.210480772551698,5.998008570916988,6.233233087272745,6.164547876317155,5.675882267037313
RASGEF1C,RasGEF domain family member 1C,5,Yes,5.715383872500956,6.184667936271862,5.400280706595885,5.710749033171216,5.624778187476232
LOC105373997,uncharacterized LOC105373997,5,Yes,6.178784201093134,5.715228677655851,5.705637991186905,4.769112935059367,5.1540462248277095
MRPL28,mitochondrial ribosomal protein L28,5,Yes,6.148876462717302,5.190153566265764,5.5916223277692145,5.11358906295725,4.65946828686744
MLPH,melanophilin,5,Yes,6.138447559847496,5.913853675418754,5.455288661987927,5.768085972125087,4.940313532692627
LOC128966701,,5,Yes,5.847071691951753,6.120374722360396,5.895765363783335,4.787075262425369,5.5547455011267175
PWRN1,Prader-Willi region non-protein coding RNA 1,5,Yes,6.0991391721445165,4.74633775946558,5.866251378301721,5.506872051240315,5.775704434930859
MGAM,maltase-glucoamylase,5,Yes,5.69063617966692,5.702071113557635,5.385911085132693,6.081886151549452,5.406353891642891
ZNF487,zinc finger protein 487,5,Yes,6.064898156088948,5.243586321583491,5.366993003286589,5.117600214385558,5.363601929640069
FAM86B3P,,5,Yes,4.996448542664586,5.901529763647772,5.3012786936413265,6.045434004866346,5.78551826415452
LOC100216488,,5,Yes,6.040256669497066,5.087622236361339,5.299906854171487,4.50523832272997,4.641712105632553
LOC100419761,,5,Yes,5.792058465992131,5.572836322869782,5.788515575105199,6.0310571159810245,5.7038645237153585
OSBPL5,oxysterol binding protein like 5,5,Yes,6.0221709625086355,5.943529536835761,5.823944194984541,5.913168581715945,5.255720539314278
PSORS1C1,psoriasis susceptibility 1 candidate 1,5,Yes,5.440841516132348,6.018398858996574,4.833181300766155,5.756040559510573,5.500506793606812
NRROS,negative regulator of reactive oxygen species,5,Yes,5.659796763723281,5.989206291295909,5.762582481977024,4.897489637601466,5.691969529043976
SMOC2,SPARC related modular calcium binding 2,5,Yes,5.665206715054931,5.487844647031713,5.9811078678281335,5.236037237988218,5.501403803006688
OR2T27,olfactory receptor family 2 subfamily T member 27,5,Yes,4.941613498147646,5.126576489029377,5.498119037475973,4.827624696935565,5.951316618066434
ZSCAN5A,zinc finger and SCAN domain containing 5A,5,Yes,5.91688556475239,4.951314830865512,5.838254391458902,5.943717605121791,5.644057309324288
LINC03009,long intergenic non-protein coding RNA 3009,5,Yes,5.931722364475677,4.9548134710771325,5.753913634656882,5.447642982125993,5.626802241260144
OR51B5,olfactory receptor family 51 subfamily B member 5,5,Yes,5.0217930238287085,5.177977352414742,4.713407887977406,5.92482462236395,5.090623360195716
DGCR5,DiGeorge syndrome critical region gene 5,5,Yes,4.769894279125481,5.896434726136282,5.159760598810006,5.3977811958042015,5.279029591805391
LOC105373998,uncharacterized LOC105373998,5,Yes,5.886848691175032,5.724369711774843,5.444704884896936,4.507919350139707,5.174294587513913
OR2B11,olfactory receptor family 2 subfamily B member 11,5,Yes,5.866857324061818,4.477643240918432,5.035226696209188,4.798196845319272,5.12231035428115
PCSK6,proprotein convertase subtilisin/kexin type 6,5,Yes,5.268514009042178,4.3940964087874175,5.797172546188725,5.856064454506409,5.079610398846913
GALR1,galanin receptor 1,5,Yes,5.854184963175166,5.486152454241387,5.154582028348144,4.538728441423333,5.770895858251947
PCDH15,protocadherin related 15,5,Yes,4.998787664641297,5.05323157082511,5.195608208784982,5.842591850601885,4.7737688156876725
ZNF695,zinc finger protein 695,5,Yes,5.840413138384379,5.366137551799898,5.574016749532899,4.724060038279095,5.620898607197037
RIMBP2,RIMS binding protein 2,5,Yes,5.820107147860564,4.9441757509713105,5.3031128741799956,5.2429920664431995,5.1688820916661165
FCAR,Fc alpha receptor,5,Yes,5.344060616568052,5.814689565176061,4.6506879315883465,4.82559736273332,5.134154558068931
NECTIN1,nectin cell adhesion molecule 1,5,Yes,4.759576179427594,5.224429997461016,5.793831082330162,5.590279939003427,5.0071341066255135
TRA,T cell receptor alpha locus,5,Yes,5.6346512004551235,4.879710860985485,5.77816096151647,5.27351560217116,5.463899014685585
MICOS10-NBL1,MICOS10-NBL1 readthrough,5,Yes,4.696610437030938,5.7758318713184105,4.418048153037415,4.467233701773532,4.937735823236562
LOC105373390,uncharacterized LOC105373390,5,Yes,5.631025942390544,5.526481398927362,5.440897330582411,5.7389057237353365,5.116305452449733
LOC101927636,uncharacterized LOC101927636,5,Yes,4.6511264547474,5.2635683600358005,4.7866599252530815,5.715645692697388,5.246204464493884
PROZ,protein Z%2C vitamin K dependent plasma glycoprotein,5,Yes,5.713446141812811,4.626149719704823,5.1229722510692985,5.349422843008507,5.49155266037124
FAM86GP,,5,Yes,5.571550728416328,4.641920783657467,5.348254411011082,5.706276237889296,4.758991068735641
ENPP7P15,,5,Yes,5.700764626986296,5.3042229432963595,5.503759027049474,5.307903629546792,4.682591372722042
NLRP5,NLR family pyrin domain containing 5,5,Yes,5.677427981468062,5.5786256322094925,5.531030008920753,5.594654850589841,5.145147829187072
LY6E-DT,LY6E divergent transcript,5,Yes,5.5493303816074615,5.6665848480479415,5.190624647686073,4.96396979112327,5.281963282517701
P2RX5-TAX1BP3,P2RX5-TAX1BP3 readthrough (NMD candidate),5,Yes,5.302459021668139,4.55573726380249,5.179753341166512,4.797262710850097,5.658543132384064
KIR3DL2,killer cell immunoglobulin like receptor%2C three Ig domains and long cytoplasmic tail 2,5,Yes,4.623492908535278,5.647093465458403,4.383680173653161,5.2472421592234175,4.6282491693246834
LOC105374359,uncharacterized LOC105374359,5,Yes,5.430806268092654,5.369250709464916,5.637494798210274,5.521670335382495,5.162578064858026
ZNF83,zinc finger protein 83,5,Yes,5.4241137718182575,5.625985912643868,4.9885893943191215,5.2075800922436555,5.300953615122905
LOC105377614,uncharacterized LOC105377614,5,Yes,5.055778800781912,5.618952394997499,5.313427306625612,5.0995800495548105,5.028131772269354
LOC105369309,uncharacterized LOC105369309,5,Yes,5.529626440938031,5.439765880155602,5.613588461597212,5.408030496310559,5.554565100617685
HCG24,HLA complex group 24,5,Yes,5.504582810485323,4.928159100833085,5.423944721822172,5.078946057004705,5.602660844545816
LINC02691,long intergenic non-protein coding RNA 2691,5,Yes,5.582996280824534,5.481376773272703,4.984258623731665,4.294711735225645,5.228455927997816
COL4A2,collagen type IV alpha 2 chain,5,Yes,4.989665076468207,4.349923866276017,5.201510189878153,5.352786964017523,5.581147716692623
HLA-DQB2,major histocompatibility complex%2C class II%2C DQ beta 2,5,Yes,5.577991898367411,4.20374428906923,4.48298058986804,4.794809328431924,4.986106027749232
ZNF813,zinc finger protein 813,5,Yes,5.468612638317809,4.745276163354741,5.415702242901836,5.55966898417072,5.57469303807782
ALG1L7P,,5,Yes,5.4742147212880345,4.951838144416698,5.517046685448753,4.7037138028274095,5.564460260948828
SGCG,sarcoglycan gamma,5,Yes,4.816084576086404,4.644552463012165,4.5676218912186055,5.553620399518912,4.984837671554647
CYP2F1,cytochrome P450 family 2 subfamily F member 1,5,Yes,4.676917561597337,4.899139769442647,5.399268609196394,4.7076670179171565,5.536383932250906
LOC128966596,putative uncharacterized protein LOC388882,5,Yes,5.446552423341544,5.536326895650837,5.040422327264729,4.470172460354106,4.386058959441965
VPS51P13,,5,Yes,5.0324846806839405,5.513680938397209,5.2207094747263785,5.478146802154366,5.130383446117173
GFPT2,glutamine-fructose-6-phosphate transaminase 2,5,Yes,5.4499034932626955,5.28821226120222,4.975380578570918,5.498575990619559,5.055903300097394
PANTR1,POU3F3 adjacent non-coding transcript 1,5,Yes,5.272273325981017,5.414283904371989,5.0360699186931335,5.485339322403181,4.385884600245803
DRICH1,aspartate rich 1,5,Yes,5.178465584203182,5.484925603392525,4.936140885831933,5.086335445016439,4.899810424221502
TRIML1,tripartite motif family like 1,5,Yes,5.218832621649843,5.249568983742255,5.439091863182107,5.425165541490539,5.280110301496148
LOC105371114,uncharacterized LOC105371114,5,Yes,5.402482839916859,4.964997904692118,4.7545203567682925,4.791516798412867,4.847508473181591
NLRP4,NLR family pyrin domain containing 4,5,Yes,5.359935268053593,4.891708899643312,5.398026625260535,4.29183705924357,5.12800291137068
FAM21EP,,5,Yes,5.1633862359988845,4.27708678692745,5.380224088188931,4.82591973395934,4.992874561000585
HLA-DRB9,,5,Yes,4.424034354368232,4.370195097278553,4.537556369559741,5.350292708687069,4.68849487140272
LOC124906654,topoisomerase 1-associated factor 1-like,5,Yes,5.3471162813731485,4.7557532066301595,5.187753009491775,4.420229455446829,5.033147250967465
CFAP46,cilia and flagella associated protein 46,5,Yes,5.304421968226643,5.263960121174295,5.328671757688609,5.006244777003047,4.7442045068416965
