genes,descriptions,num_populations,is_shared,AFR,EAS,EUR,SAS,AMR
ATP11A,ATPase phospholipid transporting 11A,5,Yes,14.57968183,16.2729657,13.64877397,16.15519955,12.20636315
PLEKHG4B,pleckstrin homology and RhoGEF domain containing G4B,5,Yes,14.52926488,15.51217007,16.37808316,16.97839923,14.25030423
RIMBP2,RIMS binding protein 2,5,Yes,14.24269754,15.36108768,14.66359248,17.02750429,14.49677671
PCBP3,poly(rC) binding protein 3,5,Yes,14.212845,13.43484112,13.75541723,14.76728785,14.24249306
C4orf19,chromosome 4 open reading frame 19,5,Yes,13.86714643,13.88654269,14.14974141,16.31391685,11.92681528
HLA-C,major histocompatibility complex%2C class I%2C C,5,Yes,13.43331858,13.4704424,13.5182827,13.69842662,14.0075393
SCNN1D,sodium channel epithelial 1 subunit delta,5,Yes,13.28491513,13.86182864,13.39238089,14.36401983,15.57683887
FOXK2,forkhead box K2,5,Yes,13.2833392,12.79439783,13.22689709,12.43554528,13.59911773
CFAP97D2,CFAP97 domain containing 2,5,Yes,11.89196215,12.52169619,14.19535487,12.93975217,13.81340459
SKI,SKI proto-oncogene,4,Yes,NA,12.99507247,15.09568848,12.92147667,13.87329244
EML1,EMAP like 1,4,Yes,17.98040364,16.37116606,14.96751626,NA,16.819302
LOC124907093,uncharacterized LOC124907093,4,Yes,16.72610477,13.33377124,14.45783568,NA,12.73312991
COL4A2,collagen type IV alpha 2 chain,4,Yes,15.87563924,14.16694889,NA,17.04111287,16.0198108
TTLL8,tubulin tyrosine ligase like 8,4,Yes,15.19335775,NA,18.68610545,16.72007853,12.92002174
PDCD6-AHRR,PDCD6-AHRR readthrough (NMD candidate),4,Yes,14.21767206,NA,20.21632773,20.41703458,17.2381406
LRRC27,leucine rich repeat containing 27,4,Yes,14.14076013,14.51707059,15.16556451,NA,15.187365
BRF1,BRF1 RNA polymerase III transcription initiation factor subunit,4,Yes,14.12308554,13.91117029,NA,13.77309241,12.89783707
HCG4P5,,4,Yes,13.55301619,13.92384172,NA,13.44977881,13.84728534
HLA-A,major histocompatibility complex%2C class I%2C A,4,Yes,13.06338659,13.57507601,NA,13.25897738,13.84376305
RFLNB,refilin B,4,Yes,12.06676705,14.12564844,15.01646553,NA,13.92345701
LOC102723847,uncharacterized LOC102723847,3,Yes,NA,NA,14.1350144,16.70769231,12.70516104
LINC01115,long intergenic non-protein coding RNA 1115,3,Yes,NA,NA,13.07025861,13.21684024,12.15420472
NBPF10,NBPF member 10,3,Yes,NA,NA,13.19429895,13.0125894,13.19870944
TP73,tumor protein p73,3,Yes,13.39096758,13.84249903,NA,NA,13.48872789
SLC12A7,solute carrier family 12 member 7,3,Yes,12.77824895,NA,NA,12.91670877,13.1064495
COL23A1,collagen type XXIII alpha 1 chain,3,Yes,12.39841354,NA,NA,12.95405547,11.93217799
RPS6KA2,ribosomal protein S6 kinase A2,2,Yes,NA,16.88862702,NA,NA,13.17844779
LOC124904993,uncharacterized LOC124904993,2,Yes,NA,14.72368829,NA,NA,12.73689041
FOXP1,forkhead box P1,2,Yes,NA,NA,13.92061353,NA,14.08288554
LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,2,Yes,NA,NA,NA,13.69472889,11.87832029
SLC6A12,solute carrier family 6 member 12,2,Yes,16.41173544,NA,NA,NA,16.13834721
DCDC2C,doublecortin domain containing 2C,2,Yes,12.29178449,13.52971191,NA,NA,NA
GRTP1,growth hormone regulated TBC protein 1,1,No,NA,NA,NA,14.46265356,NA
MEGF6,multiple EGF like domains 6,1,No,NA,13.72641271,NA,NA,NA
CEP72,centrosomal protein 72,1,No,NA,12.80145829,NA,NA,NA
MUC4,mucin 4%2C cell surface associated,1,No,NA,NA,NA,12.77693659,NA
LMF1,lipase maturation factor 1,1,No,NA,NA,NA,NA,12.73658149
IGK,immunoglobulin kappa locus,1,No,NA,12.50816054,NA,NA,NA
TERT,telomerase reverse transcriptase,1,No,12.81919968,NA,NA,NA,NA
CROCC2,ciliary rootlet coiled-coil%2C rootletin family member 2,1,No,12.66207031,NA,NA,NA,NA
ATP10A,ATPase phospholipid transporting 10A (putative),1,No,12.50096876,NA,NA,NA,NA
GAS6-AS1,GAS6 antisense RNA 1,1,No,12.14120126,NA,NA,NA,NA
