chromosome,start,end,population,avg_tmrca_myr,genes,gene_biotypes,descriptions,feature_annotation
chr6_mat_hsa7,193017000,193018000,Bonobo,26.55587138217257,LOC100984998,lncRNA,uncharacterized LOC100984998,.
chr20_pat_hsa19,61957000,61958000,Bonobo,26.480522415630933,.,,,"SEDEF_SD,TR"
chr19_pat_hsa17,9451000,9452000,Bonobo,26.296037031151954,RPA1,protein_coding,replication protein A1,.
chr19_pat_hsa17,9457000,9458000,Bonobo,25.9811099684893,RPA1,protein_coding,replication protein A1,.
chr9_pat_hsa11,3129000,3130000,Bonobo,25.93726790345248,.,,,.
chr1_pat_hsa1,227024000,227025000,Bonobo,25.560696236521515,.,,,.
chr9_pat_hsa11,6803000,6804000,Bonobo,25.391101061785683,.,,,"SEDEF_SD,TR"
chr18_pat_hsa16,99520000,99521000,Bonobo,25.318406492189986,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99524000,99525000,Bonobo,25.310177409030945,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu,MER41-int#LTR/ERV1"
chr9_pat_hsa11,6779000,6780000,Bonobo,24.9147440372927,.,,,"SEDEF_SD,TR"
chr19_pat_hsa17,9456000,9457000,Bonobo,24.88845998420967,RPA1,protein_coding,replication protein A1,.
chr9_pat_hsa11,6729000,6730000,Bonobo,24.8788330160383,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr5_pat_hsa6,190341000,190342000,Bonobo,24.824879711306984,.,,,.
chr20_pat_hsa19,61963000,61964000,Bonobo,24.69717231562473,LOC134729581,protein_coding,ret finger protein-like 4A,"SEDEF_SD,TR"
chr14_pat_hsa13,115073000,115074000,Bonobo,24.68473646108676,.,,,MamGypsy2-I#LTR/Gypsy
chr18_pat_hsa16,99933000,99934000,Bonobo,24.645167476375047,LOC129398364,lncRNA,uncharacterized LOC129398364,"L2d2#LINE/L2,SEDEF_SD"
chr9_pat_hsa11,3131000,3132000,Bonobo,24.290430070540992,.,,,.
chr9_pat_hsa11,6631000,6632000,Bonobo,24.24926542745455,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr9_pat_hsa11,6802000,6803000,Bonobo,24.12881224241551,LOC129393320,protein_coding,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,SEDEF_SD
chr18_pat_hsa16,99491000,99492000,Bonobo,24.03045331661163,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr18_pat_hsa16,99493000,99494000,Bonobo,23.96571673246733,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr14_pat_hsa13,115072000,115073000,Bonobo,23.8396816671959,.,,,"MamGypsy2-I#LTR/Gypsy,TR"
chr15_mat_hsa14,107603000,107604000,Bonobo,23.73783189192217,LOC100987802,V_segment,immunoglobulin heavy variable 3-30-like,"L1ME1#LINE/L1,L1P2#LINE/L1,LTR25-int#LTR/ERV1,MER89-int#LTR/ERV1,SEDEF_SD"
chr20_pat_hsa19,61960000,61961000,Bonobo,23.72406983531224,LOC129394802,protein_coding,ret finger protein-like 4A,"SEDEF_SD,TR"
chr9_pat_hsa11,6780000,6781000,Bonobo,23.687889462321824,.,,,SEDEF_SD
chr9_pat_hsa11,6768000,6769000,Bonobo,23.30433198596618,.,,,"SEDEF_SD,TR"
chr5_pat_hsa6,190705000,190706000,Bonobo,23.283138430435947,LOC117980779,protein_coding,uncharacterized LOC117980779,.
chr15_mat_hsa14,107602000,107603000,Bonobo,23.135874881857788,LOC100987802,V_segment,immunoglobulin heavy variable 3-30-like,"(CCTGACA)n#Simple_repeat,L1M3#LINE/L1,L1ME1#LINE/L1,L1P2#LINE/L1,LTR25-int#LTR/ERV1,MER89-int#LTR/ERV1,SEDEF_SD"
chr17_mat_hsa18,96482000,96483000,Bonobo,23.089133707715796,.,,,L1MB7#LINE/L1
chr9_pat_hsa11,3130000,3131000,Bonobo,23.011924008427087,.,,,.
chr9_pat_hsa11,3128000,3129000,Bonobo,22.950971000515725,.,,,TR
chr14_pat_hsa13,115191000,115192000,Bonobo,22.9333100850675,GRK1,protein_coding,G protein-coupled receptor kinase 1,.
chr9_pat_hsa11,6765000,6766000,Bonobo,22.90207633506095,.,,,"SEDEF_SD,TR"
chr9_pat_hsa11,6790000,6791000,Bonobo,22.855576611462737,.,,,"SEDEF_SD,TR"
chr9_pat_hsa11,6791000,6792000,Bonobo,22.83099614255887,.,,,"SEDEF_SD,TR"
chr19_pat_hsa17,99914000,99915000,Bonobo,22.773944008983968,.,,,"L1M5#LINE/L1,MLT1H2#LTR/ERVL-MaLR,SEDEF_SD"
chr8_mat_hsa10,13887000,13888000,Bonobo,22.74195019178486,ADARB2,protein_coding,adenosine deaminase RNA specific B2 (inactive),.
chr15_mat_hsa14,107604000,107605000,Bonobo,22.731832327872187,.,,,"L1MCb#LINE/L1,L1ME1#LINE/L1,L1P2#LINE/L1,LTR25-int#LTR/ERV1,MER89-int#LTR/ERV1,SEDEF_SD"
chr6_mat_hsa7,195089000,195090000,Bonobo,22.68592579661727,.,,,.
chr9_pat_hsa11,6731000,6732000,Bonobo,22.66871405019856,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr17_mat_hsa18,96889000,96890000,Bonobo,22.62553222263227,ATP9B,protein_coding,ATPase phospholipid transporting 9B (putative),L1MA4#LINE/L1
chr8_mat_hsa10,143805000,143806000,Bonobo,22.506276490321458,.,,,.
chr15_mat_hsa14,107621000,107622000,Bonobo,22.46217832103937,.,,,"L1M3#LINE/L1,L1MC4#LINE/L1,L1ME2z#LINE/L1,MER89-int#LTR/ERV1,SEDEF_SD,TR"
chr18_pat_hsa16,99492000,99493000,Bonobo,22.424247448757956,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr9_pat_hsa11,6789000,6790000,Bonobo,22.317871904982777,.,,,SEDEF_SD
chr9_pat_hsa11,6620000,6621000,Bonobo,22.28451286563472,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr20_pat_hsa19,61959000,61960000,Bonobo,22.228237006295966,LOC129394802,protein_coding,ret finger protein-like 4A,SEDEF_SD
chr9_pat_hsa11,6728000,6729000,Bonobo,22.211689037883577,"LOC134731187,LOC129393429",lncRNA;protein_coding,uncharacterized LOC134731187;RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,SEDEF_SD
chr17_mat_hsa18,96890000,96891000,Bonobo,22.183644187305983,ATP9B,protein_coding,ATPase phospholipid transporting 9B (putative),.
chr20_pat_hsa19,62037000,62038000,Bonobo,22.150916663118597,LOC129394818,protein_coding,ret finger protein-like 4A,SEDEF_SD
chr20_pat_hsa19,62023000,62024000,Bonobo,22.146295268379045,.,,,SEDEF_SD
chr8_mat_hsa10,13888000,13889000,Bonobo,22.12682992309232,ADARB2,protein_coding,adenosine deaminase RNA specific B2 (inactive),.
chr9_pat_hsa11,6767000,6768000,Bonobo,22.110140252338603,.,,,SEDEF_SD
chr9_pat_hsa11,6785000,6786000,Bonobo,21.970121468065628,.,,,"SEDEF_SD,TR"
chr9_pat_hsa11,6800000,6801000,Bonobo,21.918106308946133,.,,,SEDEF_SD
chr9_pat_hsa11,6602000,6603000,Bonobo,21.84500951607307,.,,,SEDEF_SD
chr2_mat_hsa3,195856000,195857000,Bonobo,21.795707338690217,IQCG,protein_coding,IQ motif containing G,.
chr11_mat_hsa9,1811000,1812000,Bonobo,21.769222831928413,DPH7,protein_coding,diphthamide biosynthesis 7,.
chr9_pat_hsa11,6596000,6597000,Bonobo,21.736275964289185,.,,,"SEDEF_SD,TR"
chr20_pat_hsa19,11623000,11624000,Bonobo,21.711884271839175,.,,,"SEDEF_SD,TR"
chr11_mat_hsa9,1812000,1813000,Bonobo,21.708567868381287,DPH7,protein_coding,diphthamide biosynthesis 7,L1MC4#LINE/L1
chr20_pat_hsa19,61961000,61962000,Bonobo,21.701275222292285,.,,,SEDEF_SD
chr17_mat_hsa18,96891000,96892000,Bonobo,21.67762213924839,ATP9B,protein_coding,ATPase phospholipid transporting 9B (putative),.
chr9_pat_hsa11,6831000,6832000,Bonobo,21.647210513171647,.,,,"SEDEF_SD,TR"
chr2_mat_hsa3,195855000,195856000,Bonobo,21.645279601479167,IQCG,protein_coding,IQ motif containing G,.
chr18_pat_hsa16,99494000,99495000,Bonobo,21.598813780780244,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr9_pat_hsa11,6619000,6620000,Bonobo,21.515979102224406,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr9_pat_hsa11,6477000,6478000,Bonobo,21.514579267208823,.,,,SEDEF_SD
chr15_mat_hsa14,107554000,107555000,Bonobo,21.432561369463436,LOC117975702,V_segment,immunoglobulin heavy variable 3-30-like,"(CCTGACA)n#Simple_repeat,L1M3#LINE/L1,L1MC4#LINE/L1,L1P2#LINE/L1,LTR25-int#LTR/ERV1,MER89-int#LTR/ERV1,SEDEF_SD"
chr7_pat_hsa8,75550000,75551000,Bonobo,21.404845640226515,.,,,.
chr9_pat_hsa11,6788000,6789000,Bonobo,21.343666642050565,.,,,"SEDEF_SD,TR"
chr9_pat_hsa11,6784000,6785000,Bonobo,21.307759162122437,.,,,"SEDEF_SD,TR"
chr9_pat_hsa11,6601000,6602000,Bonobo,21.221204390223733,.,,,"SEDEF_SD,TR"
chr9_pat_hsa11,6632000,6633000,Bonobo,21.189874285908882,LOC134731187,lncRNA,uncharacterized LOC134731187,SEDEF_SD
chr5_pat_hsa6,45838000,45839000,Bonobo,21.179937732817955,LOC100982294,protein_coding,class I histocompatibility antigen%2C Gogo-C*0202 alpha chain,"SEDEF_SD,TR"
chr9_pat_hsa11,6769000,6770000,Bonobo,21.17037599479352,.,,,"SEDEF_SD,TR"
chr19_pat_hsa17,8091000,8092000,Bonobo,21.159892745518235,VPS53,protein_coding,VPS53 subunit of GARP complex,L2c#LINE/L2
chr11_mat_hsa9,1565000,1566000,Bonobo,21.099220191968215,EHMT1,protein_coding,euchromatic histone lysine methyltransferase 1,.
chr7_pat_hsa8,75551000,75552000,Bonobo,21.052667061147936,.,,,TR
chr9_pat_hsa11,6604000,6605000,Bonobo,21.007240234771523,.,,,"SEDEF_SD,TR"
chr9_pat_hsa11,6825000,6826000,Bonobo,20.983935343785397,.,,,"SEDEF_SD,TR"
chr7_pat_hsa8,18535000,18536000,Bonobo,20.969286050375374,CSMD1,protein_coding,CUB and Sushi multiple domains 1,.
chr7_pat_hsa8,18534000,18535000,Bonobo,20.903702903428947,CSMD1,protein_coding,CUB and Sushi multiple domains 1,TR
chr9_pat_hsa11,6832000,6833000,Bonobo,20.887418792087935,.,,,"SEDEF_SD,TR"
chr11_mat_hsa9,1810000,1811000,Bonobo,20.829231478562036,DPH7,protein_coding,diphthamide biosynthesis 7,.
chr9_pat_hsa11,6770000,6771000,Bonobo,20.827164205304275,.,,,"SEDEF_SD,TR"
chr9_pat_hsa11,6541000,6542000,Bonobo,20.826921002886078,LOC134731186,lncRNA,uncharacterized LOC134731186,"SEDEF_SD,TR"
chr15_mat_hsa14,107594000,107595000,Bonobo,20.771030183612478,.,,,"AluJb#SINE/Alu,AluSx#SINE/Alu,L1ME1#LINE/L1,L1ME3E#LINE/L1,MER89-int#LTR/ERV1,SEDEF_SD,TR"
chr6_mat_hsa7,192650000,192651000,Bonobo,20.725661344587873,.,,,.
chr9_pat_hsa11,6539000,6540000,Bonobo,20.712448668110294,LOC134731186,lncRNA,uncharacterized LOC134731186,"SEDEF_SD,TR"
chr9_pat_hsa11,6766000,6767000,Bonobo,20.66571059067256,LOC129393325,protein_coding,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,SEDEF_SD
chr18_pat_hsa16,99519000,99520000,Bonobo,20.664487848145868,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr9_pat_hsa11,6821000,6822000,Bonobo,20.661142844416258,.,,,SEDEF_SD
chr9_pat_hsa11,6485000,6486000,Bonobo,20.65369908013444,.,,,SEDEF_SD
chr20_pat_hsa19,62038000,62039000,Bonobo,20.6488612815921,LOC129394818,protein_coding,ret finger protein-like 4A,"SEDEF_SD,TR"
chr9_pat_hsa11,6801000,6802000,Bonobo,20.632814549615095,LOC129393320,protein_coding,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,"SEDEF_SD,TR"
chr19_pat_hsa17,99915000,99916000,Bonobo,20.631207181284868,.,,,"L1M5#LINE/L1,MLT1H2#LTR/ERVL-MaLR,SEDEF_SD"
chr9_pat_hsa11,6612000,6613000,Bonobo,20.595721180297634,.,,,SEDEF_SD
chr9_pat_hsa11,6598000,6599000,Bonobo,20.539422704759765,.,,,SEDEF_SD
chr9_pat_hsa11,6617000,6618000,Bonobo,20.51024057564111,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr9_pat_hsa11,6667000,6668000,Bonobo,20.45581025548653,LOC134731187,lncRNA,uncharacterized LOC134731187,SEDEF_SD
chr7_pat_hsa8,75549000,75550000,Bonobo,20.447357448954914,.,,,.
chr19_pat_hsa17,9449000,9450000,Bonobo,20.431461474128948,RPA1,protein_coding,replication protein A1,TR
chr9_pat_hsa11,6546000,6547000,Bonobo,20.414591137885388,LOC134731186,lncRNA,uncharacterized LOC134731186,"SEDEF_SD,TR"
chr5_pat_hsa6,189681000,189682000,Bonobo,20.365931842732635,.,,,TR
chr9_pat_hsa11,6585000,6586000,Bonobo,20.36095960432477,.,,,"SEDEF_SD,TR"
chr9_pat_hsa11,6599000,6600000,Bonobo,20.335743929649997,.,,,SEDEF_SD
chr19_pat_hsa17,100020000,100021000,Bonobo,20.319962067974902,.,,,"(GCG)n#Simple_repeat,L1MA7#LINE/L1,SEDEF_SD,TR"
chr18_pat_hsa16,99470000,99471000,Bonobo,20.292390116755083,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluSx#SINE/Alu,AluY#SINE/Alu,AluYg6#SINE/Alu,MER4C#LTR/ERV1,PABL_A-int#LTR/ERV1"
chr9_pat_hsa11,6630000,6631000,Bonobo,20.285038662083174,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr9_pat_hsa11,6616000,6617000,Bonobo,20.16106443851932,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr9_pat_hsa11,6778000,6779000,Bonobo,20.142630962640585,.,,,"SEDEF_SD,TR"
chr13_mat_hsa2b,15839000,15840000,Bonobo,20.13036010005138,.,,,.
chr9_pat_hsa11,6830000,6831000,Bonobo,20.12775833889791,.,,,"SEDEF_SD,TR"
chr9_pat_hsa11,6542000,6543000,Bonobo,20.108843467130118,LOC134731186,lncRNA,uncharacterized LOC134731186,"SEDEF_SD,TR"
chr9_pat_hsa11,6543000,6544000,Bonobo,20.095976173562867,LOC134731186,lncRNA,uncharacterized LOC134731186,SEDEF_SD
chr9_pat_hsa11,2871000,2872000,Bonobo,20.083284286314115,.,,,.
chr9_pat_hsa11,6527000,6528000,Bonobo,20.019688614728224,LOC134731186,lncRNA,uncharacterized LOC134731186,"SEDEF_SD,TR"
chr9_pat_hsa11,6730000,6731000,Bonobo,20.00212679947657,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr20_pat_hsa19,61962000,61963000,Bonobo,19.994930487440286,.,,,SEDEF_SD
chr9_pat_hsa11,6615000,6616000,Bonobo,19.98201043361199,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr20_pat_hsa19,4747000,4748000,Bonobo,19.9681228891087,SHC2,protein_coding,SHC adaptor protein 2,.
chr20_pat_hsa19,4750000,4751000,Bonobo,19.940485250662384,SHC2,protein_coding,SHC adaptor protein 2,.
chr7_pat_hsa8,28700000,28701000,Bonobo,19.9268271800714,LOC129398572,protein_coding,uncharacterized LOC129398572,SEDEF_SD
chr7_pat_hsa8,15880000,15881000,Bonobo,19.92064379024008,DLGAP2,protein_coding,DLG associated protein 2,.
chr9_pat_hsa11,6824000,6825000,Bonobo,19.912409728678433,.,,,"SEDEF_SD,TR"
chr18_pat_hsa16,99498000,99499000,Bonobo,19.90441510286538,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr7_pat_hsa8,75548000,75549000,Bonobo,19.877362595086634,.,,,.
chr9_pat_hsa11,6605000,6606000,Bonobo,19.87615931095581,.,,,"SEDEF_SD,TR"
chr7_pat_hsa8,28701000,28702000,Bonobo,19.870691594053362,LOC129398572,protein_coding,uncharacterized LOC129398572,SEDEF_SD
chr9_pat_hsa11,6666000,6667000,Bonobo,19.868303297437613,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr9_pat_hsa11,6804000,6805000,Bonobo,19.86052914564941,.,,,"SEDEF_SD,TR"
chr18_pat_hsa16,99495000,99496000,Bonobo,19.81691206050314,SPATA33,protein_coding,spermatogenesis associated 33,"Alu#SINE/Alu,AluYg6#SINE/Alu"
chr9_pat_hsa11,6621000,6622000,Bonobo,19.76307373988239,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr17_mat_hsa18,96892000,96893000,Bonobo,19.74691756668205,ATP9B,protein_coding,ATPase phospholipid transporting 9B (putative),.
chr20_pat_hsa19,4749000,4750000,Bonobo,19.698182426037246,SHC2,protein_coding,SHC adaptor protein 2,.
chr9_pat_hsa11,6523000,6524000,Bonobo,19.690410120647044,LOC134731186,lncRNA,uncharacterized LOC134731186,SEDEF_SD
chr9_pat_hsa11,6595000,6596000,Bonobo,19.684077203070533,.,,,SEDEF_SD
chr20_pat_hsa19,61912000,61913000,Bonobo,19.657880549843995,LOC129394797,protein_coding,ret finger protein-like 4A,"SEDEF_SD,TR"
chr20_pat_hsa19,62036000,62037000,Bonobo,19.647505117884123,.,,,SEDEF_SD
chr23_pat_hsa22,56703000,56704000,Bonobo,19.64013400922367,TBC1D22A,protein_coding,TBC1 domain family member 22A,.
chr20_pat_hsa19,4745000,4746000,Bonobo,19.63180538871963,SHC2,protein_coding,SHC adaptor protein 2,TR
chr19_pat_hsa17,8092000,8093000,Bonobo,19.61838496250209,VPS53,protein_coding,VPS53 subunit of GARP complex,L2c#LINE/L2
chr20_pat_hsa19,4742000,4743000,Bonobo,19.57990513139663,SHC2,protein_coding,SHC adaptor protein 2,.
chr9_pat_hsa11,6528000,6529000,Bonobo,19.574544232029425,LOC134731186,lncRNA,uncharacterized LOC134731186,"SEDEF_SD,TR"
chr7_pat_hsa8,30456000,30457000,Bonobo,19.527253394797967,.,,,"SEDEF_SD,TR"
chr2_mat_hsa3,195546000,195547000,Bonobo,19.507310938684267,.,,,SEDEF_SD
chr8_mat_hsa10,139269000,139270000,Bonobo,19.486528547701226,DOCK1,protein_coding,dedicator of cytokinesis 1,.
chr9_pat_hsa11,6827000,6828000,Bonobo,19.440792354206216,LOC129393358,protein_coding,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,"SEDEF_SD,TR"
chr6_mat_hsa7,194994000,194995000,Bonobo,19.424381919285807,PTPRN2,protein_coding,protein tyrosine phosphatase receptor type N2,.
chr18_pat_hsa16,84107000,84108000,Bonobo,19.418538300828924,LOC134729312,protein_coding,serine/arginine repetitive matrix protein 1-like,"L2b#LINE/L2,SEDEF_SD"
chr17_mat_hsa18,97986000,97987000,Bonobo,19.4046430167769,LOC129394588,protein_coding,tubulin beta 8B-like,"L1ME4b#LINE/L1,PRIMA41-int#LTR/ERV1,SEDEF_SD"
chr9_pat_hsa11,6634000,6635000,Bonobo,19.398630452598585,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr13_mat_hsa2b,15838000,15839000,Bonobo,19.38932405450093,.,,,"L1ME3G#LINE/L1,L3#LINE/CR1"
chr20_pat_hsa19,62039000,62040000,Bonobo,19.382487441869134,LOC129394818,protein_coding,ret finger protein-like 4A,"SEDEF_SD,TR"
chr12_mat_hsa2a,126353000,126354000,Bonobo,19.366831988463943,.,,,.
chr20_pat_hsa19,4748000,4749000,Bonobo,19.365437687123663,SHC2,protein_coding,SHC adaptor protein 2,.
chr20_pat_hsa19,62025000,62026000,Bonobo,19.32982164343879,.,,,SEDEF_SD
chr8_mat_hsa10,146393000,146394000,Bonobo,19.309778476343297,.,,,SEDEF_SD
chr9_pat_hsa11,6522000,6523000,Bonobo,19.286749467610697,LOC134731186,lncRNA,uncharacterized LOC134731186,"SEDEF_SD,TR"
chr12_mat_hsa2a,126354000,126355000,Bonobo,19.283532231810888,.,,,.
chr15_mat_hsa14,107919000,107920000,Bonobo,19.28333232776785,.,,,"(AT)n#Simple_repeat,LTR25-int#LTR/ERV1,MLT1B#LTR/ERVL-MaLR,SEDEF_SD,TR"
chr9_pat_hsa11,6771000,6772000,Bonobo,19.276983526621084,.,,,"SEDEF_SD,TR"
chr9_pat_hsa11,6636000,6637000,Bonobo,19.218784253239342,LOC134731187,lncRNA,uncharacterized LOC134731187,"SEDEF_SD,TR"
chr9_pat_hsa11,6486000,6487000,Bonobo,19.21425075044653,.,,,"SEDEF_SD,TR"
chr15_mat_hsa14,107921000,107922000,Bonobo,19.191334606171434,.,,,"LTR25-int#LTR/ERV1,SEDEF_SD,THE1B#LTR/ERVL-MaLR"
chr14_pat_hsa13,113207000,113208000,Bonobo,19.154212630714518,SOX1,protein_coding,SRY-box transcription factor 1,.
chr2_mat_hsa3,195522000,195523000,Bonobo,19.152562768764447,LOC100975254,protein_coding,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial-like,"SEDEF_SD,TR"
chr7_pat_hsa8,29945000,29946000,Bonobo,19.08569471195519,.,,,"SEDEF_SD,TR"
chr2_mat_hsa3,195525000,195526000,Bonobo,19.07354124134714,LOC100975254,protein_coding,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial-like,"SEDEF_SD,TR"
chr17_mat_hsa18,96886000,96887000,Bonobo,19.071648983576775,ATP9B,protein_coding,ATPase phospholipid transporting 9B (putative),L1MA4#LINE/L1
chr9_pat_hsa11,6787000,6788000,Bonobo,19.0610083984772,.,,,SEDEF_SD
chr9_pat_hsa11,6587000,6588000,Bonobo,19.050279023927313,.,,,SEDEF_SD
chr9_pat_hsa11,6586000,6587000,Bonobo,19.046983288127965,.,,,"SEDEF_SD,TR"
chr17_mat_hsa18,96888000,96889000,Bonobo,19.032273108892763,ATP9B,protein_coding,ATPase phospholipid transporting 9B (putative),L1MA4#LINE/L1
