chromosome,start,end,population,genes,genes_renamed,descriptions,gene_biotypes,feature_annotation,avg_tmrca_myr,avg_pairwise_myr,tr_overlap_percent,sedef_overlap_percent,censat_overlap_percent,rmsk_overlap_percent,midpoint,row_index
chr1_pat_hsa1,214834000,214835000,Bonobo,LOC129393906,PRAMEF1,PRAME family member 1-like,protein_coding,SEDEF_SD,18.02956705,10.66228682,0,1100,0,0,214834500,213635
chr7_pat_hsa8,15880000,15881000,Bonobo,DLGAP2,,DLG associated protein 2,protein_coding,.,19.92064379,10.64731892,0,0,0,0,15880500,1113953
chr11_mat_hsa9,1565000,1566000,Bonobo,EHMT1,,euchromatic histone lysine methyltransferase 1,protein_coding,.,21.09922019,10.59522473,0,0,0,0,1565500,1646612
chr9_pat_hsa11,6829000,6830000,Bonobo,LOC129393322,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,protein_coding,SEDEF_SD,18.16379272,10.5891428,0,300,0,0,6829500,1392532
chr14_pat_hsa13,115191000,115192000,Bonobo,GRK1,,G protein-coupled receptor kinase 1,protein_coding,.,22.93331009,10.50086237,0,0,0,0,115191500,2078538
chr20_pat_hsa19,62037000,62038000,Bonobo,LOC129394818,RFPL4A,ret finger protein-like 4A,protein_coding,SEDEF_SD,22.15091666,10.48008494,0,800,0,0,62037500,2520647
chr2_mat_hsa3,195525000,195526000,Bonobo,LOC100975254,SDHA,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial-like,protein_coding,"SEDEF_SD,TR",19.07354124,10.24963206,1.6,157.4,0,0,195525500,420289
chr7_pat_hsa8,17081000,17082000,Bonobo,LOC134730949,,uncharacterized LOC134730949,lncRNA,SEDEF_SD,17.86542287,10.18352484,0,100,0,0,17081500,1115154
chr9_pat_hsa11,9243000,9244000,Bonobo,LOC100974335,OR6A2,olfactory receptor 6A2,protein_coding,.,17.58824343,10.09635642,0,0,0,0,9243500,1394946
chr1_pat_hsa1,2801000,2802000,Bonobo,SMYD3,,SET and MYND domain containing 3,protein_coding,.,17.1061496,10.07787633,0,0,0,0,2801500,2787
chr8_mat_hsa10,67383000,67384000,Bonobo,PCDH15,,protocadherin related 15,protein_coding,TR,18.05204556,10.0339492,3,0,0,0,67383500,1308485
chr23_pat_hsa22,56703000,56704000,Bonobo,TBC1D22A,,TBC1 domain family member 22A,protein_coding,.,19.64013401,9.788444867,0,0,0,0,56703500,2634293
chr1_pat_hsa1,214780000,214781000,Bonobo,LOC129393928,PRAMEF11,PRAME family member 11-like,protein_coding,"SEDEF_SD,TR",15.79513121,9.670433835,3.4,1600,0,0,214780500,213581
