sample	group
200338_HG03369.hap2	3
200126_HG02129.mat	3
200314_HG02391.hap2	3
200012_HG00544.mat	3
200114_HG02056.mat	3
200168_HG02698.mat	3
200207_HG03669.pat	3
200252_HG01978.mat	3
200309_HG02178.hap1	3
120007_I002C.pat	3
200077_HG01433.pat	3
200117_HG02074.pat	3
200325_HG03130.hap1	3
200397_NA18982.hap1	3
200177_HG02809.pat	3
200347_HG03742.hap1	3
200350_HG03784.hap2	3
200395_NA18976.hap1	3
200056_HG01150.mat	3
200137_HG02280.pat	3
200293_HG00350.hap1	3
200031_HG00706.pat	3
200125_HG02129.pat	3
200143_HG02451.pat	3
200158_HG02615.mat	3
200245_NA19240.pat	3
200106_HG02004.mat	3
200229_HG04157.pat	3
200275_HG00253.hap1	3
200301_HG01786.hap1	3
200331_HG03209.hap1	3
200348_HG03742.hap2	3
200360_NA18565.hap2	3
200363_NA18608.hap1	3
200377_NA18945.hap1	3
200452_NA20870.hap2	3
210031_APR014.hap1	3
200054_HG01123.mat	3
200353_NA18505.hap1	3
200398_NA18982.hap2	3
200443_NA20806.hap1	3
200454_NA20905.hap2	3
200227_HG04115.pat	3
200316_HG02392.hap2	3
200424_NA19776.hap2	3
200032_HG00706.mat	3
200085_HG01928.pat	3
200153_HG02572.pat	3
200181_HG02841.pat	3
200308_HG02165.hap2	3
200359_NA18565.hap1	3
200362_NA18570.hap2	3
200385_NA18960.hap1	3
200402_NA19036.hap2	3
210003_APR-M.hap1	3
210024_APR010.hap2	3
HG02554.hap2	3
120002_CN1.mat	3
200046_HG01081.mat	3
200122_HG02083.mat	3
200268_HG00140.hap2	3
200281_HG00290.hap1	3
200329_HG03195.hap1	3
200355_NA18508.hap1	3
120008_I002C.mat	3
200030_HG00673.mat	3
200080_HG01496.mat	3
200131_HG02145.pat	3
200150_HG02523.mat	3
200193_HG03098.pat	3
200305_HG02155.hap1	3
120009_KOREF1.pat	3
200195_HG03239.pat	3
200018_HG005.mat	3
200023_HG00639.pat	3
200253_HG02257.pat	3
200349_HG03784.hap1	3
200403_NA19043.hap1	3
210058_APR029.hap2	3
210078_APR039.hap2	3
200016_HG00597.mat	3
200248_NA20129.mat	3
200250_NA21309.mat	3
200419_NA19682.hap1	3
200455_NA21093.hap1	3
200017_HG005.pat	3
200069_HG01261.pat	3
200084_HG01891.mat	3
200121_HG02083.pat	3
200246_NA19240.mat	3
200272_HG00232.hap2	3
200274_HG00235.hap2	3
200428_NA19909.hap2	3
200453_NA20905.hap1	3
210025_APR011.hap1	3
200009_HG00438.pat	3
200129_HG02135.pat	3
200396_NA18976.hap2	3
200140_HG02293.mat	3
200214_HG03710.mat	3
200287_HG00323.hap1	3
200299_HG01784.hap1	3
200352_HG03874.hap2	3
200439_NA20799.hap1	3
120005_KSA001.pat	3
200022_HG00621.mat	3
200318_HG02583.hap2	3
100000_CHM13.pri	3
200098_HG01969.mat	3
200183_HG02886.pat	3
200188_HG03017.mat	3
200192_HG03050.mat	3
200319_HG02922.hap1	3
200421_NA19700.hap1	3
200082_HG01884.mat	3
200104_HG01993.mat	3
200124_HG02109.mat	3
200156_HG02602.mat	3
200264_HG00128.hap2	3
200376_NA18944.hap2	3
200004_HG06807.mat	3
200006_HG00408.mat	3
200118_HG02074.mat	3
210079_APR040.hap1	3
200095_HG01960.pat	3
200317_HG02583.hap1	3
120011_YAO.pat	3
200310_HG02178.hap2	3
210063_APR032.hap1	3
210064_APR032.hap2	3
200119_HG02080.pat	3
200278_HG00272.hap2	3
200368_NA18747.hap2	3
200144_HG02451.mat	3
200265_HG00133.hap1	3
200291_HG00344.hap1	3
200407_NA19159.hap1	3
210012_APR004.hap2	3
200036_HG00735.mat	3
200093_HG01952.pat	3
200244_NA18906.mat	3
200251_HG01978.pat	3
200389_NA18970.hap1	3
200390_NA18970.hap2	3
200060_HG01192.mat	3
200072_HG01346.mat	3
200132_HG02145.mat	3
200157_HG02615.pat	3
200416_NA19443.hap2	3
200002_HG002.mat	3
200170_HG02717.mat	3
200127_HG02132.pat	3
200289_HG00329.hap1	3
200330_HG03195.hap2	3
210068_APR034.hap2	3
210100_APR050.hap2	3
200010_HG00438.mat	3
200280_HG00280.hap2	3
200323_HG02976.hap1	3
210040_APR019.hap2	3
200404_NA19043.hap2	3
200408_NA19159.hap2	3
210056_APR027.hap2	3
200028_HG00658.mat	3
200045_HG01081.pat	3
200086_HG01928.mat	3
200089_HG01940.pat	3
200258_HG00097.hap2	3
210008_APR002.hap2	3
120010_KOREF1.mat	3
210027_APR012.hap1	3
200020_HG00609.mat	3
210036_APR016.hap2	3
200102_HG01981.mat	3
200211_HG03704.pat	3
200365_NA18620.hap1	3
200393_NA18974.hap1	3
200401_NA19036.hap1	3
200313_HG02391.hap1	3
200458_NA21102.hap2	3
200366_NA18620.hap2	3
200413_NA19391.hap1	3
200034_HG00733.mat	3
200417_NA19468.hap1	3
200043_HG01074.pat	3
200067_HG01258.pat	3
200076_HG01361.mat	3
200234_HG04184.mat	3
200065_HG01255.pat	3
200216_HG03804.mat	3
200270_HG00146.hap2	3
200284_HG00320.hap2	3
200292_HG00344.hap2	3
200014_HG00558.mat	3
200282_HG00290.hap2	3
210028_APR012.hap2	3
200226_HG03942.mat	3
200232_HG04160.mat	3
200373_NA18943.hap1	3
200171_HG02723.pat	3
200448_NA20827.hap2	3
200051_HG01109.pat	3
200090_HG01940.mat	3
200430_NA20282.hap2	3
120001_CN1.pat	3
200356_NA18508.hap2	3
200364_NA18608.hap2	3
200405_NA19087.hap1	3
200420_NA19682.hap2	3
200456_NA21093.hap2	3
200166_HG02668.mat	3
200223_HG03927.pat	3
200099_HG01975.pat	3
200221_HG03834.pat	3
200288_HG00323.hap2	3
200300_HG01784.hap2	3
200311_HG02273.hap1	3
200358_NA18522.hap2	3
200196_HG03239.mat	3
200096_HG01960.mat	3
200130_HG02135.mat	3
200242_HG04228.mat	3
120006_KSA001.mat	3
200001_HG002.pat	3
200064_HG01252.mat	3
200441_NA20805.hap1	3
200120_HG02080.mat	3
200091_HG01943.pat	3
200304_HG02040.hap2	3
200394_NA18974.hap2	3
200208_HG03669.mat	3
200105_HG02004.pat	3
200167_HG02698.pat	3
200261_HG00126.hap1	3
200049_HG01106.pat	3
200066_HG01255.mat	3
200078_HG01433.mat	3
200254_HG02257.mat	3
200110_HG02027.mat	3
200382_NA18952.hap2	3
200462_NA21110.hap2	3
200044_HG01074.mat	3
200173_HG02735.pat	3
200429_NA20282.hap1	3
210011_APR004.hap1	3
200100_HG01975.mat	3
200233_HG04184.pat	3
200320_HG02922.hap2	3
210042_APR020.hap2	3
200087_HG01934.pat	3
200147_HG02514.pat	3
200302_HG01786.hap2	3
210092_APR046.hap2	3
200450_NA20850.hap2	3
200266_HG00133.hap2	3
200024_HG00639.mat	3
200073_HG01358.pat	3
200088_HG01934.mat	3
200225_HG03942.pat	3
200133_HG02148.pat	3
200206_HG03654.mat	3
200219_HG03831.pat	3
200055_HG01150.pat	3
200209_HG03688.pat	3
200423_NA19776.hap1	3
200071_HG01346.pat	3
200351_HG03874.hap1	3
200446_NA20809.hap2	3
200257_HG00097.hap1	3
200375_NA18944.hap1	3
200406_NA19087.hap2	3
200451_NA20870.hap1	3
200074_HG01358.mat	3
200239_HG04204.pat	3
200461_NA21110.hap1	3
200240_HG04204.mat	3
200269_HG00146.hap1	3
200041_HG01071.pat	3
200047_HG01099.pat	3
200440_NA20799.hap2	3
210050_APR024.hap2	3
200230_HG04157.mat	3
200235_HG04187.pat	3
200213_HG03710.pat	3
200224_HG03927.mat	3
200433_NA20503.hap1	3
200463_NA21144.hap1	3
210006_APR001.hap2	3
200015_HG00597.pat	3
200053_HG01123.pat	3
200267_HG00140.hap1	3
210067_APR034.hap1	3
200262_HG00126.hap2	3
200107_HG02015.pat	3
200442_NA20805.hap2	3
200296_HG01167.hap2	3
210019_APR008.hap1	3
200025_HG00642.pat	3
200231_HG04160.pat	3
200279_HG00280.hap1	3
200217_HG03816.pat	3
200215_HG03804.pat	3
210072_APR036.hap2	3
200026_HG00642.mat	3
200092_HG01943.mat	3
210055_APR027.hap1	3
210098_APR049.hap2	3
120012_YAO.mat	3
200374_NA18943.hap2	3
200434_NA20503.hap2	3
210009_APR003.hap1	3
210073_APR037.hap1	3
200174_HG02735.mat	3
210054_APR026.hap2	3
200035_HG00735.pat	3
200146_HG02486.mat	3
200151_HG02559.pat	3
200464_NA21144.hap2	3
210101_APR051.hap1	3
200116_HG02071.mat	3
200263_HG00128.hap1	3
200340_HG03470.hap2	3
200431_NA20346.hap1	3
200435_NA20752.hap1	3
200128_HG02132.mat	3
200149_HG02523.pat	3
200379_NA18948.hap1	3
210051_APR025.hap1	3
210096_APR048.hap2	3
200276_HG00253.hap2	3
200290_HG00329.hap2	3
200115_HG02071.pat	3
200286_HG00321.hap2	3
200383_NA18959.hap1	3
200187_HG03017.pat	3
200437_NA20762.hap1	3
210066_APR033.hap2	3
200063_HG01252.pat	3
200037_HG00738.pat	3
200438_NA20762.hap2	3
210097_APR049.hap1	3
200008_HG00423.mat	3
200033_HG00733.pat	3
200057_HG01175.pat	3
200068_HG01258.mat	3
200273_HG00235.hap1	3
210095_APR048.hap1	3
200103_HG01993.pat	3
200108_HG02015.mat	3
210041_APR020.hap1	3
200381_NA18952.hap1	3
200094_HG01952.mat	3
200205_HG03654.pat	3
200369_NA18879.hap1	3
210052_APR025.hap2	3
210080_APR040.hap2	3
200019_HG00609.pat	3
200112_HG02055.mat	3
200162_HG02630.mat	3
200200_HG03486.mat	3
200237_HG04199.pat	3
200097_HG01969.pat	3
200139_HG02293.pat	3
200255_HG03516.pat	3
200387_NA18967.hap1	3
200243_NA18906.pat	3
200367_NA18747.hap1	3
200101_HG01981.pat	3
200361_NA18570.hap1	3
210043_APR021.hap1	3
200142_HG02300.mat	3
200075_HG01361.pat	3
200459_NA21106.hap1	3
200256_HG03516.mat	3
200160_HG02622.mat	3
200236_HG04187.mat	3
200285_HG00321.hap1	3
200444_NA20806.hap2	3
200247_NA20129.pat	3
210047_APR023.hap1	3
200202_HG03540.mat	3
210089_APR045.hap1	3
200058_HG01175.mat	3
200220_HG03831.mat	3
200388_NA18967.hap2	3
200447_NA20827.hap1	3
200154_HG02572.mat	3
200271_HG00232.hap1	3
200354_NA18505.hap2	3
200052_HG01109.mat	3
200315_HG02392.hap1	3
200400_NA18983.hap2	3
200163_HG02647.pat	3
200203_HG03579.pat	3
200307_HG02165.hap1	3
200059_HG01192.pat	3
200176_HG02738.mat	3
200005_HG00408.pat	3
200197_HG03453.pat	3
200298_HG01530.hap2	3
200342_HG03471.hap2	3
200048_HG01099.mat	3
200277_HG00272.hap1	3
200141_HG02300.pat	3
200198_HG03453.mat	3
200178_HG02809.mat	3
200418_NA19468.hap2	3
200050_HG01106.mat	3
200449_NA20850.hap1	3
210014_APR005.hap2	3
210020_APR008.hap2	4
200294_HG00350.hap2	3
200391_NA18971.hap1	3
200081_HG01884.pat	3
200169_HG02717.pat	3
200337_HG03369.hap1	3
200333_HG03225.hap1	3
200426_NA19835.hap2	3
200341_HG03471.hap1	3
200414_NA19391.hap2	3
200136_HG02258.mat	3
200322_HG02965.hap2	3
200191_HG03050.pat	3
200042_HG01071.mat	3
200343_HG03521.hap1	3
210102_APR051.hap2	3
210062_APR031.hap2	3
210094_APR047.hap2	3
210032_APR014.hap2	3
210057_APR029.hap1	3
210018_APR007.hap2	3
210045_APR022.hap1	3
210022_APR009.hap2	3
210010_APR003.hap2	3
210007_APR002.hap1	3
210002_APR-F.hap2	3
210059_APR030.hap1	3
210038_APR018.hap2	3
210065_APR033.hap1	3
210061_APR031.hap1	3
210060_APR030.hap2	3
210023_APR010.hap1	3
210048_APR023.hap2	3
210053_APR026.hap1	3
210026_APR011.hap2	3
210086_APR043.hap2	3
210034_APR015.hap2	3
210084_APR042.hap2	3
210001_APR-F.hap1	3
210104_APR052.hap2	3
210004_APR-M.hap2	3
210087_APR044.hap1	3
210103_APR052.hap1	3
210030_APR013.hap2	3
210044_APR021.hap2	3
210049_APR024.hap1	3
210071_APR036.hap1	3
210091_APR046.hap1	3
210077_APR039.hap1	3
210074_APR037.hap2	3
210035_APR016.hap1	3
210069_APR035.hap1	3
210033_APR015.hap1	3
210099_APR050.hap1	3
210039_APR019.hap1	3
210088_APR044.hap2	3
210085_APR043.hap1	3
210081_APR041.hap1	3
210037_APR018.hap1	3
210016_APR006.hap2	3
210013_APR005.hap1	3
210046_APR022.hap2	3
210093_APR047.hap1	3
210017_APR007.hap1	3
210029_APR013.hap1	3
210082_APR041.hap2	3
200332_HG03209.hap2	2
200061_HG01243.pat	2
200062_HG01243.mat	1
200123_HG02109.pat	1
200083_HG01891.pat	1
200346_HG03583.hap2	1
200327_HG03139.hap1	1
200415_NA19443.hap1	1
200328_HG03139.hap2	1
200182_HG02841.mat	1
200185_HG02984.pat	1
200336_HG03270.hap2	1
