ensg,hgnc,chrom,obs_lof,exp_lof,prior_mean,post_mean,post_lower_95,post_upper_95
ENSG00000168658,HGNC:28385,chr2,52,69.715,0.00155821,0.00039483,0.000054403,0.00107734
ENSG00000176919,HGNC:1354,chr9,21,13.6,0.00073043,0.00039522,5.18735E-05,0.00115885
ENSG00000177943,HGNC:24083,chr9,74,67.698,0.0015242,0.00041509,6.23893E-05,0.00113292
ENSG00000113492,HGNC:14412,chr5,37,28.653,0.0008993,0.00041529,5.41023E-05,0.00119375
ENSG00000111271,HGNC:21597,chr12,51,59.356,0.00051356,0.00041621,8.32936E-05,0.00109439
ENSG00000125089,HGNC:26009,chr4,52,51.337,0.00099826,0.00041674,5.92009E-05,0.00116898
ENSG00000187527,HGNC:31789,chr3,72,68.041,0.00118324,0.00041916,0.000081598,0.00104964
ENSG00000129437,HGNC:6362,chr19,12,12.303,0.00075536,0.0004211,7.05158E-05,0.00113927
ENSG00000023839,HGNC:53,chr10,73,76.597,0.00077329,0.00042178,6.20443E-05,0.00119128
ENSG00000144671,HGNC:8495,chr3,21,23.997,0.00061232,0.00042239,7.54894E-05,0.00112476
ENSG00000185615,HGNC:14180,chr16,39,22.23,0.00093863,0.00042774,6.90635E-05,0.00115811
ENSG00000163810,HGNC:11780,chr3,32,35.631,0.00101238,0.00042955,4.39805E-05,0.00131083
ENSG00000161664,HGNC:19768,chr17,23,20.471,0.00097577,0.00042955,4.77196E-05,0.00129838
ENSG00000140563,HGNC:25636,chr15,68,50.844,0.00187689,0.00043121,6.88758E-05,0.00114786
ENSG00000184571,HGNC:18443,chr22,49,50.811,0.00099566,0.0004322,6.09877E-05,0.00122172
ENSG00000214021,HGNC:24483,chr3,31,34.119,0.00114904,0.00043616,8.72346E-05,0.0010745
ENSG00000102854,HGNC:7371,chr16,35,31.429,0.00079277,0.00043637,4.46162E-05,0.00136883
ENSG00000255346,HGNC:14874,chr15,40,36.404,0.00090749,0.00043743,0.00005554,0.00127575
ENSG00000166670,HGNC:7156,chr11,22,22.206,0.00103617,0.00044082,5.55717E-05,0.00126903
ENSG00000001626,HGNC:1884,chr7,84,77.046,0.00099354,0.00044129,7.38367E-05,0.00118715
ENSG00000166748,HGNC:26504,chr15,49,54.423,0.00085313,0.00044227,5.41455E-05,0.00130993
ENSG00000162391,HGNC:25032,chr1,24,22.562,0.00073529,0.00044285,5.11386E-05,0.00134945
ENSG00000169876,HGNC:16800,chr7,85,68.48,0.00196466,0.00044298,5.25508E-05,0.00128663
ENSG00000146205,HGNC:31677,chr2,60,54.265,0.00061452,0.0004432,0.000058555,0.0013233
ENSG00000126838,HGNC:9750,chr12,64,80.804,0.00087813,0.00044341,6.47591E-05,0.0012439
ENSG00000186190,HGNC:16178,chr20,21,24.167,0.00084652,0.00044503,5.89353E-05,0.00128203
ENSG00000100652,HGNC:10905,chr14,18,8.8099,0.00093971,0.00044511,4.10402E-05,0.00142353
ENSG00000130270,HGNC:13535,chr19,47,59.275,0.00065654,0.00044606,6.83834E-05,0.0012633
ENSG00000168619,HGNC:196,chr8,47,38.193,0.00110281,0.0004491,4.14674E-05,0.00142301
ENSG00000154358,HGNC:15719,chr1,297,374.57,0.00245737,0.00044973,7.76561E-05,0.00113497
ENSG00000111331,HGNC:8088,chr12,50,49.839,0.00094012,0.00044984,0.000061863,0.0012743
ENSG00000064687,HGNC:37,chr19,90,100.53,0.00080972,0.0004512,9.32186E-05,0.00114118
ENSG00000204022,HGNC:21773,chr10,13,17.029,0.0006379,0.00045238,6.99181E-05,0.00125473
ENSG00000170054,HGNC:15995,chr14,17,12.231,0.00086664,0.0004533,6.42888E-05,0.00128919
ENSG00000125255,HGNC:10906,chr13,20,12.355,0.00087822,0.00045502,3.77846E-05,0.00149636
ENSG00000005187,HGNC:10522,chr16,26,34.184,0.00112156,0.00045512,5.42143E-05,0.00133569
ENSG00000157653,HGNC:23570,chr9,20,27.536,0.00211295,0.00045545,0.000049626,0.00132801
ENSG00000144504,HGNC:20987,chr2,38,41.042,0.00078698,0.00045627,4.61653E-05,0.00144217
ENSG00000151360,HGNC:17377,chr2,23,21.958,0.00092673,0.00045637,3.89453E-05,0.00148674
ENSG00000101203,HGNC:14670,chr20,62,63.624,0.00117417,0.00045648,0.000045173,0.00140509
ENSG00000182472,HGNC:13249,chr19,46,38.699,0.00127535,0.00045714,3.86085E-05,0.00146525
ENSG00000135773,HGNC:1486,chr1,37,42.698,0.00076204,0.00045786,6.37798E-05,0.00130594
ENSG00000176040,HGNC:30846,chr3,31,38.145,0.00100984,0.00045839,6.43735E-05,0.00129938
ENSG00000167280,HGNC:24622,chr17,37,36.426,0.00076665,0.00045867,8.06898E-05,0.00123712
ENSG00000214814,HGNC:28065,chr8,77,97.677,0.00098547,0.00045904,5.10629E-05,0.0013864
ENSG00000214013,HGNC:4139,chr15,54,56.882,0.00067017,0.00046085,9.52103E-05,0.00118521
ENSG00000182156,HGNC:23764,chr17,19,14.986,0.00129135,0.00046098,4.84641E-05,0.00136385
ENSG00000176571,HGNC:26663,chr8,24,19.617,0.00077783,0.00046169,5.56654E-05,0.00139431
ENSG00000135722,HGNC:17875,chr16,11,7.7283,0.00101217,0.00046346,5.71891E-05,0.00134448
ENSG00000162949,HGNC:16663,chr2,37,43.234,0.00067859,0.00046367,6.28232E-05,0.00136405
ENSG00000205517,HGNC:30282,chr19,46,43.529,0.00066585,0.00046708,9.35143E-05,0.00121371
ENSG00000174292,HGNC:11940,chr17,16,25.698,0.00103836,0.00046735,7.22628E-05,0.00130895
ENSG00000130997,HGNC:18870,chr4,57,49.935,0.00073134,0.0004681,7.13825E-05,0.00132023
ENSG00000104321,HGNC:497,chr8,55,59.491,0.00074128,0.00047106,8.25306E-05,0.00127624
ENSG00000124215,HGNC:15902,chr20,40,42.082,0.00071195,0.00047194,5.91236E-05,0.00141951
ENSG00000106648,HGNC:21725,chr7,22,19.12,0.00089644,0.00047379,0.000052147,0.00145149
ENSG00000124564,HGNC:10931,chr6,31,28.197,0.00074521,0.00047549,5.66569E-05,0.00144491
ENSG00000166866,HGNC:7595,chr12,66,61.125,0.00155425,0.0004755,7.93095E-05,0.00125985
ENSG00000139144,HGNC:8973,chr12,63,68.396,0.00082938,0.00047589,6.31403E-05,0.00139107
ENSG00000206177,HGNC:4826,chr16,3,4.1072,0.00156758,0.00047672,3.74038E-05,0.00145199
ENSG00000140465,HGNC:2595,chr15,23,17.908,0.00100309,0.00047686,4.17114E-05,0.00154549
ENSG00000080166,HGNC:2709,chr13,23,27.76,0.00084147,0.00047694,5.76357E-05,0.00143051
ENSG00000047936,HGNC:10261,chr6,113,118.35,0.0011604,0.00047808,7.42254E-05,0.00131029
ENSG00000175711,HGNC:21727,chr17,36,26.1,0.0006588,0.00048007,0.000088469,0.00129041
ENSG00000147485,HGNC:26359,chr8,58,66.153,0.00099341,0.00048195,6.59181E-05,0.00134587
ENSG00000134538,HGNC:10959,chr12,32,31.744,0.0010674,0.00048248,5.72364E-05,0.00143358
ENSG00000172752,HGNC:26674,chr3,83,108.3,0.0139968,0.00048283,4.97588E-05,0.0013308
ENSG00000162994,HGNC:26453,chr2,31,30.862,0.00082833,0.00048322,7.27544E-05,0.00135212
ENSG00000237524,HGNC:52387,chr2,9,8.5607,0.0136433,0.00048322,4.90138E-05,0.0012515
ENSG00000196611,HGNC:7155,chr11,25,22.869,0.00097442,0.00048379,6.62597E-05,0.00139362
ENSG00000129988,HGNC:6517,chr20,23,24.494,0.00071699,0.00048505,8.00639E-05,0.00134669
ENSG00000154269,HGNC:3358,chr6,41,51.898,0.00065087,0.00048621,9.10107E-05,0.0012985
ENSG00000106066,HGNC:14399,chr7,20,27.119,0.00072841,0.00048773,6.65598E-05,0.00143098
ENSG00000133488,HGNC:20627,chr22,20,25.763,0.00075688,0.00048788,6.29001E-05,0.00144185
ENSG00000156787,HGNC:30888,chr8,40,60.731,0.00082975,0.00048856,9.19243E-05,0.00150154
ENSG00000128536,HGNC:26308,chr7,37,38.242,0.00133556,0.0004886,3.77615E-05,0.00159691
ENSG00000102763,HGNC:29071,chr13,107,109.28,0.00079524,0.00048869,0.00011895,0.00117174
ENSG00000141527,HGNC:16446,chr17,36,47.791,0.0005891,0.00048882,7.57909E-05,0.00140054
ENSG00000173093,HGNC:26669,chr12,29,30.548,0.00084294,0.00048991,5.25309E-05,0.00152148
ENSG00000118113,HGNC:7175,chr11,32,24.117,0.00096253,0.00049018,4.88756E-05,0.00154214
ENSG00000175664,HGNC:28622,chr13,14,15.626,0.00152826,0.00049057,1.83119E-05,0.00221992
ENSG00000181381,HGNC:26429,chr4,67,81.674,0.0011015,0.00049094,5.76932E-05,0.00146029
ENSG00000186474,HGNC:6360,chr19,8,10.566,0.00088185,0.00049108,2.43862E-05,0.00206034
ENSG00000111700,HGNC:10961,chr12,33,28.537,0.00085114,0.00049235,4.70069E-05,0.00157763
ENSG00000188086,HGNC:30717,chr3,6,7.0898,0.0011098,0.00049338,4.73046E-05,0.00154016
ENSG00000084734,HGNC:4196,chr2,31,36.415,0.00090065,0.00049674,5.68108E-05,0.0015104
ENSG00000137225,HGNC:1478,chr6,39,44.268,0.00074494,0.00049692,4.88958E-05,0.00152021
ENSG00000142661,HGNC:26679,chr1,76,83.143,0.00103067,0.00049766,7.84105E-05,0.0013589
ENSG00000136059,HGNC:30906,chr3,39,46.676,0.00093442,0.00049825,8.04752E-05,0.00136931
ENSG00000108242,HGNC:2620,chr10,16,18.476,0.00078367,0.00050307,7.55288E-05,0.00140457
ENSG00000100565,HGNC:23346,chr14,23,25.958,0.00132675,0.00050365,5.31607E-05,0.00134816
ENSG00000104755,HGNC:198,chr8,36,40.428,0.00088675,0.00050477,0.000054386,0.00154504
ENSG00000187715,HGNC:25731,chr3,23,26.427,0.00090546,0.0005049,6.31236E-05,0.00150244
ENSG00000139410,HGNC:30404,chr12,15,12.119,0.00068424,0.00050885,8.15807E-05,0.00143185
ENSG00000145244,HGNC:19012,chr4,53,54.064,0.00115663,0.00050988,5.98126E-05,0.00152094
ENSG00000197241,HGNC:13445,chr1,28,22.887,0.0008422,0.00051003,6.31125E-05,0.00152456
ENSG00000132763,HGNC:24525,chr1,18,14.824,0.00082685,0.0005107,5.86371E-05,0.00156153
ENSG00000013288,HGNC:29623,chr4,41,52.625,0.00060747,0.00051137,8.71423E-05,0.00142593
ENSG00000141338,HGNC:38,chr17,80,81.259,0.00077843,0.00051256,0.00010536,0.00130899
ENSG00000167207,HGNC:5331,chr16,44,41.498,0.00078336,0.00051257,5.76673E-05,0.00158425
ENSG00000005469,HGNC:2366,chr7,40,44.399,0.00074901,0.00051275,8.44414E-05,0.00142172
ENSG00000104760,HGNC:3695,chr8,31,19.431,0.00096624,0.00051467,6.81578E-05,0.00150433
ENSG00000164674,HGNC:15587,chr6,32,35.048,0.0009923,0.00051502,6.50666E-05,0.00152002
ENSG00000008226,HGNC:2899,chr3,67,90.112,0.0007093,0.0005167,0.000063516,0.00156808
ENSG00000174175,HGNC:10721,chr1,47,45.434,0.00108769,0.00051672,6.17487E-05,0.00154188
ENSG00000088926,HGNC:3529,chr4,37,33.679,0.00076799,0.00051739,7.82313E-05,0.00146973
ENSG00000184428,HGNC:29787,chr8,45,34.269,0.00110427,0.00051761,8.82357E-05,0.00138602
ENSG00000158486,HGNC:2949,chr16,132,191.11,0.0008792,0.0005177,7.74364E-05,0.00144793
ENSG00000168907,HGNC:27396,chr15,44,48.484,0.00072695,0.00051833,0.000053385,0.00164622
ENSG00000006747,HGNC:21695,chr7,48,36.797,0.00109963,0.00051841,7.51023E-05,0.00145784
ENSG00000206384,HGNC:27023,chr3,78,92.935,0.00087193,0.00051858,0.00012308,0.00125101
ENSG00000165953,HGNC:18359,chr14,10,11.229,0.00099091,0.00051913,5.79614E-05,0.0015845
ENSG00000109625,HGNC:2333,chr4,43,25.314,0.00130294,0.00052006,6.60478E-05,0.00151063
ENSG00000173467,HGNC:24167,chr7,22,11,0.00093902,0.00052238,6.25538E-05,0.00157089
ENSG00000171495,HGNC:26857,chr5,69,88.758,0.0009457,0.00052391,6.93811E-05,0.00152303
ENSG00000164308,HGNC:29499,chr5,45,48.461,0.00112393,0.00052439,6.65442E-05,0.00153919
ENSG00000172828,HGNC:1865,chr16,21,26.395,0.00081923,0.00052538,6.67421E-05,0.00157504
ENSG00000146809,HGNC:19767,chr7,24,26.251,0.00102439,0.00052604,7.10555E-05,0.00149863
ENSG00000163395,HGNC:24607,chr1,92,116.43,0.00124275,0.00052629,3.78171E-05,0.00175463
ENSG00000131969,HGNC:19837,chr14,21,19.055,0.0009884,0.00052697,7.14389E-05,0.00151244
ENSG00000171903,HGNC:13265,chr19,30,26.74,0.00108804,0.00052802,5.20298E-05,0.0016593
ENSG00000132554,HGNC:24499,chr8,56,73.208,0.00053913,0.00052832,9.87927E-05,0.0014438
ENSG00000167968,HGNC:2958,chr16,11,13.026,0.00069006,0.00052915,0.000065488,0.00161506
ENSG00000119943,HGNC:23517,chr10,26,30.945,0.00066889,0.00053059,9.53471E-05,0.0014502
ENSG00000142185,HGNC:12339,chr21,70,76.81,0.00081621,0.00053151,9.41213E-05,0.00143416
ENSG00000100767,HGNC:19262,chr14,60,65.224,0.00100603,0.00053359,7.70146E-05,0.00150663
ENSG00000042980,HGNC:206,chr8,39,43.831,0.00082146,0.00053608,6.14021E-05,0.00164937
ENSG00000110002,HGNC:6658,chr11,41,36.355,0.00067243,0.00053621,0.0001236,0.00133576
ENSG00000183977,HGNC:28406,chr3,9,14.01,0.00105899,0.00053655,4.66653E-05,0.00172199
ENSG00000153347,HGNC:26335,chr5,20,25.506,0.00205074,0.0005366,7.65172E-05,0.00142933
ENSG00000172497,HGNC:24436,chr5,25,32.131,0.00087542,0.00053735,5.98257E-05,0.00165824
ENSG00000169962,HGNC:15661,chr1,34,28.932,0.00093886,0.00054049,4.33168E-05,0.00180122
ENSG00000102890,HGNC:17289,chr16,30,41.948,0.00079586,0.0005407,8.22193E-05,0.00153041
ENSG00000115919,HGNC:6469,chr2,27,27.511,0.00095186,0.00054116,6.37516E-05,0.00164225
ENSG00000170209,HGNC:21027,chr11,20,25.012,0.00070838,0.00054148,7.03776E-05,0.00162323
ENSG00000174527,HGNC:13879,chr12,47,62.297,0.00091441,0.00054155,7.01243E-05,0.00160032
ENSG00000167701,HGNC:4552,chr8,26,22.157,0.00096311,0.000542,9.53006E-05,0.0014557
ENSG00000138356,HGNC:553,chr2,59,78.306,0.00068324,0.00054207,8.01858E-05,0.00156659
ENSG00000103021,HGNC:25002,chr16,23,22.829,0.00109939,0.00054308,4.70476E-05,0.0017678
ENSG00000168060,HGNC:23536,chr11,34,37.601,0.00087791,0.0005434,6.16262E-05,0.00167232
ENSG00000149968,HGNC:7173,chr11,22,22.173,0.00071697,0.00054372,0.000091926,0.00150879
ENSG00000166105,HGNC:25147,chr11,36,39.291,0.00070858,0.00054392,5.93726E-05,0.00171143
ENSG00000128284,HGNC:14868,chr22,5,5.1425,0.00125603,0.00054431,0.000068708,0.00153703
ENSG00000204614,HGNC:18736,chr6,14,11.123,0.00141794,0.00054445,5.67488E-05,0.00163007
ENSG00000131183,HGNC:11019,chr5,34,24.176,0.00112411,0.00054592,8.37846E-05,0.00151914
ENSG00000121053,HGNC:3423,chr17,32,35.062,0.00143163,0.00054608,8.45107E-05,0.00146622
ENSG00000172940,HGNC:8494,chr3,21,21.976,0.00085066,0.00054644,7.02708E-05,0.00162499
ENSG00000181240,HGNC:28533,chr19,17,16.699,0.00089535,0.00054723,5.09795E-05,0.0017662
ENSG00000152463,HGNC:25625,chr10,14,13.368,0.0008665,0.0005482,4.38194E-05,0.00184203
ENSG00000182685,HGNC:28309,chr16,21,12.68,0.00118174,0.00054924,6.86843E-05,0.00161049
ENSG00000137959,HGNC:17817,chr1,18,17.556,0.00119876,0.00054972,3.91232E-05,0.00183635
ENSG00000101812,HGNC:27867,chrX,3,4.357,0.00666303,0.00055078,1.85143E-05,0.00299534
ENSG00000109511,HGNC:534,chr4,22,25.33,0.00088878,0.00055185,6.42154E-05,0.00168186
ENSG00000138472,HGNC:4680,chr3,9,7.0793,0.0013868,0.00055206,3.30526E-05,0.00235026
ENSG00000133943,HGNC:20498,chr14,31,27,0.00071931,0.00055226,9.39767E-05,0.00152951
ENSG00000118997,HGNC:18661,chr2,140,192.4,0.00082863,0.00055335,0.00011994,0.00138347
ENSG00000184647,HGNC:30824,chr8,14,10.387,0.00092679,0.00055383,5.21028E-05,0.0017808
ENSG00000138068,HGNC:33433,chr2,24,14.139,0.00098736,0.0005546,6.59599E-05,0.00167299
ENSG00000133317,HGNC:15788,chr11,18,16.75,0.00090942,0.00055461,5.07912E-05,0.00179919
ENSG00000185522,HGNC:28561,chr11,34,25.764,0.00222686,0.00055478,6.18214E-05,0.00164031
ENSG00000173401,HGNC:28392,chr12,10,11.653,0.00077817,0.00055506,5.37264E-05,0.00180447
ENSG00000131781,HGNC:3773,chr1,22,21.687,0.00077874,0.00055533,9.03811E-05,0.00155337
ENSG00000147614,HGNC:18266,chr8,17,18.149,0.00077926,0.00055577,8.10612E-05,0.00160346
ENSG00000141434,HGNC:7020,chr18,37,38.05,0.00120104,0.00055619,7.70827E-05,0.00158347
ENSG00000137860,HGNC:11002,chr15,38,32.529,0.0006104,0.00055654,9.75749E-05,0.00154774
ENSG00000170890,HGNC:9030,chr12,12,6.3364,0.00079132,0.00055683,6.17926E-05,0.00174075
ENSG00000183067,HGNC:5952,chr21,23,19.258,0.0013382,0.00055771,8.07014E-05,0.00154382
ENSG00000137251,HGNC:14599,chr6,36,33.494,0.00119674,0.00055775,6.48138E-05,0.00167253
ENSG00000144407,HGNC:9609,chr2,30,29.225,0.0016101,0.00055779,0.00009617,0.00144323
ENSG00000004809,HGNC:20302,chr6,34,23.797,0.00090251,0.00055833,5.15667E-05,0.00180608
ENSG00000086288,HGNC:16473,chr7,41,39.723,0.00084411,0.00055838,5.34652E-05,0.00179914
ENSG00000103852,HGNC:25730,chr15,31,23.585,0.00079358,0.00055904,0.00011239,0.00145537
ENSG00000250741,HGNC:38831,chr2,19,29.44,0.00509623,0.00055943,8.39771E-05,0.00137907
ENSG00000158714,HGNC:21391,chr1,10,14.213,0.00078249,0.00056129,0.000071666,0.00167931
ENSG00000124003,HGNC:18210,chr2,15,14.849,0.00088609,0.00056282,4.97878E-05,0.00184458
ENSG00000174945,HGNC:22231,chr7,28,17.392,0.00105236,0.0005632,7.31363E-05,0.00165691
ENSG00000166634,HGNC:14220,chr18,30,17.327,0.001094,0.00056335,5.63326E-05,0.00176948
ENSG00000156194,HGNC:9244,chr4,28,39.788,0.00083605,0.00056407,5.68038E-05,0.00179662
ENSG00000101280,HGNC:487,chr20,23,24.585,0.00064224,0.00056449,9.51835E-05,0.00158676
ENSG00000149124,HGNC:13734,chr11,11,10.264,0.00080825,0.00056554,5.19149E-05,0.00185266
ENSG00000006788,HGNC:7571,chr17,76,102.82,0.00237112,0.00056554,4.33106E-05,0.00181626
ENSG00000196136,HGNC:16,chr14,17,11.884,0.00086223,0.00056578,6.09373E-05,0.00177253
ENSG00000167700,HGNC:25157,chr8,15,11.508,0.00079174,0.0005659,7.23289E-05,0.00170165
ENSG00000134160,HGNC:7146,chr15,70,79.975,0.00892697,0.0005662,0.000083578,0.0014058
ENSG00000203797,HGNC:2727,chr6,16,19.639,0.00067435,0.0005671,6.90756E-05,0.00174564
ENSG00000014257,HGNC:125,chr3,24,24.059,0.00068253,0.00056721,9.61987E-05,0.00158191
ENSG00000162542,HGNC:27393,chr1,31,32.066,0.00110972,0.00056725,0.000061202,0.00174727
ENSG00000236699,HGNC:25968,chr4,19,30.459,0.00073495,0.00056728,9.02192E-05,0.00159619
ENSG00000171174,HGNC:30325,chr2,13,13.451,0.00071659,0.00056793,0.00013199,0.00140266
ENSG00000149292,HGNC:23700,chr11,31,39.921,0.00070255,0.00056826,0.00010047,0.00154896
ENSG00000149043,HGNC:19264,chr11,30,18.724,0.00096636,0.0005706,7.17934E-05,0.00169342
ENSG00000009724,HGNC:6902,chr1,24,29.462,0.00087944,0.0005712,7.45036E-05,0.00169785
ENSG00000105501,HGNC:10874,chr19,12,19.812,0.00110826,0.00057173,6.72964E-05,0.00167472
ENSG00000175003,HGNC:10963,chr6,30,24.207,0.00075019,0.00057175,8.77874E-05,0.00163467
ENSG00000176978,HGNC:14892,chr9,30,25.311,0.00077291,0.00057314,9.29225E-05,0.00160777
ENSG00000187609,HGNC:26023,chr9,30,40.713,0.00110474,0.00057326,5.61132E-05,0.00180905
ENSG00000188833,HGNC:24860,chr9,19,22.62,0.00068235,0.00057642,0.000063459,0.00182625
ENSG00000141179,HGNC:8752,chr17,16,14.296,0.0007876,0.00057671,8.64352E-05,0.00165874
ENSG00000166558,HGNC:32434,chr16,30,20.053,0.00081604,0.00057675,0.000081314,0.00168431
ENSG00000181085,HGNC:24667,chr8,30,27.005,0.00138491,0.00057719,8.11499E-05,0.00163193
ENSG00000156886,HGNC:6146,chr16,43,64.03,0.00068248,0.00057882,6.38491E-05,0.00182744
ENSG00000150756,HGNC:27029,chr5,13,12.218,0.00070588,0.00057923,0.000131,0.00145937
ENSG00000213965,HGNC:32036,chr19,17,8.1578,0.00094075,0.00057963,7.20732E-05,0.00174184
ENSG00000063127,HGNC:13622,chr19,23,29.957,0.00074956,0.00058034,6.94181E-05,0.001789
ENSG00000006606,HGNC:10625,chr7,3,3.7588,0.00121967,0.00058077,6.15654E-05,0.00175995
ENSG00000124568,HGNC:10929,chr6,24,24.589,0.00090518,0.00058077,6.49679E-05,0.00179485
ENSG00000087076,HGNC:23238,chr19,16,15.824,0.00084246,0.00058295,0.000072288,0.00173729
ENSG00000162836,HGNC:29609,chr1,20,20.953,0.00063412,0.00058299,0.00012892,0.00149447
ENSG00000165841,HGNC:2621,chr10,25,17.621,0.00126135,0.00058356,6.44321E-05,0.00175868
ENSG00000215018,HGNC:22442,chr7,55,66.335,0.00083266,0.00058375,0.00013054,0.00145034
ENSG00000161243,HGNC:18753,chr19,15,12.684,0.00098345,0.00058388,8.69091E-05,0.0016563
ENSG00000257335,HGNC:7043,chr7,72,104.25,0.00064716,0.00058431,9.25524E-05,0.00167473
ENSG00000174125,HGNC:11847,chr4,29,20.551,0.00079165,0.00058443,7.07108E-05,0.00179406
ENSG00000104921,HGNC:3612,chr19,18,19.51,0.00136434,0.00058466,5.03499E-05,0.00187481
ENSG00000111325,HGNC:25823,chr12,16,13.259,0.00079381,0.00058466,8.61232E-05,0.00168556
ENSG00000185873,HGNC:25398,chr4,25,19.695,0.00094452,0.00058486,0.000063112,0.00181385
