chromosome,start,end,population,avg_pairwise_myr,genes,genes_renamed,descriptions
chr8_hap1_hsa10,144937000,144938000,Chimpanzee,8.45,INPP5A,INPP5A,inositol polyphosphate-5-phosphatase A
chr11_hap1_hsa9,97265000,97266000,Chimpanzee,8.41,ADAMTSL1,ADAMTSL1,ADAMTS like 1
chr4_hap1_hsa5,177595000,177596000,Chimpanzee,8.38,RASGEF1C,RASGEF1C,RasGEF domain family member 1C
chr6_hap1_hsa7,173146000,173147000,Chimpanzee,8.29,PTPRN2,PTPRN2,protein tyrosine phosphatase receptor type N2
chr5_hap1_hsa6,36937000,36938000,Chimpanzee,8.26,LOC462552,HCG22 ,protein PBMUCL2
chr10_hap1_hsa12,136657000,136658000,Chimpanzee,8.22,TMEM132D,TMEM132D,transmembrane protein 132D
chr23_hap1_hsa22,48857000,48858000,Chimpanzee,8.01,TBC1D22A,TBC1D22A,TBC1 domain family member 22A
chr20_hap1_hsa19,59175000,59176000,Chimpanzee,8.00,ZSCAN5A,ZSCAN5A,zinc finger and SCAN domain containing 5A
chr19_hap1_hsa17,96110000,96111000,Chimpanzee,7.96,FN3K,FN3K,fructosamine 3 kinase
chr5_hap1_hsa6,37245000,37246000,Chimpanzee,7.95,PATR-B,HLA-B,major histocompatibility complex%2C class I%2C B
chr4_hap1_hsa5,178394000,178395000,Chimpanzee,7.88,BTNL8,BTNL8,butyrophilin like 8
chr8_hap1_hsa10,139431000,139432000,Chimpanzee,7.85,DOCK1,DOCK1,dedicator of cytokinesis 1
chr11_hap1_hsa9,115597000,115598000,Chimpanzee,7.85,DOCK8,DOCK8,dedicator of cytokinesis 8
chr10_hap1_hsa12,138617000,138618000,Chimpanzee,7.66,SFSWAP,SFSWAP,splicing factor SWAP
chr8_hap1_hsa10,144352000,144353000,Chimpanzee,7.54,JAKMIP3,JAKMIP3,Janus kinase and microtubule interacting protein 3
chr7_hap1_hsa8,59049000,59050000,Chimpanzee,7.52,SNTG1,SNTG1,syntrophin gamma 1
chr18_hap1_hsa16,2513000,2514000,Chimpanzee,7.51,LOC129137268,HBA3-like,hemoglobin subunit alpha-3-like
chr10_hap1_hsa12,9611000,9612000,Chimpanzee,7.51,CACNA1C,CACNA1C,calcium voltage-gated channel subunit alpha1 C
chr12_hap1_hsa2a,91928000,91929000,Chimpanzee,7.49,GALNT14,GALNT14,polypeptide N-acetylgalactosaminyltransferase 14
chr20_hap1_hsa19,12788000,12789000,Chimpanzee,7.49,LOC468717,C3P1,putative protein C3P1
chr2_hap1_hsa3,11385000,11386000,Chimpanzee,7.45,GRM7,GRM7,glutamate metabotropic receptor 7
chr7_hap1_hsa8,16490000,16491000,Chimpanzee,7.43,MSRA,MSRA,methionine sulfoxide reductase A
chr7_hap1_hsa8,16490000,16491000,Chimpanzee,7.43,PRSS51,PRSS51,serine protease 51
chr5_hap1_hsa6,70739000,70740000,Chimpanzee,7.42,LOC100609532,EYS,protein eyes shut homolog
chr20_hap1_hsa19,4977000,4978000,Chimpanzee,7.39,GNG7,GNG7,G protein subunit gamma 7
chr1_hap1_hsa1,228446000,228447000,Chimpanzee,7.37,WRAP73,WRAP73,WD repeat containing%2C antisense to TP73
chr23_hap1_hsa22,52884000,52885000,Chimpanzee,7.36,ACR,ACR,acrosin
chr5_hap1_hsa6,35680000,35681000,Chimpanzee,7.29,LOC134810183,MICB,MHC class I polypeptide-related sequence B-like
chr20_hap1_hsa19,55138000,55139000,Chimpanzee,7.28,ZNF766,ZNF766,zinc finger protein 766
chr19_hap1_hsa17,11340000,11341000,Chimpanzee,7.27,NXN,NXN,nucleoredoxin
chr20_hap1_hsa19,59634000,59635000,Chimpanzee,7.27,LOC104003467,OR1L4,olfactory receptor 1L4-like
chr8_hap1_hsa10,27469000,27470000,Chimpanzee,7.27,FAM107B,FAM107B,family with sequence similarity 107 member B
chr22_hap1_hsa21,46564000,46565000,Chimpanzee,7.27,PCBP3,PCBP3,poly(rC) binding protein 3
chr2_hap1_hsa3,197633000,197634000,Chimpanzee,7.21,ATP13A3,ATP13A3,ATPase 13A3
chr5_hap1_hsa6,36034000,36035000,Chimpanzee,7.21,TRIM31,TRIM31,tripartite motif containing 31
chr20_hap1_hsa19,57405000,57406000,Chimpanzee,7.20,LILRA2,LILRA2,leukocyte immunoglobulin-like receptor%2C subfamily A (with TM domain)%2C member 2
chr9_hap1_hsa11,9137000,9138000,Chimpanzee,7.18,MMP26,MMP26,matrix metallopeptidase 26
chr7_hap1_hsa8,27539000,27540000,Chimpanzee,7.12,PSD3,PSD3,pleckstrin and Sec7 domain containing 3
chr1_hap1_hsa1,215548000,215549000,Chimpanzee,7.11,DDI2,DDI2,DNA damage inducible 1 homolog 2
chr9_hap1_hsa11,82149000,82150000,Chimpanzee,7.11,TENM4,TENM4,teneurin transmembrane protein 4
chr7_hap1_hsa8,8247000,8248000,Chimpanzee,7.10,DLGAP2,DLGAP2,DLG associated protein 2
chr9_hap1_hsa11,4410000,4411000,Chimpanzee,7.08,SIRT3,SIRT3,sirtuin 3
chr5_hap1_hsa6,136219000,136220000,Chimpanzee,7.06,NKAIN2,NKAIN2,sodium/potassium transporting ATPase interacting 2
chr6_hap1_hsa7,168004000,168005000,Chimpanzee,7.03,ACTR3B,ACTR3B,actin related protein 3B
chr12_hap1_hsa2a,121780000,121781000,Chimpanzee,7.00,SNTG2,SNTG2,syntrophin gamma 2
chr9_hap1_hsa11,8525000,8526000,Chimpanzee,6.99,LOC129136397,SSU72L2 ,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like
chr2_hap1_hsa3,200825000,200826000,Chimpanzee,6.98,LOC112208690,MYLK2 ,myosin light chain kinase 2%2C skeletal/cardiac muscle-like
chr7_hap1_hsa8,10859000,10860000,Chimpanzee,6.98,CSMD1,CSMD1,CUB and Sushi multiple domains 1
chr6_hap1_hsa7,172006000,172007000,Chimpanzee,6.96,NOM1,NOM1,nucleolar protein with MIF4G domain 1
chr9_hap1_hsa11,9604000,9605000,Chimpanzee,6.94,HBE1,HBE1,hemoglobin subunit epsilon 1 
chr11_hap1_hsa9,115781000,115782000,Chimpanzee,6.93,ZNG1A,ZNG1A,Zn regulated GTPase metalloprotein activator 1A
chr20_hap1_hsa19,57454000,57455000,Chimpanzee,6.92,LILRB1,LILRB1,leukocyte immunoglobulin like receptor B1
chr14_hap1_hsa13,83339000,83340000,Chimpanzee,6.90,LOC100611617,UPF0607 ,putative UPF0607 protein ENSP00000383144
chr2_hap1_hsa3,4420000,4421000,Chimpanzee,6.90,CHL1,CHL1,cell adhesion molecule L1 like
chr20_hap1_hsa19,55368000,55369000,Chimpanzee,6.88,ZNF578,ZNF578,zinc finger protein 578
chr11_hap1_hsa9,106274000,106275000,Chimpanzee,6.88,PTPRD,PTPRD,protein tyrosine phosphatase receptor type D
chr11_hap1_hsa9,104189000,104190000,Chimpanzee,6.88,TYRP1,TYRP1,tyrosinase related protein 1
chr5_hap1_hsa6,180022000,180023000,Chimpanzee,6.86,LOC104007081,SIMC1,SUMO-interacting motif-containing protein 1
chr1_hap1_hsa1,215894000,215895000,Chimpanzee,6.82,FHAD1,FHAD1,forkhead associated phosphopeptide binding domain 1
chr3_hap1_hsa4,7829000,7830000,Chimpanzee,6.82,SORCS2,SORCS2,sortilin related VPS10 domain containing receptor 2
chr19_hap1_hsa17,10785000,10786000,Chimpanzee,6.81,RPH3AL,RPH3AL,rabphilin 3A like (without C2 domains)
chr1_hap1_hsa1,2992000,2993000,Chimpanzee,6.81,SMYD3,SMYD3,SET and MYND domain containing 3
chr10_hap1_hsa12,139904000,139905000,Chimpanzee,6.81,ZNF26,ZNF26,zinc finger protein 26
chr10_hap1_hsa12,8607000,8608000,Chimpanzee,6.80,ERC1,ERC1,ELKS/RAB6-interacting/CAST family member 1
chr16_hap1_hsa15,7109000,7110000,Chimpanzee,6.77,LOC100613625,GOLGA8G,putative golgin subfamily A member 8G
chr18_hap1_hsa16,4112000,4113000,Chimpanzee,6.76,MAPK8IP3,MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3
chr18_hap1_hsa16,81663000,81664000,Chimpanzee,6.72,CDH13,CDH13,cadherin 13
chr1_hap1_hsa1,209583000,209584000,Chimpanzee,6.72,NBPF3,NBPF3,NBPF member 3
chr11_hap1_hsa9,4505000,4506000,Chimpanzee,6.72,VAV2,VAV2,vav guanine nucleotide exchange factor 2
chr9_hap1_hsa11,133604000,133605000,Chimpanzee,6.71,NTM,NTM,neurotrimin
chr20_hap1_hsa19,57549000,57550000,Chimpanzee,6.68,LOC100608180,LILRB3,leukocyte immunoglobulin-like receptor subfamily B member 3-like
chr1_hap1_hsa1,878000,879000,Chimpanzee,6.67,OR2M4,OR2M4,olfactory receptor family 2 subfamily M member 4
chr15_hap1_hsa14,103469000,103470000,Chimpanzee,6.67,MTA1,MTA1,metastasis associated 1
chr10_hap1_hsa12,135735000,135736000,Chimpanzee,6.66,GLT1D1,GLT1D1,glycosyltransferase 1 domain containing 1
chr11_hap1_hsa9,2162000,2163000,Chimpanzee,6.64,CCDC187,CCDC187,coiled-coil domain containing 187
chr8_hap1_hsa10,145654000,145655000,Chimpanzee,6.59,PAOX,PAOX,polyamine oxidase
chr13_hap1_hsa2b,16043000,16044000,Chimpanzee,6.58,DPP10,DPP10,dipeptidyl peptidase like 10
chr7_hap1_hsa8,63966000,63967000,Chimpanzee,6.56,XKR4,XKR4,XK related 4
chr9_hap1_hsa11,9518000,9519000,Chimpanzee,6.55,OR51M1,OR51M1,olfactory receptor family 51 subfamily M member 1
chr18_hap1_hsa16,25467000,25468000,Chimpanzee,6.55,HS3ST2,HS3ST2,heparan sulfate-glucosamine 3-sulfotransferase 2
chr5_hap1_hsa6,55337000,55338000,Chimpanzee,6.52,CENPQ,CENPQ,centromere protein Q
chr19_hap1_hsa17,13589000,13590000,Chimpanzee,6.52,OR1D2,OR1D2,olfactory receptor family 1 subfamily D member 2
chr6_hap1_hsa7,14458000,14459000,Chimpanzee,6.52,NXPH1,NXPH1,neurexophilin 1
chr6_hap1_hsa7,9892000,9893000,Chimpanzee,6.51,SDK1,SDK1,sidekick cell adhesion molecule 1
chr1_hap1_hsa1,228256000,228257000,Chimpanzee,6.50,CEP104,CEP104,centrosomal protein 104
chr2_hap1_hsa3,34772000,34773000,Chimpanzee,6.50,GADL1,GADL1,glutamate decarboxylase like 1
chr8_hap1_hsa10,67178000,67179000,Chimpanzee,6.49,PCDH15,PCDH15,protocadherin related 15
chr1_hap1_hsa1,127573000,127574000,Chimpanzee,6.48,AMY2B,AMY2B,amylase alpha 2B
chr9_hap1_hsa11,8841000,8842000,Chimpanzee,6.46,OR51E2,OR51E2,olfactory receptor family 51 subfamily E member 2
chr20_hap1_hsa19,57492000,57493000,Chimpanzee,6.46,LILRB4,LILRB4,leukocyte immunoglobulin like receptor B4
chr13_hap1_hsa2b,69131000,69132000,Chimpanzee,6.45,XIRP2,XIRP2,xin actin binding repeat containing 2
chr18_hap1_hsa16,9865000,9866000,Chimpanzee,6.45,RBFOX1,RBFOX1,RNA binding fox-1 homolog 1
chr11_hap1_hsa9,110197000,110198000,Chimpanzee,6.44,RIC1,RIC1,RIC1 homolog%2C RAB6A GEF complex partner 1
chr7_hap1_hsa8,155343000,155344000,Chimpanzee,6.42,ZNF16,ZNF16,zinc finger protein 16
chr6_hap1_hsa7,6595000,6596000,Chimpanzee,6.42,PRKAR1B,PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta
chr13_hap1_hsa2b,141281000,141282000,Chimpanzee,6.42,HDAC4,HDAC4,histone deacetylase 4
chr18_hap1_hsa16,21669000,21670000,Chimpanzee,6.41,TMC7,TMC7,transmembrane channel like 7
chr1_hap1_hsa1,1189000,1190000,Chimpanzee,6.40,TRIM58,TRIM58,tripartite motif containing 58
chr10_hap1_hsa12,25432000,25433000,Chimpanzee,6.40,PIK3C2G,PIK3C2G,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma
chr4_hap1_hsa5,177803000,177804000,Chimpanzee,6.39,GFPT2,GFPT2,glutamine-fructose-6-phosphate transaminase 2
chr3_hap1_hsa4,65578000,65579000,Chimpanzee,6.39,TECRL,TECRL,trans-2%2C3-enoyl-CoA reductase like
chr10_hap1_hsa12,84444000,84445000,Chimpanzee,6.39,NAV3,NAV3,neuron navigator 3
chr2_hap1_hsa3,5236000,5237000,Chimpanzee,6.37,CNTN6,CNTN6,contactin 6
chr1_hap1_hsa1,205550000,205551000,Chimpanzee,6.37,LOC112209443,RH-like-IIR,RH-like protein IIR
chr8_hap1_hsa10,26789000,26790000,Chimpanzee,6.35,FRMD4A,FRMD4A,FERM domain containing 4A
chr5_hap1_hsa6,35392000,35393000,Chimpanzee,6.34,OR10C1,OR10C1,olfactory receptor family 11 subfamily A member 1
chr5_hap1_hsa6,35392000,35393000,Chimpanzee,6.34,OR11A1,OR11A1,olfactory receptor family 10 subfamily C member 1
chr5_hap1_hsa6,174681000,174682000,Chimpanzee,6.31,PRKN,PRKN,parkin RBR E3 ubiquitin protein ligase
chr7_hap1_hsa8,8978000,8979000,Chimpanzee,6.30,MYOM2,MYOM2,myomesin 2
chr4_hap1_hsa5,176626000,176627000,Chimpanzee,6.30,ADAMTS2,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2
chr20_hap1_hsa19,59141000,59142000,Chimpanzee,6.30,ZSCAN5B,ZSCAN5B,zinc finger and SCAN domain containing 5B
chr10_hap1_hsa12,17361000,17362000,Chimpanzee,6.29,KLRD1,KLRD1,killer cell lectin like receptor D1
chr3_hap1_hsa4,6696000,6697000,Chimpanzee,6.29,PPP2R2C,PPP2R2C,protein phosphatase 2 regulatory subunit Bgamma
chr18_hap1_hsa16,82568000,82569000,Chimpanzee,6.28,ATP2C2,ATP2C2,ATPase secretory pathway Ca2+ transporting 2
chr8_hap1_hsa10,13134000,13135000,Chimpanzee,6.25,DIP2C,DIP2C,disco interacting protein 2 homolog C
chr19_hap1_hsa17,11787000,11788000,Chimpanzee,6.25,TRARG1,TRARG1,trafficking regulator of GLUT4 (SLC2A4) 1
chr10_hap1_hsa12,17514000,17515000,Chimpanzee,6.25,KLRC4,KLRC4,killer cell lectin like receptor C4
chr3_hap1_hsa4,3894000,3895000,Chimpanzee,6.23,DOK7,DOK7,docking protein 7
chr3_hap1_hsa4,6283000,6284000,Chimpanzee,6.23,C3H4orf50,C3H4orf50,chromosome 3 C4orf50 homolog
chr5_hap1_hsa6,35657000,35658000,Chimpanzee,6.23,PATR-F,HLA-F,major histocompatibility complex%2C class I%2C F
chr4_hap1_hsa5,31840000,31841000,Chimpanzee,6.22,EDIL3,EDIL3,EGF like repeats and discoidin domains 3
chr9_hap1_hsa11,9278000,9279000,Chimpanzee,6.22,LOC466370,OR52A5,olfactory receptor 52A5
chr20_hap1_hsa19,58954000,58955000,Chimpanzee,6.21,NLRP5,NLRP5,NLR family pyrin domain containing 5
chr20_hap1_hsa19,57369000,57370000,Chimpanzee,6.21,KIR3DX1,KIR3DX1,killer cell immunoglobulin-like receptor%2C three domains%2C X1
chr21_hap1_hsa20,70579000,70580000,Chimpanzee,6.19,MYT1,MYT1,myelin transcription factor 1
chr5_hap1_hsa6,63297000,63298000,Chimpanzee,6.19,PRIM2,PRIM2,DNA primase subunit 2
chr13_hap1_hsa2b,143790000,143791000,Chimpanzee,6.19,FARP2,FARP2,FERM%2C ARH/RhoGEF and pleckstrin domain protein 2
chr3_hap1_hsa4,60406000,60407000,Chimpanzee,6.18,SULT1B1,SULT1B1,sulfotransferase family 1B member 1
chr17_hap1_hsa18,73575000,73576000,Chimpanzee,6.17,SERPINB12,SERPINB12,serpin family B member 12
chr20_hap1_hsa19,55570000,55571000,Chimpanzee,6.16,LOC104001134,ZNF83,zinc finger protein 83
chr2_hap1_hsa3,101553000,101554000,Chimpanzee,6.14,LOC738646,OR5H6,olfactory receptor 5H6-like
chr6_hap1_hsa7,169780000,169781000,Chimpanzee,6.14,DPP6,DPP6,dipeptidyl peptidase like 6
chr8_hap1_hsa10,136602000,136603000,Chimpanzee,6.14,LHPP,LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase
chr20_hap1_hsa19,58014000,58015000,Chimpanzee,6.13,PTPRH,PTPRH,protein tyrosine phosphatase receptor type H
chr8_hap1_hsa10,145549000,145550000,Chimpanzee,6.12,TUBGCP2,TUBGCP2,tubulin gamma complex component 2
chr3_hap1_hsa4,4294000,4295000,Chimpanzee,6.11,LOC750576,ALG1,chitobiosyldiphosphodolichol beta-mannosyltransferase-like
chr4_hap1_hsa5,5946000,5947000,Chimpanzee,6.11,ADAMTS16,ADAMTS16,ADAM metallopeptidase with thrombospondin type 1 motif 16
chr8_hap1_hsa10,25692000,25693000,Chimpanzee,6.10,CAMK1D,CAMK1D,calcium/calmodulin dependent protein kinase ID
chr20_hap1_hsa19,16309000,16310000,Chimpanzee,6.09,CACNA1A,CACNA1A,calcium voltage-gated channel subunit alpha1 A
chr10_hap1_hsa12,32087000,32088000,Chimpanzee,6.07,SRGAP1,SRGAP1,SLIT-ROBO Rho GTPase activating protein 1
chr19_hap1_hsa17,58862000,58863000,Chimpanzee,6.07,DNAH9,DNAH9,dynein axonemal heavy chain 9
chr3_hap1_hsa4,6428000,6429000,Chimpanzee,6.07,JAKMIP1,JAKMIP1,janus kinase and microtubule interacting protein 1
chr5_hap1_hsa6,35988000,35989000,Chimpanzee,6.07,RNF39,RNF39,ring finger protein 39
chr5_hap1_hsa6,7663000,7664000,Chimpanzee,6.07,GMDS,GMDS,GDP-mannose 4%2C6-dehydratase
chr18_hap1_hsa16,85800000,85801000,Chimpanzee,6.06,JPH3,JPH3,junctophilin 3
chr10_hap1_hsa12,54395000,54396000,Chimpanzee,6.05,PDZRN4,PDZRN4,PDZ domain containing ring finger 4
chr8_hap1_hsa10,140279000,140280000,Chimpanzee,6.03,MKI67,MKI67,marker of proliferation Ki-67
chr2_hap1_hsa3,66595000,66596000,Chimpanzee,6.03,CADPS,CADPS,calcium dependent secretion activator
chr8_hap1_hsa10,140179000,140180000,Chimpanzee,6.03,PTPRE,PTPRE,protein tyrosine phosphatase receptor type E
chr1_hap1_hsa1,228880000,228881000,Chimpanzee,6.02,PRDM16,PRDM16,PR/SET domain 16
chr20_hap1_hsa19,9588000,9589000,Chimpanzee,6.02,INSR,INSR,insulin receptor
chr4_hap1_hsa5,89967000,89968000,Chimpanzee,6.02,CDH12,CDH12,cadherin 12
chr6_hap1_hsa7,96169000,96170000,Chimpanzee,6.00,GRM3,GRM3,glutamate metabotropic receptor 3
