genes_renamed,descriptions,n_species,species_sharing,chimp_n_pops,chimp_pop_sharing,human_n_pops,human_pop_sharing,Bonobo_Ppa,Eastern_Pt,Western_Pt,Central_Pt,AFR_hsa,EAS_hsa,EUR_hsa,SAS_hsa,AMR_hsa
SMYD3,SET and MYND domain containing 3,3,all_three,3,all_chimp_pops,5,all_human_pops,10.08,8.751818097,7.619036687,10.67255116,22.93335966,23.33118094,20.33775575,21.43655804,20.15712199
SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,3,all_three,1,Western,2,AFR+EUR,11.7,NA,7.753790918,NA,6.08227198,NA,6.468130736,NA,NA
TMEM132D,transmembrane protein 132D,3,all_three,3,all_chimp_pops,1,EAS,7.35,9.126447497,8.91073588,9.730718446,NA,6.118601229,NA,NA,NA
ATP9B,ATPase phospholipid transporting 9B (putative),2,bonobo_human,0,0,5,all_human_pops,14.27,NA,NA,NA,18.38518622,18.10272698,18.38958123,17.46375607,18.11289382
EHMT1,euchromatic histone lysine methyltransferase 1,2,bonobo_human,0,0,5,all_human_pops,10.6,NA,NA,NA,15.65163123,15.83678266,13.32642472,15.64318296,15.60520335
GOLGA8B,golgin A8 family member B,2,bonobo_human,0,0,1,EUR,9.08,NA,NA,NA,NA,NA,6.769943729,NA,NA
SPACA7,sperm acrosome associated 7,2,bonobo_human,0,0,5,all_human_pops,7.64,NA,NA,NA,6.613305512,6.266330113,6.581621629,6.26953155,6.728472733
ART1,ADP-ribosyltransferase 1,2,chimp_human,3,all_chimp_pops,4,AFR+EAS+SAS+AMR,NA,8.5279984,6.373671046,8.886254134,6.525087982,7.553062486,NA,7.281647409,6.472307493
ATP10A,ATPase phospholipid transporting 10A (putative),2,chimp_human,2,Central+Eastern,5,all_human_pops,NA,6.786395335,NA,8.499775689,10.74463648,10.44772662,9.819563858,10.37230985,10.53270963
ATP11A,ATPase phospholipid transporting 11A,2,chimp_human,2,Eastern+Western,1,EUR,NA,8.632429962,6.736139268,NA,NA,NA,6.357634838,NA,NA
CALN1,calneuron 1,2,chimp_human,3,all_chimp_pops,5,all_human_pops,NA,8.250127435,6.303843047,9.15056307,9.630803045,9.219741075,8.587360457,9.97867172,8.283792582
CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,2,chimp_human,1,Eastern,5,all_human_pops,NA,7.564471422,NA,NA,8.515098269,8.648524901,7.299351861,7.028657313,8.029757448
CCDC6,coiled-coil domain containing 6,2,chimp_human,1,Eastern,5,all_human_pops,NA,6.452639825,NA,NA,6.509707432,7.449882861,8.184390652,8.4240453,6.115353751
CDH4,cadherin 4,2,chimp_human,2,Eastern+Western,1,SAS,NA,7.658555072,6.1716893,NA,NA,NA,NA,6.140916279,NA
CNTN6,contactin 6,2,chimp_human,3,all_chimp_pops,4,AFR+EAS+EUR+AMR,NA,7.890122849,6.975063077,9.962931518,6.368234063,6.698798721,6.862968348,NA,6.685069797
COL4A1,collagen type IV alpha 1 chain,2,chimp_human,1,Eastern,5,all_human_pops,NA,6.655193043,NA,NA,9.140614635,9.138260521,8.344855002,6.741441592,8.68305489
COMMD9,COMM domain containing 9,2,chimp_human,1,Central,2,AFR+AMR,NA,NA,NA,6.745236917,8.311148058,NA,NA,NA,8.056012929
CYP4F11,cytochrome P450 family 4 subfamily F member 11,2,chimp_human,1,Central,5,all_human_pops,NA,NA,NA,6.943623638,15.99835606,19.26264636,18.00111619,22.16347059,15.85165841
DLC1,DLC1 Rho GTPase activating protein,2,chimp_human,2,Central+Eastern,5,all_human_pops,NA,7.32482184,NA,7.596541893,7.015329246,7.100082656,6.676826182,7.606701579,7.023983295
DSCAM,DS cell adhesion molecule,2,chimp_human,2,Central+Eastern,5,all_human_pops,NA,7.134688036,NA,6.657579877,8.233198848,6.471964924,8.113737579,8.840250495,8.394700137
EXD3,exonuclease 3'-5' domain containing 3,2,chimp_human,1,Central,4,AFR+EUR+SAS+AMR,NA,NA,NA,8.633898084,6.722117375,NA,7.733303608,7.40981904,6.227511132
FOXK2,forkhead box K2,2,chimp_human,3,all_chimp_pops,5,all_human_pops,NA,11.11962431,13.11667411,6.763400781,12.57832833,11.66291586,12.49739962,12.43554528,12.80780201
GRTP1,growth hormone regulated TBC protein 1,2,chimp_human,3,all_chimp_pops,2,AFR+EAS,NA,6.18641285,6.110715854,7.221821619,6.260796769,6.161274906,NA,NA,NA
HLA-DQA2,major histocompatibility complex%2C class II%2C DQ alpha 2,2,chimp_human,3,all_chimp_pops,5,all_human_pops,NA,7.598544119,6.26215122,6.121348424,6.383436234,6.623388055,6.731935194,7.277152193,6.799637838
KIR3DL1,killer cell immunoglobulin-like receptor%2C three domains%2C long cytoplasmic tail%2C 1,2,chimp_human,1,Central,2,SAS+AMR,NA,NA,NA,7.208767563,NA,NA,NA,10.24544052,8.447035077
LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,2,chimp_human,3,all_chimp_pops,3,AFR+EUR+AMR,NA,7.817974515,6.24212267,7.746274517,6.249879259,NA,6.273220963,NA,6.43547022
LMF1,lipase maturation factor 1,2,chimp_human,2,Central+Eastern,4,AFR+EAS+SAS+AMR,NA,6.853169363,NA,7.983712859,8.061013856,6.569063789,NA,9.070495443,8.529875824
LRRK1,leucine rich repeat kinase 1,2,chimp_human,1,Eastern,5,all_human_pops,NA,8.260970836,NA,NA,7.137281461,7.366754963,6.886273406,6.568291741,6.88433305
MGAM,maltase-glucoamylase,2,chimp_human,2,Central+Eastern,1,SAS,NA,6.345586982,NA,6.47478894,NA,NA,NA,6.081886152,NA
MLPH,melanophilin,2,chimp_human,3,all_chimp_pops,1,EAS,NA,9.026084811,6.018579116,10.57878301,NA,6.13844756,NA,NA,NA
MUC22,mucin 22,2,chimp_human,1,Eastern,5,all_human_pops,NA,7.917701661,NA,NA,8.72703266,7.250584971,8.981729521,9.005751154,8.408141461
PAK2,p21 (RAC1) activated kinase 2,2,chimp_human,1,Central,3,EUR+SAS+AMR,NA,NA,NA,6.04587744,NA,NA,7.5099249,7.039009938,6.475988836
PCBP3,poly(rC) binding protein 3,2,chimp_human,2,Eastern+Western,5,all_human_pops,NA,7.463405542,7.339448752,NA,9.571024845,9.198097428,6.916571548,9.541751153,9.189648895
RAB11FIP3,RAB11 family interacting protein 3,2,chimp_human,3,all_chimp_pops,5,all_human_pops,NA,10.87246341,8.669924552,8.854039909,16.1786126,17.38603958,14.67525504,14.23724664,15.9176994
RASA3,RAS p21 protein activator 3,2,chimp_human,1,Central,3,EUR+SAS+AMR,NA,NA,NA,6.412955565,NA,NA,6.322910431,6.093130727,6.504094609
RASGEF1C,RasGEF domain family member 1C,2,chimp_human,3,all_chimp_pops,1,EUR,NA,7.897743013,9.212230684,12.16372663,NA,NA,6.184667936,NA,NA
RNF213,ring finger protein 213,2,chimp_human,1,Eastern,4,AFR+EAS+EUR+SAS,NA,6.684725602,NA,NA,6.272508193,6.385321254,6.753996463,6.044928334,NA
RPH3AL,rabphilin 3A like (without C2 domains),2,chimp_human,3,all_chimp_pops,4,EAS+EUR+SAS+AMR,NA,6.265791086,7.774239379,12.15965846,NA,7.030481421,7.604354881,6.179165125,6.743078619
SPIRE2,spire type actin nucleation factor 2,2,chimp_human,2,Central+Western,5,all_human_pops,NA,NA,7.267092135,6.725932614,8.799392003,8.972804777,8.834866601,8.919796046,8.498076353
TOLLIP,toll interacting protein,2,chimp_human,1,Central,4,AFR+EAS+SAS+AMR,NA,NA,NA,6.081779257,7.328234688,6.660517545,NA,7.244914584,6.930405067
ZSCAN5B,zinc finger and SCAN domain containing 5C;zinc finger and SCAN domain containing 5B,2,chimp_human,2,Eastern+Western,1,EAS,NA,9.238521378,8.494154684,NA,NA,6.292734046,NA,NA,NA
ACTR3B,actin related protein 3B,2,bonobo_chimp,3,all_chimp_pops,0,NA,8.64,10.21446616,8.026132224,9.95033641,NA,NA,NA,NA,NA
ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,2,bonobo_chimp,3,all_chimp_pops,0,NA,6.27,9.247478695,6.394311205,9.589695481,NA,NA,NA,NA,NA
ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,2,bonobo_chimp,3,all_chimp_pops,0,NA,7.64,8.621155971,6.538896542,10.26470177,NA,NA,NA,NA,NA
ADAMTS7,A disintegrin and metalloproteinase with thrombospondin motifs 7,2,bonobo_chimp,1,Central,0,NA,8.16,NA,NA,9.642969424,NA,NA,NA,NA,NA
ADGRD1,adhesion G protein-coupled receptor D1,2,bonobo_chimp,1,Eastern,0,NA,7.4,6.951247541,NA,NA,NA,NA,NA,NA,NA
ADPRHL1,ADP-ribosylhydrolase like 1,2,bonobo_chimp,3,all_chimp_pops,0,NA,8.87,6.126169804,6.339906915,6.052405283,NA,NA,NA,NA,NA
AGBL1,AGBL carboxypeptidase 1,2,bonobo_chimp,2,Eastern+Western,0,NA,6.7,9.066859299,6.86091346,NA,NA,NA,NA,NA,NA
ANXA10,annexin A10,2,bonobo_chimp,2,Central+Eastern,0,NA,6.27,6.151751712,NA,8.218408409,NA,NA,NA,NA,NA
ATP13A3,ATPase 13A3,2,bonobo_chimp,3,all_chimp_pops,0,NA,7.53,9.346232175,8.008045063,6.817822365,NA,NA,NA,NA,NA
B4GALNT3,beta-1%2C4-N-acetyl-galactosaminyltransferase 3,2,bonobo_chimp,1,Eastern,0,NA,8.48,6.56744088,NA,NA,NA,NA,NA,NA,NA
CADPS,calcium dependent secretion activator,2,bonobo_chimp,2,Eastern+Western,0,NA,6.35,7.480258192,6.523988008,NA,NA,NA,NA,NA,NA
CCDC77,coiled-coil domain containing 77,2,bonobo_chimp,2,Central+Eastern,0,NA,10.97,7.300715289,NA,7.095163422,NA,NA,NA,NA,NA
CDIN1,CDAN1 interacting nuclease 1,2,bonobo_chimp,1,Central,0,NA,6.4,NA,NA,8.476675003,NA,NA,NA,NA,NA
CFAP54,cilia and flagella associated protein 54,2,bonobo_chimp,1,Western,0,NA,6.82,NA,6.286298445,NA,NA,NA,NA,NA,NA
CNTN4,contactin 4,2,bonobo_chimp,3,all_chimp_pops,0,NA,7.16,8.697562196,6.358378832,7.922403895,NA,NA,NA,NA,NA
CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1,2,bonobo_chimp,1,Eastern,0,NA,6.29,6.334045455,NA,NA,NA,NA,NA,NA,NA
CSMD1,CUB and Sushi multiple domains 1,2,bonobo_chimp,3,all_chimp_pops,0,NA,11.59,12.07830767,8.797444011,9.944417001,NA,NA,NA,NA,NA
CSNK1G2,casein kinase 1 gamma 2,2,bonobo_chimp,1,Western,0,NA,7.17,NA,7.600619038,NA,NA,NA,NA,NA,NA
DCLRE1C,DNA cross-link repair 1C,2,bonobo_chimp,2,Central+Eastern,0,NA,6.42,6.696452336,NA,7.401264577,NA,NA,NA,NA,NA
DEAF1,DEAF1 transcription factor,2,bonobo_chimp,1,Eastern,0,NA,7.65,6.846877541,NA,NA,NA,NA,NA,NA,NA
DLGAP2,DLG associated protein 2,2,bonobo_chimp,3,all_chimp_pops,0,NA,10.65,12.87276612,8.402475801,10.36415715,NA,NA,NA,NA,NA
DNAH17,dynein axonemal heavy chain 17,2,bonobo_chimp,3,all_chimp_pops,0,NA,6.26,6.946257585,6.168997611,7.267462176,NA,NA,NA,NA,NA
DOCK8,dedicator of cytokinesis 8,2,bonobo_chimp,3,all_chimp_pops,0,NA,6.75,12.17747455,9.368138378,12.19952191,NA,NA,NA,NA,NA
DOK6,docking protein 6,2,bonobo_chimp,1,Eastern,0,NA,6.58,6.677626328,NA,NA,NA,NA,NA,NA,NA
DPP6,dipeptidyl peptidase like 6,2,bonobo_chimp,3,all_chimp_pops,0,NA,6.94,8.571116039,8.423891228,10.16103493,NA,NA,NA,NA,NA
ERC1,ELKS/RAB6-interacting/CAST family member 1,2,bonobo_chimp,3,all_chimp_pops,0,NA,6.01,6.538117508,6.77149911,12.21567735,NA,NA,NA,NA,NA
EYS,protein eyes shut homolog,2,bonobo_chimp,3,all_chimp_pops,0,NA,6.16,10.14098062,7.233948076,13.56404232,NA,NA,NA,NA,NA
FAM110A,family with sequence similarity 110 member A,2,bonobo_chimp,2,Eastern+Western,0,NA,6.18,6.234968649,6.183981858,NA,NA,NA,NA,NA,NA
FAM90A27P,protein FAM90A27P-like,2,bonobo_chimp,2,Eastern+Western,0,NA,6.02,8.429409128,7.181044948,NA,NA,NA,NA,NA,NA
FDFT1,farnesyl-diphosphate farnesyltransferase 1,2,bonobo_chimp,2,Central+Western,0,NA,6.66,NA,6.325701965,7.090267985,NA,NA,NA,NA,NA
FMN2,formin 2,2,bonobo_chimp,1,Central,0,NA,8.77,NA,NA,8.149727364,NA,NA,NA,NA,NA
GRK1,G protein-coupled receptor kinase 1,2,bonobo_chimp,1,Central,0,NA,10.5,NA,NA,6.82896177,NA,NA,NA,NA,NA
GRK3,G protein-coupled receptor kinase 3,2,bonobo_chimp,1,Central,0,NA,8.03,NA,NA,10.1915439,NA,NA,NA,NA,NA
INPP4B,inositol polyphosphate-4-phosphatase type II B,2,bonobo_chimp,2,Central+Eastern,0,NA,7.42,8.52142669,NA,11.54133197,NA,NA,NA,NA,NA
IQCG,IQ motif containing G,2,bonobo_chimp,1,Central,0,NA,10.74,NA,NA,7.116111701,NA,NA,NA,NA,NA
ITPR1,inositol 1%2C4%2C5-trisphosphate receptor type 1;uncharacterized LOC129143473,2,bonobo_chimp,1,Central,0,NA,6.18,NA,NA,7.798306501,NA,NA,NA,NA,NA
KAZN,kazrin%2C periplakin interacting protein,2,bonobo_chimp,3,all_chimp_pops,0,NA,7.71,10.19628351,9.472940496,14.87367078,NA,NA,NA,NA,NA
LILRA2,leukocyte immunoglobulin-like receptor%2C subfamily A (with TM domain)%2C member 2,2,bonobo_chimp,3,all_chimp_pops,0,NA,7.22,10.57326783,6.562369428,13.4667052,NA,NA,NA,NA,NA
LILRB1,leukocyte immunoglobulin like receptor B1,2,bonobo_chimp,2,Eastern+Western,0,NA,8,10.44177012,8.838027261,NA,NA,NA,NA,NA,NA
LRRTM4,leucine rich repeat transmembrane neuronal 4,2,bonobo_chimp,1,Eastern,0,NA,8.56,7.406653296,NA,NA,NA,NA,NA,NA,NA
LUZP2,leucine zipper protein 2,2,bonobo_chimp,3,all_chimp_pops,0,NA,7.31,8.759148888,6.91948599,6.625055423,NA,NA,NA,NA,NA
LYRM4,LYR motif containing 4,2,bonobo_chimp,1,Eastern,0,NA,7.44,6.770639204,NA,NA,NA,NA,NA,NA,NA
MAD1L1,mitotic arrest deficient 1 like 1,2,bonobo_chimp,2,Central+Eastern,0,NA,6.37,7.348764621,NA,6.560340743,NA,NA,NA,NA,NA
MCF2L,MCF.2 cell line derived transforming sequence like,2,bonobo_chimp,2,Central+Eastern,0,NA,6.49,7.659535076,NA,6.06685956,NA,NA,NA,NA,NA
MSR1,macrophage scavenger receptor 1,2,bonobo_chimp,1,Central,0,NA,6.43,NA,NA,6.257137396,NA,NA,NA,NA,NA
MUC5B,mucin 5B%2C oligomeric mucus/gel-forming,2,bonobo_chimp,1,Eastern,0,NA,8.63,6.871883935,NA,NA,NA,NA,NA,NA,NA
MYOM2,myomesin 2,2,bonobo_chimp,3,all_chimp_pops,0,NA,7.27,8.10613319,6.870338524,7.677946349,NA,NA,NA,NA,NA
MYZAP,myocardial zonula adherens protein,2,bonobo_chimp,2,Central+Eastern,0,NA,6.09,7.173406779,NA,8.253775968,NA,NA,NA,NA,NA
NCAM2,neural cell adhesion molecule 2,2,bonobo_chimp,2,Central+Eastern,0,NA,6.83,6.471447851,NA,8.680375945,NA,NA,NA,NA,NA
NINJ2,ninjurin 2,2,bonobo_chimp,2,Central+Eastern,0,NA,7.38,7.2298407,NA,9.685426718,NA,NA,NA,NA,NA
NLRP11,NLR family pyrin domain containing 11,2,bonobo_chimp,3,all_chimp_pops,0,NA,6.89,6.827820827,6.118283166,9.464872748,NA,NA,NA,NA,NA
NLRP12,NLR family pyrin domain containing 12,2,bonobo_chimp,2,Eastern+Western,0,NA,8.52,7.728716973,6.223481021,NA,NA,NA,NA,NA,NA
NLRP4,NLR family pyrin domain containing 4,2,bonobo_chimp,1,Eastern,0,NA,6.71,7.683196154,NA,NA,NA,NA,NA,NA,NA
OPCML,opioid binding protein/cell adhesion molecule like,2,bonobo_chimp,3,all_chimp_pops,0,NA,8.01,9.070576385,7.602478295,8.631803753,NA,NA,NA,NA,NA
PACRG,parkin coregulated,2,bonobo_chimp,2,Central+Eastern,0,NA,6.27,7.380452836,NA,7.693244101,NA,NA,NA,NA,NA
PARP4,protein mono-ADP-ribosyltransferase PARP4-like,2,bonobo_chimp,2,Central+Eastern,0,NA,7.34,7.316493062,NA,9.238068153,NA,NA,NA,NA,NA
PCDH15,protocadherin related 15,2,bonobo_chimp,3,all_chimp_pops,0,NA,10.03,8.524028142,6.747994532,11.32390145,NA,NA,NA,NA,NA
PDE10A,phosphodiesterase 10A,2,bonobo_chimp,2,Central+Eastern,0,NA,8.29,6.39661309,NA,8.160311395,NA,NA,NA,NA,NA
PKD1L2,polycystin-1-like protein 2,2,bonobo_chimp,2,Eastern+Western,0,NA,6.73,8.360439222,6.966210994,NA,NA,NA,NA,NA,NA
PLCB1,phospholipase C beta 1,2,bonobo_chimp,2,Central+Eastern,0,NA,6.58,7.375073293,NA,9.015176348,NA,NA,NA,NA,NA
PRH1,salivary acidic proline-rich phosphoprotein 1/2;taste receptor type 2 member 46,2,bonobo_chimp,1,Central,0,NA,6.77,NA,NA,9.258000851,NA,NA,NA,NA,NA
PRKN,parkin RBR E3 ubiquitin protein ligase,2,bonobo_chimp,2,Central+Eastern,0,NA,6.4,8.536085752,NA,11.0742214,NA,NA,NA,NA,NA
PTPRD,protein tyrosine phosphatase receptor type D,2,bonobo_chimp,3,all_chimp_pops,0,NA,6.53,9.896500038,8.523727536,11.55140287,NA,NA,NA,NA,NA
RPA1,replication protein A1,2,bonobo_chimp,2,Central+Eastern,0,NA,15.34,7.459709476,NA,6.622457,NA,NA,NA,NA,NA
RSPH10B,radial spoke head 10 homolog B,2,bonobo_chimp,3,all_chimp_pops,0,NA,6.36,9.831531284,6.00556609,11.47969788,NA,NA,NA,NA,NA
SDHA,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial,2,bonobo_chimp,2,Eastern+Western,0,NA,10.25,6.622683865,7.621584691,NA,NA,NA,NA,NA,NA
SFMBT2,Scm like with four mbt domains 2,2,bonobo_chimp,1,Central,0,NA,6.69,NA,NA,7.414938143,NA,NA,NA,NA,NA
SKI,SKI proto-oncogene,2,bonobo_chimp,2,Eastern+Western,0,NA,6.34,7.153165678,6.031326087,NA,NA,NA,NA,NA,NA
SNTG1,syntrophin gamma 1,2,bonobo_chimp,3,all_chimp_pops,0,NA,7.56,10.83545987,9.175585575,7.88147461,NA,NA,NA,NA,NA
SPHKAP,SPHK1 interactor%2C AKAP domain containing,2,bonobo_chimp,3,all_chimp_pops,0,NA,6.16,8.119891606,6.348638584,10.06896265,NA,NA,NA,NA,NA
TADA1,transcriptional adaptor 1,2,bonobo_chimp,1,Eastern,0,NA,6.04,7.918163945,NA,NA,NA,NA,NA,NA,NA
TAFA5,TAFA chemokine like family member 5,2,bonobo_chimp,2,Eastern+Western,0,NA,6.5,7.83958729,7.196444191,NA,NA,NA,NA,NA,NA
TBC1D22A,TBC1 domain family member 22A,2,bonobo_chimp,3,all_chimp_pops,0,NA,9.79,11.03996547,8.526972512,8.858058691,NA,NA,NA,NA,NA
TBCD,tubulin folding cofactor D,2,bonobo_chimp,2,Central+Eastern,0,NA,6.38,8.042170136,NA,7.479513204,NA,NA,NA,NA,NA
TENM3,teneurin transmembrane protein 3,2,bonobo_chimp,2,Central+Eastern,0,NA,7.26,7.050154094,NA,9.141955996,NA,NA,NA,NA,NA
TMX3,thioredoxin related transmembrane protein 3,2,bonobo_chimp,1,Eastern,0,NA,8.39,6.296617934,NA,NA,NA,NA,NA,NA,NA
TPD52L2,TPD52 like 2,2,bonobo_chimp,1,Eastern,0,NA,8.21,6.184960909,NA,NA,NA,NA,NA,NA,NA
TRAF3,TNF receptor associated factor 3,2,bonobo_chimp,1,Central,0,NA,8.68,NA,NA,7.265647951,NA,NA,NA,NA,NA
VAV1,vav guanine nucleotide exchange factor 1,2,bonobo_chimp,2,Central+Western,0,NA,6.21,NA,6.02518452,6.52737123,NA,NA,NA,NA,NA
VPS53,VPS53 subunit of GARP complex,2,bonobo_chimp,2,Central+Eastern,0,NA,7.42,6.759097974,NA,6.415479948,NA,NA,NA,NA,NA
WASHC2A,WASH complex subunit 2A-like,2,bonobo_chimp,1,Eastern,0,NA,9.05,7.115058315,NA,NA,NA,NA,NA,NA,NA
WDR27,WD repeat domain 27,2,bonobo_chimp,1,Eastern,0,NA,7.31,6.068097384,NA,NA,NA,NA,NA,NA,NA
XKR4,XK related 4,2,bonobo_chimp,3,all_chimp_pops,0,NA,6.76,8.126691548,6.694742505,11.42621151,NA,NA,NA,NA,NA
ZNF407,zinc finger protein 407,2,bonobo_chimp,1,Eastern,0,NA,9.33,6.856335495,NA,NA,NA,NA,NA,NA,NA
ZNF578,zinc finger protein 578,2,bonobo_chimp,2,Eastern+Western,0,NA,6.53,9.77255644,8.600245097,NA,NA,NA,NA,NA,NA
ZSCAN5A,zinc finger and SCAN domain containing 5A,2,bonobo_chimp,3,all_chimp_pops,0,NA,6.77,8.101159885,7.388053194,6.476725331,NA,NA,NA,NA,NA
