genes,genes_renamed,descriptions,num_populations,is_shared,Central,Eastern,Western
RPH3AL,RPH3AL,rabphilin 3A like (without C2 domains),3,Yes,12.15965846,6.265791086,7.774239379
MBP,MBP,myelin basic protein,3,Yes,12.14731695,11.31123704,9.828833334
NBPF3,NBPF3,NBPF member 3,3,Yes,12.07498704,8.052984075,8.275228422
WDR37,WDR37,WD repeat domain 37,3,Yes,11.92607852,9.672553924,6.860865577
TYRP1,TYRP1,tyrosinase related protein 1,3,Yes,11.8017754,8.758168518,7.81038344
PTPRD,PTPRD,protein tyrosine phosphatase receptor type D,3,Yes,11.55140287,9.896500038,8.523727536
NXPH1,NXPH1,neurexophilin 1,3,Yes,11.51538201,7.4942651,7.085374941
PRKG1,PRKG1,protein kinase cGMP-dependent 1,3,Yes,11.48806397,7.272612109,6.349745616
LOC738574,RSPH10B,radial spoke head 10 homolog B,3,Yes,11.47969788,9.831531284,6.00556609
XKR4,XKR4,XK related 4,3,Yes,11.42621151,8.126691548,6.694742505
AMY2B,AMY2B,amylase alpha 2B,3,Yes,11.42397083,7.784066991,6.841561489
DPP10,DPP10,dipeptidyl peptidase like 10,3,Yes,11.40582767,13.08440665,7.1491191
SORCS2,SORCS2,sortilin related VPS10 domain containing receptor 2,3,Yes,11.39535802,9.21412872,7.283446727
PCDH15,PCDH15,protocadherin related 15,3,Yes,11.32390145,8.524028142,6.747994532
TRARG1,TRARG1,trafficking regulator of GLUT4 (SLC2A4) 1,3,Yes,11.23420418,8.239854513,6.588990227
LOC104007081,SIMC1,SUMO-interacting motif-containing protein 1,3,Yes,11.15487238,6.914597217,7.554358063
CAMK1D,CAMK1D,calcium/calmodulin dependent protein kinase ID,3,Yes,11.12215493,8.047654089,6.809805259
LOC466370,OR52A5,olfactory receptor 52A5,3,Yes,11.07491536,7.802352765,6.446210592
ADAMTS16,ADAMTS16,ADAM metallopeptidase with thrombospondin type 1 motif 16,3,Yes,11.0347995,7.867048706,6.488136128
PSD3,PSD3,pleckstrin and Sec7 domain containing 3,3,Yes,11.0323545,8.513148338,7.4639875
KLRD1,KLRD1,killer cell lectin like receptor D1,3,Yes,11.02243704,8.131482507,6.636836923
NAV3,NAV3,neuron navigator 3,3,Yes,10.92788061,8.231085168,6.749123751
PPP2R2C,PPP2R2C,protein phosphatase 2 regulatory subunit Bgamma,3,Yes,10.88960341,8.382892097,6.742820251
ABR,ABR,ABR activator of RhoGEF and GTPase,3,Yes,10.83922406,10.02198266,6.856836995
PDZRN4,PDZRN4,PDZ domain containing ring finger 4,3,Yes,10.78375604,7.954524739,6.653625262
OR1D2,OR1D2,olfactory receptor family 1 subfamily D member 2,3,Yes,10.73132537,11.33428527,6.802617329
CHL1,CHL1,cell adhesion molecule L1 like,3,Yes,10.72794359,8.154636182,8.072894816
RAP1GAP2,RAP1GAP2,RAP1 GTPase activating protein 2,3,Yes,10.70726296,7.711576243,6.715785831
LOC134810163,LOC134810163,serine/threonine-protein kinase Nek4-like,3,Yes,10.68371943,7.890445995,6.35862037
SMYD3,SMYD3,SET and MYND domain containing 3,3,Yes,10.67255116,8.751818097,7.619036687
GAS2,GAS2,growth arrest specific 2,3,Yes,10.64005892,8.928105134,6.653667155
MLPH,MLPH,melanophilin,3,Yes,10.57878301,9.026084811,6.018579116
DIP2C,DIP2C,disco interacting protein 2 homolog C,3,Yes,10.57251199,8.680839239,6.462116749
SLC19A3,SLC19A3,solute carrier family 19 member 3,3,Yes,10.45302233,7.874015481,6.175872993
WDR7,WDR7,WD repeat domain 7,3,Yes,10.40352369,7.167207994,6.177297365
ITGA8,ITGA8,integrin subunit alpha 8,3,Yes,10.40162458,8.084873699,6.819128438
DLGAP2,DLGAP2,DLG associated protein 2,3,Yes,10.36415715,12.87276612,8.402475801
DOK7,DOK7,docking protein 7,3,Yes,10.32422779,7.266326626,7.148825351
CACNA1C,CACNA1C,calcium voltage-gated channel subunit alpha1 C,3,Yes,10.32024442,9.10178755,8.451746342
INPP5A,INPP5A,inositol polyphosphate-5-phosphatase A,3,Yes,10.31500058,13.87067742,9.737919755
ADAMTS2,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,3,Yes,10.26470177,8.621155971,6.538896542
USH2A,USH2A,usherin,3,Yes,10.25706761,9.742504373,6.062168514
GRM7,GRM7,glutamate metabotropic receptor 7,3,Yes,10.23055831,8.511839329,7.528195059
MMP26,MMP26,matrix metallopeptidase 26,3,Yes,10.21180795,9.855968549,8.21930461
RARB,RARB,retinoic acid receptor beta,3,Yes,10.17551009,7.374920611,6.04737099
LOC462525,OR2H1,olfactory receptor 2H1-like,3,Yes,10.16540166,7.853910066,6.20185589
DPP6,DPP6,dipeptidyl peptidase like 6,3,Yes,10.16103493,8.571116039,8.423891228
MCCC1,MCCC1,methylcrotonyl-CoA carboxylase subunit 1,3,Yes,10.13355961,7.321073825,6.003585525
SPHKAP,SPHKAP,SPHK1 interactor%2C AKAP domain containing,3,Yes,10.06896265,8.119891606,6.348638584
JPH3,JPH3,junctophilin 3,3,Yes,10.06530268,10.45756455,7.718087191
DOCK1,DOCK1,dedicator of cytokinesis 1,3,Yes,10.02285672,9.272093427,8.395839711
TRIM58,TRIM58,tripartite motif containing 58,3,Yes,10.01399667,8.278468862,7.602761478
CNTN6,CNTN6,contactin 6,3,Yes,9.962931518,7.890122849,6.975063077
MTMR9,MTMR9,myotubularin related protein 9,3,Yes,9.958003276,7.504378792,6.125935057
ACTR3B,ACTR3B,actin related protein 3B,3,Yes,9.95033641,10.21446616,8.026132224
CSMD1,CSMD1,CUB and Sushi multiple domains 1,3,Yes,9.944417001,12.07830767,8.797444011
SFSWAP,SFSWAP,splicing factor SWAP,3,Yes,9.896901116,8.247867321,7.706784353
CAPN15,CAPN15,calpain 15,3,Yes,9.844154081,6.63524882,6.60637703
SHC4,SHC4,SHC adaptor protein 4,3,Yes,9.831457702,7.918566198,6.112113603
LOC107976907,ERVK-16,endogenous retrovirus group K member 16 Rec protein,3,Yes,9.789876702,8.193345004,7.12518636
ATP2C2,ATP2C2,ATPase secretory pathway Ca2+ transporting 2,3,Yes,9.778799777,7.996782529,6.794135877
ZNF468,ZNF468,zinc finger protein 468;uncharacterized LOC134809125,3,Yes,9.76779436,7.789858918,6.638772061
NRG3,NRG3,neuregulin 3,3,Yes,9.743089529,7.203433328,6.039540022
TMEM132D,TMEM132D,transmembrane protein 132D,3,Yes,9.730718446,9.126447497,8.91073588
KCNIP4,KCNIP4,potassium voltage-gated channel interacting protein 4,3,Yes,9.679091931,7.732082619,6.243498608
ARHGAP8,ARHGAP8,Rho GTPase activating protein 8,3,Yes,9.610991946,7.277918012,6.358434018
SNAI3,SNAI3,snail family transcriptional repressor 3,3,Yes,9.590322616,6.657714485,6.363459748
ADAMTS17,ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,3,Yes,9.589695481,9.247478695,6.394311205
LOC129144293,GVQW1,protein GVQW1-like,3,Yes,9.587190369,7.871606301,6.031447726
PTPRN2,PTPRN2,protein tyrosine phosphatase receptor type N2,3,Yes,9.586778235,10.06018208,8.672024509
LOC100608180,LILRB3,leukocyte immunoglobulin-like receptor subfamily B member 3-like,3,Yes,9.586211987,9.436214005,8.700097319
UNC13C,UNC13C,unc-13 homolog C,3,Yes,9.569405539,6.900399487,6.008207182
CA5A,CA5A,carbonic anhydrase 5A,3,Yes,9.521194368,6.518808303,6.203232943
NLRP11,NLRP11,NLR family pyrin domain containing 11,3,Yes,9.464872748,6.827820827,6.118283166
LOC472696,RPL19,large ribosomal subunit protein eL19,3,Yes,9.411001857,9.212427489,7.416259881
JAKMIP3,JAKMIP3,Janus kinase and microtubule interacting protein 3,3,Yes,9.390723329,9.807716543,8.282649744
TPK1,TPK1,thiamin pyrophosphokinase 1,3,Yes,9.326413246,7.659795559,6.29259603
NTM,NTM,neurotrimin,3,Yes,9.265261437,8.98974518,7.694661023
BTNL8,BTNL8,butyrophilin like 8,3,Yes,9.254614014,8.791961268,7.893615284
SORBS2,SORBS2,sorbin and SH3 domain containing 2,3,Yes,9.245821123,7.670418397,6.089244905
SDK1,SDK1,sidekick cell adhesion molecule 1,3,Yes,9.23544762,8.799835652,6.86590408
COL4A3,COL4A3,collagen type IV alpha 3 chain,3,Yes,9.206047079,8.182069102,6.012039063
LOC100613625,GOLGA8G,putative golgin subfamily A member 8G,3,Yes,9.178670427,8.682627516,7.917750977
CNTNAP2,CNTNAP2,contactin associated protein 2,3,Yes,9.150630229,8.642322982,6.451992598
CALN1,CALN1,calneuron 1,3,Yes,9.15056307,8.250127435,6.303843047
BANP,BANP,BTG3 associated nuclear protein,3,Yes,9.12013071,7.28274269,6.309541888
RBFOX1,RBFOX1,RNA binding fox-1 homolog 1,3,Yes,9.089094535,7.780904286,7.039163007
MACROD2,MACROD2,mono-ADP ribosylhydrolase 2,3,Yes,9.08167029,7.024537364,6.238392216
JAKMIP1,JAKMIP1,janus kinase and microtubule interacting protein 1,3,Yes,9.043729967,7.673826583,6.550260643
MYT1,MYT1,myelin transcription factor 1,3,Yes,9.000666938,8.964362906,7.106625951
NKAIN2,NKAIN2,sodium/potassium transporting ATPase interacting 2,3,Yes,8.974005081,9.4478089,7.383616866
FRMD4A,FRMD4A,FERM domain containing 4A,3,Yes,8.908297314,8.613834077,6.883966488
ART1,ART1,ADP-ribosyltransferase 1,3,Yes,8.886254134,8.5279984,6.373671046
THSD7B,THSD7B,thrombospondin type 1 domain containing 7B,3,Yes,8.871233103,8.177614371,6.604604391
BTBD9,BTBD9,BTB domain containing 9,3,Yes,8.869018364,6.362642733,6.730057751
TBC1D22A,TBC1D22A,TBC1 domain family member 22A,3,Yes,8.858058691,11.03996547,8.526972512
RAB11FIP3,RAB11FIP3,RAB11 family interacting protein 3,3,Yes,8.854039909,10.87246341,8.669924552
NELL1,NELL1,neural EGFL like 1,3,Yes,8.834622818,7.865274757,6.584568251
EDIL3,EDIL3,EGF like repeats and discoidin domains 3,3,Yes,8.808799525,7.714219498,6.340087897
OPCML,OPCML,opioid binding protein/cell adhesion molecule like,3,Yes,8.631803753,9.070576385,7.602478295
CNBD1,CNBD1,cyclic nucleotide binding domain containing 1,3,Yes,8.591120434,6.87596497,6.030484938
LOC468717,C3P1,putative protein C3P1,3,Yes,8.533746807,10.31935743,7.995029278
LOC463170,TCP10L,putative T-complex protein 10A homolog,3,Yes,8.528630359,6.009782734,6.386860522
LOC750576,ALG1,chitobiosyldiphosphodolichol beta-mannosyltransferase-like,3,Yes,8.48008596,7.631976125,6.423047692
RIMBP2,RIMBP2,RIMS binding protein 2,3,Yes,8.444281901,9.572569232,6.007893159
PATR-B,HLA-B,major histocompatibility complex%2C class I%2C B,3,Yes,8.444271898,10.50844786,8.94280176
TRIML1,TRIML1,tripartite motif family like 1,3,Yes,8.432283475,8.105648187,6.84532479
ZNF888,ZNF888,zinc finger protein 888,3,Yes,8.387546186,10.43049037,10.19019179
KLHDC4,KLHDC4,kelch domain containing 4,3,Yes,8.362932184,7.390644282,7.774363474
CACNA1A,CACNA1A,calcium voltage-gated channel subunit alpha1 A,3,Yes,8.347096015,7.618412827,6.210683144
CNTN5,CNTN5,contactin 5,3,Yes,8.043357364,6.573574189,6.282949283
ADAMTSL1,ADAMTSL1,ADAMTS like 1,3,Yes,7.965564592,9.608360832,8.04011672
ATP8A2,ATP8A2,ATPase phospholipid transporting 8A2,3,Yes,7.961962232,7.392665457,6.470596937
LOC104003467,OR1L4,olfactory receptor 1L4-like,3,Yes,7.955599872,10.7393058,8.148221726
RAB3GAP2,RAB3GAP2,RAB3 GTPase activating non-catalytic protein subunit 2,3,Yes,7.949341719,6.346501046,6.368363274
CNTN4,CNTN4,contactin 4,3,Yes,7.922403895,8.697562196,6.358378832
KLHL1,KLHL1,kelch like family member 1,3,Yes,7.916349593,7.413616743,6.042006534
SNTG1,SNTG1,syntrophin gamma 1,3,Yes,7.88147461,10.83545987,9.175585575
VAV2,VAV2,vav guanine nucleotide exchange factor 2,3,Yes,7.855683645,8.245680902,6.784216202
LHPP,LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,3,Yes,7.746274517,7.817974515,6.24212267
WRAP73,WRAP73,WD repeat containing%2C antisense to TP73,3,Yes,7.727240448,8.748111103,7.736431152
HS3ST4,HS3ST4,heparan sulfate-glucosamine 3-sulfotransferase 4,3,Yes,7.725232362,7.372022636,6.108667362
MYOM2,MYOM2,myomesin 2,3,Yes,7.677946349,8.10613319,6.870338524
COL11A1,COL11A1,collagen type XI alpha 1 chain,3,Yes,7.677739136,7.465756522,6.049334022
SNTG2,SNTG2,syntrophin gamma 2,3,Yes,7.608062588,10.14563708,7.553208821
CTNND2,CTNND2,catenin delta 2,3,Yes,7.587588623,6.917102758,6.076718817
KIR3DX1,KIR3DX1,killer cell immunoglobulin-like receptor%2C three domains%2C X1,3,Yes,7.567563651,8.583552874,6.905224546
MFHAS1,MFHAS1,multifunctional ROCO family signaling regulator 1,3,Yes,7.497215358,6.101295311,6.341998964
FREM2,FREM2,FRAS1 related extracellular matrix 2,3,Yes,7.459320691,6.834724697,6.216288588
SGCD,SGCD,sarcoglycan delta,3,Yes,7.450934555,7.722444319,6.422644891
ZNF845,ZNF845,zinc finger protein 845,3,Yes,7.450257453,8.600783228,9.30026983
OR51M1,OR51M1,hemoglobin subunit epsilon 1;olfactory receptor family 51 subfamily M member 1,3,Yes,7.440373598,6.736896396,6.259487849
SUMF1,SUMF1,sulfatase modifying factor 1,3,Yes,7.271040801,7.12491434,6.192239275
DNAH17,DNAH17,dynein axonemal heavy chain 17,3,Yes,7.267462176,6.946257585,6.168997611
GNG7,GNG7,G protein subunit gamma 7,3,Yes,7.246358654,11.27644012,7.632875969
GRTP1,GRTP1,growth hormone regulated TBC protein 1,3,Yes,7.221821619,6.18641285,6.110715854
RORA,RORA,RAR related orphan receptor A,3,Yes,7.208180615,7.346283172,6.242127318
SPAG16,SPAG16,sperm associated antigen 16,3,Yes,7.185341356,8.032140383,6.125041868
PALM,PALM,paralemmin,3,Yes,7.124055599,7.711709946,6.547248389
PRKAR1B,PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta,3,Yes,7.118836681,8.815098741,6.52382806
PTPRG,PTPRG,protein tyrosine phosphatase receptor type G,3,Yes,7.106993441,6.637394164,6.159105479
RAB20,RAB20,RAB20%2C member RAS oncogene family,3,Yes,7.061120505,6.064914878,6.220447913
ZNF385D,ZNF385D,zinc finger protein 385D,3,Yes,7.000935733,7.955949984,6.22113881
CERS3,CERS3,ceramide synthase 3,3,Yes,6.985339821,7.770405813,6.380175368
PRDM16,PRDM16,PR/SET domain 16,3,Yes,6.945453487,7.63777861,7.284956344
SPATA19,SPATA19,spermatogenesis associated 19,3,Yes,6.935868299,8.901523804,6.464522067
DSC3,DSC3,desmocollin 3,3,Yes,6.916342389,6.889028299,6.721772651
ADARB2,ADARB2,adenosine deaminase RNA specific B2 (inactive),3,Yes,6.897279372,12.00956179,10.29291979
ATP13A3,ATP13A3,ATPase 13A3,3,Yes,6.817822365,9.346232175,8.008045063
SRGAP1,SRGAP1,SLIT-ROBO Rho GTPase activating protein 1,3,Yes,6.790420062,6.747219871,6.159545644
ZNF26,ZNF26,zinc finger protein 26,3,Yes,6.773642864,6.94654776,6.988201455
FOXK2,FOXK2,forkhead box K2,3,Yes,6.763400781,11.11962431,13.11667411
IFNLR1,IFNLR1,interferon lambda receptor 1,3,Yes,6.69003982,7.100569577,6.073586831
LUZP2,LUZP2,leucine zipper protein 2,3,Yes,6.625055423,8.759148888,6.91948599
KDM4C,KDM4C,lysine demethylase 4C,3,Yes,6.598052646,8.285720276,6.177209582
ZBTB45,ZBTB45,zinc finger and BTB domain containing 45,3,Yes,6.581514778,7.264193426,6.782809084
ZSCAN5A,ZSCAN5A,zinc finger and SCAN domain containing 5A,3,Yes,6.476725331,8.101159885,7.388053194
ACR,ACR,acrosin,3,Yes,6.455706638,9.550988304,7.485769419
PRIM2,PRIM2,DNA primase subunit 2,3,Yes,6.306903067,10.75061095,7.254849191
MIOS,MIOS,meiosis regulator for oocyte development,3,Yes,6.200026927,6.754285056,6.057572652
AXIN1,AXIN1,axin 1,3,Yes,6.12590804,6.671262153,6.077442776
PATR-DQA2,HLA-DQA2,major histocompatibility complex%2C class II%2C DQ alpha 2,3,Yes,6.121348424,7.598544119,6.26215122
ADPRHL1,ADPRHL1,ADP-ribosylhydrolase like 1,3,Yes,6.052405283,6.126169804,6.339906915
BRF1,BRF1,BRF1 RNA polymerase III transcription initiation factor subunit,2,Yes,NA,16.22426184,14.24882336
ZNF28,ZNF28,zinc finger protein 28,2,Yes,NA,15.13668603,12.39701537
LAIR1,LAIR1,leukocyte associated immunoglobulin like receptor 1,2,Yes,NA,10.82428459,8.360856762
CDH13,CDH13,cadherin 13,2,Yes,NA,10.79196757,8.251813804
LILRB1,LILRB1,leukocyte immunoglobulin like receptor B1,2,Yes,NA,10.44177012,8.838027261
LOC736783,CTRB1,chymotrypsinogen B,2,Yes,NA,10.02655844,7.580638498
FAM107B,FAM107B,family with sequence similarity 107 member B,2,Yes,NA,9.934565435,7.785202965
HBE1,HBE1,hemoglobin subunit epsilon 1,2,Yes,NA,9.845422421,9.558579522
DNAH11,DNAH11,dynein axonemal heavy chain 11,2,Yes,NA,9.840411124,6.241795481
LOC112209443,RH-like-IIR,RH-like protein IIR,2,Yes,NA,9.806552605,6.429960008
ZNF578,ZNF578,zinc finger protein 578,2,Yes,NA,9.77255644,8.600245097
LOC104003354,OR10J6P,putative olfactory receptor 10J6,2,Yes,NA,9.568788196,7.456715621
LOC134810183,MICB,MHC class I polypeptide-related sequence B-like,2,Yes,NA,9.388608833,8.033151486
SIRT3,SIRT3,sirtuin 3,2,Yes,NA,9.357397448,6.497533909
TRIM31,TRIM31,tripartite motif containing 31;uncharacterized LOC134810285,2,Yes,NA,9.245170685,7.0375741
ZSCAN5B,ZSCAN5B,zinc finger and SCAN domain containing 5C;zinc finger and SCAN domain containing 5B,2,Yes,NA,9.238521378,8.494154684
AGBL1,AGBL1,AGBL carboxypeptidase 1,2,Yes,NA,9.066859299,6.86091346
STMN3,STMN3,stathmin 3,2,Yes,NA,8.88625943,7.750728416
GFPT2,GFPT2,glutamine-fructose-6-phosphate transaminase 2,2,Yes,NA,8.759984507,7.207904616
MT1M,MT1M,metallothionein 1M,2,Yes,NA,8.711783494,6.564145446
ATP11A,ATP11A,ATPase phospholipid transporting 11A,2,Yes,NA,8.632429962,6.736139268
NXN,NXN,nucleoredoxin,2,Yes,NA,8.624288361,8.047963222
TCP10L2,TCP10L2,t-complex 10 like 2,2,Yes,NA,8.573469829,6.990295826
DNAJC16,DNAJC16,DnaJ heat shock protein family (Hsp40) member C16,2,Yes,NA,8.528027242,7.408547028
CCDC187,CCDC187,coiled-coil domain containing 187,2,Yes,NA,8.527249509,6.73628548
EPHA6,EPHA6,EPH receptor A6,2,Yes,NA,8.503503386,6.331715602
HDAC4,HDAC4,histone deacetylase 4,2,Yes,NA,8.487279918,6.93927311
PCSK6,PCSK6,proprotein convertase subtilisin/kexin type 6,2,Yes,NA,8.447562463,6.138715942
LOC129137954,FAM90A27P,protein FAM90A27P-like,2,Yes,NA,8.429409128,7.181044948
TMEM50A,TMEM50A,transmembrane protein 50A,2,Yes,NA,8.414557081,6.145705204
LOC454266,PKD1L2,polycystin-1-like protein 2,2,Yes,NA,8.360439222,6.966210994
OR51I2,OR51I2,hemoglobin subunit epsilon 1;olfactory receptor family 51 subfamily I member 2,2,Yes,NA,8.337248378,6.397938677
SP140L,SP140L,SP140 nuclear body protein like,2,Yes,NA,8.291823867,6.312145055
PDXK,PDXK,pyridoxal kinase,2,Yes,NA,8.243107803,6.845255579
FHAD1,FHAD1,forkhead associated phosphopeptide binding domain 1,2,Yes,NA,8.242900982,6.405079051
ZNF415,ZNF415,zinc finger protein 415,2,Yes,NA,8.234486063,7.126795167
DNAH9,DNAH9,dynein axonemal heavy chain 9,2,Yes,NA,8.220754711,6.633119919
TMTC2,TMTC2,transmembrane O-mannosyltransferase targeting cadherins 2,2,Yes,NA,8.172886764,6.028201776
LOC453251,HERC2P3,putative HERC2-like protein 3,2,Yes,NA,8.145673642,6.286150285
NPHP4,NPHP4,nephrocystin 4,2,Yes,NA,8.125398303,6.71171601
NPRL3,NPRL3,NPR3 like%2C GATOR1 complex subunit,2,Yes,NA,8.034432048,6.423073522
NLRP5,NLRP5,NLR family pyrin domain containing 5,2,Yes,NA,8.007759111,7.440724646
ANO3,ANO3,anoctamin 3,2,Yes,NA,7.990393813,6.369355802
DMRT1,DMRT1,doublesex and mab-3 related transcription factor 1,2,Yes,NA,7.986158089,6.481893326
CACNA2D4,CACNA2D4,calcium voltage-gated channel auxiliary subunit alpha2delta 4,2,Yes,NA,7.985802865,6.462468155
RNF39,RNF39,ring finger protein 39,2,Yes,NA,7.970457089,6.586722653
MKI67,MKI67,marker of proliferation Ki-67,2,Yes,NA,7.915722723,6.070101903
LOC738646,OR5H6,olfactory receptor 5H6-like,2,Yes,NA,7.898060179,6.507515291
LOC104001134,ZNF83,zinc finger protein 83,2,Yes,NA,7.895294024,8.518593964
LOC134810815,LOC134810815,XK related 6;uncharacterized LOC134810815,2,Yes,NA,7.892207715,6.993336426
XKR6,XKR6,XK related 6;uncharacterized LOC134810815,2,Yes,NA,7.892207715,6.993336426
TAFA5,TAFA5,TAFA chemokine like family member 5,2,Yes,NA,7.83958729,7.196444191
ACSM5,ACSM5,acyl-CoA synthetase medium chain family member 5,2,Yes,NA,7.801986295,6.294550232
ABCB11,ABCB11,ATP binding cassette subfamily B member 11,2,Yes,NA,7.760301354,6.138670337
NLRP12,NLRP12,NLR family pyrin domain containing 12,2,Yes,NA,7.728716973,6.223481021
EBF4,EBF4,EBF family member 4,2,Yes,NA,7.72693701,6.462795971
TMPRSS15,TMPRSS15,transmembrane serine protease 15,2,Yes,NA,7.724670185,6.034738748
PLA2G5,PLA2G5,phospholipase A2 group V,2,Yes,NA,7.719438075,6.111213835
LOC134809608,ESRG,embryonic stem cell-related gene protein-like,2,Yes,NA,7.709797202,6.115948234
LOC134808242,TBX1,T-box transcription factor TBX1-like,2,Yes,NA,7.693290564,6.256463608
GADL1,GADL1,glutamate decarboxylase like 1,2,Yes,NA,7.68477482,6.894255133
OR4K17,OR4K17,olfactory receptor family 4 subfamily K member 17,2,Yes,NA,7.675899164,6.409819053
CDH4,CDH4,cadherin 4,2,Yes,NA,7.658555072,6.1716893
FGF14,FGF14,fibroblast growth factor 14;uncharacterized LOC129136863,2,Yes,NA,7.653312055,6.321708377
SIRPB1,SIRPB1,signal regulatory protein beta 1,2,Yes,NA,7.641948959,6.311368895
PATR-F,HLA-F,major histocompatibility complex%2C class I%2C F,2,Yes,NA,7.641784914,6.600176489
GINS3,GINS3,GINS complex subunit 3,2,Yes,NA,7.637173657,6.310010427
OR10C1,OR10C1,olfactory receptor family 11 subfamily A member 1;olfactory receptor family 10 subfamily C member 1,2,Yes,NA,7.610233611,6.211963771
OR11A1,OR11A1,olfactory receptor family 11 subfamily A member 1;olfactory receptor family 10 subfamily C member 1,2,Yes,NA,7.610233611,6.211963771
CARD11,CARD11,caspase recruitment domain family member 11,2,Yes,NA,7.589886195,6.108234899
SLC5A11,SLC5A11,solute carrier family 5 member 11,2,Yes,NA,7.576953076,6.472727402
DPRX,DPRX,divergent-paired related homeobox,2,Yes,NA,7.570644212,6.739963745
GRM3,GRM3,glutamate metabotropic receptor 3,2,Yes,NA,7.560015014,6.485784638
SH2D1B,SH2D1B,SH2 domain containing 1B,2,Yes,NA,7.557990223,6.393083407
IGFBP7,IGFBP7,insulin like growth factor binding protein 7,2,Yes,NA,7.535172976,6.114573826
LOC107969555,PSG11,pregnancy-specific beta-1-glycoprotein 11,2,Yes,NA,7.486058567,6.909463369
TRDN,TRDN,triadin,2,Yes,NA,7.482700569,6.236750978
ROS1,ROS1,ROS proto-oncogene 1%2C receptor tyrosine kinase,2,Yes,NA,7.482272415,6.739818658
CADPS,CADPS,calcium dependent secretion activator,2,Yes,NA,7.480258192,6.523988008
PIEZO2,PIEZO2,piezo type mechanosensitive ion channel component 2,2,Yes,NA,7.469243861,6.093292016
PCBP3,PCBP3,poly(rC) binding protein 3,2,Yes,NA,7.463405542,7.339448752
SERPINB12,SERPINB12,serpin family B member 12,2,Yes,NA,7.451520999,6.358160606
UCMA,UCMA,upper zone of growth plate and cartilage matrix associated,2,Yes,NA,7.405581941,6.261634378
ENOX1,ENOX1,ecto-NOX disulfide-thiol exchanger 1,2,Yes,NA,7.386163371,6.263057339
LOC456264,ZNF701,zinc finger protein 701;zinc finger protein 808,2,Yes,NA,7.385118872,6.412542196
ZNF808,ZNF808,zinc finger protein 701;zinc finger protein 808,2,Yes,NA,7.385118872,6.412542196
MAPK8IP3,MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3,2,Yes,NA,7.367527295,7.179732161
LOC745074,LOC745074,myomegalin,2,Yes,NA,7.318785476,6.034479591
