chromosome,start,end,population,avg_tmrca_myr,genes,genes_renamed,gene_biotypes,descriptions
chr4_hap1_hsa5,177595000,177596000,Western,17.10477126,RASGEF1C,RASGEF1C,protein_coding,RasGEF domain family member 1C
chr22_hap1_hsa21,45147000,45148000,Eastern,17.10430088,TSPEAR,TSPEAR,protein_coding,thrombospondin type laminin G domain and EAR repeats
chr22_hap1_hsa21,45147000,45148000,Western,17.10430088,TSPEAR,TSPEAR,protein_coding,thrombospondin type laminin G domain and EAR repeats
chr20_hap1_hsa19,57038000,57039000,Central,16.86916559,LILRB3,LILRB3,protein_coding,leukocyte immunoglobulin like receptor B3
chr20_hap1_hsa19,57038000,57039000,Eastern,16.86916559,LILRB3,LILRB3,protein_coding,leukocyte immunoglobulin like receptor B3
chr20_hap1_hsa19,57038000,57039000,Western,16.86916559,LILRB3,LILRB3,protein_coding,leukocyte immunoglobulin like receptor B3
chr9_hap1_hsa11,9603000,9604000,Eastern,16.85635056,HBE1,HBE1,protein_coding,hemoglobin subunit epsilon 1
chr9_hap1_hsa11,9603000,9604000,Western,16.85635056,HBE1,HBE1,protein_coding,hemoglobin subunit epsilon 1
chr7_hap1_hsa8,8112000,8113000,Eastern,16.63905056,DLGAP2,DLGAP2,protein_coding,DLG associated protein 2
chr7_hap1_hsa8,8112000,8113000,Western,16.63905056,DLGAP2,DLGAP2,protein_coding,DLG associated protein 2
chr20_hap1_hsa19,59141000,59142000,Eastern,16.63188386,ZSCAN5C,ZSCAN5C,protein_coding,zinc finger and SCAN domain containing 5C
chr20_hap1_hsa19,59141000,59142000,Eastern,16.63188386,ZSCAN5B,ZSCAN5B,protein_coding,zinc finger and SCAN domain containing 5B
chr20_hap1_hsa19,59141000,59142000,Western,16.63188386,ZSCAN5C,ZSCAN5C,protein_coding,zinc finger and SCAN domain containing 5C
chr20_hap1_hsa19,59141000,59142000,Western,16.63188386,ZSCAN5B,ZSCAN5B,protein_coding,zinc finger and SCAN domain containing 5B
chr11_hap1_hsa9,115597000,115598000,Central,16.57465438,DOCK8,DOCK8,protein_coding,dedicator of cytokinesis 8
chr11_hap1_hsa9,115597000,115598000,Eastern,16.57465438,DOCK8,DOCK8,protein_coding,dedicator of cytokinesis 8
chr11_hap1_hsa9,115597000,115598000,Western,16.57465438,DOCK8,DOCK8,protein_coding,dedicator of cytokinesis 8
chr6_hap1_hsa7,173146000,173147000,Eastern,16.40285857,PTPRN2,PTPRN2,protein_coding,protein tyrosine phosphatase receptor type N2
chr6_hap1_hsa7,173146000,173147000,Western,16.40285857,PTPRN2,PTPRN2,protein_coding,protein tyrosine phosphatase receptor type N2
chr10_hap1_hsa12,136657000,136658000,Eastern,16.38152449,TMEM132D,TMEM132D,protein_coding,transmembrane protein 132D
chr10_hap1_hsa12,136657000,136658000,Western,16.38152449,TMEM132D,TMEM132D,protein_coding,transmembrane protein 132D
chr5_hap1_hsa6,37161000,37162000,Central,16.36307803,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr5_hap1_hsa6,37161000,37162000,Eastern,16.36307803,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr5_hap1_hsa6,37161000,37162000,Western,16.36307803,PATR-C,HLA-C,protein_coding,major histocompatibility complex%2C class I%2C C
chr16_hap1_hsa15,11037000,11038000,Central,16.36122784,LOC112205572,NEK4,protein_coding,serine/threonine-protein kinase Nek4-like
chr7_hap1_hsa8,22927000,22928000,Central,16.32797124,SGCZ,SGCZ,protein_coding,sarcoglycan zeta
chr7_hap1_hsa8,22927000,22928000,Eastern,16.32797124,SGCZ,SGCZ,protein_coding,sarcoglycan zeta
chr7_hap1_hsa8,22927000,22928000,Western,16.32797124,SGCZ,SGCZ,protein_coding,sarcoglycan zeta
chr20_hap1_hsa19,57116000,57117000,Western,16.2031673,LOC100612450,IGSF1,protein_coding,immunoglobulin superfamily member 1
chr19_hap1_hsa17,12121000,12122000,Central,16.17048991,SCARF1,SCARF1,protein_coding,scavenger receptor class F member 1
chr19_hap1_hsa17,12121000,12122000,Eastern,16.17048991,SCARF1,SCARF1,protein_coding,scavenger receptor class F member 1
chr19_hap1_hsa17,12121000,12122000,Western,16.17048991,SCARF1,SCARF1,protein_coding,scavenger receptor class F member 1
chr1_hap1_hsa1,217111000,217112000,Western,16.13585669,KAZN,KAZN,protein_coding,kazrin%2C periplakin interacting protein
chr5_hap1_hsa6,38997000,38998000,Central,16.12844569,LOC100610904,HLA-DPB1,protein_coding,HLA class II histocompatibility antigen%2C DP beta 1 chain-like
chr5_hap1_hsa6,38997000,38998000,Eastern,16.12844569,LOC100610904,HLA-DPB1,protein_coding,HLA class II histocompatibility antigen%2C DP beta 1 chain-like
chr5_hap1_hsa6,38997000,38998000,Western,16.12844569,LOC100610904,HLA-DPB1,protein_coding,HLA class II histocompatibility antigen%2C DP beta 1 chain-like
chr4_hap1_hsa5,178394000,178395000,Central,16.11622521,BTNL8,BTNL8,protein_coding,butyrophilin like 8
chr4_hap1_hsa5,178394000,178395000,Eastern,16.11622521,BTNL8,BTNL8,protein_coding,butyrophilin like 8
chr4_hap1_hsa5,178394000,178395000,Western,16.11622521,BTNL8,BTNL8,protein_coding,butyrophilin like 8
chr20_hap1_hsa19,59663000,59664000,Central,16.11099795,LOC104003467,OR1L4,protein_coding,olfactory receptor 1L4-like
chr20_hap1_hsa19,59663000,59664000,Eastern,16.11099795,LOC104003467,OR1L4,protein_coding,olfactory receptor 1L4-like
chr7_hap1_hsa8,22926000,22927000,Central,16.07153031,SGCZ,SGCZ,protein_coding,sarcoglycan zeta
chr7_hap1_hsa8,22926000,22927000,Eastern,16.07153031,SGCZ,SGCZ,protein_coding,sarcoglycan zeta
chr7_hap1_hsa8,22926000,22927000,Western,16.07153031,SGCZ,SGCZ,protein_coding,sarcoglycan zeta
chr7_hap1_hsa8,8247000,8248000,Central,16.04494655,DLGAP2,DLGAP2,protein_coding,DLG associated protein 2
chr7_hap1_hsa8,8247000,8248000,Eastern,16.04494655,DLGAP2,DLGAP2,protein_coding,DLG associated protein 2
chr7_hap1_hsa8,8247000,8248000,Western,16.04494655,DLGAP2,DLGAP2,protein_coding,DLG associated protein 2
chr5_hap1_hsa6,36937000,36938000,Central,15.97533737,LOC462552,HCG22,protein_coding,protein PBMUCL2
chr5_hap1_hsa6,36937000,36938000,Eastern,15.97533737,LOC462552,HCG22,protein_coding,protein PBMUCL2
chr5_hap1_hsa6,36937000,36938000,Western,15.97533737,LOC462552,HCG22,protein_coding,protein PBMUCL2
chr20_hap1_hsa19,57196000,57197000,Eastern,15.88932108,LAIR1,LAIR1,protein_coding,leukocyte associated immunoglobulin like receptor 1
chr20_hap1_hsa19,57196000,57197000,Western,15.88932108,LAIR1,LAIR1,protein_coding,leukocyte associated immunoglobulin like receptor 1
chr18_hap1_hsa16,2513000,2514000,Eastern,15.83966934,LOC129137268,HBA3-like,protein_coding,hemoglobin subunit alpha-3-like
chr18_hap1_hsa16,2513000,2514000,Western,15.83966934,LOC129137268,HBA3-like,protein_coding,hemoglobin subunit alpha-3-like
chr7_hap1_hsa8,10417000,10418000,Eastern,15.8123963,CSMD1,CSMD1,protein_coding,CUB and Sushi multiple domains 1
chr7_hap1_hsa8,10417000,10418000,Western,15.8123963,CSMD1,CSMD1,protein_coding,CUB and Sushi multiple domains 1
chr7_hap1_hsa8,59049000,59050000,Eastern,15.72149908,SNTG1,SNTG1,protein_coding,syntrophin gamma 1
chr7_hap1_hsa8,59049000,59050000,Western,15.72149908,SNTG1,SNTG1,protein_coding,syntrophin gamma 1
chr12_hap1_hsa2a,121780000,121781000,Eastern,15.69747478,SNTG2,SNTG2,protein_coding,syntrophin gamma 2
chr12_hap1_hsa2a,121780000,121781000,Western,15.69747478,SNTG2,SNTG2,protein_coding,syntrophin gamma 2
chr20_hap1_hsa19,55570000,55571000,Eastern,15.6530689,LOC104001134,ZNF83,protein_coding,zinc finger protein 83
chr20_hap1_hsa19,55570000,55571000,Western,15.6530689,LOC104001134,ZNF83,protein_coding,zinc finger protein 83
chr7_hap1_hsa8,23866000,23867000,Central,15.64812697,TUSC3,TUSC3,protein_coding,tumor suppressor candidate 3
chr7_hap1_hsa8,23866000,23867000,Eastern,15.64812697,TUSC3,TUSC3,protein_coding,tumor suppressor candidate 3
chr7_hap1_hsa8,23866000,23867000,Western,15.64812697,TUSC3,TUSC3,protein_coding,tumor suppressor candidate 3
chr20_hap1_hsa19,56170000,56171000,Central,15.64379407,ZNF845,ZNF845,protein_coding,zinc finger protein 845
chr20_hap1_hsa19,56170000,56171000,Eastern,15.64379407,ZNF845,ZNF845,protein_coding,zinc finger protein 845
chr20_hap1_hsa19,56170000,56171000,Western,15.64379407,ZNF845,ZNF845,protein_coding,zinc finger protein 845
chr20_hap1_hsa19,57454000,57455000,Eastern,15.63095087,LILRB1,LILRB1,protein_coding,leukocyte immunoglobulin like receptor B1
chr20_hap1_hsa19,57454000,57455000,Western,15.63095087,LILRB1,LILRB1,protein_coding,leukocyte immunoglobulin like receptor B1
chr16_hap1_hsa15,11034000,11035000,Central,15.60841049,LOC112205572,NEK4,protein_coding,serine/threonine-protein kinase Nek4-like
chr5_hap1_hsa6,35850000,35851000,Central,15.59268782,PATR-A,HLA-A,protein_coding,patr class I histocompatibility antigen%2C A-126 alpha chain
chr5_hap1_hsa6,35850000,35851000,Eastern,15.59268782,PATR-A,HLA-A,protein_coding,patr class I histocompatibility antigen%2C A-126 alpha chain
chr5_hap1_hsa6,35850000,35851000,Western,15.59268782,PATR-A,HLA-A,protein_coding,patr class I histocompatibility antigen%2C A-126 alpha chain
chr20_hap1_hsa19,59669000,59670000,Central,15.57152479,LOC104003467,OR1L4,protein_coding,olfactory receptor 1L4-like
chr20_hap1_hsa19,59669000,59670000,Western,15.57152479,LOC104003467,OR1L4,protein_coding,olfactory receptor 1L4-like
chr8_hap1_hsa10,144960000,144961000,Eastern,15.5480124,INPP5A,INPP5A,protein_coding,inositol polyphosphate-5-phosphatase A
chr8_hap1_hsa10,144960000,144961000,Western,15.5480124,INPP5A,INPP5A,protein_coding,inositol polyphosphate-5-phosphatase A
chr5_hap1_hsa6,37247000,37248000,Central,15.52860425,PATR-B,HLA-B,protein_coding,major histocompatibility complex%2C class I%2C B
chr5_hap1_hsa6,37247000,37248000,Eastern,15.52860425,PATR-B,HLA-B,protein_coding,major histocompatibility complex%2C class I%2C B
chr5_hap1_hsa6,37247000,37248000,Western,15.52860425,PATR-B,HLA-B,protein_coding,major histocompatibility complex%2C class I%2C B
chr20_hap1_hsa19,57041000,57042000,Eastern,15.49683121,LILRB3,LILRB3,protein_coding,leukocyte immunoglobulin like receptor B3
chr20_hap1_hsa19,57041000,57042000,Western,15.49683121,LILRB3,LILRB3,protein_coding,leukocyte immunoglobulin like receptor B3
chr19_hap1_hsa17,10883000,10884000,Western,15.4882235,RPH3AL,RPH3AL,protein_coding,rabphilin 3A like (without C2 domains)
chr6_hap1_hsa7,6821000,6822000,Eastern,15.4277041,GET4,GET4,protein_coding,guided entry of tail-anchored proteins factor 4
chr18_hap1_hsa16,81663000,81664000,Eastern,15.37520042,CDH13,CDH13,protein_coding,cadherin 13
chr18_hap1_hsa16,81663000,81664000,Western,15.37520042,CDH13,CDH13,protein_coding,cadherin 13
chr21_hap1_hsa20,67864000,67865000,Western,15.34351438,CDH4,CDH4,protein_coding,cadherin 4
chr2_hap1_hsa3,6596000,6597000,Eastern,15.31260559,CNTN4,CNTN4,protein_coding,contactin 4
chr6_hap1_hsa7,54666000,54667000,Central,15.30472899,LOC743528,CDC14C,protein_coding,dual specificity protein phosphatase CDC14C-like
chr6_hap1_hsa7,54666000,54667000,Western,15.30472899,LOC743528,CDC14C,protein_coding,dual specificity protein phosphatase CDC14C-like
chr9_hap1_hsa11,7603000,7604000,Eastern,15.29515364,LOC104008393,ACSM1,protein_coding,acyl-coenzyme A synthetase ACSM1%2C mitochondrial-like
chr3_hap1_hsa4,145550000,145551000,Central,15.2774855,GYPB,GYPB,protein_coding,glycophorin B (MNS blood group)
chr1_hap1_hsa1,205651000,205652000,Eastern,15.22401274,TMEM50A,TMEM50A,protein_coding,transmembrane protein 50A
chr1_hap1_hsa1,205651000,205652000,Western,15.22401274,TMEM50A,TMEM50A,protein_coding,transmembrane protein 50A
chr12_hap1_hsa2a,121779000,121780000,Western,15.20109139,SNTG2,SNTG2,protein_coding,syntrophin gamma 2
chr12_hap1_hsa2a,115663000,115664000,Eastern,15.19588841,RNF144A,RNF144A,protein_coding,ring finger protein 144A
chr6_hap1_hsa7,173164000,173165000,Eastern,15.18337475,PTPRN2,PTPRN2,protein_coding,protein tyrosine phosphatase receptor type N2
chr6_hap1_hsa7,173164000,173165000,Western,15.18337475,PTPRN2,PTPRN2,protein_coding,protein tyrosine phosphatase receptor type N2
chr7_hap1_hsa8,8099000,8100000,Eastern,15.16877263,DLGAP2,DLGAP2,protein_coding,DLG associated protein 2
chr7_hap1_hsa8,8099000,8100000,Western,15.16877263,DLGAP2,DLGAP2,protein_coding,DLG associated protein 2
chr1_hap1_hsa1,216406000,216407000,Central,15.10788743,KAZN,KAZN,protein_coding,kazrin%2C periplakin interacting protein
chr1_hap1_hsa1,216406000,216407000,Western,15.10788743,KAZN,KAZN,protein_coding,kazrin%2C periplakin interacting protein
chr7_hap1_hsa8,23748000,23749000,Western,15.06169063,TUSC3,TUSC3,protein_coding,tumor suppressor candidate 3
chr11_hap1_hsa9,115553000,115554000,Western,14.98171124,DOCK8,DOCK8,protein_coding,dedicator of cytokinesis 8
chr9_hap1_hsa11,9604000,9605000,Eastern,14.97538601,HBE1,HBE1,protein_coding,hemoglobin subunit epsilon 1
chr9_hap1_hsa11,9604000,9605000,Western,14.97538601,HBE1,HBE1,protein_coding,hemoglobin subunit epsilon 1
chr7_hap1_hsa8,11766000,11767000,Eastern,14.97045783,CSMD1,CSMD1,protein_coding,CUB and Sushi multiple domains 1
chr7_hap1_hsa8,11766000,11767000,Western,14.97045783,CSMD1,CSMD1,protein_coding,CUB and Sushi multiple domains 1
chr20_hap1_hsa19,12788000,12789000,Eastern,14.89838771,LOC468717,C3P1,protein_coding,putative protein C3P1
chr20_hap1_hsa19,12788000,12789000,Western,14.89838771,LOC468717,C3P1,protein_coding,putative protein C3P1
chr7_hap1_hsa8,23867000,23868000,Central,14.8905302,TUSC3,TUSC3,protein_coding,tumor suppressor candidate 3
chr7_hap1_hsa8,23867000,23868000,Eastern,14.8905302,TUSC3,TUSC3,protein_coding,tumor suppressor candidate 3
chr7_hap1_hsa8,23867000,23868000,Western,14.8905302,TUSC3,TUSC3,protein_coding,tumor suppressor candidate 3
chr8_hap1_hsa10,144352000,144353000,Central,14.86706308,JAKMIP3,JAKMIP3,protein_coding,Janus kinase and microtubule interacting protein 3
chr8_hap1_hsa10,144352000,144353000,Eastern,14.86706308,JAKMIP3,JAKMIP3,protein_coding,Janus kinase and microtubule interacting protein 3
chr8_hap1_hsa10,144352000,144353000,Western,14.86706308,JAKMIP3,JAKMIP3,protein_coding,Janus kinase and microtubule interacting protein 3
chr13_hap1_hsa2b,16070000,16071000,Eastern,14.84643319,DPP10,DPP10,protein_coding,dipeptidyl peptidase like 10
chr20_hap1_hsa19,57548000,57549000,Eastern,14.84341597,LOC100608180,LILRB3,protein_coding,leukocyte immunoglobulin-like receptor subfamily B member 3-like
chr20_hap1_hsa19,57548000,57549000,Western,14.84341597,LOC100608180,LILRB3,protein_coding,leukocyte immunoglobulin-like receptor subfamily B member 3-like
chr16_hap1_hsa15,11036000,11037000,Central,14.82801305,LOC112205572,NEK4,protein_coding,serine/threonine-protein kinase Nek4-like
chr19_hap1_hsa17,11515000,11516000,Central,14.82656593,ABR,ABR,protein_coding,ABR activator of RhoGEF and GTPase
chr19_hap1_hsa17,11515000,11516000,Eastern,14.82656593,ABR,ABR,protein_coding,ABR activator of RhoGEF and GTPase
chr18_hap1_hsa16,2784000,2785000,Central,14.81156969,RAB11FIP3,RAB11FIP3,protein_coding,RAB11 family interacting protein 3
chr18_hap1_hsa16,2784000,2785000,Eastern,14.81156969,RAB11FIP3,RAB11FIP3,protein_coding,RAB11 family interacting protein 3
chr18_hap1_hsa16,2784000,2785000,Western,14.81156969,RAB11FIP3,RAB11FIP3,protein_coding,RAB11 family interacting protein 3
chr7_hap1_hsa8,11667000,11668000,Eastern,14.78937019,CSMD1,CSMD1,protein_coding,CUB and Sushi multiple domains 1
chr7_hap1_hsa8,11667000,11668000,Western,14.78937019,CSMD1,CSMD1,protein_coding,CUB and Sushi multiple domains 1
chr18_hap1_hsa16,85955000,85956000,Western,14.78711682,KLHDC4,KLHDC4,protein_coding,kelch domain containing 4
chr5_hap1_hsa6,38555000,38556000,Central,14.77553163,LOC100616520,HLA-DQB1,protein_coding,HLA class II histocompatibility antigen%2C DQ beta 1 chain
chr7_hap1_hsa8,11765000,11766000,Eastern,14.76977308,CSMD1,CSMD1,protein_coding,CUB and Sushi multiple domains 1
chr7_hap1_hsa8,11765000,11766000,Western,14.76977308,CSMD1,CSMD1,protein_coding,CUB and Sushi multiple domains 1
chr7_hap1_hsa8,22904000,22905000,Western,14.74397082,SGCZ,SGCZ,protein_coding,sarcoglycan zeta
chr20_hap1_hsa19,59662000,59663000,Eastern,14.7414857,LOC104003467,OR1L4,protein_coding,olfactory receptor 1L4-like
chr20_hap1_hsa19,59175000,59176000,Central,14.73096066,ZSCAN5A,ZSCAN5A,protein_coding,zinc finger and SCAN domain containing 5A
chr20_hap1_hsa19,59175000,59176000,Eastern,14.73096066,ZSCAN5A,ZSCAN5A,protein_coding,zinc finger and SCAN domain containing 5A
chr20_hap1_hsa19,59175000,59176000,Western,14.73096066,ZSCAN5A,ZSCAN5A,protein_coding,zinc finger and SCAN domain containing 5A
