genes_renamed,descriptions,gene_biotypes,n_species,species_sharing,chimp_n_pops,chimp_pop_sharing,Bonobo_Ppa,Central_Pt,Eastern_Pt,Western_Pt,1KGP_AFR_hsa
PLCB1,phospholipase C beta 1,protein_coding,2,bonobo_chimp,2,Central+Eastern,6.58,9.015176348,7.375073293,NA,NA
MAD1L1,mitotic arrest deficient 1 like 1,protein_coding,2,bonobo_chimp,2,Central+Eastern,6.37,6.560340743,7.348764621,NA,NA
PARP4,protein mono-ADP-ribosyltransferase PARP4-like,protein_coding,2,bonobo_chimp,2,Central+Eastern,7.34,9.238068153,7.316493062,NA,NA
CCDC77,coiled-coil domain containing 77,protein_coding,2,bonobo_chimp,2,Central+Eastern,10.97,7.095163422,7.300715289,NA,NA
NINJ2,ninjurin 2,protein_coding,2,bonobo_chimp,2,Central+Eastern,7.38,9.685426718,7.2298407,NA,NA
MYZAP,myocardial zonula adherens protein,protein_coding,2,bonobo_chimp,2,Central+Eastern,6.09,8.253775968,7.173406779,NA,NA
WASHC2A,WASH complex subunit 2A-like,protein_coding,2,bonobo_chimp,1,Eastern,9.05,NA,7.115058315,NA,NA
TENM3,teneurin transmembrane protein 3,protein_coding,2,bonobo_chimp,2,Central+Eastern,7.26,9.141955996,7.050154094,NA,NA
ADGRD1,adhesion G protein-coupled receptor D1,protein_coding,2,bonobo_chimp,1,Eastern,7.4,NA,6.951247541,NA,NA
MUC5B,mucin 5B%2C oligomeric mucus/gel-forming,protein_coding,2,bonobo_chimp,1,Eastern,8.63,NA,6.871883935,NA,NA
ZNF407,zinc finger protein 407,protein_coding,2,bonobo_chimp,1,Eastern,9.33,NA,6.856335495,NA,NA
DEAF1,DEAF1 transcription factor,protein_coding,2,bonobo_chimp,1,Eastern,7.65,NA,6.846877541,NA,NA
LYRM4,LYR motif containing 4,protein_coding,2,bonobo_chimp,1,Eastern,7.44,NA,6.770639204,NA,NA
VPS53,VPS53 subunit of GARP complex,protein_coding,2,bonobo_chimp,2,Central+Eastern,7.42,6.415479948,6.759097974,NA,NA
DCLRE1C,DNA cross-link repair 1C,protein_coding,2,bonobo_chimp,2,Central+Eastern,6.42,7.401264577,6.696452336,NA,NA
DOK6,docking protein 6,protein_coding,2,bonobo_chimp,1,Eastern,6.58,NA,6.677626328,NA,NA
B4GALNT3,beta-1%2C4-N-acetyl-galactosaminyltransferase 3,protein_coding,2,bonobo_chimp,1,Eastern,8.48,NA,6.56744088,NA,NA
NCAM2,neural cell adhesion molecule 2,protein_coding,2,bonobo_chimp,2,Central+Eastern,6.83,8.680375945,6.471447851,NA,NA
PDE10A,phosphodiesterase 10A,protein_coding,2,bonobo_chimp,2,Central+Eastern,8.29,8.160311395,6.39661309,NA,NA
CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1,protein_coding,2,bonobo_chimp,1,Eastern,6.29,NA,6.334045455,NA,NA
TMX3,thioredoxin related transmembrane protein 3,protein_coding,2,bonobo_chimp,1,Eastern,8.39,NA,6.296617934,NA,NA
TPD52L2,TPD52 like 2,protein_coding,2,bonobo_chimp,1,Eastern,8.21,NA,6.184960909,NA,NA
ANXA10,annexin A10,protein_coding,2,bonobo_chimp,2,Central+Eastern,6.27,8.218408409,6.151751712,NA,NA
WDR27,WD repeat domain 27,protein_coding,2,bonobo_chimp,1,Eastern,7.31,NA,6.068097384,NA,NA
BRF1,BRF1 RNA polymerase III transcription initiation factor subunit,protein_coding,2,bonobo_chimp,2,Eastern+Western,9.32,NA,16.22426184,14.24882336,NA
HLA-C,major histocompatibility complex%2C class I%2C C,protein_coding,2,bonobo_chimp,3,all_chimp_pops,9.12,20.06876256,13.97974674,11.75983593,NA
HLA-A,patr class I histocompatibility antigen%2C A-126 alpha chain,protein_coding,2,bonobo_chimp,3,all_chimp_pops,8.41,15.39985908,14.93240902,10.93109785,NA
ADARB2,adenosine deaminase RNA specific B2 (inactive),protein_coding,2,bonobo_chimp,3,all_chimp_pops,19.32,6.897279372,12.00956179,10.29291979,NA
KAZN,kazrin%2C periplakin interacting protein,protein_coding,2,bonobo_chimp,3,all_chimp_pops,7.71,14.87367078,10.19628351,9.472940496,NA
DOCK8,dedicator of cytokinesis 8,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.75,12.19952191,12.17747455,9.368138378,NA
SNTG1,syntrophin gamma 1,protein_coding,2,bonobo_chimp,3,all_chimp_pops,7.56,7.88147461,10.83545987,9.175585575,NA
HLA-B,major histocompatibility complex%2C class I%2C B,protein_coding,2,bonobo_chimp,3,all_chimp_pops,7.42,8.444271898,10.50844786,8.94280176,NA
TMEM132D,transmembrane protein 132D,protein_coding,2,bonobo_chimp,3,all_chimp_pops,7.35,9.730718446,9.126447497,8.91073588,NA
SGCZ,sarcoglycan zeta,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.17,16.26271097,10.8649854,8.852806957,NA
LILRB3,leukocyte immunoglobulin like receptor B3,protein_coding,2,bonobo_chimp,3,all_chimp_pops,7,16.76486981,12.99903679,8.852540082,NA
LILRB1,leukocyte immunoglobulin like receptor B1,protein_coding,2,bonobo_chimp,2,Eastern+Western,8,NA,10.44177012,8.838027261,NA
CSMD1,CUB and Sushi multiple domains 1,protein_coding,2,bonobo_chimp,3,all_chimp_pops,11.59,9.944417001,12.07830767,8.797444011,NA
PTPRN2,protein tyrosine phosphatase receptor type N2,protein_coding,2,bonobo_chimp,3,all_chimp_pops,7.8,9.586778235,10.06018208,8.672024509,NA
ZNF578,zinc finger protein 578,protein_coding,2,bonobo_chimp,2,Eastern+Western,6.53,NA,9.77255644,8.600245097,NA
TBC1D22A,TBC1 domain family member 22A,protein_coding,2,bonobo_chimp,3,all_chimp_pops,9.79,8.858058691,11.03996547,8.526972512,NA
PTPRD,protein tyrosine phosphatase receptor type D,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.53,11.55140287,9.896500038,8.523727536,NA
DPP6,dipeptidyl peptidase like 6,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.94,10.16103493,8.571116039,8.423891228,NA
DLGAP2,DLG associated protein 2,protein_coding,2,bonobo_chimp,3,all_chimp_pops,10.65,10.36415715,12.87276612,8.402475801,NA
NXN,nucleoredoxin,protein_coding,2,bonobo_chimp,2,Eastern+Western,7.45,NA,8.624288361,8.047963222,NA
ACTR3B,actin related protein 3B,protein_coding,2,bonobo_chimp,3,all_chimp_pops,8.64,9.95033641,10.21446616,8.026132224,NA
ATP13A3,ATPase 13A3,protein_coding,2,bonobo_chimp,3,all_chimp_pops,7.53,6.817822365,9.346232175,8.008045063,NA
SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,protein_coding,2,bonobo_chimp,1,Western,11.7,NA,NA,7.753790918,NA
SDHA,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial,protein_coding,2,bonobo_chimp,2,Eastern+Western,10.25,NA,6.622683865,7.621584691,NA
SMYD3,SET and MYND domain containing 3,protein_coding,2,bonobo_chimp,3,all_chimp_pops,10.08,10.67255116,8.751818097,7.619036687,NA
OPCML,opioid binding protein/cell adhesion molecule like,protein_coding,2,bonobo_chimp,3,all_chimp_pops,8.01,8.631803753,9.070576385,7.602478295,NA
CSNK1G2,casein kinase 1 gamma 2,protein_coding,2,bonobo_chimp,1,Western,7.17,NA,NA,7.600619038,NA
DPEP1,dipeptidase 1,protein_coding,2,bonobo_chimp,2,Central+Western,6.27,11.41339876,NA,7.403037572,NA
ZSCAN5A,zinc finger and SCAN domain containing 5A,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.77,6.476725331,8.101159885,7.388053194,NA
EYS,protein eyes shut homolog,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.16,13.56404232,10.14098062,7.233948076,NA
TAFA5,TAFA chemokine like family member 5,protein_coding,2,bonobo_chimp,2,Eastern+Western,6.5,NA,7.83958729,7.196444191,NA
FAM90A27P,protein FAM90A27P-like,protein_coding,2,bonobo_chimp,2,Eastern+Western,6.02,NA,8.429409128,7.181044948,NA
PKD1L2,polycystin-1-like protein 2,protein_coding,2,bonobo_chimp,2,Eastern+Western,6.73,NA,8.360439222,6.966210994,NA
LUZP2,leucine zipper protein 2,protein_coding,2,bonobo_chimp,3,all_chimp_pops,7.31,6.625055423,8.759148888,6.91948599,NA
MYOM2,myomesin 2,protein_coding,2,bonobo_chimp,3,all_chimp_pops,7.27,7.677946349,8.10613319,6.870338524,NA
SDK1,sidekick cell adhesion molecule 1,protein_coding,2,bonobo_chimp,3,all_chimp_pops,7.18,9.23544762,8.799835652,6.86590408,NA
AGBL1,AGBL carboxypeptidase 1,protein_coding,2,bonobo_chimp,2,Eastern+Western,6.7,NA,9.066859299,6.86091346,NA
ABR,ABR activator of RhoGEF and GTPase,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.52,10.83922406,10.02198266,6.856836995,NA
ERC1,ELKS/RAB6-interacting/CAST family member 1,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.01,12.21567735,6.538117508,6.77149911,NA
XKR4,XK related 4,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.76,11.42621151,8.126691548,6.694742505,NA
LILRA2,leukocyte immunoglobulin-like receptor%2C subfamily A (with TM domain)%2C member 2,protein_coding,2,bonobo_chimp,3,all_chimp_pops,7.22,13.4667052,10.57326783,6.562369428,NA
ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,protein_coding,2,bonobo_chimp,3,all_chimp_pops,7.64,10.26470177,8.621155971,6.538896542,NA
CADPS,calcium dependent secretion activator,protein_coding,2,bonobo_chimp,2,Eastern+Western,6.35,NA,7.480258192,6.523988008,NA
DIP2C,disco interacting protein 2 homolog C,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.59,10.57251199,8.680839239,6.462116749,NA
ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.27,9.589695481,9.247478695,6.394311205,NA
CNTN4,contactin 4,protein_coding,2,bonobo_chimp,3,all_chimp_pops,7.16,7.922403895,8.697562196,6.358378832,NA
SPHKAP,SPHK1 interactor%2C AKAP domain containing,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.16,10.06896265,8.119891606,6.348638584,NA
ADPRHL1,ADP-ribosylhydrolase like 1,protein_coding,2,bonobo_chimp,3,all_chimp_pops,8.87,6.052405283,6.126169804,6.339906915,NA
FDFT1,farnesyl-diphosphate farnesyltransferase 1,protein_coding,2,bonobo_chimp,2,Central+Western,6.66,7.090267985,NA,6.325701965,NA
CFAP54,cilia and flagella associated protein 54,protein_coding,2,bonobo_chimp,1,Western,6.82,NA,NA,6.286298445,NA
NLRP12,NLR family pyrin domain containing 12,protein_coding,2,bonobo_chimp,2,Eastern+Western,8.52,NA,7.728716973,6.223481021,NA
FAM110A,family with sequence similarity 110 member A,protein_coding,2,bonobo_chimp,2,Eastern+Western,6.18,NA,6.234968649,6.183981858,NA
DNAH17,dynein axonemal heavy chain 17,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.26,7.267462176,6.946257585,6.168997611,NA
NLRP11,NLR family pyrin domain containing 11,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.89,9.464872748,6.827820827,6.118283166,NA
SKI,SKI proto-oncogene,protein_coding,2,bonobo_chimp,2,Eastern+Western,6.34,NA,7.153165678,6.031326087,NA
VAV1,vav guanine nucleotide exchange factor 1,protein_coding,2,bonobo_chimp,2,Central+Western,6.21,6.52737123,NA,6.02518452,NA
RSPH10B,radial spoke head 10 homolog B,protein_coding,2,bonobo_chimp,3,all_chimp_pops,6.36,11.47969788,9.831531284,6.00556609,NA
