contig	liftoff_label	corrected_label	gene_start	gene_end	strand	category	transcript	transitions
PR00512.hap1	GYPB	GYPB	484801	508256	-	fusion	NM_002100.6	GYPB:503517-508256:0.96:0.01,GYPE:503092-503516:0.97:0.03,GYPB:496373-503091:0.98:0.02,GYPA:496153-496372:0.98:0.07,GYPB:484801-496152:0.97:0.01
PR00512.hap1	GYPA	GYPE	605441	642106	-	fusion	NM_002099.8	GYPE:621939-642106:0.98:0.27,GYPA:617827-621938:0.98:0.12,GYPE:617571-617826:0.99:0.01,GYPA:616582-617570:0.99:0.02,GYPE:614040-616581:0.96:-0.01,GYPA:613713-614039:0.98:0.02,GYPE:613354-613712:0.96:-0.01,GYPA:605441-613353:0.98:0.52
PR00512.hap1	GYPB	GYPE	734949	761283	-	fusion	XM_011531904.4_1	GYPE:753788-761283:0.96:-0.00,GYPB:753586-753787:0.97:0.03,GYPE:749445-753585:0.97:-0.00,GYPA:749234-749444:0.98:0.06,GYPE:744700-749233:0.97:0.01,GYPA:743633-744699:0.95:0.40,GYPE:739011-743632:0.96:-0.01,GYPA:738644-739010:0.99:0.03,GYPE:738085-738643:0.97:-0.00,GYPB:737047-738084:0.98:0.02,GYPE:736224-737046:0.95:-0.01,GYPB:735258-736223:0.99:0.03,GYPE:734949-735257:0.96:0.00
PR00512.hap2	GYPE	GYPE	149069	178856	-	fusion	NM_198682.3_1	GYPE:176965-178856:0.97:-0.00,GYPA:176659-176964:0.97:0.02,GYPE:165041-176658:0.96:-0.00,GYPA:158063-165040:0.98:0.08,GYPE:154484-158062:0.95:0.00,GYPA:154176-154483:0.97:0.02,GYPE:149069-154175:0.96:0.46
PR00512.hap2	GYPE	GYPE	255509	290328	-	gene_conversion	NM_198682.3	GYPE:287261-290328:0.98:0.01,GYPB:287059-287260:0.97:0.03,GYPE:255509-287058:0.98:0.26
PR00512.hap2	GYPB	GYPE	379553	407157	-	fusion	XM_011531904.4_1	GYPE:393472-407157:0.96:0.37,GYPA:393261-393471:0.98:0.06,GYPE:379553-393260:0.97:0.04
PR00512.hap2	GYPB	GYPB	488865	512348	-	fusion	NM_002100.6	GYPB:507571-512348:0.95:0.01,GYPE:507146-507570:0.97:0.03,GYPB:500429-507145:0.98:0.02,GYPA:500209-500428:0.98:0.07,GYPB:488865-500208:0.98:0.01
PR00512.hap2	GYPA	GYPA	603368	634792	-	normal	NM_002099.8	GYPA
PR01225.hap1	GYPE	GYPE	145329	175085	-	fusion	NM_198682.3_1	GYPE:161267-175085:0.96:-0.00,GYPA:154288-161266:0.98:0.08,GYPE:145329-154287:0.96:0.27
PR01225.hap1	GYPE	GYPE	251762	286582	-	gene_conversion	NM_198682.3	GYPE:283515-286582:0.98:0.01,GYPB:283313-283514:0.97:0.03,GYPE:251762-283312:0.98:0.26
PR01225.hap1	GYPB	GYPE	375807	403411	-	fusion	XM_011531904.4_1	GYPE:389726-403411:0.96:0.37,GYPA:389515-389725:0.98:0.06,GYPE:375807-389514:0.97:0.04
PR01225.hap1	GYPB	GYPB	484893	508384	-	fusion	NM_002100.6	GYPB:503599-508384:0.95:0.01,GYPE:503174-503598:0.97:0.03,GYPB:496457-503173:0.98:0.02,GYPA:496237-496456:0.98:0.07,GYPB:484893-496236:0.98:0.01
PR01225.hap1	GYPA	GYPA	599409	630848	-	normal	NM_002099.8	GYPA
PR01225.hap2	GYPE	GYPE	145392	175148	-	fusion	NM_198682.3_1	GYPE:172334-175148:0.97:-0.00,GYPB:171779-172333:0.95:0.02,GYPE:161330-171778:0.96:-0.00,GYPA:154351-161329:0.97:0.08,GYPE:145392-154350:0.96:0.27
PR01225.hap2	GYPE	GYPE	251801	286563	-	gene_conversion	NM_198682.3	GYPE:283497-286563:0.98:0.01,GYPB:283295-283496:0.97:0.03,GYPE:251801-283294:0.98:0.26
PR01225.hap2	GYPB	GYPB	375781	399239	-	fusion	NM_002100.6	GYPB:394512-399239:0.96:0.01,GYPE:394078-394511:0.97:0.03,GYPB:387352-394077:0.98:0.02,GYPA:387132-387351:0.98:0.07,GYPB:375781-387131:0.98:0.01
PR01225.hap2	GYPA	GYPA	489426	520857	-	normal	NM_002099.8	GYPA
PR01228.hap1	GYPE	GYPE	145325	175070	-	fusion	NM_198682.3_1	GYPE:161253-175070:0.96:-0.00,GYPA:154284-161252:0.98:0.08,GYPE:145325-154283:0.96:0.27
PR01228.hap1	GYPE	GYPE	251758	286578	-	gene_conversion	NM_198682.3	GYPE:283511-286578:0.98:0.01,GYPB:283309-283510:0.97:0.03,GYPE:251758-283308:0.98:0.26
PR01228.hap1	GYPB	GYPE	375818	403422	-	fusion	XM_011531904.4_1	GYPE:389737-403422:0.96:0.37,GYPA:389526-389736:0.98:0.06,GYPE:375818-389525:0.97:0.04
PR01228.hap1	GYPB	GYPB	485424	508915	-	fusion	NM_002100.6	GYPB:504130-508915:0.95:0.01,GYPE:503705-504129:0.97:0.03,GYPB:496988-503704:0.98:0.02,GYPA:496768-496987:0.98:0.07,GYPB:485424-496767:0.98:0.01
PR01228.hap1	GYPA	GYPA	599939	631394	-	normal	NM_002099.8	GYPA
PR01228.hap2	GYPE	GYPE	145342	174997	-	fusion	NM_198682.3_1	GYPE:172184-174997:0.97:-0.00,GYPB:171628-172183:0.96:0.02,GYPE:163266-171627:0.96:-0.00,GYPA:162611-163265:0.97:0.02,GYPE:162285-162610:0.97:-0.01,GYPA:161898-162284:0.99:0.03,GYPE:161246-161897:0.98:-0.01,GYPA:154301-161245:0.98:0.08,GYPE:145342-154300:0.96:0.27
PR01228.hap2	GYPE	GYPE	255980	290703	-	normal	NM_198682.3	GYPE
PR01228.hap2	GYPB	GYPE	379972	407556	-	fusion	XM_011531904.4_1	GYPE:393883-407556:0.96:0.37,GYPA:393663-393882:0.99:0.07,GYPE:383092-393662:0.97:0.01,GYPB:382096-383091:0.97:0.02,GYPE:379972-382095:0.96:-0.01
PR01228.hap2	GYPB	GYPB	489530	513019	-	fusion	NM_002100.6	GYPB:508234-513019:0.95:0.01,GYPE:507809-508233:0.97:0.03,GYPB:501093-507808:0.98:0.02,GYPA:500873-501092:0.98:0.07,GYPB:489530-500872:0.98:0.01
PR01228.hap2	GYPA	GYPA	604048	635503	-	normal	NM_002099.8	GYPA
PR01100.hap1	GYPE	GYPE	145300	175035	-	fusion	NM_198682.3_1	GYPE:167632-175035:0.96:-0.00,GYPB:167360-167631:0.98:0.02,GYPE:163235-167359:0.96:-0.01,GYPA:162580-163234:0.97:0.02,GYPE:162254-162579:0.97:-0.01,GYPA:161867-162253:0.99:0.03,GYPE:161215-161866:0.98:-0.01,GYPA:154259-161214:0.98:0.08,GYPE:145300-154258:0.96:0.26
PR01100.hap1	GYPE	GYPE	251706	286466	-	gene_conversion	NM_198682.3	GYPE:283404-286466:0.98:0.01,GYPB:283199-283403:0.97:0.02,GYPE:251706-283198:0.98:0.26
PR01100.hap1	GYPB	GYPE	375719	403325	-	fusion	XM_011531904.4_1	GYPE:389640-403325:0.96:0.37,GYPA:389429-389639:0.98:0.06,GYPE:375719-389428:0.97:0.05
PR01100.hap1	GYPB	GYPB	485059	508561	-	fusion	NM_002100.6	GYPB:503775-508561:0.95:0.01,GYPE:503350-503774:0.97:0.03,GYPB:496630-503349:0.98:0.02,GYPA:496410-496629:0.98:0.07,GYPB:485059-496409:0.98:0.01
PR01100.hap1	GYPA	GYPA	599570	630980	-	normal	NM_002099.8	GYPA
PR01100.hap2	GYPE	GYPE	145333	175089	-	fusion	NM_198682.3_1	GYPE:161271-175089:0.96:-0.00,GYPA:154292-161270:0.98:0.08,GYPE:145333-154291:0.96:0.27
PR01100.hap2	GYPE	GYPE	251762	286582	-	gene_conversion	NM_198682.3	GYPE:283515-286582:0.98:0.01,GYPB:283313-283514:0.97:0.03,GYPE:251762-283312:0.98:0.26
PR01100.hap2	GYPB	GYPE	375807	403411	-	fusion	XM_011531904.4_1	GYPE:389726-403411:0.96:0.37,GYPA:389515-389725:0.98:0.06,GYPE:375807-389514:0.97:0.04
PR01100.hap2	GYPB	GYPB	485149	508648	-	fusion	NM_002100.6	GYPB:503855-508648:0.95:0.01,GYPE:503430-503854:0.97:0.03,GYPB:496713-503429:0.98:0.02,GYPA:496493-496712:0.98:0.07,GYPB:485149-496492:0.98:0.01
PR01100.hap2	GYPA	GYPA	599672	631112	-	normal	NM_002099.8	GYPA
PR00496A.hap1	GYPE	GYPE	145346	175074	-	fusion	NM_198682.3_1	GYPE:163274-175074:0.96:-0.00,GYPA:162619-163273:0.97:0.02,GYPE:162293-162618:0.97:-0.01,GYPA:161906-162292:0.99:0.03,GYPE:161254-161905:0.97:-0.01,GYPA:154310-161253:0.98:0.08,GYPE:145346-154309:0.96:0.26
PR00496A.hap1	GYPE	GYPE	247501	282183	-	normal	NM_198682.3	GYPE
PR00496A.hap1	GYPB	GYPE	371449	399051	-	fusion	XM_011531904.4_1	GYPE:385379-399051:0.96:0.37,GYPA:385159-385378:0.99:0.07,GYPE:371449-385158:0.97:0.04
PR00496A.hap1	GYPB	GYPB	482638	506089	-	fusion	NM_002100.6	GYPB:501361-506089:0.95:0.01,GYPE:500936-501360:0.98:0.03,GYPB:494211-500935:0.98:0.02,GYPA:493991-494210:0.98:0.07,GYPB:482638-493990:0.97:0.01
PR00496A.hap1	GYPA	GYPA	597169	628557	-	gene_conversion	NM_002099.8	GYPA:623758-628557:0.97:0.01,GYPE:623551-623757:0.96:0.03,GYPA:621081-623550:0.98:0.01,GYPB:620879-621080:0.99:0.03,GYPA:597169-620878:0.98:0.20
PR00496A.hap2	GYPE	GYPE	151593	186397	-	normal	NM_198682.3	GYPE
PR00496A.hap2	GYPB	GYPE	275606	303210	-	fusion	XM_011531904.4_1	GYPE:289558-303210:0.96:0.37,GYPA:289312-289557:0.98:0.05,GYPE:278736-289311:0.97:0.01,GYPB:277740-278735:0.97:0.02,GYPE:275606-277739:0.96:-0.01
PR00496A.hap2	GYPB	GYPB	385075	408542	-	fusion	NM_002100.6	GYPB:403794-408542:0.96:0.01,GYPE:403369-403793:0.97:0.03,GYPB:396644-403368:0.98:0.02,GYPA:396424-396643:0.98:0.07,GYPB:385075-396423:0.98:0.01
PR00496A.hap2	GYPA	GYPA	499563	530954	-	gene_conversion	NM_002099.8	GYPA:526150-530954:0.97:0.01,GYPE:525943-526149:0.96:0.03,GYPA:523473-525942:0.98:0.01,GYPB:523271-523472:0.98:0.03,GYPA:499563-523270:0.98:0.20
PR00115.hap1	GYPE	GYPE	144203	173920	-	fusion	NM_198682.3_1	GYPE:162129-173920:0.96:-0.00,GYPA:161474-162128:0.97:0.02,GYPE:161148-161473:0.97:-0.01,GYPA:160761-161147:0.99:0.03,GYPE:160109-160760:0.98:-0.01,GYPA:153602-160108:0.98:0.08,GYPE:144203-153601:0.96:0.25
PR00115.hap1	GYPE	GYPE	250575	285394	-	gene_conversion	NM_198682.3	GYPE:282324-285394:0.98:0.02,GYPB:282124-282323:0.98:0.02,GYPE:250575-282123:0.98:0.26
PR00115.hap1	GYPB	GYPE	374623	402218	-	fusion	XM_011531904.4_1	GYPE:388536-402218:0.96:0.37,GYPA:388325-388535:0.98:0.06,GYPE:374623-388324:0.97:0.04
PR00115.hap1	GYPB	GYPB	483711	507198	-	fusion	NM_002100.6	GYPB:502431-507198:0.95:0.01,GYPE:502006-502430:0.97:0.03,GYPB:495283-502005:0.98:0.02,GYPA:495063-495282:0.98:0.07,GYPB:483711-495062:0.98:0.01
PR00115.hap1	GYPA	GYPA	598105	629550	-	normal	NM_002099.8	GYPA
PR00115.hap2	GYPE	GYPE	151593	186397	-	normal	NM_198682.3	GYPE
PR00115.hap2	GYPB	GYPE	275605	303209	-	fusion	XM_011531904.4_1	GYPE:289557-303209:0.96:0.37,GYPA:289311-289556:0.98:0.05,GYPE:278735-289310:0.97:0.01,GYPB:277739-278734:0.97:0.02,GYPE:275605-277738:0.96:-0.01
PR00115.hap2	GYPB	GYPB	385075	408542	-	fusion	NM_002100.6	GYPB:403794-408542:0.96:0.01,GYPE:403369-403793:0.97:0.03,GYPB:396644-403368:0.98:0.02,GYPA:396424-396643:0.98:0.07,GYPB:385075-396423:0.98:0.01
PR00115.hap2	GYPA	GYPA	499564	530955	-	gene_conversion	NM_002099.8	GYPA:526151-530955:0.97:0.01,GYPE:525944-526150:0.96:0.03,GYPA:523474-525943:0.98:0.01,GYPB:523272-523473:0.98:0.03,GYPA:499564-523271:0.98:0.20
PR00834.hap1	GYPE	GYPE	144160	173878	-	fusion	NM_198682.3_1	GYPE:162087-173878:0.96:-0.00,GYPA:161432-162086:0.97:0.02,GYPE:161106-161431:0.97:-0.01,GYPA:160719-161105:0.98:0.03,GYPE:160067-160718:0.98:-0.01,GYPA:153560-160066:0.98:0.08,GYPE:144160-153559:0.96:0.25
PR00834.hap1	GYPE	GYPE	250526	285242	-	gene_conversion	NM_198682.3	GYPE:282160-285242:0.98:0.02,GYPB:281959-282159:0.98:0.02,GYPE:250526-281958:0.98:0.26
PR00834.hap1	GYPB	GYPE	311292	338888	-	fusion	XM_011531904.4_1	GYPE:325209-338888:0.96:0.37,GYPA:324998-325208:0.98:0.06,GYPE:311292-324997:0.97:0.04
PR00834.hap1	GYPB	GYPB	421083	444518	-	fusion	NM_002100.6	GYPB:439797-444518:0.95:0.01,GYPE:439372-439796:0.97:0.03,GYPB:432653-439371:0.98:0.02,GYPA:432433-432652:0.97:0.07,GYPB:421083-432432:0.98:0.01
PR00834.hap1	GYPA	GYPA	535409	566845	-	normal	NM_002099.8	GYPA
PR00834.hap2	GYPE	GYPE	145324	174596	-	fusion	NM_198682.3_1	GYPE:167199-174596:0.96:-0.00,GYPB:166927-167198:0.98:0.02,GYPE:162803-166926:0.96:-0.01,GYPA:162148-162802:0.97:0.02,GYPE:161822-162147:0.97:-0.01,GYPA:161435-161821:0.99:0.03,GYPE:161031-161434:0.98:-0.01,GYPA:154283-161030:0.98:0.08,GYPE:145324-154282:0.96:0.26
PR00834.hap2	GYPE	GYPE	255545	290277	-	normal	NM_198682.3	GYPE
PR00834.hap2	GYPB	GYPE	379531	407118	-	fusion	XM_011531904.4_1	GYPE:393445-407118:0.96:0.37,GYPA:393225-393444:0.99:0.07,GYPE:382654-393224:0.97:0.01,GYPB:381658-382653:0.97:0.02,GYPE:379531-381657:0.95:-0.01
PR00834.hap2	GYPB	GYPB	488785	512285	-	fusion	NM_002100.6	GYPB:507501-512285:0.95:0.01,GYPE:507076-507500:0.97:0.03,GYPB:500356-507075:0.98:0.01,GYPA:500136-500355:0.98:0.07,GYPB:488785-500135:0.98:0.01
PR00834.hap2	GYPA	GYPA	603331	634740	-	normal	NM_002099.8	GYPA
PR00838.hap1	GYPE	GYPE	145323	174595	-	fusion	NM_198682.3_1	GYPE:167198-174595:0.96:-0.00,GYPB:166926-167197:0.98:0.02,GYPE:162802-166925:0.96:-0.01,GYPA:162147-162801:0.97:0.02,GYPE:161821-162146:0.97:-0.01,GYPA:161434-161820:0.99:0.03,GYPE:161030-161433:0.98:-0.01,GYPA:154282-161029:0.98:0.08,GYPE:145323-154281:0.96:0.26
PR00838.hap1	GYPE	GYPE	255545	290277	-	normal	NM_198682.3	GYPE
PR00838.hap1	GYPB	GYPE	379531	407118	-	fusion	XM_011531904.4_1	GYPE:393445-407118:0.96:0.37,GYPA:393225-393444:0.99:0.07,GYPE:382654-393224:0.97:0.01,GYPB:381658-382653:0.97:0.02,GYPE:379531-381657:0.95:-0.01
PR00838.hap1	GYPB	GYPB	488785	512285	-	fusion	NM_002100.6	GYPB:507501-512285:0.95:0.01,GYPE:507076-507500:0.97:0.03,GYPB:500356-507075:0.98:0.01,GYPA:500136-500355:0.98:0.07,GYPB:488785-500135:0.98:0.01
PR00838.hap1	GYPA	GYPA	603329	634737	-	normal	NM_002099.8	GYPA
PR00838.hap2	GYPE	GYPE	145396	175049	-	fusion	NM_198682.3_1	GYPE:172237-175049:0.97:-0.00,GYPB:171681-172236:0.96:0.02,GYPE:163320-171680:0.96:-0.00,GYPA:162665-163319:0.97:0.02,GYPE:162339-162664:0.97:-0.01,GYPA:161952-162338:0.98:0.03,GYPE:161300-161951:0.98:-0.01,GYPA:154355-161299:0.98:0.08,GYPE:145396-154354:0.96:0.27
PR00838.hap2	GYPE	GYPE	256033	290753	-	normal	NM_198682.3	GYPE
PR00838.hap2	GYPB	GYPE	379968	407552	-	fusion	XM_011531904.4_1	GYPE:393880-407552:0.96:0.37,GYPA:393660-393879:0.99:0.07,GYPE:383089-393659:0.97:0.01,GYPB:382093-383088:0.97:0.02,GYPE:379968-382092:0.96:-0.01
PR00838.hap2	GYPB	GYPB	489120	512578	-	fusion	NM_002100.6	GYPB:507851-512578:0.96:0.01,GYPE:507417-507850:0.97:0.03,GYPB:500691-507416:0.98:0.02,GYPA:500471-500690:0.98:0.07,GYPB:489120-500470:0.98:0.01
PR00838.hap2	GYPA	GYPA	602762	634197	-	normal	NM_002099.8	GYPA
PR01009.hap1	GYPE	GYPE	155155	184402	-	gene_conversion	NM_198682.3	GYPE:172623-184402:0.96:-0.00,GYPA:172412-172622:0.95:0.05,GYPE:155155-172411:0.96:0.14
PR01009.hap1	GYPA	GYPA	276521	307937	-	gene_conversion	XM_017008135.3_1	GYPA:303184-307937:0.95:-0.00,GYPE:302828-303183:0.98:0.03,GYPA:276521-302827:0.97:0.18
PR01009.hap1	GYPB	GYPB	393182	416622	-	fusion	NM_002100.6	GYPB:411906-416622:0.95:0.01,GYPE:411481-411905:0.97:0.03,GYPB:404752-411480:0.98:0.02,GYPA:404532-404751:0.98:0.07,GYPB:393182-404531:0.98:0.01
PR01009.hap1	GYPA	GYPA	507698	539118	-	normal	NM_002099.8	GYPA
PR01009.hap2	GYPE	GYPE	155185	184534	-	gene_conversion	NM_198682.3	GYPE:181387-184534:0.96:0.00,GYPB:181096-181386:0.83:0.04,GYPE:172653-181095:0.96:-0.00,GYPA:172442-172652:0.95:0.05,GYPE:155185-172441:0.96:0.14
PR01009.hap2	GYPA	GYPA	275397	306827	-	normal	NM_002099.8	GYPA
PR01008.hap1	GYPE	GYPE	150240	179958	-	fusion	NM_198682.3_1	GYPE:168167-179958:0.96:-0.00,GYPA:167512-168166:0.97:0.02,GYPE:167186-167511:0.97:-0.01,GYPA:166799-167185:0.99:0.03,GYPE:166147-166798:0.98:-0.01,GYPA:159640-166146:0.97:0.08,GYPE:150240-159639:0.96:0.25
PR01008.hap1	GYPE	GYPE	256606	291426	-	gene_conversion	NM_198682.3	GYPE:288354-291426:0.98:0.02,GYPB:288154-288353:0.98:0.02,GYPE:256606-288153:0.98:0.26
PR01008.hap1	GYPB	GYPE	380658	408252	-	fusion	XM_011531904.4_1	GYPE:394571-408252:0.96:0.37,GYPA:394360-394570:0.98:0.06,GYPE:380658-394359:0.97:0.04
PR01008.hap1	GYPB	GYPB	490195	513686	-	fusion	NM_002100.6	GYPB:508912-513686:0.95:0.01,GYPE:508487-508911:0.97:0.03,GYPB:501764-508486:0.98:0.02,GYPA:501544-501763:0.98:0.07,GYPB:490195-501543:0.98:0.01
PR01008.hap1	GYPA	GYPA	609984	641418	-	gene_conversion	NM_002099.8	GYPA:636737-641418:0.97:0.01,GYPE:636101-636736:0.98:0.02,GYPA:633933-636100:0.97:-0.00,GYPB:633696-633932:0.97:0.03,GYPA:609984-633695:0.98:0.20
PR01008.hap2	GYPE	GYPE	144203	173921	-	fusion	NM_198682.3_1	GYPE:162128-173921:0.96:-0.00,GYPA:161473-162127:0.97:0.02,GYPE:161147-161472:0.97:-0.01,GYPA:160760-161146:0.99:0.03,GYPE:160108-160759:0.98:-0.01,GYPA:153601-160107:0.98:0.08,GYPE:144203-153600:0.96:0.25
PR01008.hap2	GYPE	GYPE	250579	285370	-	normal	NM_198682.3	GYPE
PR01008.hap2	GYPB	GYPE	374450	402058	-	fusion	XM_011531904.4_1	GYPE:388375-402058:0.96:0.37,GYPA:388164-388374:0.98:0.06,GYPE:374450-388163:0.97:0.04
PR01008.hap2	GYPB	GYPB	483952	507458	-	fusion	NM_002100.6	GYPB:502673-507458:0.95:0.01,GYPE:502248-502672:0.97:0.03,GYPB:495528-502247:0.98:0.01,GYPA:495308-495527:0.98:0.07,GYPB:483952-495307:0.98:0.01
PR01008.hap2	GYPA	GYPA	604242	635687	-	gene_conversion	NM_002099.8	GYPA:631004-635687:0.97:0.00,GYPE:630583-631003:0.98:0.03,GYPA:628200-630582:0.97:-0.00,GYPB:627998-628199:0.99:0.03,GYPA:604242-627997:0.97:0.20
PR01010.hap1	GYPE	GYPE	150240	179958	-	fusion	NM_198682.3_1	GYPE:168167-179958:0.96:-0.00,GYPA:167512-168166:0.97:0.02,GYPE:167186-167511:0.97:-0.01,GYPA:166799-167185:0.99:0.03,GYPE:166147-166798:0.98:-0.01,GYPA:159640-166146:0.97:0.08,GYPE:150240-159639:0.96:0.25
PR01010.hap1	GYPE	GYPE	256605	291425	-	gene_conversion	NM_198682.3	GYPE:288353-291425:0.98:0.02,GYPB:288153-288352:0.98:0.02,GYPE:256605-288152:0.98:0.26
