contig	original_label	corrected_label	gene_start	gene_end	strand	category	transcript	transitions
120010_KOREF1.mat	GYPE	GYPE	170574	205421	-	normal	NM_198682.3	GYPE
120010_KOREF1.mat	GYPB	GYPB	295090	319279	-	normal	NM_002100.6	GYPB
120010_KOREF1.mat	GYPA	GYPA	409182	440575	-	normal	NM_002099.8	GYPA
120011_YAO.pat	GYPE	GYPE	170560	205407	-	normal	NM_198682.3	GYPE
120011_YAO.pat	GYPB	GYPB	295080	319270	-	normal	NM_002100.6	GYPB
120011_YAO.pat	GYPA	GYPA	409183	440586	-	normal	NM_002099.8	GYPA
120012_YAO.mat	GYPE	GYPE	170590	205341	-	normal	NM_198682.3	GYPE
120012_YAO.mat	GYPB	GYPB	295023	319210	-	normal	NM_002100.6	GYPB
120012_YAO.mat	GYPA	GYPA	409131	440517	-	normal	NM_002099.8	GYPA
200001_HG002.pat	GYPE	GYPE	170752	205422	-	normal	NM_198682.3	GYPE
200001_HG002.pat	GYPB	GYPB	295065	319253	-	normal	NM_002100.6	GYPB
200001_HG002.pat	GYPA	GYPA	409153	440556	-	normal	NM_002099.8	GYPA
200002_HG002.mat	GYPE	GYPE	170770	205441	-	normal	NM_198682.3	GYPE
200002_HG002.mat	GYPB	GYPB	295088	319276	-	normal	NM_002100.6	GYPB
200002_HG002.mat	GYPA	GYPA	409177	440580	-	normal	NM_002099.8	GYPA
200003_HG06807.pat	GYPE	GYPE	170563	205409	-	normal	NM_198682.3	GYPE
200003_HG06807.pat	GYPB	GYPB	295095	319282	-	normal	NM_002100.6	GYPB
200003_HG06807.pat	GYPA	GYPA	409533	440945	-	normal	NM_002099.8	GYPA
200004_HG06807.mat	GYPE	GYPE	170573	205421	-	normal	NM_198682.3	GYPE
200004_HG06807.mat	GYPB	GYPB	295104	319295	-	normal	NM_002100.6	GYPB
200004_HG06807.mat	GYPA	GYPA	409199	440588	-	normal	NM_002099.8	GYPA
200005_HG00408.pat	GYPE	GYPE	170572	205323	-	normal	NM_198682.3	GYPE
200005_HG00408.pat	GYPB	GYPB	294998	319184	-	normal	NM_002100.6	GYPB
200005_HG00408.pat	GYPA	GYPA	409086	440472	-	normal	NM_002099.8	GYPA
200006_HG00408.mat	GYPE	GYPE	170561	205408	-	normal	NM_198682.3	GYPE
200006_HG00408.mat	GYPB	GYPB	295099	319289	-	normal	NM_002100.6	GYPB
200006_HG00408.mat	GYPA	GYPA	409185	440588	-	normal	NM_002099.8	GYPA
200007_HG00423.pat	GYPE	GYPE	170578	205460	-	normal	NM_198682.3	GYPE
200007_HG00423.pat	GYPB	GYPB	295135	319325	-	normal	NM_002100.6	GYPB
200007_HG00423.pat	GYPA	GYPA	409230	440632	-	normal	NM_002099.8	GYPA
200008_HG00423.mat	GYPE	GYPE	170571	205322	-	normal	NM_198682.3	GYPE
200008_HG00423.mat	GYPB	GYPB	294983	319171	-	normal	NM_002100.6	GYPB
200008_HG00423.mat	GYPA	GYPA	409095	440503	-	normal	NM_002099.8	GYPA
200009_HG00438.pat	GYPE	GYPE	170584	205431	-	normal	NM_198682.3	GYPE
200009_HG00438.pat	GYPB	GYPB	295080	319271	-	normal	NM_002100.6	GYPB
200009_HG00438.pat	GYPA	GYPA	409190	440593	-	normal	NM_002099.8	GYPA
200010_HG00438.mat	GYPE	GYPE	170630	205383	-	normal	NM_198682.3	GYPE
200010_HG00438.mat	GYPB	GYPB	295057	319245	-	normal	NM_002100.6	GYPB
200010_HG00438.mat	GYPA	GYPA	409159	440578	-	normal	NM_002099.8	GYPA
200011_HG00544.pat	GYPE	GYPE	170588	205434	-	normal	NM_198682.3	GYPE
200011_HG00544.pat	GYPB	GYPB	295113	319297	-	normal	NM_002100.6	GYPB
200011_HG00544.pat	GYPA	GYPA	409218	440622	-	normal	NM_002099.8	GYPA
200012_HG00544.mat	GYPE	GYPE	170595	205441	-	normal	NM_198682.3	GYPE
200012_HG00544.mat	GYPB	GYPB	295116	319300	-	normal	NM_002100.6	GYPB
200012_HG00544.mat	GYPA	GYPA	409223	440609	-	normal	NM_002099.8	GYPA
200013_HG00558.pat	GYPE	GYPE	170577	205459	-	normal	NM_198682.3	GYPE
200013_HG00558.pat	GYPB	GYPB	295136	319326	-	normal	NM_002100.6	GYPB
200013_HG00558.pat	GYPA	GYPA	409235	440626	-	normal	NM_002099.8	GYPA
200014_HG00558.mat	GYPE	GYPE	170637	205390	-	normal	NM_198682.3	GYPE
200014_HG00558.mat	GYPB	GYPB	295061	319249	-	normal	NM_002100.6	GYPB
200014_HG00558.mat	GYPA	GYPA	409163	440566	-	normal	NM_002099.8	GYPA
200015_HG00597.pat	GYPE	GYPE	170597	205348	-	normal	NM_198682.3	GYPE
200015_HG00597.pat	GYPB	GYPB	295035	319223	-	normal	NM_002100.6	GYPB
200015_HG00597.pat	GYPA	GYPA	409143	440529	-	normal	NM_002099.8	GYPA
200016_HG00597.mat	GYPE	GYPE	170566	205413	-	normal	NM_198682.3	GYPE
200016_HG00597.mat	GYPB	GYPB	295094	319284	-	normal	NM_002100.6	GYPB
200016_HG00597.mat	GYPA	GYPA	409202	440595	-	normal	NM_002099.8	GYPA
200017_HG005.pat	GYPE	GYPE	170568	205414	-	normal	NM_198682.3	GYPE
200017_HG005.pat	GYPB	GYPB	295088	319278	-	normal	NM_002100.6	GYPB
200017_HG005.pat	GYPA	GYPA	409191	440594	-	normal	NM_002099.8	GYPA
200018_HG005.mat	GYPE	GYPE	170566	205412	-	normal	NM_198682.3	GYPE
200018_HG005.mat	GYPB	GYPB	295090	319280	-	normal	NM_002100.6	GYPB
200018_HG005.mat	GYPA	GYPA	409193	440596	-	normal	NM_002099.8	GYPA
200019_HG00609.pat	GYPE	GYPE	170556	205308	-	normal	NM_198682.3	GYPE
200019_HG00609.pat	GYPB	GYPB	294979	319167	-	normal	NM_002100.6	GYPB
200019_HG00609.pat	GYPA	GYPA	409086	440497	-	normal	NM_002099.8	GYPA
200020_HG00609.mat	GYPE	GYPE	170649	205402	-	normal	NM_198682.3	GYPE
200020_HG00609.mat	GYPB	GYPB	295077	319267	-	normal	NM_002100.6	GYPB
200020_HG00609.mat	GYPA	GYPA	409188	440574	-	normal	NM_002099.8	GYPA
200021_HG00621.pat	GYPE	GYPE	170571	205418	-	normal	NM_198682.3	GYPE
200021_HG00621.pat	GYPB	GYPB	295092	319282	-	normal	NM_002100.6	GYPB
200021_HG00621.pat	GYPA	GYPA	409230	440633	-	normal	NM_002099.8	GYPA
200022_HG00621.mat	GYPE	GYPE	170574	205421	-	normal	NM_198682.3	GYPE
200022_HG00621.mat	GYPB	GYPB	295087	319277	-	normal	NM_002100.6	GYPB
200022_HG00621.mat	GYPA	GYPA	409188	440591	-	normal	NM_002099.8	GYPA
200023_HG00639.pat	GYPE	GYPE	170577	205417	-	normal	NM_198682.3	GYPE
200023_HG00639.pat	GYPB	GYPB	295109	319299	-	normal	NM_002100.6	GYPB
200023_HG00639.pat	GYPA	GYPA	409210	440596	-	normal	NM_002099.8	GYPA
200024_HG00639.mat	GYPE	GYPE	170737	205405	-	normal	NM_198682.3	GYPE
200024_HG00639.mat	GYPB	GYPB	295041	319228	-	normal	NM_002100.6	GYPB
200024_HG00639.mat	GYPA	GYPA	409141	440544	-	normal	NM_002099.8	GYPA
200025_HG00642.pat	GYPE	GYPE	170749	205418	-	normal	NM_198682.3	GYPE
200025_HG00642.pat	GYPB	GYPB	295026	319213	-	normal	NM_002100.6	GYPB
200025_HG00642.pat	GYPA	GYPA	409121	440524	-	normal	NM_002099.8	GYPA
200026_HG00642.mat	GYPE	GYPE	170717	205386	-	normal	NM_198682.3	GYPE
200026_HG00642.mat	GYPB	GYPB	295032	319220	-	normal	NM_002100.6	GYPB
200026_HG00642.mat	GYPA	GYPA	409114	440518	-	normal	NM_002099.8	GYPA
200027_HG00658.pat	GYPE	GYPE	170584	205430	-	normal	NM_198682.3	GYPE
200027_HG00658.pat	GYPB	GYPB	295109	319297	-	normal	NM_002100.6	GYPB
200027_HG00658.pat	GYPA	GYPA	409201	440611	-	normal	NM_002099.8	GYPA
200028_HG00658.mat	GYPE	GYPE	170627	205380	-	normal	NM_198682.3	GYPE
200028_HG00658.mat	GYPB	GYPB	295058	319248	-	normal	NM_002100.6	GYPB
200028_HG00658.mat	GYPA	GYPA	409163	440576	-	normal	NM_002099.8	GYPA
200029_HG00673.pat	GYPE	GYPE	170612	205455	-	normal	NM_198682.3	GYPE
200029_HG00673.pat	GYPB	GYPB	295150	319340	-	normal	NM_002100.6	GYPB
200029_HG00673.pat	GYPA	GYPA	409266	440674	-	normal	NM_002099.8	GYPA
200030_HG00673.mat	GYPE	GYPE	170576	205422	-	normal	NM_198682.3	GYPE
200030_HG00673.mat	GYPB	GYPB	295096	319280	-	normal	NM_002100.6	GYPB
200030_HG00673.mat	GYPA	GYPA	409195	440598	-	normal	NM_002099.8	GYPA
200031_HG00706.pat	GYPE	GYPE	170586	205432	-	normal	NM_198682.3	GYPE
200031_HG00706.pat	GYPB	GYPB	295103	319292	-	normal	NM_002100.6	GYPB
200031_HG00706.pat	GYPA	GYPA	409201	440604	-	normal	NM_002099.8	GYPA
200032_HG00706.mat	GYPE	GYPE	170593	205439	-	normal	NM_198682.3	GYPE
200032_HG00706.mat	GYPB	GYPB	295113	319297	-	normal	NM_002100.6	GYPB
200032_HG00706.mat	GYPA	GYPA	409212	440600	-	normal	NM_002099.8	GYPA
200033_HG00733.pat	GYPE	GYPE	170594	205345	-	normal	NM_198682.3	GYPE
200033_HG00733.pat	GYPB	GYPB	295016	319203	-	normal	NM_002100.6	GYPB
200033_HG00733.pat	GYPA	GYPA	409117	440503	-	normal	NM_002099.8	GYPA
200034_HG00733.mat	GYPE	GYPE	170566	205406	-	normal	NM_198682.3	GYPE
200034_HG00733.mat	GYPB	GYPB	295085	319275	-	normal	NM_002100.6	GYPB
200034_HG00733.mat	GYPA	GYPA	409184	440570	-	normal	NM_002099.8	GYPA
200035_HG00735.pat	GYPE	GYPE	170712	205382	-	normal	NM_198682.3	GYPE
200035_HG00735.pat	GYPB	GYPB	295026	319214	-	normal	NM_002100.6	GYPB
200035_HG00735.pat	GYPA	GYPA	409110	440513	-	normal	NM_002099.8	GYPA
200036_HG00735.mat	GYPE	GYPE	170757	205427	-	normal	NM_198682.3	GYPE
200036_HG00735.mat	GYPB	GYPB	295079	319266	-	normal	NM_002100.6	GYPB
200036_HG00735.mat	GYPA	GYPA	409181	440583	-	normal	NM_002099.8	GYPA
200037_HG00738.pat	GYPE	GYPE	170584	205335	-	normal	NM_198682.3	GYPE
200037_HG00738.pat	GYPB	GYPB	295004	319192	-	normal	NM_002100.6	GYPB
200037_HG00738.pat	GYPA	GYPA	409118	440504	-	normal	NM_002099.8	GYPA
200038_HG00738.mat	GYPE	GYPE	170600	205446	-	normal	NM_198682.3	GYPE
200038_HG00738.mat	GYPB	GYPB	295125	319309	-	normal	NM_002100.6	GYPB
200038_HG00738.mat	GYPA	GYPA	409234	440637	-	normal	NM_002099.8	GYPA
200039_HG00741.pat	GYPE	GYPE	170587	205433	-	normal	NM_198682.3	GYPE
200039_HG00741.pat	GYPB	GYPB	295104	319288	-	normal	NM_002100.6	GYPB
200039_HG00741.pat	GYPA	GYPA	409209	440615	-	normal	NM_002099.8	GYPA
200040_HG00741.mat	GYPE	GYPE	170584	205430	-	normal	NM_198682.3	GYPE
200040_HG00741.mat	GYPB	GYPB	295115	319304	-	normal	NM_002100.6	GYPB
200040_HG00741.mat	GYPA	GYPA	409230	440616	-	normal	NM_002099.8	GYPA
200041_HG01071.pat	GYPE	GYPE	170735	205404	-	normal	NM_198682.3	GYPE
200041_HG01071.pat	GYPB	GYPB	295058	319245	-	normal	NM_002100.6	GYPB
200041_HG01071.pat	GYPA	GYPA	409149	440535	-	normal	NM_002099.8	GYPA
200042_HG01071.mat	GYPE	GYPE	170543	205235	-	gene_conversion	NM_198682.3	GYPE:188137-205235:0.99:0.32,GYPA:185317-188136:1.00:0.03,GYPE:170543-185316:1.00:0.21
200042_HG01071.mat	GYPB	GYPB	294883	319083	-	fusion	NM_002100.6	GYPB:318200-319083:0.99:0.02,GYPE:317967-318199:0.97:0.14,GYPB:294883-317966:0.99:0.06
200042_HG01071.mat	GYPA	GYPA	408990	440385	-	normal	NM_002099.8	GYPA
200043_HG01074.pat	GYPE	GYPE	170741	205409	-	normal	NM_198682.3	GYPE
200043_HG01074.pat	GYPB	GYPB	295057	319243	-	normal	NM_002100.6	GYPB
200043_HG01074.pat	GYPA	GYPA	409161	440569	-	normal	NM_002099.8	GYPA
200044_HG01074.mat	GYPE	GYPE	170737	205407	-	normal	NM_198682.3	GYPE
200044_HG01074.mat	GYPB	GYPB	295057	319245	-	normal	NM_002100.6	GYPB
200044_HG01074.mat	GYPA	GYPA	409146	440549	-	normal	NM_002099.8	GYPA
200045_HG01081.pat	GYPE	GYPE	170559	205399	-	normal	NM_198682.3	GYPE
200045_HG01081.pat	GYPB	GYPB	295077	319267	-	normal	NM_002100.6	GYPB
200045_HG01081.pat	GYPA	GYPA	409190	440576	-	normal	NM_002099.8	GYPA
200046_HG01081.mat	GYPE	GYPE	170564	205410	-	normal	NM_198682.3	GYPE
200046_HG01081.mat	GYPB	GYPB	295092	319281	-	normal	NM_002100.6	GYPB
200046_HG01081.mat	GYPA	GYPA	409195	440599	-	normal	NM_002099.8	GYPA
200047_HG01099.pat	GYPE	GYPE	170622	205375	-	normal	NM_198682.3	GYPE
200047_HG01099.pat	GYPB	GYPB	295045	319233	-	normal	NM_002100.6	GYPB
200047_HG01099.pat	GYPA	GYPA	409140	440534	-	normal	NM_002099.8	GYPA
200048_HG01099.mat	GYPE	GYPE	170547	205298	-	normal	NM_198682.3	GYPE
200048_HG01099.mat	GYPB	GYPB	294965	319155	-	normal	NM_002100.6	GYPB
200048_HG01099.mat	GYPA	GYPA	409083	440469	-	normal	NM_002099.8	GYPA
200049_HG01106.pat	GYPE	GYPE	170738	205408	-	normal	NM_198682.3	GYPE
200049_HG01106.pat	GYPB	GYPB	295057	319244	-	normal	NM_002100.6	GYPB
200049_HG01106.pat	GYPA	GYPA	409148	440551	-	normal	NM_002099.8	GYPA
200050_HG01106.mat	GYPE	GYPE	170599	205293	-	gene_conversion	NM_198682.3	GYPE:188192-205293:0.99:0.32,GYPA:185373-188191:1.00:0.03,GYPE:170599-185372:1.00:0.21
200050_HG01106.mat	GYPB	GYPB	294921	319113	-	normal	NM_002100.6	GYPB
200050_HG01106.mat	GYPA	GYPA	409069	440454	-	normal	NM_002099.8	GYPA
200051_HG01109.pat	GYPE	GYPE	170742	205412	-	normal	NM_198682.3	GYPE
200051_HG01109.pat	GYPB	GYPB	295072	319261	-	normal	NM_002100.6	GYPB
200051_HG01109.pat	GYPA	GYPA	409160	440563	-	normal	NM_002099.8	GYPA
200052_HG01109.mat	GYPE	GYPE	170559	205310	-	normal	NM_198682.3	GYPE
200052_HG01109.mat	GYPB	GYPB	294992	319180	-	normal	NM_002100.6	GYPB
200052_HG01109.mat	GYPA	GYPA	409073	440477	-	normal	NM_002099.8	GYPA
200053_HG01123.pat	GYPE	GYPE	170734	205404	-	normal	NM_198682.3	GYPE
200053_HG01123.pat	GYPB	GYPB	295052	319239	-	normal	NM_002100.6	GYPB
200053_HG01123.pat	GYPA	GYPA	409131	440529	-	normal	NM_002099.8	GYPA
200054_HG01123.mat	GYPE	GYPE	170564	205410	-	normal	NM_198682.3	GYPE
200054_HG01123.mat	GYPB	GYPB	295089	319279	-	normal	NM_002100.6	GYPB
200054_HG01123.mat	GYPA	GYPA	409198	440602	-	normal	NM_002099.8	GYPA
200055_HG01150.pat	GYPE	GYPE	170732	205401	-	normal	NM_198682.3	GYPE
200055_HG01150.pat	GYPB	GYPB	295064	319251	-	normal	NM_002100.6	GYPB
200055_HG01150.pat	GYPA	GYPA	409154	440540	-	normal	NM_002099.8	GYPA
200056_HG01150.mat	GYPE	GYPE	170563	205409	-	normal	NM_198682.3	GYPE
200056_HG01150.mat	GYPB	GYPB	295092	319281	-	normal	NM_002100.6	GYPB
200056_HG01150.mat	GYPA	GYPA	409208	440605	-	normal	NM_002099.8	GYPA
200057_HG01175.pat	GYPE	GYPE	170718	205388	-	normal	NM_198682.3	GYPE
200057_HG01175.pat	GYPB	GYPB	295035	319223	-	normal	NM_002100.6	GYPB
200057_HG01175.pat	GYPA	GYPA	409117	440503	-	normal	NM_002099.8	GYPA
200058_HG01175.mat	GYPE	GYPE	170561	205312	-	normal	NM_198682.3	GYPE
200058_HG01175.mat	GYPB	GYPB	294994	319182	-	normal	NM_002100.6	GYPB
200058_HG01175.mat	GYPA	GYPA	409075	440479	-	normal	NM_002099.8	GYPA
200059_HG01192.pat	GYPE	GYPE	170608	205302	-	gene_conversion	NM_198682.3	GYPE:188201-205302:0.99:0.32,GYPA:185382-188200:1.00:0.03,GYPE:170608-185381:1.00:0.21
200059_HG01192.pat	GYPB	GYPB	294939	319129	-	normal	NM_002100.6	GYPB
200059_HG01192.pat	GYPA	GYPA	409074	440474	-	normal	NM_002099.8	GYPA
200060_HG01192.mat	GYPE	GYPE	170574	205420	-	normal	NM_198682.3	GYPE
200060_HG01192.mat	GYPB	GYPB	295082	319267	-	normal	NM_002100.6	GYPB
200060_HG01192.mat	GYPA	GYPA	409179	440582	-	normal	NM_002099.8	GYPA
200061_HG01243.pat	GYPE	GYPE	170550	205248	-	gene_conversion	NM_198682.3	GYPE:188143-205248:0.99:0.32,GYPA:185324-188142:1.00:0.03,GYPE:170550-185323:1.00:0.21
200061_HG01243.pat	GYPA	GYPA	305780	337190	-	normal	NM_002099.8	GYPA
200062_HG01243.mat	GYPE	GYPE	170545	205267	-	gene_conversion	NM_198682.3	GYPE:188172-205267:0.99:0.32,GYPA:185353-188171:1.00:0.03,GYPE:170545-185352:1.00:0.21
200062_HG01243.mat	GYPA	GYPA	298745	330158	-	normal	NM_002099.8	GYPA
200063_HG01252.pat	GYPE	GYPE	170602	205347	-	normal	NM_198682.3	GYPE
200063_HG01252.pat	GYPB	GYPB	295001	319189	-	normal	NM_002100.6	GYPB
200063_HG01252.pat	GYPA	GYPA	409104	440505	-	normal	NM_002099.8	GYPA
200064_HG01252.mat	GYPE	GYPE	170553	205393	-	normal	NM_198682.3	GYPE
200064_HG01252.mat	GYPB	GYPB	295076	319265	-	normal	NM_002100.6	GYPB
200064_HG01252.mat	GYPA	GYPA	409170	440556	-	normal	NM_002099.8	GYPA
200065_HG01255.pat	GYPE	GYPE	170553	205393	-	normal	NM_198682.3	GYPE
200065_HG01255.pat	GYPB	GYPB	295076	319266	-	normal	NM_002100.6	GYPB
200065_HG01255.pat	GYPA	GYPA	409182	440568	-	normal	NM_002099.8	GYPA
200066_HG01255.mat	GYPE	GYPE	170733	205401	-	normal	NM_198682.3	GYPE
200066_HG01255.mat	GYPB	GYPB	295048	319234	-	normal	NM_002100.6	GYPB
200066_HG01255.mat	GYPA	GYPA	409142	440551	-	normal	NM_002099.8	GYPA
200067_HG01258.pat	GYPE	GYPE	170563	205409	-	normal	NM_198682.3	GYPE
200067_HG01258.pat	GYPB	GYPB	295089	319277	-	normal	NM_002100.6	GYPB
200067_HG01258.pat	GYPA	GYPA	409183	440569	-	normal	NM_002099.8	GYPA
200068_HG01258.mat	GYPE	GYPE	170720	205388	-	normal	NM_198682.3	GYPE
200068_HG01258.mat	GYPB	GYPB	295048	319234	-	normal	NM_002100.6	GYPB
200068_HG01258.mat	GYPA	GYPA	409117	440503	-	normal	NM_002099.8	GYPA
200069_HG01261.pat	GYPE	GYPE	170564	205405	-	normal	NM_198682.3	GYPE
200069_HG01261.pat	GYPB	GYPB	295089	319280	-	normal	NM_002100.6	GYPB
200069_HG01261.pat	GYPA	GYPA	409207	440594	-	normal	NM_002099.8	GYPA
200070_HG01261.mat	GYPE	GYPE	170561	205509	-	normal	NM_198682.3	GYPE
200070_HG01261.mat	GYPB	GYPB	295162	319350	-	normal	NM_002100.6	GYPB
200070_HG01261.mat	GYPA	GYPA	409296	440695	-	normal	NM_002099.8	GYPA
200071_HG01346.pat	GYPE	GYPE	170569	205416	-	normal	NM_198682.3	GYPE
200071_HG01346.pat	GYPB	GYPB	295069	319259	-	normal	NM_002100.6	GYPB
200071_HG01346.pat	GYPA	GYPA	409153	440539	-	normal	NM_002099.8	GYPA
200072_HG01346.mat	GYPE	GYPE	170565	205404	-	normal	NM_198682.3	GYPE
200072_HG01346.mat	GYPB	GYPB	295087	319277	-	normal	NM_002100.6	GYPB
200072_HG01346.mat	GYPA	GYPA	409195	440582	-	normal	NM_002099.8	GYPA
200073_HG01358.pat	GYPE	GYPE	170742	205412	-	normal	NM_198682.3	GYPE
200073_HG01358.pat	GYPB	GYPB	295063	319250	-	normal	NM_002100.6	GYPB
200073_HG01358.pat	GYPA	GYPA	409151	440544	-	normal	NM_002099.8	GYPA
200074_HG01358.mat	GYPE	GYPE	170725	205393	-	normal	NM_198682.3	GYPE
200074_HG01358.mat	GYPB	GYPB	295042	319229	-	normal	NM_002100.6	GYPB
200074_HG01358.mat	GYPA	GYPA	409134	440537	-	normal	NM_002099.8	GYPA
200075_HG01361.pat	GYPE	GYPE	170545	205296	-	normal	NM_198682.3	GYPE
200075_HG01361.pat	GYPB	GYPB	294967	319157	-	normal	NM_002100.6	GYPB
200075_HG01361.pat	GYPA	GYPA	409085	440489	-	normal	NM_002099.8	GYPA
200076_HG01361.mat	GYPE	GYPE	170548	205394	-	normal	NM_198682.3	GYPE
200076_HG01361.mat	GYPB	GYPB	295082	319271	-	normal	NM_002100.6	GYPB
200076_HG01361.mat	GYPA	GYPA	409183	440569	-	normal	NM_002099.8	GYPA
200077_HG01433.pat	GYPE	GYPE	170561	205407	-	normal	NM_198682.3	GYPE
200077_HG01433.pat	GYPB	GYPB	295094	319284	-	normal	NM_002100.6	GYPB
200077_HG01433.pat	GYPA	GYPA	409203	440607	-	normal	NM_002099.8	GYPA
200078_HG01433.mat	GYPE	GYPE	170731	205399	-	normal	NM_198682.3	GYPE
200078_HG01433.mat	GYPB	GYPB	295053	319240	-	normal	NM_002100.6	GYPB
200078_HG01433.mat	GYPA	GYPA	409148	440551	-	normal	NM_002099.8	GYPA
200079_HG01496.pat	GYPE	GYPE	170645	205433	-	normal	NM_198682.3	GYPE
200079_HG01496.pat	GYPB	GYPB	295103	319291	-	normal	NM_002100.6	GYPB
200079_HG01496.pat	GYPA	GYPA	409216	440615	-	normal	NM_002099.8	GYPA
200080_HG01496.mat	GYPE	GYPE	170594	205441	-	normal	NM_198682.3	GYPE
200080_HG01496.mat	GYPB	GYPB	295110	319300	-	normal	NM_002100.6	GYPB
200080_HG01496.mat	GYPA	GYPA	409205	440598	-	normal	NM_002099.8	GYPA
200081_HG01884.pat	GYPE	GYPE	170610	205298	-	gene_conversion	NM_198682.3	GYPE:188200-205298:0.99:0.33,GYPA:185381-188199:1.00:0.03,GYPE:170610-185380:1.00:0.21
200081_HG01884.pat	GYPB	GYPB	294949	319137	-	normal	NM_002100.6	GYPB
200081_HG01884.pat	GYPA	GYPA	409047	440446	-	normal	NM_002099.8	GYPA
200082_HG01884.mat	GYPE	GYPE	170609	205406	-	normal	NM_198682.3	GYPE
200082_HG01884.mat	GYPB	GYPB	295075	319262	-	normal	NM_002100.6	GYPB
200082_HG01884.mat	GYPA	GYPA	409177	440589	-	normal	NM_002099.8	GYPA
200083_HG01891.pat	GYPE	GYPE	170542	205264	-	gene_conversion	NM_198682.3	GYPE:188169-205264:0.99:0.32,GYPA:185350-188168:1.00:0.03,GYPE:170542-185349:1.00:0.21
200083_HG01891.pat	GYPA	GYPA	298742	330150	-	normal	NM_002099.8	GYPA
200084_HG01891.mat	GYPE	GYPE	170602	205425	-	normal	NM_198682.3	GYPE
200084_HG01891.mat	GYPB	GYPB	295086	319274	-	normal	NM_002100.6	GYPB
200084_HG01891.mat	GYPA	GYPA	409208	440594	-	normal	NM_002099.8	GYPA
200085_HG01928.pat	GYPE	GYPE	170568	205414	-	normal	NM_198682.3	GYPE
200085_HG01928.pat	GYPB	GYPB	295099	319289	-	normal	NM_002100.6	GYPB
200085_HG01928.pat	GYPA	GYPA	409196	440600	-	normal	NM_002099.8	GYPA
200086_HG01928.mat	GYPE	GYPE	170557	205404	-	normal	NM_198682.3	GYPE
200086_HG01928.mat	GYPB	GYPB	295072	319262	-	normal	NM_002100.6	GYPB
200086_HG01928.mat	GYPA	GYPA	409174	440576	-	normal	NM_002099.8	GYPA
200087_HG01934.pat	GYPE	GYPE	170741	205411	-	normal	NM_198682.3	GYPE
200087_HG01934.pat	GYPB	GYPB	295060	319247	-	normal	NM_002100.6	GYPB
200087_HG01934.pat	GYPA	GYPA	409146	440547	-	normal	NM_002099.8	GYPA
200088_HG01934.mat	GYPE	GYPE	170743	205413	-	normal	NM_198682.3	GYPE
200088_HG01934.mat	GYPB	GYPB	295062	319249	-	normal	NM_002100.6	GYPB
200088_HG01934.mat	GYPA	GYPA	409148	440544	-	normal	NM_002099.8	GYPA
200089_HG01940.pat	GYPE	GYPE	170573	205420	-	normal	NM_198682.3	GYPE
200089_HG01940.pat	GYPB	GYPB	295089	319279	-	normal	NM_002100.6	GYPB
200089_HG01940.pat	GYPA	GYPA	409173	440576	-	normal	NM_002099.8	GYPA
200090_HG01940.mat	GYPE	GYPE	170630	205383	-	normal	NM_198682.3	GYPE
200090_HG01940.mat	GYPB	GYPB	295045	319233	-	normal	NM_002100.6	GYPB
200090_HG01940.mat	GYPA	GYPA	409149	440563	-	normal	NM_002099.8	GYPA
