name,variant_type,Bonobo,Chimpanzee,Human,description,post_mean,selection_regime
ABCC3,SNVs,3,3,3,ATP binding cassette subfamily C member 3,9.5426e-4,Weak selection
ABCC4,SNVs,3,3,3,ATP binding cassette subfamily C member 4 (PEL blood group),0.0168618,Extreme selection
ABCC5,SNVs,3,3,4,ATP binding cassette subfamily C member 5,0.0539076,Extreme selection
ABCC6,SNVs,0,0,3,ATP binding cassette subfamily C member 6,6.8098e-4,Weak selection
ABCC8,SNVs,3,3,3,ATP binding cassette subfamily C member 8,0.0088933,Strong selection
ABCC9,SNVs,2,2,3,ATP binding cassette subfamily C member 9,0.0206366,Extreme selection
ABCD1,SNVs,2,3,3,ATP binding cassette subfamily D member 1,0.26247,Extreme selection
ABCD2,SNVs,3,3,3,ATP binding cassette subfamily D member 2,0.0214801,Extreme selection
ABCD3,SNVs,2,4,2,ATP binding cassette subfamily D member 3,0.062771,Extreme selection
ABCD4,SNVs,3,3,4,ATP binding cassette subfamily D member 4,0.00195088,Strong selection
ABCE1,SNVs,2,2,2,ATP binding cassette subfamily E member 1,0.167698,Extreme selection
ABCF1,SNVs,2,3,3,ATP binding cassette subfamily F member 1,0.0178514,Extreme selection
ABCF2,SNVs,1,3,3,ATP binding cassette subfamily F member 2,0.0567184,Extreme selection
ABCF3,SNVs,2,3,3,ATP binding cassette subfamily F member 3,0.0190014,Extreme selection
ABCG1,SNVs,4,4,3,ATP binding cassette subfamily G member 1,0.0289779,Extreme selection
ABCG2,SNVs,3,3,3,ATP binding cassette subfamily G member 2 (JR blood group),7.0285e-4,Weak selection
ABCG4,SNVs,1,3,3,ATP binding cassette subfamily G member 4,0.0173305,Extreme selection
ABCG5,SNVs,3,3,3,ATP binding cassette subfamily G member 5,0.00157895,Strong selection
ABCG8,SNVs,3,3,3,ATP binding cassette subfamily G member 8,0.00105773,Strong selection
ABHD1,SNVs,3,3,3,abhydrolase domain containing 1,9.6006e-4,Weak selection
ABHD10,SNVs,3,3,3,abhydrolase domain containing 10%2C depalmitoylase,0.00310426,Strong selection
ABHD11,SNVs,3,3,3,abhydrolase domain containing 11,0.00181258,Strong selection
ABHD12,SNVs,3,3,3,abhydrolase domain containing 12%2C lysophospholipase,0.0136371,Extreme selection
ABHD12B,SNVs,3,3,3,abhydrolase domain containing 12B,5.2697e-4,Weak selection
ABHD13,SNVs,2,3,2,abhydrolase domain containing 13,0.0746751,Extreme selection
ABHD14A,SNVs,1,3,3,abhydrolase domain containing 14A,0.00109638,Strong selection
ABHD14A-ACY1,SNVs,0,0,3,ABHD14A-ACY1 readthrough,0.0131079,Extreme selection
ABHD14B,SNVs,2,3,4,abhydrolase domain containing 14B,0.00102471,Strong selection
ABHD15,SNVs,3,3,3,abhydrolase domain containing 15,9.1861e-4,Weak selection
ABHD16A,SNVs,3,3,3,abhydrolase domain containing 16A%2C phospholipase,0.0562653,Extreme selection
ABHD16B,SNVs,3,3,3,abhydrolase domain containing 16B,0.00148749,Strong selection
ABHD17A,SNVs,3,2,3,abhydrolase domain containing 17A%2C depalmitoylase,0.057452,Extreme selection
ABHD17B,SNVs,2,3,2,abhydrolase domain containing 17B%2C depalmitoylase,0.0785114,Extreme selection
ABHD17C,SNVs,1,2,2,abhydrolase domain containing 17C%2C depalmitoylase,0.155141,Extreme selection
ABHD18,SNVs,3,4,3,abhydrolase domain containing 18,0.00280885,Strong selection
ABHD2,SNVs,4,2,2,abhydrolase domain containing 2%2C acylglycerol lipase,0.0607322,Extreme selection
ABHD3,SNVs,2,3,3,abhydrolase domain containing 3%2C phospholipase,0.00182651,Strong selection
ABHD4,SNVs,3,2,2,abhydrolase domain containing 4%2C N-acyl phospholipase B,0.00732257,Strong selection
ABHD5,SNVs,1,2,3,abhydrolase domain containing 5%2C lysophosphatidic acid acyltransferase,0.0144602,Extreme selection
ABHD6,SNVs,2,3,3,abhydrolase domain containing 6%2C acylglycerol lipase,0.0125196,Extreme selection
ABHD8,SNVs,2,2,3,abhydrolase domain containing 8,0.0996429,Extreme selection
ABI1,SNVs,1,1,3,abl interactor 1,0.154761,Extreme selection
ABI2,SNVs,1,2,2,abl interactor 2,0.123768,Extreme selection
ABI3,SNVs,3,3,3,ABI family member 3,0.00548033,Strong selection
ABI3BP,SNVs,3,4,4,ABI family member 3 binding protein,0.00519947,Strong selection
ABITRAM,SNVs,1,3,1,actin binding transcription modulator,0.00113616,Strong selection
ABL1,SNVs,3,3,3,ABL proto-oncogene 1%2C non-receptor tyrosine kinase,0.224242,Extreme selection
ABL2,SNVs,2,3,3,ABL proto-oncogene 2%2C non-receptor tyrosine kinase,0.052227,Extreme selection
ABLIM1,SNVs,1,3,3,actin binding LIM protein 1,0.0922428,Extreme selection
ABLIM2,SNVs,3,3,3,actin binding LIM protein family member 2,0.0243326,Extreme selection
ABLIM3,SNVs,2,3,4,actin binding LIM protein family member 3,0.021631,Extreme selection
ABR,SNVs,2,3,3,ABR activator of RhoGEF and GTPase,0.103422,Extreme selection
ABRA,SNVs,3,3,3,actin binding Rho activating protein,0.00167523,Strong selection
ABRACL,SNVs,1,4,2,ABRA C-terminal like,0.0294248,Extreme selection
ABRAXAS1,SNVs,3,3,3,abraxas 1%2C BRCA1 A complex subunit,0.00146609,Strong selection
ABRAXAS2,SNVs,3,3,2,abraxas 2%2C BRISC complex subunit,0.030338,Extreme selection
ABT1,SNVs,2,3,3,activator of basal transcription 1,0.00635157,Strong selection
ABTB1,SNVs,3,4,2,ankyrin repeat and BTB domain containing 1,0.00192027,Strong selection
ABTB2,SNVs,3,3,3,ankyrin repeat and BTB domain containing 2,0.0332283,Extreme selection
ABTB3,SNVs,3,3,3,ankyrin repeat and BTB domain containing 3,0.0937635,Extreme selection
ACAA1,SNVs,1,3,3,acetyl-CoA acyltransferase 1,0.00390864,Strong selection
ACAA2,SNVs,1,3,3,acetyl-CoA acyltransferase 2,0.00103546,Strong selection
ACACB,SNVs,3,3,4,acetyl-CoA carboxylase beta,0.00146375,Strong selection
ACAD10,SNVs,3,3,4,acyl-CoA dehydrogenase family member 10,4.1621e-4,Weak selection
ACAD11,SNVs,3,3,4,acyl-CoA dehydrogenase family member 11,7.0334e-4,Weak selection
ACAD8,SNVs,3,4,3,acyl-CoA dehydrogenase family member 8,0.00441981,Strong selection
ACAD9,SNVs,3,3,3,acyl-CoA dehydrogenase family member 9,0.00834838,Strong selection
ACADL,SNVs,3,4,3,acyl-CoA dehydrogenase long chain,0.00210349,Strong selection
ACADM,SNVs,2,3,3,acyl-CoA dehydrogenase medium chain,0.00586298,Strong selection
ACADS,SNVs,3,3,3,acyl-CoA dehydrogenase short chain,0.00364395,Strong selection
ACADSB,SNVs,2,3,3,acyl-CoA dehydrogenase short/branched chain,9.1496e-4,Weak selection
ACADVL,SNVs,3,3,3,acyl-CoA dehydrogenase very long chain,0.006488,Strong selection
ACAN,SNVs,3,3,3,aggrecan,0.104639,Extreme selection
ACAP1,SNVs,2,3,3,ArfGAP with coiled-coil%2C ankyrin repeat and PH domains 1,0.0373425,Extreme selection
ACAP2,SNVs,2,3,2,ArfGAP with coiled-coil%2C ankyrin repeat and PH domains 2,0.0750512,Extreme selection
ACAP3,SNVs,2,3,3,ArfGAP with coiled-coil%2C ankyrin repeat and PH domains 3,0.0311877,Extreme selection
ACAT1,SNVs,3,3,3,acetyl-CoA acetyltransferase 1,0.00906378,Strong selection
ACAT2,SNVs,2,3,3,acetyl-CoA acetyltransferase 2,0.00975031,Strong selection
ACBD3,SNVs,1,2,3,acyl-CoA binding domain containing 3,0.0616556,Extreme selection
ACBD4,SNVs,2,4,3,acyl-CoA binding domain containing 4,0.0012527,Strong selection
ACBD5,SNVs,3,3,4,acyl-CoA binding domain containing 5,0.020692,Extreme selection
ACBD7,SNVs,3,4,2,acyl-CoA binding domain containing 7,0.00106635,Strong selection
ACCS,SNVs,3,3,4,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),7.6328e-4,Weak selection
ACCSL,SNVs,3,3,4,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like,6.2579e-4,Weak selection
ACD,SNVs,3,3,3,ACD shelterin complex subunit and telomerase recruitment factor,0.0019186,Strong selection
ACE,SNVs,3,4,3,angiotensin I converting enzyme,0.00164495,Strong selection
ACE2,SNVs,3,3,3,angiotensin converting enzyme 2,0.0994619,Extreme selection
ACER1,SNVs,3,2,3,alkaline ceramidase 1,0.00149275,Strong selection
ACER2,SNVs,3,3,3,alkaline ceramidase 2,0.0111296,Extreme selection
ACER3,SNVs,1,2,3,alkaline ceramidase 3,0.0298389,Extreme selection
ACHE,SNVs,3,3,3,acetylcholinesterase (Yt blood group),0.0849795,Extreme selection
ACIN1,SNVs,2,3,3,apoptotic chromatin condensation inducer 1,0.305976,Extreme selection
ACKR1,SNVs,2,3,3,atypical chemokine receptor 1 (Duffy blood group),0.00142615,Strong selection
ACKR2,SNVs,3,3,3,atypical chemokine receptor 2,0.00127347,Strong selection
ACKR3,SNVs,2,4,3,atypical chemokine receptor 3,0.0354875,Extreme selection
ACKR4,SNVs,1,3,3,atypical chemokine receptor 4,0.00280605,Strong selection
ACLY,SNVs,2,2,3,ATP citrate lyase,0.0539695,Extreme selection
ACMSD,SNVs,3,3,3,aminocarboxymuconate semialdehyde decarboxylase,7.904e-4,Weak selection
ACO1,SNVs,3,3,4,aconitase 1,0.00404985,Strong selection
ACO2,SNVs,2,3,2,aconitase 2,0.0565302,Extreme selection
ACOD1,SNVs,3,3,3,aconitate decarboxylase 1,0.00640062,Strong selection
ACOT1,SNVs,0,0,4,acyl-CoA thioesterase 1,0.00224695,Strong selection
ACOT11,SNVs,3,4,3,acyl-CoA thioesterase 11,6.5263e-4,Weak selection
ACOT12,SNVs,3,3,3,acyl-CoA thioesterase 12,5.3735e-4,Weak selection
ACOT13,SNVs,1,2,3,acyl-CoA thioesterase 13,0.00146309,Strong selection
ACOT2,SNVs,2,3,3,acyl-CoA thioesterase 2,7.8257e-4,Weak selection
ACOT4,SNVs,3,3,3,acyl-CoA thioesterase 4,0.00118332,Strong selection
ACOT6,SNVs,3,3,3,acyl-CoA thioesterase 6,0.00214467,Strong selection
ACOT7,SNVs,2,3,3,acyl-CoA thioesterase 7,0.0606057,Extreme selection
ACOT8,SNVs,1,3,3,acyl-CoA thioesterase 8,9.1328e-4,Weak selection
ACOT9,SNVs,3,2,3,acyl-CoA thioesterase 9,0.00497434,Strong selection
ACOX1,SNVs,1,3,3,acyl-CoA oxidase 1,0.041858,Extreme selection
ACOX2,SNVs,3,2,3,acyl-CoA oxidase 2,0.00130821,Strong selection
ACOX3,SNVs,2,4,3,acyl-CoA oxidase 3%2C pristanoyl,0.00115772,Strong selection
ACOXL,SNVs,3,3,4,acyl-CoA oxidase like,0.00111679,Strong selection
ACP1,SNVs,1,3,3,acid phosphatase 1,0.00236966,Strong selection
ACP2,SNVs,1,3,3,acid phosphatase 2%2C lysosomal,0.00618265,Strong selection
ACP3,SNVs,2,3,4,acid phosphatase 3,5.6721e-4,Weak selection
ACP4,SNVs,3,3,3,acid phosphatase 4,0.00156864,Strong selection
ACP5,SNVs,3,2,3,acid phosphatase 5%2C tartrate resistant,0.00849354,Strong selection
ACP6,SNVs,3,3,3,acid phosphatase 6%2C lysophosphatidic,5.8299e-4,Weak selection
ACP7,SNVs,3,3,3,acid phosphatase 7%2C tartrate resistant (putative),0.00232574,Strong selection
ACR,SNVs,3,4,3,acrosin,0.00801868,Strong selection
ACRBP,SNVs,3,3,3,acrosin binding protein,0.00582978,Strong selection
ACRV1,SNVs,2,3,3,acrosomal vesicle protein 1,0.00703458,Strong selection
ACSBG1,SNVs,3,3,3,acyl-CoA synthetase bubblegum family member 1,0.00967996,Strong selection
ACSBG2,SNVs,3,3,4,acyl-CoA synthetase bubblegum family member 2,0.00102197,Strong selection
ACSF2,SNVs,2,3,3,acyl-CoA synthetase family member 2,0.0126549,Extreme selection
ACSF3,SNVs,3,4,4,acyl-CoA synthetase family member 3,8.6038e-4,Weak selection
ACSL1,SNVs,4,4,2,acyl-CoA synthetase long chain family member 1,0.0278404,Extreme selection
ACSL3,SNVs,2,2,3,acyl-CoA synthetase long chain family member 3,0.0430785,Extreme selection
ACSL4,SNVs,3,3,3,acyl-CoA synthetase long chain family member 4,0.16511,Extreme selection
ACSL5,SNVs,3,3,3,acyl-CoA synthetase long chain family member 5,0.00851722,Strong selection
ACSL6,SNVs,1,3,3,acyl-CoA synthetase long chain family member 6,0.016243,Extreme selection
ACSM1,SNVs,0,4,4,acyl-CoA synthetase medium chain family member 1,7.1486e-4,Weak selection
ACSM2A,SNVs,0,3,4,acyl-CoA synthetase medium chain family member 2A,0.00114872,Strong selection
ACSM2B,SNVs,0,3,4,acyl-CoA synthetase medium chain family member 2B,6.7128e-4,Weak selection
ACSM3,SNVs,1,4,4,acyl-CoA synthetase medium chain family member 3,4.5512e-4,Weak selection
ACSM4,SNVs,3,4,4,acyl-CoA synthetase medium chain family member 4,2.9823e-4,Weak selection
ACSM5,SNVs,3,3,3,acyl-CoA synthetase medium chain family member 5,0.00197866,Strong selection
ACSM6,SNVs,2,3,3,acyl-CoA synthetase medium chain family member 6,0.00111894,Strong selection
ACSS1,SNVs,4,3,3,acyl-CoA synthetase short chain family member 1,0.0101622,Extreme selection
ACSS2,SNVs,3,3,3,acyl-CoA synthetase short chain family member 2,0.00465013,Strong selection
ACSS3,SNVs,2,3,3,acyl-CoA synthetase short chain family member 3,0.00172567,Strong selection
ACTA1,SNVs,2,2,2,actin alpha 1%2C skeletal muscle,0.00877564,Strong selection
ACTA2,SNVs,2,2,2,actin alpha 2%2C smooth muscle,0.131379,Extreme selection
ACTB,SNVs,2,2,2,actin beta,0.271724,Extreme selection
ACTBL2,SNVs,3,4,3,actin beta like 2,0.00596539,Strong selection
ACTC1,SNVs,0,2,2,actin alpha cardiac muscle 1,0.0924354,Extreme selection
ACTG1,SNVs,2,3,4,actin gamma 1,0.149628,Extreme selection
ACTG2,SNVs,2,2,2,actin gamma 2%2C smooth muscle,0.0356935,Extreme selection
ACTL6A,SNVs,2,2,2,actin like 6A,0.183249,Extreme selection
ACTL6B,SNVs,1,2,2,actin like 6B,0.0504745,Extreme selection
ACTL7A,SNVs,2,3,3,actin like 7A,0.00454196,Strong selection
ACTL7B,SNVs,3,3,4,actin like 7B,0.00266458,Strong selection
ACTL8,SNVs,2,2,3,actin like 8,0.0163025,Extreme selection
ACTL9,SNVs,2,3,3,actin like 9,0.00179371,Strong selection
ACTMAP,SNVs,2,3,3,actin maturation protease,7.6308e-4,Weak selection
ACTN1,SNVs,1,3,3,actinin alpha 1,0.120091,Extreme selection
ACTN2,SNVs,2,2,3,actinin alpha 2,0.0638223,Extreme selection
ACTN4,SNVs,2,3,3,actinin alpha 4,0.299962,Extreme selection
ACTR10,SNVs,1,2,1,actin related protein 10,0.00984466,Strong selection
ACTR1A,SNVs,2,2,2,actin related protein 1A,0.152662,Extreme selection
ACTR1B,SNVs,1,3,4,actin related protein 1B,0.02681,Extreme selection
ACTR2,SNVs,1,2,2,actin related protein 2,0.450002,Extreme selection
ACTR3,SNVs,2,2,2,actin related protein 3,0.455778,Extreme selection
ACTR3B,SNVs,2,4,2,actin related protein 3B,0.0678313,Extreme selection
ACTR3C,SNVs,3,4,4,actin related protein 3C,0.00249062,Strong selection
ACTR5,SNVs,3,3,3,actin related protein 5,0.00130065,Strong selection
ACTR6,SNVs,1,2,2,actin related protein 6,0.00873473,Strong selection
ACTR8,SNVs,2,2,3,actin related protein 8,0.00283795,Strong selection
ACTRT1,SNVs,2,3,3,actin related protein T1,0.00534439,Strong selection
ACTRT2,SNVs,3,3,3,actin related protein T2,0.00211656,Strong selection
ACTRT3,SNVs,3,2,3,actin related protein T3,0.00194128,Strong selection
ACVR1,SNVs,1,3,2,activin A receptor type 1,0.0863938,Extreme selection
ACVR1B,SNVs,1,3,4,activin A receptor type 1B,0.271003,Extreme selection
ACVR1C,SNVs,2,3,3,activin A receptor type 1C,0.020289,Extreme selection
ACVR2A,SNVs,2,2,2,activin A receptor type 2A,0.195462,Extreme selection
ACVR2B,SNVs,3,3,2,activin A receptor type 2B,0.096062,Extreme selection
ACVRL1,SNVs,3,3,4,activin A receptor like type 1,0.0343717,Extreme selection
ACY1,SNVs,2,2,3,aminoacylase 1,0.0030407,Strong selection
ACY3,SNVs,2,2,4,aminoacylase 3,9.2418e-4,Weak selection
ACYP1,SNVs,2,3,3,acylphosphatase 1,0.00255774,Strong selection
ACYP2,SNVs,1,4,4,acylphosphatase 2,0.00168769,Strong selection
ADA,SNVs,3,3,3,adenosine deaminase,0.00297751,Strong selection
ADA2,SNVs,3,3,3,adenosine deaminase 2,7.8261e-4,Weak selection
ADAD1,SNVs,2,3,3,adenosine deaminase domain containing 1,0.019638,Extreme selection
ADAD2,SNVs,3,3,3,adenosine deaminase domain containing 2,0.00185526,Strong selection
ADAL,SNVs,2,3,0,adenosine deaminase like,0.00299607,Strong selection
ADAM10,SNVs,1,2,3,ADAM metallopeptidase domain 10,0.229161,Extreme selection
ADAM11,SNVs,3,3,3,ADAM metallopeptidase domain 11,0.042297,Extreme selection
ADAM12,SNVs,3,3,3,ADAM metallopeptidase domain 12,0.0133743,Extreme selection
ADAM15,SNVs,3,3,3,ADAM metallopeptidase domain 15,0.00180813,Strong selection
ADAM17,SNVs,2,3,3,ADAM metallopeptidase domain 17,0.103997,Extreme selection
ADAM18,SNVs,0,3,4,ADAM metallopeptidase domain 18,4.491e-4,Weak selection
ADAM19,SNVs,3,3,3,ADAM metallopeptidase domain 19,0.0210439,Extreme selection
ADAM2,SNVs,3,3,4,ADAM metallopeptidase domain 2,5.0477e-4,Weak selection
ADAM20,SNVs,0,3,3,ADAM metallopeptidase domain 20,0.00449423,Strong selection
ADAM21,SNVs,3,3,3,ADAM metallopeptidase domain 21,0.00261188,Strong selection
ADAM22,SNVs,3,3,3,ADAM metallopeptidase domain 22,0.0546638,Extreme selection
ADAM23,SNVs,3,3,3,ADAM metallopeptidase domain 23,0.0821939,Extreme selection
ADAM28,SNVs,3,4,4,ADAM metallopeptidase domain 28,5.3608e-4,Weak selection
ADAM29,SNVs,3,4,3,ADAM metallopeptidase domain 29,0.00401069,Strong selection
ADAM30,SNVs,2,3,3,ADAM metallopeptidase domain 30,0.0051562,Strong selection
ADAM32,SNVs,3,3,3,ADAM metallopeptidase domain 32,6.2626e-4,Weak selection
ADAM33,SNVs,3,3,3,ADAM metallopeptidase domain 33,6.5033e-4,Weak selection
ADAM7,SNVs,2,3,3,ADAM metallopeptidase domain 7,6.2629e-4,Weak selection
ADAM8,SNVs,2,3,3,ADAM metallopeptidase domain 8,7.3572e-4,Weak selection
ADAM9,SNVs,3,3,3,ADAM metallopeptidase domain 9,0.0450836,Extreme selection
ADAMDEC1,SNVs,3,3,3,ADAM like decysin 1,9.4647e-4,Weak selection
ADAMTS1,SNVs,3,3,3,ADAM metallopeptidase with thrombospondin type 1 motif 1,0.0489018,Extreme selection
ADAMTS10,SNVs,3,3,3,ADAM metallopeptidase with thrombospondin type 1 motif 10,0.0783139,Extreme selection
ADAMTS12,SNVs,3,3,4,ADAM metallopeptidase with thrombospondin type 1 motif 12,0.00763937,Strong selection
ADAMTS13,SNVs,3,4,4,ADAM metallopeptidase with thrombospondin type 1 motif 13,0.0159542,Extreme selection
ADAMTS14,SNVs,3,3,3,ADAM metallopeptidase with thrombospondin type 1 motif 14,9.8145e-4,Weak selection
ADAMTS15,SNVs,3,3,3,ADAM metallopeptidase with thrombospondin type 1 motif 15,0.00956771,Strong selection
ADAMTS16,SNVs,3,4,3,ADAM metallopeptidase with thrombospondin type 1 motif 16,0.0223232,Extreme selection
ADAMTS17,SNVs,3,3,3,ADAM metallopeptidase with thrombospondin type 1 motif 17,0.0129309,Extreme selection
ADAMTS18,SNVs,3,3,3,ADAM metallopeptidase with thrombospondin type 1 motif 18,0.0107739,Extreme selection
ADAMTS19,SNVs,3,3,3,ADAM metallopeptidase with thrombospondin type 1 motif 19,0.0337452,Extreme selection
ADAMTS2,SNVs,3,3,3,ADAM metallopeptidase with thrombospondin type 1 motif 2,0.0790386,Extreme selection
ADAMTS20,SNVs,3,3,3,ADAM metallopeptidase with thrombospondin type 1 motif 20,0.00112011,Strong selection
ADAMTS3,SNVs,3,3,3,ADAM metallopeptidase with thrombospondin type 1 motif 3,0.0201052,Extreme selection
ADAMTS4,SNVs,2,2,3,ADAM metallopeptidase with thrombospondin type 1 motif 4,0.00850557,Strong selection
ADAMTS5,SNVs,3,2,3,ADAM metallopeptidase with thrombospondin type 1 motif 5,0.0135726,Extreme selection
ADAMTS6,SNVs,3,3,3,ADAM metallopeptidase with thrombospondin type 1 motif 6,0.106746,Extreme selection
ADAMTS7,SNVs,3,3,4,ADAM metallopeptidase with thrombospondin type 1 motif 7,0.00600684,Strong selection
ADAMTS8,SNVs,3,3,3,ADAM metallopeptidase with thrombospondin type 1 motif 8,0.00327292,Strong selection
ADAMTS9,SNVs,3,3,3,ADAM metallopeptidase with thrombospondin type 1 motif 9,0.0393138,Extreme selection
ADAMTSL1,SNVs,3,3,3,ADAMTS like 1,0.0229674,Extreme selection
ADAMTSL2,SNVs,3,4,3,ADAMTS like 2,0.044474,Extreme selection
ADAMTSL3,SNVs,3,3,4,ADAMTS like 3,0.0185331,Extreme selection
ADAMTSL4,SNVs,3,3,3,ADAMTS like 4,0.00176843,Strong selection
ADAMTSL5,SNVs,3,3,3,ADAMTS like 5,6.0251e-4,Weak selection
ADAP1,SNVs,2,3,4,ArfGAP with dual PH domains 1,0.0378651,Extreme selection
ADAP2,SNVs,1,3,2,ArfGAP with dual PH domains 2,0.00254133,Strong selection
ADAR,SNVs,3,3,3,adenosine deaminase RNA specific,0.0663931,Extreme selection
ADARB1,SNVs,3,3,3,adenosine deaminase RNA specific B1,0.127969,Extreme selection
ADARB2,SNVs,2,3,4,adenosine deaminase RNA specific B2 (inactive),0.049299,Extreme selection
ADAT1,SNVs,3,3,3,adenosine deaminase tRNA specific 1,0.00131685,Strong selection
ADAT2,SNVs,1,3,3,adenosine deaminase tRNA specific 2,0.00347443,Strong selection
ADAT3,SNVs,2,3,3,adenosine deaminase tRNA specific 3,0.00197876,Strong selection
ADCK1,SNVs,3,3,3,aarF domain containing kinase 1,8.5931e-4,Weak selection
ADCK2,SNVs,2,4,3,aarF domain containing kinase 2,0.00137793,Strong selection
ADCK5,SNVs,1,3,3,aarF domain containing kinase 5,0.0195678,Extreme selection
