contig	corrected_label	gene_start	gene_end	is_fusion	fusion_detail	transcript
PR00512.hap1	GYPB	734949	761283	YES	"GYPA(bp1-95,90%) -> GYPB(bp96-264,82%)"	XM_011531904.4_1
PR00512.hap2	GYPE	149069	178856	no		NM_198682.3_1
PR00512.hap2	GYPE	255509	290328	no		NM_198682.3
PR00512.hap2	GYPB	379553	407157	no		XM_011531904.4_1
PR00512.hap2	GYPB	488865	512348	no		NM_002100.6
PR00512.hap2	GYPA	603368	634792	no		NM_002099.8
PR01225.hap1	GYPE	145329	175085	no		NM_198682.3_1
PR01225.hap1	GYPE	251762	286582	no		NM_198682.3
PR01225.hap1	GYPB	375807	403411	no		XM_011531904.4_1
PR01225.hap1	GYPB	484893	508384	no		NM_002100.6
PR01225.hap1	GYPA	599409	630848	no		NM_002099.8
PR01225.hap2	GYPE	145392	175148	no		NM_198682.3_1
PR01225.hap2	GYPE	251801	286563	no		NM_198682.3
PR01225.hap2	GYPB	375781	399239	no		NM_002100.6
PR01225.hap2	GYPA	489426	520857	no		NM_002099.8
PR01228.hap1	GYPE	145325	175070	no		NM_198682.3_1
PR01228.hap1	GYPE	251758	286578	no		NM_198682.3
PR01228.hap1	GYPB	375818	403422	no		XM_011531904.4_1
PR01228.hap1	GYPB	485424	508915	no		NM_002100.6
PR01228.hap1	GYPA	599939	631394	no		NM_002099.8
PR01228.hap2	GYPE	145342	174997	no		NM_198682.3_1
PR01228.hap2	GYPE	255980	290703	no		NM_198682.3
PR01228.hap2	GYPB	379972	407556	no		XM_011531904.4_1
PR01228.hap2	GYPB	489530	513019	no		NM_002100.6
PR01228.hap2	GYPA	604048	635503	no		NM_002099.8
PR01100.hap1	GYPE	145300	175035	no		NM_198682.3_1
PR01100.hap1	GYPE	251706	286466	no		NM_198682.3
PR01100.hap1	GYPB	375719	403325	no		XM_011531904.4_1
PR01100.hap1	GYPB	485059	508561	no		NM_002100.6
PR01100.hap1	GYPA	599570	630980	no		NM_002099.8
PR01100.hap2	GYPE	145333	175089	no		NM_198682.3_1
PR01100.hap2	GYPE	251762	286582	no		NM_198682.3
PR01100.hap2	GYPB	375807	403411	no		XM_011531904.4_1
PR01100.hap2	GYPB	485149	508648	no		NM_002100.6
PR01100.hap2	GYPA	599672	631112	no		NM_002099.8
PR00496A.hap1	GYPE	145346	175074	no		NM_198682.3_1
PR00496A.hap1	GYPE	247501	282183	no		NM_198682.3
PR00496A.hap1	GYPB	371449	399051	no		XM_011531904.4_1
PR00496A.hap1	GYPB	482638	506089	no		NM_002100.6
PR00496A.hap1	GYPA	597169	628557	YES	"GYPB(bp1-121,98%) -> GYPA(bp122-453,96%)"	NM_002099.8
PR00496A.hap2	GYPE	151593	186397	no		NM_198682.3
PR00496A.hap2	GYPB	275606	303210	no		XM_011531904.4_1
PR00496A.hap2	GYPB	385075	408542	no		NM_002100.6
PR00496A.hap2	GYPA	499563	530954	YES	"GYPB(bp1-121,98%) -> GYPA(bp122-453,96%)"	NM_002099.8
PR00115.hap1	GYPE	144203	173920	no		NM_198682.3_1
PR00115.hap1	GYPE	250575	285394	no		NM_198682.3
PR00115.hap1	GYPB	374623	402218	no		XM_011531904.4_1
PR00115.hap1	GYPB	483711	507198	no		NM_002100.6
PR00115.hap1	GYPA	598105	629550	no		NM_002099.8
PR00115.hap2	GYPE	151593	186397	no		NM_198682.3
PR00115.hap2	GYPB	275605	303209	no		XM_011531904.4_1
PR00115.hap2	GYPB	385075	408542	no		NM_002100.6
PR00115.hap2	GYPA	499564	530955	YES	"GYPB(bp1-121,98%) -> GYPA(bp122-453,96%)"	NM_002099.8
PR00834.hap1	GYPE	144160	173878	no		NM_198682.3_1
PR00834.hap1	GYPE	250526	285242	no		NM_198682.3
PR00834.hap1	GYPB	311292	338888	no		XM_011531904.4_1
PR00834.hap1	GYPB	421083	444518	no		NM_002100.6
PR00834.hap1	GYPA	535409	566845	no		NM_002099.8
PR00834.hap2	GYPE	145324	174596	no		NM_198682.3_1
PR00834.hap2	GYPE	255545	290277	no		NM_198682.3
PR00834.hap2	GYPB	379531	407118	no		XM_011531904.4_1
PR00834.hap2	GYPB	488785	512285	no		NM_002100.6
PR00834.hap2	GYPA	603331	634740	no		NM_002099.8
PR00838.hap1	GYPE	145323	174595	no		NM_198682.3_1
PR00838.hap1	GYPE	255545	290277	no		NM_198682.3
PR00838.hap1	GYPB	379531	407118	no		XM_011531904.4_1
PR00838.hap1	GYPB	488785	512285	no		NM_002100.6
PR00838.hap1	GYPA	603329	634737	no		NM_002099.8
PR00838.hap2	GYPE	145396	175049	no		NM_198682.3_1
PR00838.hap2	GYPE	256033	290753	no		NM_198682.3
PR00838.hap2	GYPB	379968	407552	no		XM_011531904.4_1
PR00838.hap2	GYPB	489120	512578	no		NM_002100.6
PR00838.hap2	GYPA	602762	634197	no		NM_002099.8
PR01009.hap1	GYPE	155155	184402	YES	"GYPB(bp1-122,95%) -> GYPE(bp123-237,85%)"	NM_198682.3
PR01009.hap1	GYPA	276521	307937	no		NM_002099.8_1
PR01009.hap1	GYPB	393182	416622	no		NM_002100.6
PR01009.hap1	GYPA	507698	539118	no		NM_002099.8
PR01009.hap2	GYPE	155185	184534	YES	"GYPB(bp1-122,96%) -> GYPE(bp123-237,85%)"	NM_198682.3
PR01009.hap2	GYPA	275397	306827	no		NM_002099.8
PR01008.hap1	GYPE	150240	179958	no		NM_198682.3_1
PR01008.hap1	GYPE	256606	291426	no		NM_198682.3
PR01008.hap1	GYPB	380658	408252	no		XM_011531904.4_1
PR01008.hap1	GYPB	490195	513686	no		NM_002100.6
PR01008.hap1	GYPA	609984	641418	YES	"GYPB(bp1-115,95%) -> GYPA(bp116-447,94%)"	NM_002099.8
PR01008.hap2	GYPE	144203	173921	no		NM_198682.3_1
PR01008.hap2	GYPE	250579	285370	no		NM_198682.3
PR01008.hap2	GYPB	374450	402058	no		XM_011531904.4_1
PR01008.hap2	GYPB	483952	507458	no		NM_002100.6
PR01008.hap2	GYPA	604242	635687	YES	"GYPE(bp1-122,99%) -> GYPA(bp123-450,95%)"	NM_002099.8
PR01010.hap1	GYPE	150240	179958	no		NM_198682.3_1
PR01010.hap1	GYPE	256605	291425	no		NM_198682.3
PR01010.hap1	GYPB	380656	408250	no		XM_011531904.4_1
PR01010.hap1	GYPB	490194	513685	no		NM_002100.6
PR01010.hap1	GYPA	609983	641417	YES	"GYPB(bp1-115,95%) -> GYPA(bp116-447,94%)"	NM_002099.8
PR01010.hap2	GYPE	155155	184398	YES	"GYPB(bp1-122,95%) -> GYPE(bp123-237,85%)"	NM_198682.3
PR01010.hap2	GYPA	276517	307933	no		NM_002099.8_1
PR01010.hap2	GYPB	393176	416616	no		NM_002100.6
PR01010.hap2	GYPA	507693	539113	no		NM_002099.8
AG18357_3.hap1	GYPB	148868	175031	no		XM_011531904.4_3
AG18357_3.hap1	GYPE	255973	290696	no		NM_198682.3
AG18357_3.hap1	GYPB	379972	407556	no		XM_011531904.4_2
AG18357_3.hap1	GYPB	489500	512959	no		NM_002100.6
AG18357_3.hap1	GYPA	610120	646788	YES	"GYPB(bp1-121,97%) -> GYPA(bp122-453,97%)"	NM_002099.8
AG18357_3.hap1	GYPB	739659	765994	YES	"GYPA(bp1-95,90%) -> GYPB(bp96-264,82%)"	XM_011531904.4_1
AG18357_3.hap2	GYPE	145329	175075	no		NM_198682.3_1
AG18357_3.hap2	GYPE	251771	286591	no		NM_198682.3
AG18357_3.hap2	GYPB	375854	403436	no		XM_011531904.4_1
AG18357_3.hap2	GYPB	485084	508579	no		NM_002100.6
AG18357_3.hap2	GYPA	599611	631066	no		NM_002099.8
AG18358_4.hap1	GYPE	145352	175113	no		NM_198682.3_1
AG18358_4.hap1	GYPE	251769	286531	no		NM_198682.3
AG18358_4.hap1	GYPB	375739	403339	no		XM_011531904.4_1
AG18358_4.hap1	GYPB	485327	508836	no		NM_002100.6
AG18358_4.hap1	GYPA	599792	631202	no		NM_002099.8
AG18358_4.hap2	GYPB	152645	178902	no		XM_011531904.4_3
AG18358_4.hap2	GYPE	255515	290320	no		NM_198682.3
AG18358_4.hap2	GYPB	379512	407095	no		XM_011531904.4_2
AG18358_4.hap2	GYPB	488532	511987	no		NM_002100.6
AG18358_4.hap2	GYPA	609171	645839	YES	"GYPB(bp1-121,97%) -> GYPA(bp122-453,97%)"	NM_002099.8
AG18358_4.hap2	GYPB	738686	765020	YES	"GYPA(bp1-95,90%) -> GYPB(bp96-264,82%)"	XM_011531904.4_1
AG18354_5.hap1	GYPE	145303	175038	no		NM_198682.3_1
AG18354_5.hap1	GYPE	251715	286475	no		NM_198682.3
AG18354_5.hap1	GYPB	375733	403339	no		XM_011531904.4_1
AG18354_5.hap1	GYPB	485233	508735	no		NM_002100.6
AG18354_5.hap1	GYPA	599742	631152	no		NM_002099.8
AG18354_5.hap2	GYPB	152645	178902	no		XM_011531904.4_3
AG18354_5.hap2	GYPE	255506	290311	no		NM_198682.3
AG18354_5.hap2	GYPB	379504	407087	no		XM_011531904.4_2
AG18354_5.hap2	GYPB	488460	511915	no		NM_002100.6
AG18354_5.hap2	GYPA	609079	645744	YES	"GYPB(bp1-121,97%) -> GYPA(bp122-453,97%)"	NM_002099.8
AG18354_5.hap2	GYPB	738595	764924	YES	"GYPA(bp1-95,90%) -> GYPB(bp96-264,82%)"	XM_011531904.4_1
AG18356_6.hap1	GYPE	145343	175099	no		NM_198682.3_1
AG18356_6.hap1	GYPE	251776	286596	no		NM_198682.3
AG18356_6.hap1	GYPB	375820	403424	no		XM_011531904.4_1
AG18356_6.hap1	GYPB	484972	508455	no		NM_002100.6
AG18356_6.hap1	GYPA	599483	630906	no		NM_002099.8
AG18356_6.hap2	GYPE	145344	171586	YES	"GYPA(bp1-123,99%) -> GYPE(bp124-237,86%)"	NM_198682.3
AG18356_6.hap2	GYPB	253287	276780	no		NM_002100.6
AG18356_6.hap2	GYPA	367766	399204	no		NM_002099.8
AG18359_7.hap1	GYPE	145324	175070	no		NM_198682.3_1
AG18359_7.hap1	GYPE	251752	286572	no		NM_198682.3
AG18359_7.hap1	GYPB	375810	403414	no		XM_011531904.4_1
AG18359_7.hap1	GYPB	485513	508992	no		NM_002100.6
AG18359_7.hap1	GYPA	600024	631482	no		NM_002099.8
AG18359_7.hap2	GYPB	148876	175039	no		XM_011531904.4_3
AG18359_7.hap2	GYPE	255986	290709	no		NM_198682.3
AG18359_7.hap2	GYPB	379988	407572	no		XM_011531904.4_2
AG18359_7.hap2	GYPB	489551	513010	no		NM_002100.6
AG18359_7.hap2	GYPA	610167	646839	YES	"GYPB(bp1-121,97%) -> GYPA(bp122-453,97%)"	NM_002099.8
AG18359_7.hap2	GYPB	739719	766054	YES	"GYPA(bp1-95,90%) -> GYPB(bp96-264,82%)"	XM_011531904.4_1
AG18355_8.hap1	GYPE	145392	175147	no		NM_198682.3_1
AG18355_8.hap1	GYPE	251797	286559	no		NM_198682.3
AG18355_8.hap1	GYPB	375776	399234	no		NM_002100.6
AG18355_8.hap1	GYPA	489423	520854	no		NM_002099.8
AG18355_8.hap2	GYPE	145348	175094	no		NM_198682.3_1
AG18355_8.hap2	GYPE	251756	286461	no		NM_198682.3
AG18355_8.hap2	GYPB	375716	403320	no		XM_011531904.4_1
AG18355_8.hap2	GYPB	485111	508620	no		NM_002100.6
AG18355_8.hap2	GYPA	599622	631034	no		NM_002099.8
AG18353_9.hap1	GYPE	145324	174596	no		NM_198682.3_1
AG18353_9.hap1	GYPE	255541	290271	no		NM_198682.3
AG18353_9.hap1	GYPB	379520	407107	no		XM_011531904.4_1
AG18353_9.hap1	GYPB	488774	512273	no		NM_002100.6
AG18353_9.hap1	GYPA	603313	634726	no		NM_002099.8
AG18353_9.hap2	GYPB	148877	175040	no		XM_011531904.4_3
AG18353_9.hap2	GYPE	255982	290705	no		NM_198682.3
AG18353_9.hap2	GYPB	379973	407557	no		XM_011531904.4_2
AG18353_9.hap2	GYPB	489533	512992	no		NM_002100.6
AG18353_9.hap2	GYPA	610148	646816	YES	"GYPB(bp1-121,97%) -> GYPA(bp122-453,97%)"	NM_002099.8
AG18353_9.hap2	GYPB	739690	766025	YES	"GYPA(bp1-95,90%) -> GYPB(bp96-264,82%)"	XM_011531904.4_1
AG18361_10.hap1	GYPE	145324	174596	no		NM_198682.3_1
AG18361_10.hap1	GYPE	255543	290275	no		NM_198682.3
AG18361_10.hap1	GYPB	379516	407103	no		XM_011531904.4_1
AG18361_10.hap1	GYPB	488770	512270	no		NM_002100.6
AG18361_10.hap1	GYPA	603305	634717	no		NM_002099.8
AG18361_10.hap2	GYPE	145329	175085	no		NM_198682.3_1
AG18361_10.hap2	GYPE	251763	286582	no		NM_198682.3
AG18361_10.hap2	GYPB	375800	403404	no		XM_011531904.4_1
AG18361_10.hap2	GYPB	485142	508641	no		NM_002100.6
AG18361_10.hap2	GYPA	599668	631109	no		NM_002099.8
AG18360_11.hap1	GYPE	145398	175115	no		NM_198682.3_1
AG18360_11.hap1	GYPE	256095	290825	no		NM_198682.3
AG18360_11.hap1	GYPB	380075	407656	no		XM_011531904.4_1
AG18360_11.hap1	GYPB	489091	512561	no		NM_002100.6
AG18360_11.hap1	GYPA	602742	634176	no		NM_002099.8
AG18360_11.hap2	GYPE	145321	175067	no		NM_198682.3_1
AG18360_11.hap2	GYPE	251748	286568	no		NM_198682.3
AG18360_11.hap2	GYPB	375806	403410	no		XM_011531904.4_1
AG18360_11.hap2	GYPB	485505	508984	no		NM_002100.6
AG18360_11.hap2	GYPA	600016	631474	no		NM_002099.8
AG16618_12.hap1	GYPE	145340	175090	no		NM_198682.3_1
AG16618_12.hap1	GYPE	251753	286514	no		NM_198682.3
AG16618_12.hap1	GYPB	375746	403350	no		XM_011531904.4_1
AG16618_12.hap1	GYPB	485154	508662	no		NM_002100.6
AG16618_12.hap1	GYPA	599755	631203	no		NM_002099.8
AG16618_12.hap2	GYPE	148371	179471	YES	"GYPB(bp1-126,96%) -> GYPE(bp127-192,73%)"	NM_198682.3
AG16618_12.hap2	GYPB	261391	284873	no		NM_002100.6
AG16618_12.hap2	GYPA	375775	407209	no		NM_002099.8
AG06939_13.hap1	GYPE	145335	175091	no		NM_198682.3_1
AG06939_13.hap1	GYPE	251769	286589	no		NM_198682.3
AG06939_13.hap1	GYPB	375814	403418	no		XM_011531904.4_1
AG06939_13.hap1	GYPB	485158	508641	no		NM_002100.6
AG06939_13.hap1	GYPA	599669	631094	no		NM_002099.8
AG06939_13.hap2	GYPE	145338	175092	no		NM_198682.3_1
AG06939_13.hap2	GYPE	251774	286594	no		NM_198682.3
AG06939_13.hap2	GYPB	375834	403438	no		XM_011531904.4_1
AG06939_13.hap2	GYPB	485436	508926	no		NM_002100.6
AG06939_13.hap2	GYPA	599950	631403	no		NM_002099.8
