sample,sequence,count
AG16618_12.hap2.chr,chr14_hap1_hsa13,18
AG16618_12.hap2.chr,chr15_hap1_hsa14,4
AG16618_12.hap2.chr,chr16_hap1_hsa15,10
AG16618_12.hap2.chr,chr17_hap1_hsa18,5
AG16618_12.hap2.chr,chr18_hap1_hsa16,17
AG16618_12.hap2.chr,chr19_hap1_hsa17,13
AG16618_12.hap2.chr,chr20_hap1_hsa19,23
AG16618_12.hap2.chr,chr21_hap1_hsa20,9
AG16618_12.hap2.chr,chr22_hap1_hsa21,9
AG16618_12.hap2.chr,chr23_hap1_hsa22,12
AG16618_12.hap2.chr,chrX_hap1_hsaX,15
AG16618_12.hap2.chr,chrY_hap2_hsaY,5
AG18353_9.hap1.chr,chr1_hap1_hsa1,5
AG18353_9.hap1.chr,chr2_hap1_hsa3,5
AG18353_9.hap1.chr,chr3_hap1_hsa4,6
AG18353_9.hap1.chr,chr4_hap1_hsa5,6
AG18353_9.hap1.chr,chr5_hap1_hsa6,7
AG18353_9.hap1.chr,chr6_hap1_hsa7,14
AG18353_9.hap1.chr,chr7_hap1_hsa8,10
AG18353_9.hap1.chr,chr8_hap1_hsa10,12
AG18353_9.hap1.chr,chr9_hap1_hsa11,6
AG18353_9.hap1.chr,chr10_hap1_hsa12,4
AG18353_9.hap1.chr,chr11_hap1_hsa9,6
AG18353_9.hap1.chr,chr12_hap1_hsa2a,13
AG18353_9.hap1.chr,chr13_hap1_hsa2b,6
AG18353_9.hap1.chr,chr14_hap1_hsa13,16
AG18353_9.hap1.chr,chr15_hap1_hsa14,9
AG18353_9.hap1.chr,chr16_hap1_hsa15,12
AG18353_9.hap1.chr,chr17_hap1_hsa18,4
AG18353_9.hap1.chr,chr18_hap1_hsa16,15
AG18353_9.hap1.chr,chr19_hap1_hsa17,8
AG18353_9.hap1.chr,chr20_hap1_hsa19,12
AG18353_9.hap1.chr,chr21_hap1_hsa20,11
AG18353_9.hap1.chr,chr22_hap1_hsa21,6
AG18353_9.hap1.chr,chr23_hap1_hsa22,6
AG18353_9.hap1.chr,chrX_hap1_hsaX,7
AG18353_9.hap1.chr,chrY_hap2_hsaY,6
AG18353_9.hap2.chr,chr1_hap1_hsa1,4
AG18353_9.hap2.chr,chr2_hap1_hsa3,6
AG18353_9.hap2.chr,chr3_hap1_hsa4,0
AG18353_9.hap2.chr,chr4_hap1_hsa5,2
AG18353_9.hap2.chr,chr5_hap1_hsa6,6
AG18353_9.hap2.chr,chr6_hap1_hsa7,11
AG18353_9.hap2.chr,chr7_hap1_hsa8,12
AG18353_9.hap2.chr,chr8_hap1_hsa10,8
AG18353_9.hap2.chr,chr9_hap1_hsa11,1
AG18353_9.hap2.chr,chr10_hap1_hsa12,2
AG18353_9.hap2.chr,chr11_hap1_hsa9,8
AG18353_9.hap2.chr,chr12_hap1_hsa2a,16
AG18353_9.hap2.chr,chr13_hap1_hsa2b,3
AG18353_9.hap2.chr,chr14_hap1_hsa13,16
AG18353_9.hap2.chr,chr15_hap1_hsa14,27
AG18353_9.hap2.chr,chr16_hap1_hsa15,6
AG18353_9.hap2.chr,chr17_hap1_hsa18,7
AG18353_9.hap2.chr,chr18_hap1_hsa16,9
AG18353_9.hap2.chr,chr19_hap1_hsa17,20
AG18353_9.hap2.chr,chr20_hap1_hsa19,12
AG18353_9.hap2.chr,chr21_hap1_hsa20,11
AG18353_9.hap2.chr,chr22_hap1_hsa21,8
AG18353_9.hap2.chr,chr23_hap1_hsa22,12
AG18353_9.hap2.chr,chrX_hap1_hsaX,12
AG18353_9.hap2.chr,chrY_hap2_hsaY,9
AG18354_5.hap1.chr,chr1_hap1_hsa1,3
AG18354_5.hap1.chr,chr2_hap1_hsa3,3
AG18354_5.hap1.chr,chr3_hap1_hsa4,1
AG18354_5.hap1.chr,chr4_hap1_hsa5,4
AG18354_5.hap1.chr,chr5_hap1_hsa6,2
AG18354_5.hap1.chr,chr6_hap1_hsa7,22
AG18354_5.hap1.chr,chr7_hap1_hsa8,9
AG18354_5.hap1.chr,chr8_hap1_hsa10,3
AG18354_5.hap1.chr,chr9_hap1_hsa11,4
AG18354_5.hap1.chr,chr10_hap1_hsa12,5
AG18354_5.hap1.chr,chr11_hap1_hsa9,8
AG18354_5.hap1.chr,chr12_hap1_hsa2a,12
AG18354_5.hap1.chr,chr13_hap1_hsa2b,1
AG18354_5.hap1.chr,chr14_hap1_hsa13,18
AG18354_5.hap1.chr,chr15_hap1_hsa14,8
AG18354_5.hap1.chr,chr16_hap1_hsa15,25
AG18354_5.hap1.chr,chr17_hap1_hsa18,14
AG18354_5.hap1.chr,chr18_hap1_hsa16,15
AG18354_5.hap1.chr,chr19_hap1_hsa17,13
AG18354_5.hap1.chr,chr20_hap1_hsa19,9
AG18354_5.hap1.chr,chr21_hap1_hsa20,9
AG18354_5.hap1.chr,chr22_hap1_hsa21,14
AG18354_5.hap1.chr,chr23_hap1_hsa22,9
AG18354_5.hap1.chr,chrX_hap1_hsaX,5
AG18354_5.hap1.chr,chrY_hap2_hsaY,20
AG18354_5.hap2.chr,chr1_hap1_hsa1,7
AG18354_5.hap2.chr,chr2_hap1_hsa3,7
AG18354_5.hap2.chr,chr3_hap1_hsa4,2
AG18354_5.hap2.chr,chr4_hap1_hsa5,4
AG18354_5.hap2.chr,chr5_hap1_hsa6,3
AG18354_5.hap2.chr,chr6_hap1_hsa7,11
AG18354_5.hap2.chr,chr7_hap1_hsa8,7
AG18354_5.hap2.chr,chr8_hap1_hsa10,4
AG18354_5.hap2.chr,chr9_hap1_hsa11,3
AG18354_5.hap2.chr,chr10_hap1_hsa12,5
AG18354_5.hap2.chr,chr11_hap1_hsa9,14
AG18354_5.hap2.chr,chr12_hap1_hsa2a,10
AG18354_5.hap2.chr,chr13_hap1_hsa2b,3
AG18354_5.hap2.chr,chr14_hap1_hsa13,20
AG18354_5.hap2.chr,chr15_hap1_hsa14,10
AG18354_5.hap2.chr,chr16_hap1_hsa15,12
AG18354_5.hap2.chr,chr17_hap1_hsa18,8
AG18354_5.hap2.chr,chr18_hap1_hsa16,12
AG18354_5.hap2.chr,chr19_hap1_hsa17,9
AG18354_5.hap2.chr,chr20_hap1_hsa19,12
AG18354_5.hap2.chr,chr21_hap1_hsa20,8
AG18354_5.hap2.chr,chr22_hap1_hsa21,9
AG18354_5.hap2.chr,chr23_hap1_hsa22,9
AG18354_5.hap2.chr,chrX_hap1_hsaX,9
AG18354_5.hap2.chr,chrY_hap2_hsaY,8
AG18355_8.hap1.chr,chr1_hap1_hsa1,14
AG18355_8.hap1.chr,chr2_hap1_hsa3,5
AG18355_8.hap1.chr,chr3_hap1_hsa4,3
AG18355_8.hap1.chr,chr4_hap1_hsa5,7
AG18355_8.hap1.chr,chr5_hap1_hsa6,6
AG18355_8.hap1.chr,chr6_hap1_hsa7,9
AG18355_8.hap1.chr,chr7_hap1_hsa8,8
AG18355_8.hap1.chr,chr8_hap1_hsa10,10
AG18355_8.hap1.chr,chr9_hap1_hsa11,3
AG18355_8.hap1.chr,chr10_hap1_hsa12,2
AG18355_8.hap1.chr,chr11_hap1_hsa9,11
AG18355_8.hap1.chr,chr12_hap1_hsa2a,11
AG18355_8.hap1.chr,chr13_hap1_hsa2b,5
AG18355_8.hap1.chr,chr14_hap1_hsa13,20
AG18355_8.hap1.chr,chr15_hap1_hsa14,13
AG18355_8.hap1.chr,chr16_hap1_hsa15,16
AG18355_8.hap1.chr,chr17_hap1_hsa18,14
AG18355_8.hap1.chr,chr18_hap1_hsa16,16
AG18355_8.hap1.chr,chr19_hap1_hsa17,11
AG18355_8.hap1.chr,chr20_hap1_hsa19,10
AG18355_8.hap1.chr,chr21_hap1_hsa20,7
AG18355_8.hap1.chr,chr22_hap1_hsa21,17
AG18355_8.hap1.chr,chr23_hap1_hsa22,3
AG18355_8.hap1.chr,chrX_hap1_hsaX,9
AG18355_8.hap1.chr,chrY_hap2_hsaY,12
AG18355_8.hap2.chr,chr1_hap1_hsa1,6
AG18355_8.hap2.chr,chr2_hap1_hsa3,1
AG18355_8.hap2.chr,chr3_hap1_hsa4,2
AG18355_8.hap2.chr,chr4_hap1_hsa5,5
AG18355_8.hap2.chr,chr5_hap1_hsa6,4
AG18355_8.hap2.chr,chr6_hap1_hsa7,7
AG18355_8.hap2.chr,chr7_hap1_hsa8,7
AG18355_8.hap2.chr,chr8_hap1_hsa10,9
AG18355_8.hap2.chr,chr9_hap1_hsa11,3
AG18355_8.hap2.chr,chr10_hap1_hsa12,3
AG18355_8.hap2.chr,chr11_hap1_hsa9,16
AG18355_8.hap2.chr,chr12_hap1_hsa2a,10
AG18355_8.hap2.chr,chr13_hap1_hsa2b,4
AG18355_8.hap2.chr,chr14_hap1_hsa13,17
AG18355_8.hap2.chr,chr15_hap1_hsa14,16
AG18355_8.hap2.chr,chr16_hap1_hsa15,17
AG18355_8.hap2.chr,chr17_hap1_hsa18,14
AG18355_8.hap2.chr,chr18_hap1_hsa16,11
AG18355_8.hap2.chr,chr19_hap1_hsa17,23
AG18355_8.hap2.chr,chr20_hap1_hsa19,24
AG18355_8.hap2.chr,chr21_hap1_hsa20,12
AG18355_8.hap2.chr,chr22_hap1_hsa21,18
AG18355_8.hap2.chr,chr23_hap1_hsa22,7
AG18355_8.hap2.chr,chrX_hap1_hsaX,3
AG18355_8.hap2.chr,chrY_hap2_hsaY,10
AG18356_6.hap1.chr,chr1_hap1_hsa1,11
AG18356_6.hap1.chr,chr2_hap1_hsa3,17
AG18356_6.hap1.chr,chr3_hap1_hsa4,7
AG18356_6.hap1.chr,chr4_hap1_hsa5,18
AG18356_6.hap1.chr,chr5_hap1_hsa6,4
AG18356_6.hap1.chr,chr6_hap1_hsa7,22
AG18356_6.hap1.chr,chr7_hap1_hsa8,24
AG18356_6.hap1.chr,chr8_hap1_hsa10,8
AG18356_6.hap1.chr,chr9_hap1_hsa11,3
AG18356_6.hap1.chr,chr10_hap1_hsa12,6
AG18356_6.hap1.chr,chr11_hap1_hsa9,9
AG18356_6.hap1.chr,chr12_hap1_hsa2a,15
AG18356_6.hap1.chr,chr13_hap1_hsa2b,11
AG18356_6.hap1.chr,chr14_hap1_hsa13,11
AG18356_6.hap1.chr,chr15_hap1_hsa14,5
AG18356_6.hap1.chr,chr16_hap1_hsa15,13
AG18356_6.hap1.chr,chr17_hap1_hsa18,5
AG18356_6.hap1.chr,chr18_hap1_hsa16,12
AG18356_6.hap1.chr,chr19_hap1_hsa17,5
AG18356_6.hap1.chr,chr20_hap1_hsa19,14
AG18356_6.hap1.chr,chr21_hap1_hsa20,14
AG18356_6.hap1.chr,chr22_hap1_hsa21,10
AG18356_6.hap1.chr,chr23_hap1_hsa22,15
AG18356_6.hap1.chr,chrX_hap1_hsaX,6
AG18356_6.hap2.chr,chr1_hap1_hsa1,6
AG18356_6.hap2.chr,chr2_hap1_hsa3,7
AG18356_6.hap2.chr,chr3_hap1_hsa4,10
AG18356_6.hap2.chr,chr4_hap1_hsa5,2
AG18356_6.hap2.chr,chr5_hap1_hsa6,6
AG18356_6.hap2.chr,chr6_hap1_hsa7,9
AG18356_6.hap2.chr,chr7_hap1_hsa8,5
AG18356_6.hap2.chr,chr8_hap1_hsa10,8
AG18356_6.hap2.chr,chr9_hap1_hsa11,1
AG18356_6.hap2.chr,chr10_hap1_hsa12,7
AG18356_6.hap2.chr,chr11_hap1_hsa9,4
AG18356_6.hap2.chr,chr12_hap1_hsa2a,14
AG18356_6.hap2.chr,chr13_hap1_hsa2b,6
AG18356_6.hap2.chr,chr14_hap1_hsa13,6
AG18356_6.hap2.chr,chr15_hap1_hsa14,7
AG18356_6.hap2.chr,chr16_hap1_hsa15,8
AG18356_6.hap2.chr,chr17_hap1_hsa18,8
AG18356_6.hap2.chr,chr18_hap1_hsa16,7
AG18356_6.hap2.chr,chr19_hap1_hsa17,6
AG18356_6.hap2.chr,chr20_hap1_hsa19,10
AG18356_6.hap2.chr,chr21_hap1_hsa20,5
AG18356_6.hap2.chr,chr22_hap1_hsa21,10
AG18356_6.hap2.chr,chr23_hap1_hsa22,17
AG18356_6.hap2.chr,chrX_hap1_hsaX,5
AG18357_3.hap1.chr,chr1_hap1_hsa1,28
AG18357_3.hap1.chr,chr2_hap1_hsa3,7
AG18357_3.hap1.chr,chr3_hap1_hsa4,10
AG18357_3.hap1.chr,chr4_hap1_hsa5,10
AG18357_3.hap1.chr,chr5_hap1_hsa6,6
AG18357_3.hap1.chr,chr6_hap1_hsa7,31
AG18357_3.hap1.chr,chr7_hap1_hsa8,16
AG18357_3.hap1.chr,chr8_hap1_hsa10,17
AG18357_3.hap1.chr,chr9_hap1_hsa11,15
AG18357_3.hap1.chr,chr10_hap1_hsa12,11
AG18357_3.hap1.chr,chr11_hap1_hsa9,24
AG18357_3.hap1.chr,chr12_hap1_hsa2a,11
AG18357_3.hap1.chr,chr13_hap1_hsa2b,11
AG18357_3.hap1.chr,chr14_hap1_hsa13,25
AG18357_3.hap1.chr,chr15_hap1_hsa14,18
AG18357_3.hap1.chr,chr16_hap1_hsa15,17
AG18357_3.hap1.chr,chr17_hap1_hsa18,16
AG18357_3.hap1.chr,chr18_hap1_hsa16,21
AG18357_3.hap1.chr,chr19_hap1_hsa17,22
AG18357_3.hap1.chr,chr20_hap1_hsa19,28
AG18357_3.hap1.chr,chr21_hap1_hsa20,18
AG18357_3.hap1.chr,chr22_hap1_hsa21,15
AG18357_3.hap1.chr,chr23_hap1_hsa22,21
AG18357_3.hap1.chr,chrX_hap1_hsaX,21
AG18357_3.hap1.chr,chrY_hap2_hsaY,0
AG18357_3.hap2.chr,chr1_hap1_hsa1,17
AG18357_3.hap2.chr,chr2_hap1_hsa3,9
AG18357_3.hap2.chr,chr3_hap1_hsa4,11
AG18357_3.hap2.chr,chr4_hap1_hsa5,9
AG18357_3.hap2.chr,chr5_hap1_hsa6,12
AG18357_3.hap2.chr,chr6_hap1_hsa7,28
AG18357_3.hap2.chr,chr7_hap1_hsa8,24
AG18357_3.hap2.chr,chr8_hap1_hsa10,12
AG18357_3.hap2.chr,chr9_hap1_hsa11,11
AG18357_3.hap2.chr,chr10_hap1_hsa12,13
AG18357_3.hap2.chr,chr11_hap1_hsa9,26
AG18357_3.hap2.chr,chr12_hap1_hsa2a,11
AG18357_3.hap2.chr,chr13_hap1_hsa2b,13
AG18357_3.hap2.chr,chr14_hap1_hsa13,25
AG18357_3.hap2.chr,chr15_hap1_hsa14,21
AG18357_3.hap2.chr,chr16_hap1_hsa15,15
AG18357_3.hap2.chr,chr17_hap1_hsa18,12
AG18357_3.hap2.chr,chr18_hap1_hsa16,28
AG18357_3.hap2.chr,chr19_hap1_hsa17,27
AG18357_3.hap2.chr,chr20_hap1_hsa19,24
AG18357_3.hap2.chr,chr21_hap1_hsa20,13
AG18357_3.hap2.chr,chr22_hap1_hsa21,17
AG18357_3.hap2.chr,chr23_hap1_hsa22,21
AG18357_3.hap2.chr,chrX_hap1_hsaX,17
AG18357_3.hap2.chr,chrY_hap2_hsaY,0
AG18358_4.hap1.chr,chr1_hap1_hsa1,6
AG18358_4.hap1.chr,chr2_hap1_hsa3,2
AG18358_4.hap1.chr,chr3_hap1_hsa4,5
AG18358_4.hap1.chr,chr4_hap1_hsa5,2
AG18358_4.hap1.chr,chr5_hap1_hsa6,4
AG18358_4.hap1.chr,chr6_hap1_hsa7,13
AG18358_4.hap1.chr,chr7_hap1_hsa8,6
AG18358_4.hap1.chr,chr8_hap1_hsa10,11
AG18358_4.hap1.chr,chr9_hap1_hsa11,2
AG18358_4.hap1.chr,chr10_hap1_hsa12,8
AG18358_4.hap1.chr,chr11_hap1_hsa9,8
AG18358_4.hap1.chr,chr12_hap1_hsa2a,6
AG18358_4.hap1.chr,chr13_hap1_hsa2b,6
AG18358_4.hap1.chr,chr14_hap1_hsa13,15
AG18358_4.hap1.chr,chr15_hap1_hsa14,8
AG18358_4.hap1.chr,chr16_hap1_hsa15,18
AG18358_4.hap1.chr,chr17_hap1_hsa18,18
AG18358_4.hap1.chr,chr18_hap1_hsa16,12
AG18358_4.hap1.chr,chr19_hap1_hsa17,13
AG18358_4.hap1.chr,chr20_hap1_hsa19,8
AG18358_4.hap1.chr,chr21_hap1_hsa20,13
AG18358_4.hap1.chr,chr22_hap1_hsa21,9
AG18358_4.hap1.chr,chr23_hap1_hsa22,11
AG18358_4.hap1.chr,chrX_hap1_hsaX,5
AG18358_4.hap1.chr,chrY_hap2_hsaY,1
AG18358_4.hap2.chr,chr1_hap1_hsa1,3
AG18358_4.hap2.chr,chr2_hap1_hsa3,4
AG18358_4.hap2.chr,chr3_hap1_hsa4,3
AG18358_4.hap2.chr,chr4_hap1_hsa5,2
AG18358_4.hap2.chr,chr5_hap1_hsa6,4
AG18358_4.hap2.chr,chr6_hap1_hsa7,9
AG18358_4.hap2.chr,chr7_hap1_hsa8,8
AG18358_4.hap2.chr,chr8_hap1_hsa10,10
AG18358_4.hap2.chr,chr9_hap1_hsa11,4
AG18358_4.hap2.chr,chr10_hap1_hsa12,8
AG18358_4.hap2.chr,chr11_hap1_hsa9,16
AG18358_4.hap2.chr,chr12_hap1_hsa2a,6
AG18358_4.hap2.chr,chr13_hap1_hsa2b,11
AG18358_4.hap2.chr,chr14_hap1_hsa13,8
AG18358_4.hap2.chr,chr15_hap1_hsa14,5
AG18358_4.hap2.chr,chr16_hap1_hsa15,10
AG18358_4.hap2.chr,chr17_hap1_hsa18,10
AG18358_4.hap2.chr,chr18_hap1_hsa16,6
AG18358_4.hap2.chr,chr19_hap1_hsa17,11
AG18358_4.hap2.chr,chr20_hap1_hsa19,11
AG18358_4.hap2.chr,chr21_hap1_hsa20,10
AG18358_4.hap2.chr,chr22_hap1_hsa21,9
AG18358_4.hap2.chr,chr23_hap1_hsa22,9
AG18358_4.hap2.chr,chrX_hap1_hsaX,4
AG18359_7.hap1.chr,chr1_hap1_hsa1,5
AG18359_7.hap1.chr,chr2_hap1_hsa3,7
AG18359_7.hap1.chr,chr3_hap1_hsa4,5
AG18359_7.hap1.chr,chr4_hap1_hsa5,5
AG18359_7.hap1.chr,chr5_hap1_hsa6,4
AG18359_7.hap1.chr,chr6_hap1_hsa7,15
AG18359_7.hap1.chr,chr7_hap1_hsa8,9
AG18359_7.hap1.chr,chr8_hap1_hsa10,19
AG18359_7.hap1.chr,chr9_hap1_hsa11,9
AG18359_7.hap1.chr,chr10_hap1_hsa12,6
AG18359_7.hap1.chr,chr11_hap1_hsa9,13
AG18359_7.hap1.chr,chr12_hap1_hsa2a,10
AG18359_7.hap1.chr,chr13_hap1_hsa2b,20
AG18359_7.hap1.chr,chr14_hap1_hsa13,13
AG18359_7.hap1.chr,chr15_hap1_hsa14,7
AG18359_7.hap1.chr,chr16_hap1_hsa15,13
AG18359_7.hap1.chr,chr17_hap1_hsa18,12
AG18359_7.hap1.chr,chr18_hap1_hsa16,17
AG18359_7.hap1.chr,chr19_hap1_hsa17,16
AG18359_7.hap1.chr,chr20_hap1_hsa19,13
AG18359_7.hap1.chr,chr21_hap1_hsa20,13
AG18359_7.hap1.chr,chr22_hap1_hsa21,21
AG18359_7.hap1.chr,chr23_hap1_hsa22,10
AG18359_7.hap1.chr,chrX_hap1_hsaX,12
AG18359_7.hap2.chr,chr1_hap1_hsa1,5
AG18359_7.hap2.chr,chr2_hap1_hsa3,4
AG18359_7.hap2.chr,chr3_hap1_hsa4,1
AG18359_7.hap2.chr,chr4_hap1_hsa5,7
AG18359_7.hap2.chr,chr5_hap1_hsa6,4
AG18359_7.hap2.chr,chr6_hap1_hsa7,13
AG18359_7.hap2.chr,chr7_hap1_hsa8,10
AG18359_7.hap2.chr,chr8_hap1_hsa10,13
AG18359_7.hap2.chr,chr9_hap1_hsa11,5
AG18359_7.hap2.chr,chr10_hap1_hsa12,2
AG18359_7.hap2.chr,chr11_hap1_hsa9,13
AG18359_7.hap2.chr,chr12_hap1_hsa2a,6
AG18359_7.hap2.chr,chr13_hap1_hsa2b,11
AG18359_7.hap2.chr,chr14_hap1_hsa13,15
AG18359_7.hap2.chr,chr15_hap1_hsa14,6
AG18359_7.hap2.chr,chr16_hap1_hsa15,6
AG18359_7.hap2.chr,chr17_hap1_hsa18,14
AG18359_7.hap2.chr,chr18_hap1_hsa16,14
AG18359_7.hap2.chr,chr19_hap1_hsa17,7
AG18359_7.hap2.chr,chr20_hap1_hsa19,11
AG18359_7.hap2.chr,chr21_hap1_hsa20,10
AG18359_7.hap2.chr,chr22_hap1_hsa21,14
AG18359_7.hap2.chr,chr23_hap1_hsa22,12
AG18359_7.hap2.chr,chrX_hap1_hsaX,11
AG18359_7.hap2.chr,chrY_hap2_hsaY,0
AG18360_11.hap1.chr,chr1_hap1_hsa1,6
AG18360_11.hap1.chr,chr2_hap1_hsa3,5
AG18360_11.hap1.chr,chr3_hap1_hsa4,5
AG18360_11.hap1.chr,chr4_hap1_hsa5,1
AG18360_11.hap1.chr,chr5_hap1_hsa6,6
AG18360_11.hap1.chr,chr6_hap1_hsa7,11
AG18360_11.hap1.chr,chr7_hap1_hsa8,5
AG18360_11.hap1.chr,chr8_hap1_hsa10,7
AG18360_11.hap1.chr,chr9_hap1_hsa11,4
AG18360_11.hap1.chr,chr10_hap1_hsa12,4
AG18360_11.hap1.chr,chr11_hap1_hsa9,10
AG18360_11.hap1.chr,chr12_hap1_hsa2a,5
AG18360_11.hap1.chr,chr13_hap1_hsa2b,6
AG18360_11.hap1.chr,chr14_hap1_hsa13,6
AG18360_11.hap1.chr,chr15_hap1_hsa14,9
AG18360_11.hap1.chr,chr16_hap1_hsa15,8
AG18360_11.hap1.chr,chr17_hap1_hsa18,6
AG18360_11.hap1.chr,chr18_hap1_hsa16,7
AG18360_11.hap1.chr,chr19_hap1_hsa17,7
AG18360_11.hap1.chr,chr20_hap1_hsa19,10
AG18360_11.hap1.chr,chr21_hap1_hsa20,5
AG18360_11.hap1.chr,chr22_hap1_hsa21,19
AG18360_11.hap1.chr,chr23_hap1_hsa22,4
AG18360_11.hap1.chr,chrX_hap1_hsaX,14
AG18360_11.hap2.chr,chr1_hap1_hsa1,8
AG18360_11.hap2.chr,chr2_hap1_hsa3,0
AG18360_11.hap2.chr,chr3_hap1_hsa4,2
AG18360_11.hap2.chr,chr4_hap1_hsa5,0
AG18360_11.hap2.chr,chr5_hap1_hsa6,7
AG18360_11.hap2.chr,chr6_hap1_hsa7,14
AG18360_11.hap2.chr,chr7_hap1_hsa8,10
AG18360_11.hap2.chr,chr8_hap1_hsa10,7
AG18360_11.hap2.chr,chr9_hap1_hsa11,1
AG18360_11.hap2.chr,chr10_hap1_hsa12,5
