chromosome,start,end,population,avg_tmrca_myr,T_within_myr,Tpooled_Twithin_ratio,genes,gene_biotypes,descriptions,tr_overlap_percent,SRA_overlap_percent,
chr5_hap1_hsa6,37159000,37160000,Eastern,21.5820461,13.97974674,0.777265986,PATR-C,protein_coding,major histocompatibility complex%2C class I%2C C,0,45.2,
chr6_hap1_hsa7,172006000,172007000,Central,13.99530494,13.8746788,0.501468011,NOM1,protein_coding,nucleolar protein with MIF4G domain 1,1.3,31.6,
chr8_hap1_hsa10,144937000,144938000,Eastern,18.60022526,13.87067742,0.609140858,INPP5A,protein_coding,inositol polyphosphate-5-phosphatase A,1.9,27.8,
chr1_hap1_hsa1,3705000,3706000,Eastern,20.95191715,13.75469751,0.869862192,KIF26B,protein_coding,kinesin family member 26B,4.5,42.9,
chr19_hap1_hsa17,96111000,96112000,Central,13.80449845,13.75048415,0.523605682,FN3K,protein_coding,fructosamine 3 kinase,3.3,30.9,
chr5_hap1_hsa6,70739000,70740000,Central,13.74653277,13.56404232,0.547106171,LOC100609532,protein_coding,protein eyes shut homolog,1.6,22.2,
chr12_hap1_hsa2a,91928000,91929000,Central,13.69836327,13.48976078,0.55532638,GALNT14,protein_coding,polypeptide N-acetylgalactosaminyltransferase 14,1.6,92.9,
chr20_hap1_hsa19,57405000,57406000,Central,13.51403009,13.4667052,0.53474455,LILRA2,protein_coding,leukocyte immunoglobulin-like receptor%2C subfamily A (with TM domain)%2C member 2,4.8,86.5,
chr14_hap1_hsa13,83339000,83340000,Central,13.53495299,13.44786477,0.513434064,LOC100611617,protein_coding,putative UPF0607 protein ENSP00000383144,0,23.1,
chr5_hap1_hsa6,36034000,36035000,Central,13.58682873,13.38847949,0.538884206,TRIM31,protein_coding,tripartite motif containing 31,0,100,
chr4_hap1_hsa5,2685000,2686000,Central,13.48775983,13.35729252,0.550371111,LOC104006320,lncRNA,uncharacterized LOC104006320,0,72.2,
chr20_hap1_hsa19,59150000,59151000,Eastern,18.31976024,13.21705038,0.733444196,ZSCAN5C,protein_coding,zinc finger and SCAN domain containing 5C,2.1,34.3,
chr19_hap1_hsa17,95903000,95904000,Western,22.03662171,13.11667411,0.814194758,FOXK2,protein_coding,forkhead box K2,0,30.5,
chr6_hap1_hsa7,44125000,44126000,Central,13.13107696,13.09069509,0.496458982,LOC104007162,lncRNA,uncharacterized LOC104007162,1.9,94.4,
chr13_hap1_hsa2b,16069000,16070000,Eastern,18.21918089,13.08440665,0.393119292,DPP10,protein_coding,dipeptidyl peptidase like 10,1.1,29.2,
chr20_hap1_hsa19,57039000,57040000,Eastern,17.78741873,12.99903679,0.712063477,LILRB3,protein_coding,leukocyte immunoglobulin like receptor B3,3.3,20.1,
chr1_hap1_hsa1,170226000,170227000,Central,13.24584575,12.89619787,0.322111206,LOC107966870,protein_coding,uncharacterized LOC107966870,1.5,51.4,
chr5_hap1_hsa6,38776000,38777000,Central,13.24009679,12.87871098,0.540903558,LOC129144234,lncRNA,uncharacterized LOC129144234,4.9,65.4,
chr7_hap1_hsa8,8112000,8113000,Eastern,16.63905056,12.87276612,0.408202139,DLGAP2,protein_coding,DLG associated protein 2,0,72.6,
chr19_hap1_hsa17,12122000,12123000,Western,20.77049651,12.71814587,0.996075521,SCARF1,protein_coding,scavenger receptor class F member 1,2.9,26,
chr16_hap1_hsa15,63800000,63801000,Central,12.66113665,12.6579534,0.415554146,NR2E3,protein_coding,nuclear receptor subfamily 2 group E member 3,2.3,70.1,
chr5_hap1_hsa6,37194000,37195000,Eastern,19.05561678,12.64128231,0.716661834,LOC134810328,protein_coding,uncharacterized LOC134810328,0,75.7,
chr1_hap1_hsa1,878000,879000,Central,12.67316559,12.62680679,0.528413226,OR2M4,protein_coding,olfactory receptor family 2 subfamily M member 4,1.8,100,
chr2_hap1_hsa3,201291000,201292000,Eastern,17.33911093,12.5900622,0.525768061,LOC104005939,protein_coding,uncharacterized LOC104005939,1.6,42.1,
chr5_hap1_hsa6,38996000,38997000,Eastern,17.3653179,12.53644146,0.707533692,LOC100610904,protein_coding,HLA class II histocompatibility antigen%2C DP beta 1 chain-like,0,100,
chr9_hap1_hsa11,82149000,82150000,Central,12.96170144,12.51695143,0.56765466,TENM4,protein_coding,teneurin transmembrane protein 4,1.2,99.9,
chr2_hap1_hsa3,10360000,10361000,Central,12.75241861,12.46759421,0.57473596,LOC129143475,lncRNA,uncharacterized LOC129143475,1.2,26,
chr1_hap1_hsa1,3785000,3786000,Central,12.46121668,12.42428007,0.449337737,KIF26B,protein_coding,kinesin family member 26B,1.4,21.5,
chr20_hap1_hsa19,55681000,55682000,Western,20.62042564,12.39701537,0.923969385,ZNF28,protein_coding,zinc finger protein 28,0,46,
chr2_hap1_hsa3,201291000,201292000,Central,17.33911093,12.35193804,0.535903966,LOC104005939,protein_coding,uncharacterized LOC104005939,1.6,42.1,
chr3_hap1_hsa4,65578000,65579000,Central,12.25064147,12.23396294,0.522522588,TECRL,protein_coding,trans-2%2C3-enoyl-CoA reductase like,0,59.9,
chr10_hap1_hsa12,8607000,8608000,Central,12.44863272,12.21567735,0.556294492,ERC1,protein_coding,ELKS/RAB6-interacting/CAST family member 1,2,98.1,
chr11_hap1_hsa9,115597000,115598000,Central,16.57465438,12.19952191,0.643251872,DOCK8,protein_coding,dedicator of cytokinesis 8,3.8,87.4,
chr8_hap1_hsa10,140179000,140180000,Central,12.90953406,12.19458421,0.494192647,PTPRE,protein_coding,protein tyrosine phosphatase receptor type E,0,48.1,
chr11_hap1_hsa9,115597000,115598000,Eastern,16.57465438,12.17747455,0.644416481,DOCK8,protein_coding,dedicator of cytokinesis 8,3.8,87.4,
chr4_hap1_hsa5,177595000,177596000,Central,17.10477126,12.16372663,0.689003792,RASGEF1C,protein_coding,RasGEF domain family member 1C,0,27.8,
chr19_hap1_hsa17,10785000,10786000,Central,17.50818352,12.15965846,0.560132724,RPH3AL,protein_coding,rabphilin 3A like (without C2 domains),0,32.2,
chr17_hap1_hsa18,87143000,87144000,Central,12.73285305,12.14731695,0.601563183,MBP,protein_coding,myelin basic protein,0,95.3,
chr7_hap1_hsa8,10417000,10418000,Eastern,15.8123963,12.07830767,0.444766616,CSMD1,protein_coding,CUB and Sushi multiple domains 1,3.3,99.9,
chr1_hap1_hsa1,209578000,209579000,Central,14.59429727,12.07498704,0.526190159,NBPF3,protein_coding,NBPF member 3,2,49.4,
chr6_hap1_hsa7,9089000,9090000,Eastern,17.06646182,12.06845713,0.759095069,LOC112209743,lncRNA,uncharacterized LOC112209743,0,94.8,
chr22_hap1_hsa21,22827000,22828000,Central,12.05206582,12.02418928,0.38043231,LOC104005712,lncRNA,uncharacterized LOC104005712,2.4,99.9,
chr8_hap1_hsa10,14256000,14257000,Eastern,24.3547843,12.00956179,0.737190132,ADARB2,protein_coding,adenosine deaminase RNA specific B2 (inactive),1.5,34.7,
chr1_hap1_hsa1,127845000,127846000,Central,11.95698901,11.9333843,0.360226257,LOC129144171,lncRNA,uncharacterized LOC129144171,0,99.9,
chr8_hap1_hsa10,13932000,13933000,Central,13.77640629,11.92607852,0.496684077,WDR37,protein_coding,WD repeat domain 37,0,21.5,
chr1_hap1_hsa1,3705000,3706000,Western,20.95191715,11.91348617,1.004298083,KIF26B,protein_coding,kinesin family member 26B,4.5,42.9,
chr18_hap1_hsa16,81555000,81556000,Central,12.30650107,11.88934656,0.556349775,CDH13,protein_coding,cadherin 13,1.5,94.6,
chr7_hap1_hsa8,150583000,150584000,Central,12.00899285,11.82820224,0.329301123,TRAPPC9,protein_coding,trafficking protein particle complex subunit 9,3.1,52.9,
chr22_hap1_hsa21,28077000,28078000,Central,12.1556176,11.82624295,0.615158605,LOC129138281,lncRNA,uncharacterized LOC129138281,4.4,85.4,
chr11_hap1_hsa9,104194000,104195000,Central,12.08494812,11.8017754,0.547297561,TYRP1,protein_coding,tyrosinase related protein 1,0,46.3,
chr14_hap1_hsa13,117669000,117670000,Central,12.20831359,11.7609042,0.595066034,LOC107967993,protein_coding,uncharacterized LOC107967993,1.9,24.9,
chr5_hap1_hsa6,37159000,37160000,Western,21.5820461,11.75983593,0.923990921,PATR-C,protein_coding,major histocompatibility complex%2C class I%2C C,0,45.2,
chr3_hap1_hsa4,73592000,73593000,Central,11.8508135,11.68297919,0.437264796,CRACD,protein_coding,capping protein inhibiting regulator of actin dynamics,3.6,99.9,
chr12_hap1_hsa2a,104018000,104019000,Central,11.74548444,11.63068412,0.558162692,LOC134807945,lncRNA,uncharacterized LOC134807945,4.7,79.8,
chr7_hap1_hsa8,107442000,107443000,Central,11.72189657,11.6296586,0.332726824,CPQ,protein_coding,carboxypeptidase Q,0,41.1,
chr1_hap1_hsa1,52184000,52185000,Central,11.71645023,11.61758219,0.368604581,CFHR4,protein_coding,complement factor H related 4,4,21.9,
chr7_hap1_hsa8,23866000,23867000,Eastern,15.64812697,11.60951478,0.749243894,TUSC3,protein_coding,tumor suppressor candidate 3,0,100,
chr11_hap1_hsa9,106129000,106130000,Central,11.6866677,11.55140287,0.586612983,PTPRD,protein_coding,protein tyrosine phosphatase receptor type D,0,97.1,
chr3_hap1_hsa4,143981000,143982000,Central,12.21670329,11.54133197,0.512952752,INPP4B,protein_coding,inositol polyphosphate-4-phosphatase type II B,1.6,99.7,
chr6_hap1_hsa7,14458000,14459000,Central,12.03645032,11.51538201,0.566092213,NXPH1,protein_coding,neurexophilin 1,2,99.8,
chr5_hap1_hsa6,38961000,38962000,Central,11.98541262,11.49076509,0.521562982,PATR-DPB1,protein_coding,major histocompatibility complex%2C class II%2C DP beta 1,3.8,34.8,
chr8_hap1_hsa10,64296000,64297000,Central,11.50637607,11.48806397,0.518590682,PRKG1,protein_coding,protein kinase cGMP-dependent 1,2.8,92.2,
chr6_hap1_hsa7,11852000,11853000,Central,11.53427385,11.47969788,0.366736903,LOC738574,protein_coding,radial spoke head 10 homolog B,1.6,20.2,
chr5_hap1_hsa6,37194000,37195000,Western,19.05561678,11.45533455,0.790856394,LOC134810328,protein_coding,uncharacterized LOC134810328,0,75.7,
chr7_hap1_hsa8,63966000,63967000,Central,11.56058834,11.42621151,0.574045927,XKR4,protein_coding,XK related 4,0,36.2,
chr2_hap1_hsa3,109702000,109703000,Central,11.50702101,11.4251955,0.562093569,LOC104005668,lncRNA,uncharacterized LOC104005668,1.1,94.5,
chr1_hap1_hsa1,127573000,127574000,Central,11.44703951,11.42397083,0.567599246,AMY2B,protein_coding,amylase alpha 2B,0,100,
chr18_hap1_hsa16,87844000,87845000,Central,18.30308841,11.41339876,0.49316756,DPEP1,protein_coding,dipeptidase 1,0,32,
chr13_hap1_hsa2b,16043000,16044000,Central,11.47383256,11.40582767,0.577042579,DPP10,protein_coding,dipeptidyl peptidase like 10,2.5,86.5,
chr3_hap1_hsa4,7573000,7574000,Central,11.40820959,11.39535802,0.564821545,SORCS2,protein_coding,sortilin related VPS10 domain containing receptor 2,5,90.4,
chr19_hap1_hsa17,13589000,13590000,Eastern,14.21063232,11.33428527,0.575251054,OR1D2,protein_coding,olfactory receptor family 1 subfamily D member 2,0,99.9,
chr14_hap1_hsa13,37372000,37373000,Central,11.34128832,11.33085204,0.564745355,LOC104001824,lncRNA,uncharacterized LOC104001824,0,100,
chr8_hap1_hsa10,67178000,67179000,Central,11.79797456,11.32390145,0.573490985,PCDH15,protein_coding,protocadherin related 15,1.2,68.3,
chr20_hap1_hsa19,58575000,58576000,Central,13.89440798,11.3174818,0.304263555,NLRP9,protein_coding,NLR family pyrin domain containing 9,3.6,58.1,
chr17_hap1_hsa18,87050000,87051000,Eastern,17.48243541,11.31123704,0.814129186,MBP,protein_coding,myelin basic protein,2.1,71.1,
chr14_hap1_hsa13,90430000,90431000,Central,11.44479614,11.28924339,0.444203507,LOC134808146,lncRNA,uncharacterized LOC134808146,2.3,97.6,
chr16_hap1_hsa15,93080000,93081000,Central,11.73411686,11.27993763,0.524623613,CHSY1,protein_coding,chondroitin sulfate synthase 1,2,82.6,
chr20_hap1_hsa19,4977000,4978000,Eastern,13.83351004,11.27644012,0.655516435,GNG7,protein_coding,G protein subunit gamma 7,2.6,49.5,
chr19_hap1_hsa17,56739000,56740000,Central,11.48841881,11.27600585,0.574486186,LOC107969247,lncRNA,uncharacterized LOC107969247,0,99.8,
chr5_hap1_hsa6,35856000,35857000,Central,13.30955281,11.27229487,0.532232716,LOC104006775,protein_coding,uncharacterized LOC104006775,0,46.8,
chr5_hap1_hsa6,35856000,35857000,Eastern,13.30955281,11.25640861,0.53298386,LOC104006775,protein_coding,uncharacterized LOC104006775,0,46.8,
chr19_hap1_hsa17,11787000,11788000,Central,11.26407849,11.23420418,0.556621012,TRARG1,protein_coding,trafficking regulator of GLUT4 (SLC2A4) 1,1.4,48.6,
chr3_hap1_hsa4,173184000,173185000,Eastern,14.60998559,11.22246879,0.689542105,LOC129143874,lncRNA,uncharacterized LOC129143874,2.2,99.5,
chr16_hap1_hsa15,92718000,92719000,Central,11.23970104,11.17632491,0.588008009,GCAWKR,lncRNA,gastric cancer associated WDR5 and KAT2A binding lncRNA,2.9,74.3,
chr5_hap1_hsa6,180022000,180023000,Central,14.09978278,11.15487238,0.615030348,LOC104007081,protein_coding,SUMO-interacting motif-containing protein 1,1.3,27.4,
chr13_hap1_hsa2b,72518000,72519000,Central,11.15181845,11.13464585,0.452811983,MYO3B,protein_coding,myosin IIIB,2.6,95.4,
chr10_hap1_hsa12,25432000,25433000,Central,11.4029057,11.1303535,0.575107505,PIK3C2G,protein_coding,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma,0.1,91.8,
chr2_hap1_hsa3,151592000,151593000,Central,11.28508722,11.12468537,0.296082166,LOC129143542,lncRNA,uncharacterized LOC129143542,1.2,99.9,
chr8_hap1_hsa10,25692000,25693000,Central,11.31968142,11.12215493,0.548787791,CAMK1D,protein_coding,calcium/calmodulin dependent protein kinase ID,2.5,50.4,
chr19_hap1_hsa17,95903000,95904000,Eastern,22.03662171,11.11962431,0.960421595,FOXK2,protein_coding,forkhead box K2,0,30.5,
chr17_hap1_hsa18,68249000,68250000,Central,11.35223959,11.11764169,0.534654698,NEDD4L,protein_coding,NEDD4 like E3 ubiquitin protein ligase,2.9,54.3,
chr4_hap1_hsa5,85390000,85391000,Central,11.15478809,11.0839234,0.320003988,LOC129143988,lncRNA,uncharacterized LOC129143988,0,70.2,
chr9_hap1_hsa11,9278000,9279000,Central,11.10281675,11.07491536,0.561783989,LOC466370,protein_coding,olfactory receptor 52A5,0,100,
chr5_hap1_hsa6,174681000,174682000,Central,11.15838894,11.0742214,0.570003046,PRKN,protein_coding,parkin RBR E3 ubiquitin protein ligase,2.7,73.6,
chr15_hap1_hsa14,20311000,20312000,Central,11.25456114,11.06186856,0.555588566,LOC748623,V_segment,T cell receptor alpha variable 14/delta variable 4-like,0,99.8,
chr23_hap1_hsa22,49125000,49126000,Eastern,13.77125354,11.03996547,0.620608002,TBC1D22A,protein_coding,TBC1 domain family member 22A,2.4,68.8,
chr4_hap1_hsa5,5946000,5947000,Central,11.30101948,11.0347995,0.553449181,ADAMTS16,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 16,1.4,100,
chr7_hap1_hsa8,27152000,27153000,Central,11.14286733,11.0323545,0.54273296,PSD3,protein_coding,pleckstrin and Sec7 domain containing 3,1.2,76.1,
chr10_hap1_hsa12,17361000,17362000,Central,11.22606807,11.02243704,0.571085504,KLRD1,protein_coding,killer cell lectin like receptor D1,1.8,100,
chr9_hap1_hsa11,7603000,7604000,Eastern,15.29515364,10.98618007,0.399139273,LOC104008393,protein_coding,acyl-coenzyme A synthetase ACSM1%2C mitochondrial-like,0,77.3,
chr7_hap1_hsa8,9132000,9133000,Central,10.98835249,10.96175686,0.424136927,LOC129135632,lncRNA,uncharacterized LOC129135632,1.8,70.6,
chr21_hap1_hsa20,8616000,8617000,Central,11.19203388,10.95859873,0.439871444,PDYN,protein_coding,prodynorphin,1.3,93.7,
chr5_hap1_hsa6,35852000,35853000,Western,18.43459796,10.93109785,0.940899569,PATR-A,protein_coding,patr class I histocompatibility antigen%2C A-126 alpha chain,3.1,24.7,
chr10_hap1_hsa12,84444000,84445000,Central,10.99000904,10.92788061,0.584717741,NAV3,protein_coding,neuron navigator 3,1.4,100,
chr3_hap1_hsa4,187913000,187914000,Central,11.30994203,10.90739187,0.521704897,F11,protein_coding,coagulation factor XI,2.4,100,
chr18_hap1_hsa16,21669000,21670000,Central,10.95416104,10.90453724,0.588029116,TMC7,protein_coding,transmembrane channel like 7,4.4,88.1,
chr3_hap1_hsa4,6696000,6697000,Central,11.01367948,10.88960341,0.577351911,PPP2R2C,protein_coding,protein phosphatase 2 regulatory subunit Bgamma,1.3,62.9,
chr18_hap1_hsa16,2784000,2785000,Eastern,14.81156969,10.87246341,0.820009552,RAB11FIP3,protein_coding,RAB11 family interacting protein 3,3.2,53.2,
chr7_hap1_hsa8,22927000,22928000,Eastern,16.32797124,10.8649854,0.796167317,SGCZ,protein_coding,sarcoglycan zeta,1.8,32.4,
chr19_hap1_hsa17,11515000,11516000,Central,14.82656593,10.83922406,0.433510955,ABR,protein_coding,ABR activator of RhoGEF and GTPase,0,31.5,
chr7_hap1_hsa8,59049000,59050000,Eastern,15.72149908,10.83545987,0.694336697,SNTG1,protein_coding,syntrophin gamma 1,0,53.9,
chr20_hap1_hsa19,57196000,57197000,Eastern,15.88932108,10.82428459,0.523273673,LAIR1,protein_coding,leukocyte associated immunoglobulin like receptor 1,1.1,20.4,
chr9_hap1_hsa11,4718000,4719000,Central,12.86921826,10.80144336,0.652766431,LOC104008369,misc_RNA,uncharacterized LOC104008369,1.3,61.5,
chr18_hap1_hsa16,81860000,81861000,Eastern,14.42813164,10.79196757,0.616092834,CDH13,protein_coding,cadherin 13,0,100,
chr10_hap1_hsa12,54395000,54396000,Central,10.82988221,10.78375604,0.560845608,PDZRN4,protein_coding,PDZ domain containing ring finger 4,1.3,100,
chr12_hap1_hsa2a,45615000,45616000,Central,10.9295399,10.77051905,0.466324863,LRRTM4,protein_coding,leucine rich repeat transmembrane neuronal 4,2.8,77.1,
chr5_hap1_hsa6,36937000,36938000,Eastern,15.97533737,10.76912007,0.76734166,LOC462552,protein_coding,protein PBMUCL2,3,99.4,
chr5_hap1_hsa6,63297000,63298000,Eastern,13.09889153,10.75061095,0.575408542,PRIM2,protein_coding,DNA primase subunit 2,4.3,41.1,
chr20_hap1_hsa19,59663000,59664000,Eastern,16.11099795,10.7393058,0.461549611,LOC104003467,protein_coding,olfactory receptor 1L4-like,2.4,82.3,
chr19_hap1_hsa17,13589000,13590000,Central,14.21063232,10.73132537,0.607572627,OR1D2,protein_coding,olfactory receptor family 1 subfamily D member 2,0,99.9,
chr2_hap1_hsa3,4411000,4412000,Central,10.7409535,10.72794359,0.44461276,CHL1,protein_coding,cell adhesion molecule L1 like,3.6,100,
chr19_hap1_hsa17,13391000,13392000,Central,13.27066337,10.70726296,0.387999355,RAP1GAP2,protein_coding,RAP1 GTPase activating protein 2,0,61.9,
chr5_hap1_hsa6,8275000,8276000,Central,10.70268852,10.68371943,0.551395275,LOC134810163,protein_coding,serine/threonine-protein kinase Nek4-like,3.8,91.5,
chr13_hap1_hsa2b,142646000,142647000,Central,10.80833503,10.67945429,0.567559147,LOC104005436,lncRNA,uncharacterized LOC104005436,3.5,44.3,
chr6_hap1_hsa7,95216000,95217000,Central,10.75480318,10.67585655,0.542485969,LOC134810549,lncRNA,uncharacterized LOC134810549,1.1,100,
chr1_hap1_hsa1,2954000,2955000,Central,10.84693683,10.67255116,0.559963327,SMYD3,protein_coding,SET and MYND domain containing 3,1.9,67.6,
chr1_hap1_hsa1,52229000,52230000,Eastern,14.34547919,10.65518891,0.387365507,LOC457604,protein_coding,complement factor H-related protein 4,2.6,77.5,
chr2_hap1_hsa3,72450000,72451000,Central,10.677918,10.64890225,0.557442131,LOC134806951,protein_coding,TAFA chemokine like family member 1,1.3,50,
chr9_hap1_hsa11,27192000,27193000,Central,10.74426501,10.64005892,0.52307274,GAS2,protein_coding,growth arrest specific 2,0,60.4,
chr7_hap1_hsa8,26492000,26493000,Central,10.65824468,10.6377929,0.586041062,LOC107976252,lncRNA,uncharacterized LOC107976252,0,35.1,
chr5_hap1_hsa6,38555000,38556000,Central,14.77553163,10.62227222,0.375889133,LOC100616520,protein_coding,HLA class II histocompatibility antigen%2C DQ beta 1 chain,2.4,32.7,
chr7_hap1_hsa8,147374000,147375000,Central,10.89936972,10.59982393,0.550066945,LOC129135766,protein_coding,uncharacterized LOC129135766,4.2,84.2,
chr12_hap1_hsa2a,91928000,91929000,Eastern,13.69836327,10.59354608,0.707149425,GALNT14,protein_coding,polypeptide N-acetylgalactosaminyltransferase 14,1.6,92.9,
chr6_hap1_hsa7,154013000,154014000,Central,10.6060652,10.58926609,0.415982054,SVOPL,protein_coding,SVOP like,5,86.1,
chr13_hap1_hsa2b,139698000,139699000,Central,11.99535808,10.57878301,0.463537895,MLPH,protein_coding,melanophilin,0,88,
chr20_hap1_hsa19,57405000,57406000,Eastern,13.51403009,10.57326783,0.681080564,LILRA2,protein_coding,leukocyte immunoglobulin-like receptor%2C subfamily A (with TM domain)%2C member 2,4.8,86.5,
chr8_hap1_hsa10,13134000,13135000,Central,10.77723578,10.57251199,0.591573976,DIP2C,protein_coding,disco interacting protein 2 homolog C,1.7,66.4,
chr15_hap1_hsa14,104031000,104032000,Central,10.6125317,10.57139351,0.530176566,LOC134806971,V_segment,immunoglobulin heavy variable 4-30-4-like,1.1,26.6,
chr2_hap1_hsa3,4790000,4791000,Central,10.66721938,10.56847664,0.542368835,LOC104005445,lncRNA,uncharacterized LOC104005445,0,82.6,
chr17_hap1_hsa18,82902000,82903000,Central,10.59218243,10.54723042,0.439856159,NETO1,protein_coding,neuropilin and tolloid like 1,1.1,53.1,
chr13_hap1_hsa2b,143790000,143791000,Central,10.79728581,10.54456372,0.586564703,FARP2,protein_coding,FERM%2C ARH/RhoGEF and pleckstrin domain protein 2,3.4,64,
chr3_hap1_hsa4,60560000,60561000,Eastern,14.11111391,10.53614579,0.470954577,UGT2A2,protein_coding,UDP glucuronosyltransferase family 2 member A2,0,54.6,
chr15_hap1_hsa14,104033000,104034000,Central,10.51829106,10.50950416,0.526965087,LOC749440,V_segment,immunoglobulin heavy variable 4-34-like,1.1,60.3,
chr5_hap1_hsa6,37246000,37247000,Eastern,14.02725998,10.50844786,0.614666,PATR-B,protein_coding,major histocompatibility complex%2C class I%2C B,0,100,
chr14_hap1_hsa13,38708000,38709000,Central,11.27613849,10.47634705,0.523389945,LHFPL6,protein_coding,LHFPL tetraspan subfamily member 6,3.1,37.1,
