chromosome,start,end,population,avg_tmrca_myr,T_within_myr,Tpooled_Twithin_ratio,genes,gene_biotypes,descriptions,tr_overlap_percent,SRA_overlap_percent
chr15_hap1_hsa14,34792000,34793000,Central,4.50520092249028,2.7831209036047384e-4,9422.70129927148,LOC129136972,lncRNA,uncharacterized LOC129136972,3.2,100
chr22_hap1_hsa21,44336000,44337000,Central,11.980220267027299,5.735676348280338e-4,9405.619467094211,PDXK,protein_coding,pyridoxal kinase,0.1,79.4
chr6_hap1_hsa7,111967000,111968000,Central,5.34263834075953,3.0770825505264596e-4,9348.379042657642,PRKRIP1,protein_coding,PRKR interacting protein 1,3.9,52.5
chr15_hap1_hsa14,34636000,34637000,Central,4.402509358820944,2.7831209036047384e-4,8503.27271819453,LOC129137059,lncRNA,uncharacterized LOC129137059,3.3000000000000003,73.6
chr6_hap1_hsa7,111072000,111073000,Central,6.572422336237992,3.07708255052646e-4,8492.801828816297,COL26A1,protein_coding,collagen type XXVI alpha 1 chain,4.1000000000000005,51.4
chr15_hap1_hsa14,34456000,34457000,Central,3.687079059690443,2.7831209036047384e-4,8256.995667558962,LOC129137058,lncRNA,uncharacterized LOC129137058,1.9,100
chr15_hap1_hsa14,34924000,34925000,Central,3.8072173394418685,2.7831209036047384e-4,8243.395734748825,SLC25A21,protein_coding,solute carrier family 25 member 21,4.7,69.8
chr6_hap1_hsa7,111888000,111889000,Central,4.1506069590226815,3.077082550526459e-4,7623.253133118268,LOC129144502,protein_coding,putative postmeiotic segregation increased 2-like protein 2,1.5,20.200000000000003
chr22_hap1_hsa21,44392000,44393000,Central,10.651786008132905,5.735676348280338e-4,7424.922517393566,RRP1,protein_coding,ribosomal RNA processing 1,0,77
chr22_hap1_hsa21,44501000,44502000,Central,7.648608593074281,5.735676348280746e-4,7266.394629401348,AGPAT3,protein_coding,1-acylglycerol-3-phosphate O-acyltransferase 3,4.8,74.4
chr6_hap1_hsa7,112122000,112123000,Central,3.8785405935067567,3.0770825505264596e-4,7201.147548696037,LOC742087,protein_coding,ras GTPase-activating protein 4,1.3,41.8
chr13_hap1_hsa2b,14413000,14414000,Central,7.541848527094049,4.907247460086983e-4,6718.773046531652,SLC35F5,protein_coding,solute carrier family 35 member F5,4.1000000000000005,76.2
chr13_hap1_hsa2b,14322000,14323000,Central,8.670107481610453,4.907247460086983e-4,6624.535141058163,RABL2A,protein_coding,RAB%2C member of RAS oncogene family like 2A,3.8,22.7
chr22_hap1_hsa21,44403000,44404000,Central,5.838251393506186,5.735676348280338e-4,6383.820344967283,LOC107966342,protein_coding,uncharacterized protein FLJ46757-like,0,95.3
chr6_hap1_hsa7,111176000,111177000,Central,3.735320897831287,3.0770825505264596e-4,6326.251288772895,MYL10,protein_coding,myosin light chain 10,1.2,89.3
chr22_hap1_hsa21,44401000,44402000,Central,6.041329535683318,5.735676348280338e-4,6226.974755369924,LOC104004269,lncRNA,uncharacterized LOC104004269,0,51.7
chr22_hap1_hsa21,44254000,44255000,Central,6.780627314072935,5.735676348280338e-4,5610.329036461254,RRP1B,protein_coding,ribosomal RNA processing 1B,1.3,28.999999999999996
chr5_hap1_hsa6,51056000,51057000,Central,4.8362820657909875,4.1214745102050303e-4,5609.687236827786,SUPT3H,protein_coding,SPT3 homolog%2C SAGA and STAGA complex component,2,99.9
chr15_hap1_hsa14,34811000,34812000,Central,2.848302688677874,2.783120903604738e-4,5534.416506945496,NKX2-8,protein_coding,NK2 homeobox 8,2,99.6
chr15_hap1_hsa14,34751000,34752000,Central,3.1941484985992976,2.7831209036047384e-4,5441.922959434117,NKX2-1,protein_coding,NK2 homeobox 1,2.3,74.4
chr15_hap1_hsa14,34894000,34895000,Central,3.236595745883961,2.7831209036047384e-4,5286.594051279595,PAX9,protein_coding,paired box 9,4.7,64.60000000000001
chr22_hap1_hsa21,44062000,44063000,Central,6.39240403223581,5.735676348280338e-4,5113.921966316129,LOC104003992,lncRNA,uncharacterized LOC104003992,0,91.7
chr7_hap1_hsa8,96678000,96679000,Central,7.639480130796584,7.7970311502662e-4,4984.387448245904,WWP1,protein_coding,WW domain containing E3 ubiquitin protein ligase 1,4.9,34.300000000000004
chr2_hap1_hsa3,101553000,101554000,Central,10.97674937626283,0.0012601356244735724,4876.288889525838,LOC738646,protein_coding,olfactory receptor 5H6-like,0,92.5
chr15_hap1_hsa14,34535000,34536000,Central,3.1954454177563236,2.7831209036047384e-4,4797.7899301391735,MBIP,protein_coding,MAP3K12 binding inhibitory protein 1,2.9000000000000004,89.60000000000001
chr15_hap1_hsa14,34744000,34745000,Central,2.571348698512109,2.7831209036047384e-4,4788.427463439467,SFTA3,protein_coding,surfactant associated 3,1.4000000000000001,71.8
chr6_hap1_hsa7,111993000,111994000,Central,2.5073574303077835,3.07708255052646e-4,4646.978244092625,ORAI2,protein_coding,ORAI calcium release-activated calcium modulator 2,4.3999999999999995,84.5
chr2_hap1_hsa3,100308000,100309000,Central,10.501850492442037,0.0012601356244735724,4554.417476891983,EPHA6,protein_coding,EPH receptor A6,1.2,84.7
chr22_hap1_hsa21,44077000,44078000,Central,5.467844222458967,5.735676348280338e-4,4322.886900693896,LOC129138323,lncRNA,uncharacterized LOC129138323,0,100
chr22_hap1_hsa21,44224000,44225000,Central,4.69791121503276,5.735676348280338e-4,4133.791587539837,HSF2BP,protein_coding,heat shock transcription factor 2 binding protein,0,100
chr22_hap1_hsa21,44356000,44357000,Central,3.968600575229717,5.735676348280338e-4,3939.562985305925,LOC129138324,protein_coding,uncharacterized LOC129138324,1.6,40.1
chr6_hap1_hsa7,111113000,111114000,Central,2.61518063456494,3.0770825505264596e-4,3895.596952805375,LOC741659,lncRNA,uncharacterized LOC741659,1.6,96.89999999999999
chr6_hap1_hsa7,112023000,112024000,Central,2.1752383105045427,3.07708255052646e-4,3745.46616960609,LRWD1,protein_coding,leucine rich repeats and WD repeat domain containing 1,1.7999999999999998,49.9
chr22_hap1_hsa21,44371000,44372000,Central,3.3685385875660847,5.735676348280338e-4,3527.690483122084,LOC134809224,lncRNA,uncharacterized LOC134809224,1.4000000000000001,27.900000000000002
chr6_hap1_hsa7,121006000,121007000,Central,6.246482083975507,0.0010047816037152774,3266.040623663684,ATXN7L1,protein_coding,ataxin 7 like 1,2.6,74.1
chr6_hap1_hsa7,112028000,112029000,Central,1.8946246194232088,3.07708255052646e-4,3258.79967656616,POLR2J,protein_coding,RNA polymerase II subunit J,1.3,27.800000000000004
chr2_hap1_hsa3,101551000,101552000,Central,10.179763567789449,0.0012601356244735724,3217.592566819602,LOC134809525,lncRNA,uncharacterized LOC134809525,0,95
chr13_hap1_hsa2b,14339000,14340000,Central,2.66957872855239,4.907247460086983e-4,3139.801352120998,LOC112208559,snRNA,U6 spliceosomal RNA,2.8000000000000003,99.9
chr6_hap1_hsa7,111842000,111843000,Central,1.5788758834116876,3.07708255052646e-4,3114.930491053795,SH2B2,protein_coding,SH2B adaptor protein 2,0,38
chr6_hap1_hsa7,121323000,121324000,Central,6.116575998797063,0.0010047816037152746,3102.2224998575352,LOC129135561,lncRNA,uncharacterized LOC129135561,0,97.39999999999999
chr5_hap1_hsa6,70503000,70504000,Central,10.839945760820946,0.001079054491377284,3089.368804414852,LOC100609532,protein_coding,protein eyes shut homolog,1.7000000000000002,35.5
chr5_hap1_hsa6,144255000,144256000,Central,8.351303710606873,0.0014949232339802824,3001.4941240483563,MOXD1,protein_coding,monooxygenase DBH like 1,2.7,99.5
chr6_hap1_hsa7,112009000,112010000,Central,1.8681127452049522,3.07708255052646e-4,2853.5764930665573,ALKBH4,protein_coding,alkB homolog 4%2C lysine demethylase,2.7,78.7
chr7_hap1_hsa8,96735000,96736000,Central,4.198073186175498,7.7970311502662e-4,2765.0056723877333,RMDN1,protein_coding,regulator of microtubule dynamics 1,2.9000000000000004,53.2
chr2_hap1_hsa3,4670000,4671000,Central,8.923077502862368,0.001478279787844926,2726.903093429876,LOC104005445,lncRNA,uncharacterized LOC104005445,1.4000000000000001,99.9
chr1_hap1_hsa1,211279000,211280000,Central,4.922280238859492,0.00102518220405487,2703.551086719333,PLA2G2E,protein_coding,phospholipase A2 group IIE,1.6,95.3
chr6_hap1_hsa7,120957000,120958000,Central,5.085133712308882,0.0010047816037153311,2630.0363061203698,EFCAB10,protein_coding,EF-hand calcium binding domain 10,4.2,67.7
chr22_hap1_hsa21,44049000,44050000,Central,3.591376360292827,5.735676348280338e-4,2601.224601682722,LOC104003956,lncRNA,uncharacterized LOC104003956,3,98.2
chr6_hap1_hsa7,120162000,120163000,Central,11.019024867597333,0.0020502196256695355,2567.2911007752127,LHFPL3,protein_coding,LHFPL tetraspan subfamily member 3,0,99.5
chr1_hap1_hsa1,211319000,211320000,Central,6.603940537574634,0.00102518220405487,2554.7327994165503,OTUD3,protein_coding,OTU deubiquitinase 3,3.4000000000000004,64
chr1_hap1_hsa1,217111000,217112000,Central,16.13585669059861,0.0034851947644963764,2512.547441894058,KAZN,protein_coding,kazrin%2C periplakin interacting protein,0,100
chr2_hap1_hsa3,101198000,101199000,Central,7.195552051023151,0.0012601356244735724,2346.149201819342,CRYBG3,protein_coding,crystallin beta-gamma domain containing 3,4.7,40.300000000000004
chr2_hap1_hsa3,101380000,101381000,Central,8.222430782117891,0.0012601356244735724,2315.7503661606747,LOC460542,protein_coding,olfactory receptor 5AC2,0,100
chr2_hap1_hsa3,101298000,101299000,Central,4.852883606622912,0.0012601356244735724,2269.516608305537,GABRR3,protein_coding,gamma-aminobutyric acid type A receptor subunit rho3,1.0999999999999999,100
chr2_hap1_hsa3,101426000,101427000,Central,4.853534829010356,0.0012601356244735724,2257.656041743256,LOC100608984,protein_coding,olfactory receptor 5H1,0,56.39999999999999
chr6_hap1_hsa7,118886000,118887000,Central,8.15482688933643,0.002050219625669536,2194.858784294553,RELN,protein_coding,reelin,1.2,99.6
chr6_hap1_hsa7,120897000,120898000,Central,4.85250180918029,0.0010047816037153272,2134.408163251582,PUS7,protein_coding,pseudouridine synthase 7,3,45.4
chr2_hap1_hsa3,101491000,101492000,Central,5.424456781634211,0.0012601356244735724,2128.533053503181,LOC129143672,lncRNA,uncharacterized LOC129143672,0,99.7
chr15_hap1_hsa14,104021000,104022000,Eastern,23.64768279169731,0.009411898942875464,1185.4646915699293,LOC134806971,V_segment,immunoglobulin heavy variable 4-30-4-like,0,91.7
chr7_hap1_hsa8,20793000,20794000,Eastern,7.918648852676744,0.004010861690649232,880.702557989034,NA,,,4.6,32.6
chr18_hap1_hsa16,88222000,88223000,Eastern,10.709832130343134,0.0066730059347122304,822.8271610424422,DBNDD1,protein_coding,dysbindin domain containing 1,0,53.800000000000004
chr18_hap1_hsa16,88209000,88210000,Eastern,9.652603050068516,0.006673005934712221,751.2923489479357,LOC104002732,protein_coding,AFG3-like protein 1,1.3,48.8
chr18_hap1_hsa16,88098000,88099000,Eastern,10.948363304245113,0.006673005934712201,709.1442700790999,TCF25,protein_coding,transcription factor 25,4.8,32.2
chr18_hap1_hsa16,88090000,88091000,Eastern,9.183151289194802,0.006673005934712201,634.7265991988155,SPIRE2,protein_coding,spire type actin nucleation factor 2,0.1,63.7
chr18_hap1_hsa16,88168000,88169000,Eastern,12.323466475591182,0.0066730059347121715,604.9797036455965,DEF8,protein_coding,differentially expressed in FDCP 8 homolog,4.3999999999999995,27
chr15_hap1_hsa14,104033000,104034000,Eastern,10.518291062540062,0.009411898942875432,588.4191708013389,LOC749440,V_segment,immunoglobulin heavy variable 4-34-like,1.0999999999999999,60.3
chr5_hap1_hsa6,73764000,73765000,Eastern,12.538840047804612,0.006697541169961312,424.7220532341134,LOC129144371,protein_coding,protein eyes shut homolog,3,62.3
chr7_hap1_hsa8,59301000,59302000,Eastern,10.259686720168679,0.011760474446796634,403.6439821177968,SNTG1,protein_coding,syntrophin gamma 1,1.6,77
chr18_hap1_hsa16,87917000,87918000,Eastern,6.203422622302366,0.007826496502160975,396.1953940196438,VPS9D1,protein_coding,VPS9 domain containing 1,0,52.1
chr15_hap1_hsa14,104132000,104133000,Eastern,8.243307981739935,0.009411898942875477,378.1114972358208,LOC134808397,lncRNA,uncharacterized LOC134808397,1.5,28.299999999999997
chr18_hap1_hsa16,87934000,87935000,Eastern,6.671151696839135,0.007826496502160949,366.1651143850568,ZNF276,protein_coding,zinc finger protein 276,0,41.5
chr18_hap1_hsa16,88202000,88203000,Eastern,5.17131513249461,0.006673005934712208,352.21280994746985,LOC134808778,protein_coding,AFG3-like protein 1,4.7,62.2
chr20_hap1_hsa19,2537000,2538000,Eastern,6.985561316259632,0.00901502116685703,324.9936560862315,LOC129138080,protein_coding,putative HTLV-1-related endogenous sequence,5,64.5
chr18_hap1_hsa16,87956000,87957000,Eastern,6.23841032684319,0.00782649650216095,312.3883692382272,FANCA,protein_coding,FA complementation group A,3.6999999999999997,20.1
chr18_hap1_hsa16,87888000,87889000,Eastern,7.502733993518376,0.00782649650216098,290.9415353088792,CDK10,protein_coding,cyclin dependent kinase 10,2.9000000000000004,43.8
chr20_hap1_hsa19,2551000,2552000,Eastern,5.799256802667902,0.00901502116685703,285.09717720201155,PLPP2,protein_coding,phospholipid phosphatase 2,2.6,75.1
chr15_hap1_hsa14,104094000,104095000,Eastern,17.307419662462312,0.009411898942875477,270.61984305151907,LOC744594,V_segment,immunoglobulin heavy variable 4-38-2-like,0,66.10000000000001
chr18_hap1_hsa16,88239000,88240000,Eastern,7.152265355198506,0.014297603750639343,252.36696763394653,GAS8,protein_coding,growth arrest specific 8,0,45.2
chr18_hap1_hsa16,87911000,87912000,Eastern,4.37948153436135,0.007826496502160975,238.9374436051276,SPATA2L,protein_coding,spermatogenesis associated 2 like,1.3,46.400000000000006
chr18_hap1_hsa16,87875000,87876000,Eastern,5.497862527475387,0.007826496502160983,237.02038846306647,SPATA33,protein_coding,spermatogenesis associated 33,1.6,23.799999999999997
chr18_hap1_hsa16,88147000,88148000,Eastern,5.058756614708093,0.0066730059347121775,235.9101063771984,TUBB3,protein_coding,tubulin beta 3 class III,4.1000000000000005,71.8
chr18_hap1_hsa16,87861000,87862000,Eastern,4.071315955534625,0.007826496502160963,217.96794280820225,CHMP1A,protein_coding,charged multivesicular body protein 1A,3.2,35.4
chr15_hap1_hsa14,104179000,104180000,Eastern,3.3103185561318904,0.009411898942875412,212.6963398444409,LOC100611234,V_segment,immunoglobulin heavy variable 1-46-like,0,68.10000000000001
chr20_hap1_hsa19,2582000,2583000,Eastern,2.752701643384845,0.009015021166857056,130.87170144598562,MIER2,protein_coding,MIER family member 2,0,30.7
chr15_hap1_hsa14,102927000,102928000,Eastern,6.608458152442654,0.024642158787821174,130.7406863558234,CEP170B,protein_coding,centrosomal protein 170B,1.7999999999999998,93.8
chr15_hap1_hsa14,102964000,102965000,Eastern,8.706776718342386,0.024642158787821087,128.14880643032214,PLD4,protein_coding,phospholipase D family member 4,2.7,59.699999999999996
chr18_hap1_hsa16,88141000,88142000,Eastern,2.832103124664369,0.0066730059347121775,122.785084901509,MC1R,protein_coding,melanocortin 1 receptor,0,23.9
chr20_hap1_hsa19,2572000,2573000,Eastern,2.629594028563247,0.009015021166857056,104.12620500740688,LOC129138111,protein_coding,uncharacterized LOC129138111,4.6,66.7
chr5_hap1_hsa6,37200000,37201000,Eastern,14.192310443267706,0.051513099255559726,86.5471525574505,LOC134810328,protein_coding,uncharacterized LOC134810328,1.5,100
chr7_hap1_hsa8,20834000,20835000,Eastern,7.263238598981461,0.036570734689290126,75.06763966268822,LOC129135667,protein_coding,RNA-binding motif protein%2C X chromosome-like,3.6999999999999997,56.00000000000001
chr14_hap1_hsa13,22654000,22655000,Eastern,5.442634523760362,0.0442316794979785,69.45137461124912,LOC129136803,protein_coding,uncharacterized LOC129136803,1.7999999999999998,52.800000000000004
chr9_hap1_hsa11,4627000,4628000,Eastern,9.34326977282048,0.049309095124912904,63.01131057052858,ANO9,protein_coding,anoctamin 9,0,83.3
chr6_hap1_hsa7,173671000,173672000,Eastern,8.438069316369022,0.0668610081088285,61.168380838839056,PTPRN2,protein_coding,protein tyrosine phosphatase receptor type N2,0,39.7
chr5_hap1_hsa6,37244000,37245000,Eastern,15.481423026559543,0.051645500220255894,56.2955263983237,PATR-B,protein_coding,major histocompatibility complex%2C class I%2C B,0,47
chr15_hap1_hsa14,102884000,102885000,Eastern,3.514907006659227,0.024642158787820872,54.34263555492736,LOC112205402,lncRNA,uncharacterized LOC112205402,1.2,92.5
chr4_hap1_hsa5,173364000,173365000,Eastern,3.509090216589895,0.027370053422395603,52.27625660476083,HRH2,protein_coding,histamine receptor H2,0,74.7
chr10_hap1_hsa12,139109000,139110000,Eastern,9.166254479835292,0.0481679043851845,51.33717807652688,GALNT9,protein_coding,polypeptide N-acetylgalactosaminyltransferase 9,2.7,55.800000000000004
chr14_hap1_hsa13,72108000,72109000,Eastern,4.98045300135517,0.047864115867934966,48.63220638993575,PCDH9,protein_coding,protocadherin 9,2.9000000000000004,80.9
chr20_hap1_hsa19,2659000,2660000,Eastern,4.348585308439807,0.02414317073697827,48.40439517626492,LOC107969602,lncRNA,uncharacterized LOC107969602,0,24.8
chr20_hap1_hsa19,4927000,4928000,Eastern,12.059308211907865,0.09728245053315059,40.84290524359921,GNG7,protein_coding,G protein subunit gamma 7,0,28.199999999999996
chr7_hap1_hsa8,14150000,14151000,Eastern,11.156049316148776,0.047399024216133824,40.69615852106477,LOC134810809,lncRNA,uncharacterized LOC134810809,0,26.5
chr9_hap1_hsa11,4644000,4645000,Eastern,3.5717012601975675,0.04828551908799786,34.60450246129545,PTDSS2,protein_coding,phosphatidylserine synthase 2,1.5,27.3
chr7_hap1_hsa8,153355000,153356000,Eastern,6.77461990956776,0.07782861957238912,34.09710584224841,LOC134810929,lncRNA,uncharacterized LOC134810929,3.6999999999999997,79.3
chr13_hap1_hsa2b,139254000,139255000,Eastern,8.048798648573158,0.10374983699738616,31.19184443620694,LOC104005428,lncRNA,uncharacterized LOC104005428,1.4000000000000001,77.7
chr9_hap1_hsa11,4608000,4609000,Eastern,5.69593430631859,0.055850017598089274,29.945485081894564,SIGIRR,protein_coding,single Ig and TIR domain containing,3.1,62.8
chr4_hap1_hsa5,11303000,11304000,Eastern,4.9938878102923825,0.0928505766698769,27.522261845107483,ANKRD33B,protein_coding,ankyrin repeat domain 33B,1.6,49.7
chr6_hap1_hsa7,85484000,85485000,Eastern,4.749853549377519,0.09825552202401658,27.331778467118173,STYXL1,protein_coding,serine/threonine/tyrosine interacting like 1,2.3,65.8
chr20_hap1_hsa19,3338000,3339000,Eastern,8.181415529512071,0.11227356019027558,26.21105317020076,ABCA7,protein_coding,ATP binding cassette subfamily A member 7,4.1000000000000005,65.4
chr12_hap1_hsa2a,34953000,34954000,Eastern,5.927076012781281,0.10114692270929107,25.86655667231729,RPIA,protein_coding,ribose 5-phosphate isomerase A,2.1999999999999997,65.7
chr11_hap1_hsa9,473000,474000,Eastern,3.9387368074507294,0.06899642942471641,24.53788501076516,CACNA1B,protein_coding,calcium voltage-gated channel subunit alpha1 B,0,86.3
chr16_hap1_hsa15,83731000,83732000,Eastern,2.770225153153331,0.04770635775120638,24.42871680861137,SLCO3A1,protein_coding,solute carrier organic anion transporter family member 3A1,0,97.2
chr14_hap1_hsa13,117943000,117944000,Eastern,10.733685549491309,0.14454063333296507,23.87654611383327,LOC107967999,lncRNA,uncharacterized LOC107967999,3.5999999999999996,49.2
chr8_hap1_hsa10,13299000,13300000,Eastern,7.850453507118686,0.1867697976639901,22.68880104894375,DIP2C,protein_coding,disco interacting protein 2 homolog C,1.9,37.3
chr6_hap1_hsa7,6127000,6128000,Eastern,3.11644943938714,0.07459116242741401,21.76889447426701,FAM20C,protein_coding,FAM20C golgi associated secretory pathway kinase,3,89.1
chr7_hap1_hsa8,154423000,154424000,Eastern,4.527560668166266,0.08971989929272095,21.494501881867823,OPLAH,protein_coding,5-oxoprolinase%2C ATP-hydrolysing,0,81.3
chr19_hap1_hsa17,10789000,10790000,Eastern,10.314017159639974,0.17217729400320678,20.531182610734195,RPH3AL,protein_coding,rabphilin 3A like (without C2 domains),0,47
chr16_hap1_hsa15,93337000,93338000,Eastern,4.171088599713884,0.08560377761020448,20.22832381939143,PCSK6,protein_coding,proprotein convertase subtilisin/kexin type 6,0,81.3
chr11_hap1_hsa9,111172000,111173000,Eastern,4.444620977076326,0.10246776648903975,20.184338439748924,AK3,protein_coding,adenylate kinase 3,5,100
chr5_hap1_hsa6,182567000,182568000,Eastern,8.359639862566487,0.20247865634339632,19.70075229156404,LOC104007095,lncRNA,uncharacterized LOC104007095,0,91.3
chr1_hap1_hsa1,2046000,2047000,Eastern,9.45994071132389,0.20459472255421982,19.603525265741062,ZNF670,protein_coding,zinc finger protein 670,0,47.699999999999996
chr8_hap1_hsa10,94753000,94754000,Eastern,8.896708054017633,0.23729816083021393,18.84919941218539,NRG3,protein_coding,neuregulin 3,3.1,88.9
chr10_hap1_hsa12,48653000,48654000,Eastern,4.2743701852100635,0.14666699256816831,18.512200845668627,PCED1B,protein_coding,PC-esterase domain containing 1B,1.4000000000000001,97.7
chr10_hap1_hsa12,139854000,139855000,Eastern,6.558071453776388,0.17640552569220436,18.50609914762113,ZNF605,protein_coding,zinc finger protein 605,2.3,54.7
chr12_hap1_hsa2a,45011000,45012000,Eastern,10.896024036166633,0.3142609775959,17.53232016189501,LOC129143149,lncRNA,uncharacterized LOC129143149,0,79.7
chr13_hap1_hsa2b,63217000,63218000,Eastern,2.3032099540262023,0.07063957940351677,17.521451680576387,TANK,protein_coding,TRAF family member associated NFKB activator,0,100
chr20_hap1_hsa19,57695000,57696000,Eastern,5.6215797516725505,0.1768864082346192,16.394348409118344,FCAR,protein_coding,Fc alpha receptor,1.7999999999999998,75
chr12_hap1_hsa2a,85813000,85814000,Eastern,2.1723385389710352,0.07228268854225699,16.18657641908613,HEATR5B,protein_coding,HEAT repeat containing 5B,1.5,78.60000000000001
chr12_hap1_hsa2a,34909000,34910000,Eastern,3.6393554616645667,0.08796909719127581,16.06644682082378,LOC104005067,protein_coding,ankyrin repeat domain-containing protein 36B-like,0,66.8
chr3_hap1_hsa4,10057000,10058000,Eastern,5.435136414048463,0.16457524177346006,15.539624861936623,LOC107974188,lncRNA,uncharacterized LOC107974188,1.5,72.89999999999999
chr22_hap1_hsa21,46813000,46814000,Eastern,12.781476244595908,0.2486937476586972,15.516770643984062,COL6A2,protein_coding,collagen type VI alpha 2 chain,2.4,49.7
chr19_hap1_hsa17,28257000,28258000,Eastern,3.634942191229728,0.13649068784073762,15.419141142546646,IKZF3,protein_coding,IKAROS family zinc finger 3,1.5,100
chr12_hap1_hsa2a,115936000,115937000,Eastern,5.80855285480908,0.2206930530177596,14.639248567211432,RNF144A,protein_coding,ring finger protein 144A,0,84.5
chr18_hap1_hsa16,29935000,29936000,Eastern,6.594300826643305,0.2533968964104379,14.542975341373564,IL4R,protein_coding,interleukin 4 receptor,1.3,49.5
chr6_hap1_hsa7,85501000,85502000,Eastern,3.341781741882131,0.10413932805463236,14.46060870441887,TMEM120A,protein_coding,transmembrane protein 120A,2.1999999999999997,23.5
chr9_hap1_hsa11,9522000,9523000,Eastern,3.8536890823747822,0.1751135677534733,13.94006076101409,HBE1,protein_coding,hemoglobin subunit epsilon 1,0,90
chr1_hap1_hsa1,186820000,186821000,Eastern,3.5980639597571717,0.13335308363239162,13.444594764708013,KLF18,protein_coding,KLF transcription factor 18,3,41.8
chr19_hap1_hsa17,14653000,14654000,Eastern,9.332866987724191,0.2647893014015425,13.371678693802355,ZZEF1,protein_coding,zinc finger ZZ-type and EF-hand domain containing 1,0,43.8
chr6_hap1_hsa7,14130000,14131000,Eastern,8.817124084864206,0.3072167281738953,13.183975422324169,ICA1,protein_coding,islet cell autoantigen 1,2.8000000000000003,95.6
chr11_hap1_hsa9,3622000,3623000,Eastern,6.477498170507155,0.28472093593013714,13.18151949605904,COL5A1,protein_coding,collagen type V alpha 1 chain,0,50.2
chr10_hap1_hsa12,139038000,139039000,Eastern,3.3277251806565302,0.05372578214470102,13.125163650437624,LOC107967813,lncRNA,uncharacterized LOC107967813,1.6,63.4
chr4_hap1_hsa5,173145000,173146000,Eastern,3.2532246460944774,0.12013093921703721,12.82148610959375,SFXN1,protein_coding,sideroflexin 1,0,77.10000000000001
chr4_hap1_hsa5,11333000,11334000,Eastern,2.2610021476298896,0.0880680938124971,12.79949450702191,DAP,protein_coding,death associated protein,0,44.800000000000004
chr13_hap1_hsa2b,111034000,111035000,Eastern,8.245139534126125,0.3823220634604209,12.626257869801751,LOC134808004,lncRNA,uncharacterized LOC134808004,2.1999999999999997,86.3
chr15_hap1_hsa14,38183000,38184000,Eastern,7.583701440724995,0.3473556991208502,12.472836584772976,LOC134808290,lncRNA,uncharacterized LOC134808290,1.7000000000000002,68.30000000000001
chr1_hap1_hsa1,69699000,69700000,Eastern,5.9186300318368765,0.2693534907942237,12.272956999880302,AXDND1,protein_coding,axonemal dynein light chain domain containing 1,4.7,57.599999999999994
chr9_hap1_hsa11,19268000,19269000,Eastern,8.189758549825164,0.3692443626384093,12.270774040333976,INSC,protein_coding,INSC spindle orientation adaptor protein,4.7,60.4
chr14_hap1_hsa13,119737000,119738000,Eastern,7.0201557862671775,0.11737185096443167,12.26400472818579,RASA3,protein_coding,RAS p21 protein activator 3,0,54.2
chr5_hap1_hsa6,44397000,44398000,Eastern,8.395863771217885,0.4184816433410122,11.466769288896865,BTBD9,protein_coding,BTB domain containing 9,3.6999999999999997,96.7
chr19_hap1_hsa17,13712000,13713000,Eastern,2.45345947699144,0.07050759279854389,11.399100770682391,OR1A1,protein_coding,olfactory receptor family 1 subfamily A member 1,0,100
chr18_hap1_hsa16,87837000,87838000,Eastern,7.215588502030757,0.17769130384457807,11.358241735034976,DPEP1,protein_coding,dipeptidase 1,0,31.6
