#sample.id	haplotype.1	haplotype.2	cluster.1	cluster.2	cosine.similarity
SAMN01920513	PR01010#1#haplotype1-0000011:145990332-146736231	PR01227#2#haplotype2-0000142:46260732-46886074	HaploGroup1	HaploGroup4	0.9426399494449944
SAMN01920514	AG18355_8#1#h1tg000020l:41920875-42546234	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup4	HaploGroup1	0.9483696681345853
SAMN01920515	PR01010#1#haplotype1-0000011:145990332-146736231	PR01227#2#haplotype2-0000142:46260732-46886074	HaploGroup1	HaploGroup4	0.9390740277660684
SAMN01920516	AG18356_6#2#h2tg000017l:39013024-39516727	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup5	HaploGroup1	0.9536628409059340
SAMN01920517	AG16618_12#1#h1tg000071l:11824074-12559767	PR00115#1#h1tg000008l:46986008-47720060	HaploGroup1	HaploGroup1	0.9610521213705955
SAMN01920518	AG18357_3#2#h2tg000002l:38448652-39184196	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9192760320615786
SAMN01920519	PR01010#1#haplotype1-0000011:145990332-146736231	PR01225#1#h1tg000045l:21152845-21888192	HaploGroup1	HaploGroup1	0.9260807092248500
SAMN01920520	PR00115#1#h1tg000008l:46986008-47720060	PR01100#1#h1tg000022l:22951664-23687101	HaploGroup1	HaploGroup1	0.9567370608493623
SAMN01920521	AG16618_12#1#h1tg000071l:11824074-12559767	PR00115#1#h1tg000008l:46986008-47720060	HaploGroup1	HaploGroup1	0.9574830024310416
SAMN01920522	PR00838#2#h2tg000136l:5581115-6319805	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9102753276073993
SAMN01920523	PR00115#1#h1tg000008l:46986008-47720060	PR01100#1#h1tg000022l:22951664-23687101	HaploGroup1	HaploGroup1	0.9655762633314906
SAMN01920524	PR00115#1#h1tg000008l:46986008-47720060	PR01100#1#h1tg000022l:22951664-23687101	HaploGroup1	HaploGroup1	0.9298750141710442
SAMN01920525	PR00115#1#h1tg000008l:46986008-47720060	PR00512#2#h2tg000076l:22781836-23521126	HaploGroup1	HaploGroup1	0.9639701191256629
SAMN01920526	AG16618_12#1#h1tg000071l:11824074-12559767	PR00115#1#h1tg000008l:46986008-47720060	HaploGroup1	HaploGroup1	0.9240648306353083
SAMN01920527	PR00115#1#h1tg000008l:46986008-47720060	PR00512#2#h2tg000076l:22781836-23521126	HaploGroup1	HaploGroup1	0.9320871742387555
SAMN01920528	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9363324487415895
SAMN01920529	PR01008#2#haplotype2-0000129:47159956-47937929	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup8	HaploGroup1	0.9713612109787892
SAMN01920530	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9733851958322863
SAMN01920531	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9768691977222923
SAMN01920532	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9780384470836757
SAMN01920533	PR00115#1#h1tg000008l:46986008-47720060	PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1	HaploGroup1	0.9615167849423595
SAMN01920534	PR01010#1#haplotype1-0000011:145990332-146736231	PR01225#1#h1tg000045l:21152845-21888192	HaploGroup1	HaploGroup1	0.9677107997845035
SAMN01920535	PR00115#1#h1tg000008l:46986008-47720060	PR01100#1#h1tg000022l:22951664-23687101	HaploGroup1	HaploGroup1	0.9498854651349243
SAMN01920536	PR00512#2#h2tg000076l:22781836-23521126	PR00834#1#h1tg000052l:21130040-21801418	HaploGroup1	HaploGroup7	0.9630797104249798
SAMN01920537	PR01100#1#h1tg000022l:22951664-23687101	PR01225#1#h1tg000045l:21152845-21888192	HaploGroup1	HaploGroup1	0.9740428459340514
SAMN01920538	PR01225#1#h1tg000045l:21152845-21888192	mPanTro3#1#chr3_hap1_hsa4:145167459-146036838	HaploGroup1	HaploGroup3	0.9733948664526130
SAMN01920539	PR00512#1#h1tg000068l:22757246-23622984	PR01225#1#h1tg000045l:21152845-21888192	HaploGroup3	HaploGroup1	0.9364533507209725
SAMN01920540	AG18361_10#2#h2tg000026l:140132060-140867671	PR01225#1#h1tg000045l:21152845-21888192	HaploGroup1	HaploGroup1	0.9643144940123159
SAMN01920541	AG16618_12#1#h1tg000071l:11824074-12559767	PR00115#1#h1tg000008l:46986008-47720060	HaploGroup1	HaploGroup1	0.9729271453988555
