chromosome,start,end,population,genes,gene_biotypes,descriptions,T_within_myr,Tpooled_Twithin_ratio
chr4,111863000,111864000,EUR,"RPL34-DT,LOC101929621",NA,NA,0.122473492,14.51481791
chr16,71351000,71352000,EUR,LINC00922,lncRNA,long intergenic non-protein coding RNA 922,0.153919251,14.34461289
chr3,162404000,162405000,SAS,"IQCJ-SCHIP1,SCHIP1",NA,NA,0.105298374,14.27065157
chr3,191888000,191889000,EUR,"LOC107986167,TPRG1",NA,NA,0.098973813,14.25390585
chr5,181415000,181416000,SAS,ZFP62,protein_coding,ZFP62 zinc finger protein,0.129896568,14.19746707
chr1,61781000,61782000,EAS,PATJ,protein_coding,PATJ crumbs cell polarity complex component,0.071446804,14.10291054
chr11,118179000,118180000,SAS,SCN2B,protein_coding,sodium voltage-gated channel beta subunit 2,0.134336298,14.05976046
chr21,14878000,14879000,SAS,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene,0.117142236,14.03442531
chr16,54016000,54017000,EUR,ABCC11,protein_coding,ATP binding cassette subfamily C member 11,0.108194235,13.9589205
chr21,10682000,10683000,SAS,BAGE2,NA,NA,0.244707975,13.62318353
chr5,76431000,76432000,EUR,SV2C,protein_coding,synaptic vesicle glycoprotein 2C,0.161893082,13.51980059
chr21,15624000,15625000,SAS,LOC107985511,lncRNA,uncharacterized LOC107985511,0.129577881,13.345125
chr3,184193000,184194000,SAS,SOX2-OT,lncRNA,SOX2 overlapping transcript,0.090184805,13.30462567
chr11,9512000,9513000,EUR,IPO7,protein_coding,importin 7,0.097350239,13.20926631
chr22,46740000,46741000,SAS,PKDREJ,protein_coding,polycystin family receptor for egg jelly,0.136150512,13.08511883
chr17,7384000,7385000,SAS,ZBTB4,protein_coding,zinc finger and BTB domain containing 4,0.126322246,13.04530342
chr12,108155000,108156000,EUR,"WSCD2,LOC105369965",NA,NA,0.100412673,12.93920756
chr2,227598000,227599000,EUR,COL4A4,protein_coding,collagen type IV alpha 4 chain,0.091460452,12.90954745
chr22,46842000,46843000,SAS,TRMU,protein_coding,tRNA mitochondrial 2-thiouridylase,0.119318488,12.85302546
chr2,121398000,121399000,SAS,GLI2,protein_coding,GLI family zinc finger 2,0.184455925,12.70727788
chr9,82414000,82415000,SAS,SMC5-DT,lncRNA,SMC5 divergent transcript,0.162050152,12.6218017
chr18,80221000,80222000,SAS,SLC66A2,protein_coding,solute carrier family 66 member 2,0.085512125,12.58893056
chr12,9884000,9885000,EAS,"CLEC12A,CLEC1B",NA,NA,0.445708091,9.45783355
chr12,111033000,111034000,AMR,CUX2,protein_coding,cut like homeobox 2,0.103885352,8.806945273
chr6,46174000,46175000,EAS,"RCAN2,LOC101926915",NA,NA,0.27227491,8.372978163
chr3,74613000,74614000,EAS,CNTN3,protein_coding,contactin 3,0.116299907,8.107588143
chr19,10764000,10765000,EAS,SLC44A2,protein_coding,solute carrier family 44 member 2 (CTL2 blood group),0.12987595,8.084383573
chr2,173572000,173573000,EAS,MAP3K20,protein_coding,mitogen-activated protein kinase kinase kinase 20,0.107208677,7.596488982
chr19,41380000,41381000,EAS,RYR1,protein_coding,ryanodine receptor 1,0.295149385,7.290362036
chr8,54252000,54253000,EAS,RGS20,protein_coding,regulator of G protein signaling 20,0.183680716,7.129564592
chr8,36555000,36556000,AMR,"MTND6P19,MTND5P41",NA,NA,0.198217676,7.014779024
chr1,185360000,185361000,EAS,HMCN1,protein_coding,hemicentin 1,0.156984989,6.882836656
chr10,101355000,101356000,AMR,WNT8B,protein_coding,Wnt family member 8B,0.11534821,6.712853115
chr7,74803000,74804000,EAS,MLXIPL,protein_coding,MLX interacting protein like,0.182683408,6.456872239
chr8,146113000,146114000,EAS,ZNF16,protein_coding,zinc finger protein 16,0.247640476,6.271424909
chr16,32651000,32652000,EAS,LOC113002582,lncRNA,uncharacterized LOC113002582,0.244584244,6.158936898
chr8,36585000,36586000,AMR,RNU6-533P,NA,NA,0.14573061,6.120195676
chr6,107270000,107271000,EAS,PRDM1,protein_coding,PR/SET domain 1,0.07191332,5.873587329
chr18,69213000,69214000,AMR,CCDC102B,protein_coding,coiled-coil domain containing 102B,0.318101236,5.792212526
chr22,19099000,19100000,AFR,FAM230E,lncRNA,family with sequence similarity 230 member E,0.161255678,5.717634115
chr11,109648000,109649000,EAS,CCT6P5,NA,NA,0.124700359,5.704025755
chr16,14578000,14579000,EAS,"PARN,LOC107984865",NA,NA,0.137183917,5.680331097
chr16,22169000,22170000,EAS,MOSMO,protein_coding,modulator of smoothened,0.306885038,5.603708579
chr7,74540000,74541000,EAS,FKBP6,protein_coding,FKBP prolyl isomerase family member 6 (inactive),0.116620196,5.464583107
chr2,40806000,40807000,EAS,LOC105374497,lncRNA,uncharacterized LOC105374497,0.083995155,5.378185551
chr14,100790000,100791000,EAS,"IGH,IGHV3-43",NA,NA,0.506871014,5.34079982
chr8,52614000,52615000,AMR,ST18,protein_coding,ST18 C2H2C-type zinc finger transcription factor,0.154072155,5.158692671
chr19,10781000,10782000,EAS,ILF3,protein_coding,interleukin enhancer binding factor 3,0.177974909,5.152151799
chr6,127423000,127424000,AMR,TRMT11,protein_coding,tRNA methyltransferase 11 homolog,0.118836069,5.13957568
chr7,155058000,155059000,EAS,DPP6,protein_coding,dipeptidyl peptidase like 6,0.245256771,5.111247682
chr6,34359000,34360000,AMR,PACSIN1,protein_coding,protein kinase C and casein kinase substrate in neurons 1,0.296549726,5.017425109
chr17,82719000,82720000,EAS,P4HB,protein_coding,prolyl 4-hydroxylase subunit beta,0.234762242,5.004124078
chr16,14594000,14595000,EAS,PARN,protein_coding,poly(A)-specific ribonuclease,0.160975309,4.875983916
chr6,137774000,137775000,EAS,MAP3K5,protein_coding,mitogen-activated protein kinase kinase kinase 5,0.239120378,4.837698899
chr10,101419000,101420000,AMR,HIF1AN,protein_coding,hypoxia inducible factor 1 subunit alpha inhibitor,0.171085976,4.834306641
chr7,74664000,74665000,EAS,BAZ1B,protein_coding,bromodomain adjacent to zinc finger domain 1B,0.086098827,4.781715404
chr9,38499000,38500000,AMR,LOC105376041,lncRNA,uncharacterized LOC105376041,0.337006798,4.736394836
chr14,100784000,100785000,EAS,"IGH,IGHV3-42",NA,NA,0.478543402,4.684309095
chr7,88951000,88952000,EAS,"ABCB1,RUNDC3B",NA,NA,0.130614698,4.608883752
chr11,5844000,5845000,AMR,OR52N1,protein_coding,olfactory receptor family 52 subfamily N member 1,0.388793844,4.58614214
chr2,90489000,90490000,EAS,IGK,other,immunoglobulin kappa locus,0.445897407,4.564281836
chr10,76654000,76655000,EAS,LRMDA,protein_coding,leucine rich melanocyte differentiation associated,0.237188625,4.549099524
chr12,110994000,110995000,AMR,LOC105369981,lncRNA,uncharacterized LOC105369981,0.11833462,4.523193995
chr18,69210000,69211000,AMR,"CCDC102B,LOC100418959",NA,NA,0.32471614,4.517598199
chr7,74539000,74540000,EAS,"FKBP6,RNU6-1080P",NA,NA,0.123575619,4.468186754
chr1,215794000,215795000,EAS,ESRRG,protein_coding,estrogen related receptor gamma,0.210353679,4.452060462
chr1,201480000,201481000,EAS,LGR6,protein_coding,leucine rich repeat containing G protein-coupled receptor 6,0.302740143,4.451974333
chr14,75247000,75248000,EAS,"TSHR,LOC101928462",NA,NA,0.384674257,4.45081104
chr7,148247000,148248000,EAS,CNTNAP2,protein_coding,contactin associated protein 2,0.329526375,4.4461789
chr11,103325000,103326000,EAS,DYNC2H1,protein_coding,dynein cytoplasmic 2 heavy chain 1,0.743114465,4.415700504
chr2,95756000,95757000,EAS,ZNF892,protein_coding,zinc finger protein 892,0.163046127,4.395808681
chr14,43982000,43983000,EAS,KLHDC2,protein_coding,kelch domain containing 2,0.148724595,4.393082223
chr20,63977000,63978000,EAS,MTG2,protein_coding,mitochondrial ribosome associated GTPase 2,0.305674999,4.371359832
chr7,142983000,142984000,EAS,DENND11,protein_coding,DENN domain containing 11,0.385006086,4.323968953
chr22,29970000,29971000,EAS,THOC5,protein_coding,THO complex subunit 5,0.141921155,4.308650187
chr8,92403000,92404000,AMR,SLC26A7,protein_coding,solute carrier family 26 member 7,0.344043294,4.307558976
chr14,100789000,100790000,EAS,IGH,other,immunoglobulin heavy locus,0.495081896,4.290418506
chr7,127952000,127953000,EAS,GRM8,protein_coding,glutamate metabotropic receptor 8,0.476466262,4.289660247
chr8,36475000,36476000,EAS,LOC105379371,lncRNA,uncharacterized LOC105379371,0.214132752,4.227159818
chr18,75278000,75279000,EAS,ZNF407,protein_coding,zinc finger protein 407,0.359120673,4.216808121
chr1,177659000,177660000,EAS,RASAL2,protein_coding,RAS protein activator like 2,0.069197299,4.20790488
chr4,181068000,181069000,AMR,LINC01098,lncRNA,long intergenic non-protein coding RNA 1098,0.466731656,4.114525762
chr10,101413000,101414000,AMR,NDUFB8,protein_coding,NADH:ubiquinone oxidoreductase subunit B8,0.164673995,4.054829592
chr14,39103000,39104000,AMR,LOC101927418,lncRNA,uncharacterized LOC101927418,0.345729072,4.014037402
chr10,101399000,101400000,AMR,SEC31B,protein_coding,SEC31 homolog B%2C COPII coat complex component,0.164345246,3.994802889
chr2,162711000,162712000,AMR,LOC105373724,lncRNA,uncharacterized LOC105373724,0.238878981,3.948488279
chr4,93798000,93799000,AMR,CCSER1,protein_coding,coiled-coil serine rich protein 1,0.173970963,3.864417688
chr13,93561000,93562000,AMR,GPC6,protein_coding,glypican 6,0.183782025,3.849273029
chr8,145238000,145239000,AMR,LOC124902038,lncRNA,uncharacterized LOC124902038,0.279918852,3.847497268
chr6,129281000,129282000,AMR,PTPRK,protein_coding,protein tyrosine phosphatase receptor type K,0.10600414,3.826516347
chr6,34366000,34367000,AMR,SPDEF,protein_coding,SAM pointed domain containing ETS transcription factor,0.324878631,3.797464604
chr22,37947000,37948000,AFR,MFNG,protein_coding,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,0.17251686,2.859194486
chr2,168943000,168944000,AFR,CERS6,protein_coding,ceramide synthase 6,0.344188052,2.697991713
chr11,477000,478000,AFR,"ANO9,LOC105376506",NA,NA,0.205409081,2.438081143
chr17,47072000,47073000,AFR,KANSL1,protein_coding,KAT8 regulatory NSL complex subunit 1,0.250038405,2.430779305
chr12,71458000,71459000,AFR,LGR5,protein_coding,leucine rich repeat containing G protein-coupled receptor 5,0.40151845,2.38046259
chr5,71852000,71853000,AFR,LINC02197,lncRNA,long intergenic non-protein coding RNA 2197,0.15816081,2.264281895
chr14,99918000,99919000,AFR,"IGH,LOC124907428",NA,NA,0.118250253,2.229763989
chr8,11519000,11520000,AFR,FAM85B,lncRNA,family with sequence similarity 85 member B,0.677754641,2.119021162
chr14,99913000,99914000,AFR,IGH,other,immunoglobulin heavy locus,0.172452642,2.113836377
chr6,100071000,100072000,AFR,FBXL4,protein_coding,F-box and leucine rich repeat protein 4,0.129337878,2.02052371
chr3,29514000,29515000,AFR,RBMS3,protein_coding,RNA binding motif single stranded interacting protein 3,0.789967692,2.013052175
chr5,95713000,95714000,AFR,"MCTP1,LOC105379085",NA,NA,0.349373115,1.987128984
chr6,9740000,9741000,AFR,OFCC1,NA,NA,0.740239937,1.980976764
chr20,64134000,64135000,AFR,"LAMA5,LOC124904946",NA,NA,0.342840657,1.952014766
chr1,149077000,149078000,AFR,OTUD7B,protein_coding,OTU deubiquitinase 7B,0.290443324,1.908250292
chr20,64133000,64134000,AFR,LAMA5,protein_coding,laminin subunit alpha 5,0.30740353,1.901211246
chr15,2176000,2177000,AFR,LOC124907536,protein_coding,protein FAM104B-like,3.454229235,1.890010199
chr6,34329000,34330000,AFR,PACSIN1,protein_coding,protein kinase C and casein kinase substrate in neurons 1,0.420822626,1.865890959
chr11,12544000,12545000,AFR,PARVA,protein_coding,parvin alpha,0.370191035,1.856510294
chr6,4724000,4725000,AFR,CDYL,protein_coding,chromodomain Y like,0.358879707,1.847913132
chr7,90093000,90094000,AFR,ZNF804B,protein_coding,zinc finger protein 804B,0.4208676,1.843488413
chr10,115123000,115124000,AFR,TDRD1,protein_coding,tudor domain containing 1,0.526101136,1.82896112
chr9,48300000,48301000,AFR,LOC124902170,lncRNA,uncharacterized LOC124902170,0.61526873,1.822290254
chr15,75387000,75388000,AFR,LOC101929457,lncRNA,uncharacterized LOC101929457,1.111816137,1.81739386
chr1,36294000,36295000,AFR,OSCP1,protein_coding,organic solute carrier partner 1,0.729911469,1.816702794
chr6,129615000,129616000,AFR,PTPRK,protein_coding,protein tyrosine phosphatase receptor type K,0.177214881,1.812553774
chr11,7546000,7547000,AFR,OLFML1,protein_coding,olfactomedin like 1,0.944964892,1.810290211
chr1,144694000,144695000,AFR,NBPF25P,NA,NA,0.503627366,1.809017465
chr7,25487000,25488000,AFR,LOC105375195,lncRNA,uncharacterized LOC105375195,0.463692213,1.808153963
chr1,15429000,15430000,AFR,LOC124905656,NA,NA,0.743113117,1.798691648
chr13,19827000,19828000,AFR,IFT88,protein_coding,intraflagellar transport 88,0.466092716,1.792741291
chr2,88554000,88555000,AFR,LOC101928371,lncRNA,uncharacterized LOC101928371,0.824109433,1.790083559
chr2,95931000,95932000,AFR,GPAT2,protein_coding,glycerol-3-phosphate acyltransferase 2%2C mitochondrial,0.419776621,1.775233128
chr17,47057000,47058000,AFR,"KANSL1,KANSL1-AS1",NA,NA,0.210331006,1.773777101
chr12,62790000,62791000,AFR,PPM1H,protein_coding,protein phosphatase%2C Mg2+/Mn2+ dependent 1H,0.359154926,1.7732169
chr9,39203000,39204000,AFR,CNTNAP3,protein_coding,contactin associated protein family member 3,0.547669301,1.772062151
chr15,75376000,75377000,AFR,HMG20A,protein_coding,high mobility group 20A,0.797160024,1.768512714
chr12,87647000,87648000,AFR,LOC105369881,lncRNA,uncharacterized LOC105369881,0.191248542,1.764896617
chr11,473000,474000,AFR,ANO9,protein_coding,anoctamin 9,0.202826807,1.751879486
chr16,18519000,18520000,AFR,ABCC6P1,NA,NA,0.213609099,1.74432467
chr22,44234000,44235000,AFR,EFCAB6,protein_coding,EF-hand calcium binding domain 6,0.47463355,1.742172881
chr16,34400000,34401000,AFR,LOC105379535,lncRNA,uncharacterized LOC105379535,0.416571457,1.736220009
chr2,195532000,195533000,AFR,LOC105376755,lncRNA,uncharacterized LOC105376755,0.826593451,1.731522794
chr12,59660000,59661000,AFR,SLC16A7,protein_coding,solute carrier family 16 member 7,0.567212502,1.712163259
chr3,69848000,69849000,AFR,MITF,protein_coding,melanocyte inducing transcription factor,0.69986333,1.702669986
chr13,73044000,73045000,AFR,KLF12,protein_coding,KLF transcription factor 12,0.815414841,1.701884181
chr2,112588000,112589000,AFR,FBLN7,protein_coding,fibulin 7,0.368976563,1.70027751
chr2,149332000,149333000,AFR,"KIF5C-AS1,KIF5C",NA,NA,0.205718022,1.69820136
chr7,43749000,43750000,AFR,STK17A,protein_coding,serine/threonine kinase 17a,0.515973451,1.696386463
chr16,27870000,27871000,AFR,KATNIP,protein_coding,katanin interacting protein,0.287430281,1.69388862
chr17,47013000,47014000,AFR,"KANSL1,LOC107985027",NA,NA,0.415942296,1.692875009
chr3,52442000,52443000,AFR,BAP1,protein_coding,BRCA1 associated deubiquitinase 1,0.087976023,1.688147419
chr5,181361000,181362000,AFR,MGAT1,protein_coding,alpha-1%2C3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase,0.918427023,1.687802528
chr3,52444000,52445000,AFR,PHF7,protein_coding,PHD finger protein 7,0.086899599,1.686774392
