species,id,chrom,gaps,gapless_status,endLength,startLength,T_status,is_T2T,T2T_status,Sample,type,dataset,Assembler,p1,p2,HPRC_meta.Population,HPRC_PANPAN.color,hgdp_tgp_meta.Genetic.region,hgdp_tgp_meta.Study.region,SpeciesCode,hgdp_tgp_meta.Latitude,hgdp_tgp_meta.Longitude,Continent.colors,project_meta.sex,observations,Cell,Birth,Species_group
bonobo,AG05253_1.hap1,chr11_mat_hsa9,28,with gaps,0,0,Missing,FALSE,with gaps Missing,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr12_mat_hsa2a,14,with gaps,1527,0,1T,FALSE,with gaps 1T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr13_mat_hsa2b,4,with gaps,6236,0,1T,FALSE,with gaps 1T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr14_pat_hsa13,17,with gaps,0,0,Missing,FALSE,with gaps Missing,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr15_mat_hsa14,12,with gaps,3193,0,1T,FALSE,with gaps 1T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr16_pat_hsa15,13,with gaps,891,4295,2T,FALSE,with gaps 2T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr17_mat_hsa18,9,with gaps,0,0,Missing,FALSE,with gaps Missing,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr18_pat_hsa16,29,with gaps,3003,3080,2T,FALSE,with gaps 2T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr19_pat_hsa17,20,with gaps,0,0,Missing,FALSE,with gaps Missing,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr20_pat_hsa19,16,with gaps,0,4219,1T,FALSE,with gaps 1T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr21_mat_hsa20,5,with gaps,0,5084,1T,FALSE,with gaps 1T,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr22_pat_hsa21,8,with gaps,0,0,Missing,FALSE,with gaps Missing,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap1,chr23_pat_hsa22,40,with gaps,0,0,Missing,FALSE,with gaps Missing,AG05253_1,hap1,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr1_pat_hsa1,12,with gaps,0,0,Missing,FALSE,with gaps Missing,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr2_mat_hsa3,2,with gaps,4556,2414,2T,FALSE,with gaps 2T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr3_pat_hsa4,3,with gaps,0,4203,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr4_mat_hsa5,5,with gaps,8752,0,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr5_pat_hsa6,11,with gaps,0,5241,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr6_mat_hsa7,18,with gaps,0,2505,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr7_pat_hsa8,25,with gaps,2953,0,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr8_mat_hsa10,8,with gaps,1652,0,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr9_pat_hsa11,4,with gaps,5533,4177,2T,FALSE,with gaps 2T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr10_mat_hsa12,7,with gaps,3824,0,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr11_mat_hsa9,22,with gaps,2371,0,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr12_mat_hsa2a,18,with gaps,1527,0,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr13_mat_hsa2b,3,with gaps,7555,0,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr14_pat_hsa13,7,with gaps,5014,0,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr15_mat_hsa14,15,with gaps,0,0,Missing,FALSE,with gaps Missing,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr16_pat_hsa15,9,with gaps,7922,0,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr17_mat_hsa18,7,with gaps,0,0,Missing,FALSE,with gaps Missing,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr18_pat_hsa16,22,with gaps,6978,0,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr19_pat_hsa17,36,with gaps,2713,0,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr20_pat_hsa19,32,with gaps,1309,0,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr21_mat_hsa20,10,with gaps,0,4424,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr22_pat_hsa21,5,with gaps,0,0,Missing,FALSE,with gaps Missing,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,AG05253_1.hap2,chr23_pat_hsa22,46,with gaps,3829,0,1T,FALSE,with gaps 1T,AG05253_1,hap2,PANPAN,hifiasm-hic,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,male,non-HPRC coordinates are purely speculative and do not reflect geographical origins,Fibroblast,unknown,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr1_pat_hsa1,10,with gaps,13689,0,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr2_mat_hsa3,14,with gaps,0,14099,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr3_pat_hsa4,12,with gaps,0,14137,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr4_mat_hsa5,9,with gaps,5485,9975,2T,FALSE,with gaps 2T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr5_pat_hsa6,17,with gaps,2102,0,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr6_mat_hsa7,9,with gaps,14314,0,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr7_pat_hsa8,5,with gaps,0,0,Missing,FALSE,with gaps Missing,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr8_mat_hsa10,10,with gaps,0,14308,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr9_pat_hsa11,4,with gaps,7917,0,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr10_mat_hsa12,6,with gaps,12624,5908,2T,FALSE,with gaps 2T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr11_mat_hsa9,8,with gaps,0,4556,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr12_mat_hsa2a,22,with gaps,8744,14500,2T,FALSE,with gaps 2T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr13_mat_hsa2b,5,with gaps,8835,0,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr14_pat_hsa13,10,with gaps,6979,0,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr15_mat_hsa14,6,with gaps,2796,7870,2T,FALSE,with gaps 2T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr16_pat_hsa15,9,with gaps,0,0,Missing,FALSE,with gaps Missing,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr17_mat_hsa18,12,with gaps,12036,0,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr18_pat_hsa16,10,with gaps,0,0,Missing,FALSE,with gaps Missing,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr19_pat_hsa17,10,with gaps,5153,6473,2T,FALSE,with gaps 2T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr20_pat_hsa19,5,with gaps,0,5806,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr21_mat_hsa20,8,with gaps,4091,0,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
bonobo,PR00249.hap1,chr22_pat_hsa21,9,with gaps,5459,0,1T,FALSE,with gaps 1T,PR00249,hap1,PANPAN,hifiasm,Bonobo,AFR,Bonobo,#e9d7cb,AFR,Pan paniscus,Ppan,-2.36,21.55,#e9d7cb,female,non-HPRC coordinates are purely speculative and do not reflect geographical origins,LCL,captive,"Bonobo (n=5, 10 haplotypes)"
