species,id,chrom,gaps,gapless_status
bonobo,AG05253_1.hap2,chr16_pat_hsa15,9,with gaps
bonobo,AG05253_1.hap2,chr17_mat_hsa18,7,with gaps
bonobo,AG05253_1.hap2,chr18_pat_hsa16,22,with gaps
bonobo,AG05253_1.hap2,chr19_pat_hsa17,36,with gaps
bonobo,AG05253_1.hap2,chr20_pat_hsa19,32,with gaps
bonobo,AG05253_1.hap2,chr21_mat_hsa20,10,with gaps
bonobo,AG05253_1.hap2,chr22_pat_hsa21,5,with gaps
bonobo,AG05253_1.hap2,chr23_pat_hsa22,46,with gaps
bonobo,mPanPan1.hap1,chr1_pat_hsa1,0,gapless
bonobo,mPanPan1.hap1,chr2_mat_hsa3,0,gapless
bonobo,mPanPan1.hap1,chr3_pat_hsa4,0,gapless
bonobo,mPanPan1.hap1,chr4_mat_hsa5,0,gapless
bonobo,mPanPan1.hap1,chr5_pat_hsa6,0,gapless
bonobo,mPanPan1.hap1,chr6_mat_hsa7,0,gapless
bonobo,mPanPan1.hap1,chr7_pat_hsa8,0,gapless
bonobo,mPanPan1.hap1,chr8_mat_hsa10,0,gapless
bonobo,mPanPan1.hap1,chr9_pat_hsa11,0,gapless
bonobo,mPanPan1.hap1,chr10_mat_hsa12,0,gapless
bonobo,mPanPan1.hap1,chr11_mat_hsa9,0,gapless
bonobo,mPanPan1.hap1,chr12_mat_hsa2a,0,gapless
bonobo,mPanPan1.hap1,chr13_mat_hsa2b,0,gapless
bonobo,mPanPan1.hap1,chr14_pat_hsa13,1,with gaps
bonobo,mPanPan1.hap1,chr15_mat_hsa14,2,with gaps
bonobo,mPanPan1.hap1,chr16_pat_hsa15,0,gapless
bonobo,mPanPan1.hap1,chr17_mat_hsa18,1,with gaps
bonobo,mPanPan1.hap1,chr18_pat_hsa16,0,gapless
bonobo,mPanPan1.hap1,chr19_pat_hsa17,0,gapless
bonobo,mPanPan1.hap1,chr20_pat_hsa19,0,gapless
bonobo,mPanPan1.hap1,chr21_mat_hsa20,0,gapless
bonobo,mPanPan1.hap1,chr22_pat_hsa21,2,with gaps
bonobo,mPanPan1.hap1,chr23_pat_hsa22,1,with gaps
bonobo,mPanPan1.hap2,chr1_pat_hsa1,0,gapless
bonobo,mPanPan1.hap2,chr2_mat_hsa3,0,gapless
bonobo,mPanPan1.hap2,chr3_pat_hsa4,0,gapless
bonobo,mPanPan1.hap2,chr4_mat_hsa5,0,gapless
bonobo,mPanPan1.hap2,chr5_pat_hsa6,0,gapless
bonobo,mPanPan1.hap2,chr6_mat_hsa7,0,gapless
bonobo,mPanPan1.hap2,chr7_pat_hsa8,0,gapless
bonobo,mPanPan1.hap2,chr8_mat_hsa10,0,gapless
bonobo,mPanPan1.hap2,chr9_pat_hsa11,0,gapless
bonobo,mPanPan1.hap2,chr10_mat_hsa12,0,gapless
bonobo,mPanPan1.hap2,chr11_mat_hsa9,0,gapless
bonobo,mPanPan1.hap2,chr12_mat_hsa2a,0,gapless
bonobo,mPanPan1.hap2,chr13_mat_hsa2b,0,gapless
bonobo,mPanPan1.hap2,chr14_pat_hsa13,2,with gaps
bonobo,mPanPan1.hap2,chr15_mat_hsa14,1,with gaps
bonobo,mPanPan1.hap2,chr16_pat_hsa15,0,gapless
bonobo,mPanPan1.hap2,chr17_mat_hsa18,1,with gaps
bonobo,mPanPan1.hap2,chr18_pat_hsa16,0,gapless
bonobo,mPanPan1.hap2,chr19_pat_hsa17,0,gapless
bonobo,mPanPan1.hap2,chr20_pat_hsa19,0,gapless
bonobo,mPanPan1.hap2,chr21_mat_hsa20,0,gapless
bonobo,mPanPan1.hap2,chr22_pat_hsa21,0,gapless
bonobo,mPanPan1.hap2,chr23_pat_hsa22,1,with gaps
bonobo,PR00249.hap1,chr1_pat_hsa1,10,with gaps
bonobo,PR00249.hap1,chr2_mat_hsa3,14,with gaps
bonobo,PR00249.hap1,chr3_pat_hsa4,12,with gaps
bonobo,PR00249.hap1,chr4_mat_hsa5,9,with gaps
bonobo,PR00249.hap1,chr5_pat_hsa6,17,with gaps
bonobo,PR00249.hap1,chr6_mat_hsa7,9,with gaps
bonobo,PR00249.hap1,chr7_pat_hsa8,5,with gaps
bonobo,PR00249.hap1,chr8_mat_hsa10,10,with gaps
bonobo,PR00249.hap1,chr9_pat_hsa11,4,with gaps
bonobo,PR00249.hap1,chr10_mat_hsa12,6,with gaps
bonobo,PR00249.hap1,chr11_mat_hsa9,8,with gaps
bonobo,PR00249.hap1,chr12_mat_hsa2a,22,with gaps
bonobo,PR00249.hap1,chr13_mat_hsa2b,5,with gaps
bonobo,PR00249.hap1,chr14_pat_hsa13,10,with gaps
bonobo,PR00249.hap1,chr15_mat_hsa14,6,with gaps
bonobo,PR00249.hap1,chr16_pat_hsa15,9,with gaps
bonobo,PR00249.hap1,chr17_mat_hsa18,12,with gaps
bonobo,PR00249.hap1,chr18_pat_hsa16,10,with gaps
bonobo,PR00249.hap1,chr19_pat_hsa17,10,with gaps
bonobo,PR00249.hap1,chr20_pat_hsa19,5,with gaps
bonobo,PR00249.hap1,chr21_mat_hsa20,8,with gaps
bonobo,PR00249.hap1,chr22_pat_hsa21,9,with gaps
bonobo,PR00249.hap1,chr23_pat_hsa22,11,with gaps
bonobo,PR00249.hap2,chr1_pat_hsa1,11,with gaps
bonobo,PR00249.hap2,chr2_mat_hsa3,5,with gaps
bonobo,PR00249.hap2,chr3_pat_hsa4,13,with gaps
bonobo,PR00249.hap2,chr4_mat_hsa5,11,with gaps
bonobo,PR00249.hap2,chr5_pat_hsa6,14,with gaps
bonobo,PR00249.hap2,chr6_mat_hsa7,8,with gaps
bonobo,PR00249.hap2,chr7_pat_hsa8,15,with gaps
bonobo,PR00249.hap2,chr8_mat_hsa10,8,with gaps
bonobo,PR00249.hap2,chr9_pat_hsa11,0,gapless
bonobo,PR00249.hap2,chr10_mat_hsa12,17,with gaps
bonobo,PR00249.hap2,chr11_mat_hsa9,3,with gaps
bonobo,PR00249.hap2,chr12_mat_hsa2a,13,with gaps
bonobo,PR00249.hap2,chr13_mat_hsa2b,12,with gaps
bonobo,PR00249.hap2,chr14_pat_hsa13,26,with gaps
bonobo,PR00249.hap2,chr15_mat_hsa14,22,with gaps
bonobo,PR00249.hap2,chr16_pat_hsa15,11,with gaps
bonobo,PR00249.hap2,chr17_mat_hsa18,5,with gaps
bonobo,PR00249.hap2,chr18_pat_hsa16,7,with gaps
bonobo,PR00249.hap2,chr19_pat_hsa17,10,with gaps
bonobo,PR00249.hap2,chr20_pat_hsa19,21,with gaps
bonobo,PR00249.hap2,chr21_mat_hsa20,11,with gaps
bonobo,PR00249.hap2,chr22_pat_hsa21,3,with gaps
bonobo,PR00249.hap2,chr23_pat_hsa22,11,with gaps
bonobo,PR00251.hap1,chr1_pat_hsa1,7,with gaps
bonobo,PR00251.hap1,chr2_mat_hsa3,5,with gaps
bonobo,PR00251.hap1,chr3_pat_hsa4,5,with gaps
bonobo,PR00251.hap1,chr4_mat_hsa5,5,with gaps
bonobo,PR00251.hap1,chr5_pat_hsa6,8,with gaps
bonobo,PR00251.hap1,chr6_mat_hsa7,13,with gaps
bonobo,PR00251.hap1,chr7_pat_hsa8,11,with gaps
bonobo,PR00251.hap1,chr8_mat_hsa10,3,with gaps
bonobo,PR00251.hap1,chr9_pat_hsa11,4,with gaps
bonobo,PR00251.hap1,chr10_mat_hsa12,10,with gaps
bonobo,PR00251.hap1,chr11_mat_hsa9,5,with gaps
bonobo,PR00251.hap1,chr12_mat_hsa2a,9,with gaps
bonobo,PR00251.hap1,chr13_mat_hsa2b,6,with gaps
bonobo,PR00251.hap1,chr14_pat_hsa13,11,with gaps
bonobo,PR00251.hap1,chr15_mat_hsa14,8,with gaps
bonobo,PR00251.hap1,chr16_pat_hsa15,4,with gaps
bonobo,PR00251.hap1,chr17_mat_hsa18,6,with gaps
bonobo,PR00251.hap1,chr18_pat_hsa16,12,with gaps
bonobo,PR00251.hap1,chr19_pat_hsa17,11,with gaps
bonobo,PR00251.hap1,chr20_pat_hsa19,10,with gaps
bonobo,PR00251.hap1,chr21_mat_hsa20,3,with gaps
bonobo,PR00251.hap1,chr22_pat_hsa21,4,with gaps
bonobo,PR00251.hap1,chr23_pat_hsa22,11,with gaps
bonobo,PR00251.hap2,chr1_pat_hsa1,4,with gaps
bonobo,PR00251.hap2,chr2_mat_hsa3,3,with gaps
bonobo,PR00251.hap2,chr3_pat_hsa4,5,with gaps
bonobo,PR00251.hap2,chr4_mat_hsa5,7,with gaps
bonobo,PR00251.hap2,chr5_pat_hsa6,13,with gaps
bonobo,PR00251.hap2,chr6_mat_hsa7,9,with gaps
bonobo,PR00251.hap2,chr7_pat_hsa8,15,with gaps
bonobo,PR00251.hap2,chr8_mat_hsa10,8,with gaps
bonobo,PR00251.hap2,chr9_pat_hsa11,0,gapless
bonobo,PR00251.hap2,chr10_mat_hsa12,4,with gaps
bonobo,PR00251.hap2,chr11_mat_hsa9,3,with gaps
bonobo,PR00251.hap2,chr12_mat_hsa2a,9,with gaps
bonobo,PR00251.hap2,chr13_mat_hsa2b,9,with gaps
bonobo,PR00251.hap2,chr14_pat_hsa13,8,with gaps
bonobo,PR00251.hap2,chr15_mat_hsa14,8,with gaps
bonobo,PR00251.hap2,chr16_pat_hsa15,5,with gaps
bonobo,PR00251.hap2,chr17_mat_hsa18,6,with gaps
bonobo,PR00251.hap2,chr18_pat_hsa16,4,with gaps
bonobo,PR00251.hap2,chr19_pat_hsa17,15,with gaps
bonobo,PR00251.hap2,chr20_pat_hsa19,9,with gaps
bonobo,PR00251.hap2,chr21_mat_hsa20,4,with gaps
bonobo,PR00251.hap2,chr22_pat_hsa21,7,with gaps
bonobo,PR00251.hap2,chr23_pat_hsa22,13,with gaps
bonobo,PR00366.hap1,chr1_pat_hsa1,1,with gaps
bonobo,PR00366.hap1,chr2_mat_hsa3,2,with gaps
bonobo,PR00366.hap1,chr3_pat_hsa4,2,with gaps
bonobo,PR00366.hap1,chr4_mat_hsa5,0,gapless
bonobo,PR00366.hap1,chr5_pat_hsa6,6,with gaps
bonobo,PR00366.hap1,chr6_mat_hsa7,1,with gaps
bonobo,PR00366.hap1,chr7_pat_hsa8,1,with gaps
bonobo,PR00366.hap1,chr8_mat_hsa10,0,gapless
bonobo,PR00366.hap1,chr9_pat_hsa11,0,gapless
bonobo,PR00366.hap1,chr10_mat_hsa12,0,gapless
bonobo,PR00366.hap1,chr11_mat_hsa9,9,with gaps
bonobo,PR00366.hap1,chr12_mat_hsa2a,0,gapless
bonobo,PR00366.hap1,chr13_mat_hsa2b,1,with gaps
bonobo,PR00366.hap1,chr14_pat_hsa13,4,with gaps
bonobo,PR00366.hap1,chr15_mat_hsa14,2,with gaps
bonobo,PR00366.hap1,chr16_pat_hsa15,0,gapless
bonobo,PR00366.hap1,chr17_mat_hsa18,3,with gaps
bonobo,PR00366.hap1,chr18_pat_hsa16,0,gapless
bonobo,PR00366.hap1,chr19_pat_hsa17,1,with gaps
bonobo,PR00366.hap1,chr20_pat_hsa19,3,with gaps
bonobo,PR00366.hap1,chr21_mat_hsa20,1,with gaps
bonobo,PR00366.hap1,chr22_pat_hsa21,0,gapless
bonobo,PR00366.hap1,chr23_pat_hsa22,4,with gaps
bonobo,PR00366.hap2,chr1_pat_hsa1,1,with gaps
bonobo,PR00366.hap2,chr2_mat_hsa3,1,with gaps
bonobo,PR00366.hap2,chr3_pat_hsa4,1,with gaps
bonobo,PR00366.hap2,chr4_mat_hsa5,0,gapless
bonobo,PR00366.hap2,chr5_pat_hsa6,11,with gaps
bonobo,PR00366.hap2,chr6_mat_hsa7,0,gapless
bonobo,PR00366.hap2,chr7_pat_hsa8,0,gapless
bonobo,PR00366.hap2,chr8_mat_hsa10,1,with gaps
bonobo,PR00366.hap2,chr9_pat_hsa11,0,gapless
bonobo,PR00366.hap2,chr10_mat_hsa12,3,with gaps
bonobo,PR00366.hap2,chr11_mat_hsa9,0,gapless
bonobo,PR00366.hap2,chr12_mat_hsa2a,2,with gaps
bonobo,PR00366.hap2,chr13_mat_hsa2b,1,with gaps
bonobo,PR00366.hap2,chr14_pat_hsa13,3,with gaps
bonobo,PR00366.hap2,chr15_mat_hsa14,3,with gaps
bonobo,PR00366.hap2,chr16_pat_hsa15,0,gapless
bonobo,PR00366.hap2,chr17_mat_hsa18,4,with gaps
bonobo,PR00366.hap2,chr18_pat_hsa16,1,with gaps
bonobo,PR00366.hap2,chr19_pat_hsa17,2,with gaps
bonobo,PR00366.hap2,chr20_pat_hsa19,1,with gaps
bonobo,PR00366.hap2,chr21_mat_hsa20,2,with gaps
bonobo,PR00366.hap2,chr22_pat_hsa21,0,gapless
bonobo,PR00366.hap2,chr23_pat_hsa22,2,with gaps
bonobo,PR00445.hap1,chr1_pat_hsa1,37,with gaps
bonobo,PR00445.hap1,chr2_mat_hsa3,17,with gaps
bonobo,PR00445.hap1,chr3_pat_hsa4,21,with gaps
bonobo,PR00445.hap1,chr4_mat_hsa5,21,with gaps
bonobo,PR00445.hap1,chr5_pat_hsa6,23,with gaps
bonobo,PR00445.hap1,chr6_mat_hsa7,18,with gaps
bonobo,PR00445.hap1,chr7_pat_hsa8,11,with gaps
bonobo,PR00445.hap1,chr8_mat_hsa10,18,with gaps
bonobo,PR00445.hap1,chr9_pat_hsa11,10,with gaps
bonobo,PR00445.hap1,chr10_mat_hsa12,16,with gaps
bonobo,PR00445.hap1,chr11_mat_hsa9,16,with gaps
bonobo,PR00445.hap1,chr12_mat_hsa2a,15,with gaps
bonobo,PR00445.hap1,chr13_mat_hsa2b,9,with gaps
bonobo,PR00445.hap1,chr14_pat_hsa13,25,with gaps
bonobo,PR00445.hap1,chr15_mat_hsa14,24,with gaps
bonobo,PR00445.hap1,chr16_pat_hsa15,17,with gaps
bonobo,PR00445.hap1,chr17_mat_hsa18,15,with gaps
bonobo,PR00445.hap1,chr18_pat_hsa16,20,with gaps
bonobo,PR00445.hap1,chr19_pat_hsa17,32,with gaps
bonobo,PR00445.hap1,chr20_pat_hsa19,28,with gaps
bonobo,PR00445.hap1,chr21_mat_hsa20,21,with gaps
bonobo,PR00445.hap1,chr22_pat_hsa21,15,with gaps
bonobo,PR00445.hap1,chr23_pat_hsa22,33,with gaps
bonobo,PR00445.hap2,chr1_pat_hsa1,22,with gaps
bonobo,PR00445.hap2,chr2_mat_hsa3,13,with gaps
bonobo,PR00445.hap2,chr3_pat_hsa4,19,with gaps
bonobo,PR00445.hap2,chr4_mat_hsa5,6,with gaps
bonobo,PR00445.hap2,chr5_pat_hsa6,24,with gaps
bonobo,PR00445.hap2,chr6_mat_hsa7,35,with gaps
bonobo,PR00445.hap2,chr7_pat_hsa8,23,with gaps
bonobo,PR00445.hap2,chr8_mat_hsa10,15,with gaps
bonobo,PR00445.hap2,chr9_pat_hsa11,11,with gaps
bonobo,PR00445.hap2,chr10_mat_hsa12,28,with gaps
bonobo,PR00445.hap2,chr11_mat_hsa9,22,with gaps
bonobo,PR00445.hap2,chr12_mat_hsa2a,35,with gaps
bonobo,PR00445.hap2,chr13_mat_hsa2b,5,with gaps
bonobo,PR00445.hap2,chr14_pat_hsa13,19,with gaps
bonobo,PR00445.hap2,chr15_mat_hsa14,12,with gaps
bonobo,PR00445.hap2,chr16_pat_hsa15,7,with gaps
bonobo,PR00445.hap2,chr17_mat_hsa18,23,with gaps
bonobo,PR00445.hap2,chr18_pat_hsa16,26,with gaps
bonobo,PR00445.hap2,chr19_pat_hsa17,34,with gaps
bonobo,PR00445.hap2,chr20_pat_hsa19,42,with gaps
bonobo,PR00445.hap2,chr21_mat_hsa20,19,with gaps
bonobo,PR00445.hap2,chr22_pat_hsa21,16,with gaps
bonobo,PR00445.hap2,chr23_pat_hsa22,26,with gaps
chimpanzee,AG06939_13.hap1,chr1_hap1_hsa1,10,with gaps
chimpanzee,AG06939_13.hap1,chr2_hap1_hsa3,4,with gaps
chimpanzee,AG06939_13.hap1,chr3_hap1_hsa4,4,with gaps
chimpanzee,AG06939_13.hap1,chr4_hap1_hsa5,4,with gaps
chimpanzee,AG06939_13.hap1,chr5_hap1_hsa6,6,with gaps
chimpanzee,AG06939_13.hap1,chr6_hap1_hsa7,13,with gaps
chimpanzee,AG06939_13.hap1,chr7_hap1_hsa8,10,with gaps
chimpanzee,AG06939_13.hap1,chr8_hap1_hsa10,15,with gaps
chimpanzee,AG06939_13.hap1,chr9_hap1_hsa11,5,with gaps
chimpanzee,AG06939_13.hap1,chr10_hap1_hsa12,6,with gaps
chimpanzee,AG06939_13.hap1,chr11_hap1_hsa9,10,with gaps
chimpanzee,AG06939_13.hap1,chr12_hap1_hsa2a,13,with gaps
chimpanzee,AG06939_13.hap1,chr13_hap1_hsa2b,7,with gaps
chimpanzee,AG06939_13.hap1,chr14_hap1_hsa13,7,with gaps
chimpanzee,AG06939_13.hap1,chr15_hap1_hsa14,4,with gaps
chimpanzee,AG06939_13.hap1,chr16_hap1_hsa15,7,with gaps
chimpanzee,AG06939_13.hap1,chr17_hap1_hsa18,5,with gaps
chimpanzee,AG06939_13.hap1,chr18_hap1_hsa16,13,with gaps
chimpanzee,AG06939_13.hap1,chr19_hap1_hsa17,7,with gaps
chimpanzee,AG06939_13.hap1,chr20_hap1_hsa19,25,with gaps
chimpanzee,AG06939_13.hap1,chr21_hap1_hsa20,10,with gaps
chimpanzee,AG06939_13.hap1,chr22_hap1_hsa21,12,with gaps
chimpanzee,AG06939_13.hap1,chr23_hap1_hsa22,8,with gaps
chimpanzee,AG06939_13.hap2,chr1_hap1_hsa1,6,with gaps
chimpanzee,AG06939_13.hap2,chr2_hap1_hsa3,5,with gaps
chimpanzee,AG06939_13.hap2,chr3_hap1_hsa4,2,with gaps
chimpanzee,AG06939_13.hap2,chr4_hap1_hsa5,7,with gaps
chimpanzee,AG06939_13.hap2,chr5_hap1_hsa6,3,with gaps
chimpanzee,AG06939_13.hap2,chr6_hap1_hsa7,11,with gaps
chimpanzee,AG06939_13.hap2,chr7_hap1_hsa8,3,with gaps
chimpanzee,AG06939_13.hap2,chr8_hap1_hsa10,7,with gaps
chimpanzee,AG06939_13.hap2,chr9_hap1_hsa11,0,gapless
chimpanzee,AG06939_13.hap2,chr10_hap1_hsa12,5,with gaps
chimpanzee,AG06939_13.hap2,chr11_hap1_hsa9,7,with gaps
chimpanzee,AG06939_13.hap2,chr12_hap1_hsa2a,11,with gaps
chimpanzee,AG06939_13.hap2,chr13_hap1_hsa2b,2,with gaps
chimpanzee,AG06939_13.hap2,chr14_hap1_hsa13,9,with gaps
chimpanzee,AG06939_13.hap2,chr15_hap1_hsa14,3,with gaps
chimpanzee,AG06939_13.hap2,chr16_hap1_hsa15,7,with gaps
chimpanzee,AG06939_13.hap2,chr17_hap1_hsa18,6,with gaps
chimpanzee,AG06939_13.hap2,chr18_hap1_hsa16,14,with gaps
chimpanzee,AG06939_13.hap2,chr19_hap1_hsa17,2,with gaps
chimpanzee,AG06939_13.hap2,chr20_hap1_hsa19,11,with gaps
chimpanzee,AG06939_13.hap2,chr21_hap1_hsa20,3,with gaps
chimpanzee,AG06939_13.hap2,chr22_hap1_hsa21,7,with gaps
chimpanzee,AG06939_13.hap2,chr23_hap1_hsa22,4,with gaps
chimpanzee,AG16618_12.hap1,chr1_hap1_hsa1,13,with gaps
chimpanzee,AG16618_12.hap1,chr2_hap1_hsa3,7,with gaps
chimpanzee,AG16618_12.hap1,chr3_hap1_hsa4,15,with gaps
chimpanzee,AG16618_12.hap1,chr4_hap1_hsa5,2,with gaps
chimpanzee,AG16618_12.hap1,chr5_hap1_hsa6,6,with gaps
chimpanzee,AG16618_12.hap1,chr6_hap1_hsa7,15,with gaps
chimpanzee,AG16618_12.hap1,chr7_hap1_hsa8,9,with gaps
chimpanzee,AG16618_12.hap1,chr8_hap1_hsa10,15,with gaps
chimpanzee,AG16618_12.hap1,chr9_hap1_hsa11,6,with gaps
chimpanzee,AG16618_12.hap1,chr10_hap1_hsa12,6,with gaps
chimpanzee,AG16618_12.hap1,chr11_hap1_hsa9,14,with gaps
chimpanzee,AG16618_12.hap1,chr12_hap1_hsa2a,6,with gaps
chimpanzee,AG16618_12.hap1,chr13_hap1_hsa2b,21,with gaps
chimpanzee,AG16618_12.hap1,chr14_hap1_hsa13,11,with gaps
chimpanzee,AG16618_12.hap1,chr15_hap1_hsa14,7,with gaps
chimpanzee,AG16618_12.hap1,chr16_hap1_hsa15,9,with gaps
chimpanzee,AG16618_12.hap1,chr17_hap1_hsa18,8,with gaps
chimpanzee,AG16618_12.hap1,chr18_hap1_hsa16,13,with gaps
chimpanzee,AG16618_12.hap1,chr19_hap1_hsa17,14,with gaps
chimpanzee,AG16618_12.hap1,chr20_hap1_hsa19,10,with gaps
chimpanzee,AG16618_12.hap1,chr21_hap1_hsa20,15,with gaps
chimpanzee,AG16618_12.hap1,chr22_hap1_hsa21,10,with gaps
chimpanzee,AG16618_12.hap1,chr23_hap1_hsa22,14,with gaps
chimpanzee,AG16618_12.hap2,chr1_hap1_hsa1,10,with gaps
chimpanzee,AG16618_12.hap2,chr2_hap1_hsa3,9,with gaps
chimpanzee,AG16618_12.hap2,chr3_hap1_hsa4,9,with gaps
chimpanzee,AG16618_12.hap2,chr4_hap1_hsa5,2,with gaps
chimpanzee,AG16618_12.hap2,chr5_hap1_hsa6,9,with gaps
chimpanzee,AG16618_12.hap2,chr6_hap1_hsa7,15,with gaps
chimpanzee,AG16618_12.hap2,chr7_hap1_hsa8,13,with gaps
chimpanzee,AG16618_12.hap2,chr8_hap1_hsa10,7,with gaps
chimpanzee,AG16618_12.hap2,chr9_hap1_hsa11,8,with gaps
chimpanzee,AG16618_12.hap2,chr10_hap1_hsa12,3,with gaps
chimpanzee,AG16618_12.hap2,chr11_hap1_hsa9,11,with gaps
chimpanzee,AG16618_12.hap2,chr12_hap1_hsa2a,7,with gaps
chimpanzee,AG16618_12.hap2,chr13_hap1_hsa2b,14,with gaps
chimpanzee,AG16618_12.hap2,chr14_hap1_hsa13,18,with gaps
chimpanzee,AG16618_12.hap2,chr15_hap1_hsa14,4,with gaps
chimpanzee,AG16618_12.hap2,chr16_hap1_hsa15,10,with gaps
chimpanzee,AG16618_12.hap2,chr17_hap1_hsa18,5,with gaps
chimpanzee,AG16618_12.hap2,chr18_hap1_hsa16,17,with gaps
chimpanzee,AG16618_12.hap2,chr19_hap1_hsa17,13,with gaps
chimpanzee,AG16618_12.hap2,chr20_hap1_hsa19,23,with gaps
chimpanzee,AG16618_12.hap2,chr21_hap1_hsa20,9,with gaps
chimpanzee,AG16618_12.hap2,chr22_hap1_hsa21,9,with gaps
chimpanzee,AG16618_12.hap2,chr23_hap1_hsa22,12,with gaps
chimpanzee,AG18353_9.hap1,chr1_hap1_hsa1,5,with gaps
chimpanzee,AG18353_9.hap1,chr2_hap1_hsa3,5,with gaps
chimpanzee,AG18353_9.hap1,chr3_hap1_hsa4,6,with gaps
chimpanzee,AG18353_9.hap1,chr4_hap1_hsa5,6,with gaps
chimpanzee,AG18353_9.hap1,chr5_hap1_hsa6,7,with gaps
chimpanzee,AG18353_9.hap1,chr6_hap1_hsa7,14,with gaps
chimpanzee,AG18353_9.hap1,chr7_hap1_hsa8,10,with gaps
chimpanzee,AG18353_9.hap1,chr8_hap1_hsa10,12,with gaps
chimpanzee,AG18353_9.hap1,chr9_hap1_hsa11,6,with gaps
chimpanzee,AG18353_9.hap1,chr10_hap1_hsa12,4,with gaps
chimpanzee,AG18353_9.hap1,chr11_hap1_hsa9,6,with gaps
chimpanzee,AG18353_9.hap1,chr12_hap1_hsa2a,13,with gaps
chimpanzee,AG18353_9.hap1,chr13_hap1_hsa2b,6,with gaps
chimpanzee,AG18353_9.hap1,chr14_hap1_hsa13,16,with gaps
chimpanzee,AG18353_9.hap1,chr15_hap1_hsa14,9,with gaps
chimpanzee,AG18353_9.hap1,chr16_hap1_hsa15,12,with gaps
chimpanzee,AG18353_9.hap1,chr17_hap1_hsa18,4,with gaps
chimpanzee,AG18353_9.hap1,chr18_hap1_hsa16,15,with gaps
chimpanzee,AG18353_9.hap1,chr19_hap1_hsa17,8,with gaps
chimpanzee,AG18353_9.hap1,chr20_hap1_hsa19,12,with gaps
chimpanzee,AG18353_9.hap1,chr21_hap1_hsa20,11,with gaps
chimpanzee,AG18353_9.hap1,chr22_hap1_hsa21,6,with gaps
chimpanzee,AG18353_9.hap1,chr23_hap1_hsa22,6,with gaps
chimpanzee,AG18353_9.hap2,chr1_hap1_hsa1,4,with gaps
chimpanzee,AG18353_9.hap2,chr2_hap1_hsa3,6,with gaps
chimpanzee,AG18353_9.hap2,chr3_hap1_hsa4,0,gapless
chimpanzee,AG18353_9.hap2,chr4_hap1_hsa5,2,with gaps
chimpanzee,AG18353_9.hap2,chr5_hap1_hsa6,6,with gaps
chimpanzee,AG18353_9.hap2,chr6_hap1_hsa7,11,with gaps
chimpanzee,AG18353_9.hap2,chr7_hap1_hsa8,12,with gaps
chimpanzee,AG18353_9.hap2,chr8_hap1_hsa10,8,with gaps
