sample,sequence,count
AG05253_1.hap2.chr,chr17_mat_hsa18,7
AG05253_1.hap2.chr,chr18_pat_hsa16,22
AG05253_1.hap2.chr,chr19_pat_hsa17,36
AG05253_1.hap2.chr,chr20_pat_hsa19,32
AG05253_1.hap2.chr,chr21_mat_hsa20,10
AG05253_1.hap2.chr,chr22_pat_hsa21,5
AG05253_1.hap2.chr,chr23_pat_hsa22,46
AG05253_1.hap2.chr,chrX_mat_hsaX,20
AG05253_1.hap2.chr,chrY_pat_hsaY,14
mPanPan1.hap1.chr,chr1_pat_hsa1,0
mPanPan1.hap1.chr,chr2_mat_hsa3,0
mPanPan1.hap1.chr,chr3_pat_hsa4,0
mPanPan1.hap1.chr,chr4_mat_hsa5,0
mPanPan1.hap1.chr,chr5_pat_hsa6,0
mPanPan1.hap1.chr,chr6_mat_hsa7,0
mPanPan1.hap1.chr,chr7_pat_hsa8,0
mPanPan1.hap1.chr,chr8_mat_hsa10,0
mPanPan1.hap1.chr,chr9_pat_hsa11,0
mPanPan1.hap1.chr,chr10_mat_hsa12,0
mPanPan1.hap1.chr,chr11_mat_hsa9,0
mPanPan1.hap1.chr,chr12_mat_hsa2a,0
mPanPan1.hap1.chr,chr13_mat_hsa2b,0
mPanPan1.hap1.chr,chr14_pat_hsa13,1
mPanPan1.hap1.chr,chr15_mat_hsa14,2
mPanPan1.hap1.chr,chr16_pat_hsa15,0
mPanPan1.hap1.chr,chr17_mat_hsa18,1
mPanPan1.hap1.chr,chr18_pat_hsa16,0
mPanPan1.hap1.chr,chr19_pat_hsa17,0
mPanPan1.hap1.chr,chr20_pat_hsa19,0
mPanPan1.hap1.chr,chr21_mat_hsa20,0
mPanPan1.hap1.chr,chr22_pat_hsa21,2
mPanPan1.hap1.chr,chr23_pat_hsa22,1
mPanPan1.hap1.chr,chrY_pat_hsaY,0
mPanPan1.hap2.chr,chr1_pat_hsa1,0
mPanPan1.hap2.chr,chr2_mat_hsa3,0
mPanPan1.hap2.chr,chr3_pat_hsa4,0
mPanPan1.hap2.chr,chr4_mat_hsa5,0
mPanPan1.hap2.chr,chr5_pat_hsa6,0
mPanPan1.hap2.chr,chr6_mat_hsa7,0
mPanPan1.hap2.chr,chr7_pat_hsa8,0
mPanPan1.hap2.chr,chr8_mat_hsa10,0
mPanPan1.hap2.chr,chr9_pat_hsa11,0
mPanPan1.hap2.chr,chr10_mat_hsa12,0
mPanPan1.hap2.chr,chr11_mat_hsa9,0
mPanPan1.hap2.chr,chr12_mat_hsa2a,0
mPanPan1.hap2.chr,chr13_mat_hsa2b,0
mPanPan1.hap2.chr,chr14_pat_hsa13,2
mPanPan1.hap2.chr,chr15_mat_hsa14,1
mPanPan1.hap2.chr,chr16_pat_hsa15,0
mPanPan1.hap2.chr,chr17_mat_hsa18,1
mPanPan1.hap2.chr,chr18_pat_hsa16,0
mPanPan1.hap2.chr,chr19_pat_hsa17,0
mPanPan1.hap2.chr,chr20_pat_hsa19,0
mPanPan1.hap2.chr,chr21_mat_hsa20,0
mPanPan1.hap2.chr,chr22_pat_hsa21,0
mPanPan1.hap2.chr,chr23_pat_hsa22,1
mPanPan1.hap2.chr,chrX_mat_hsaX,0
PR00249.hap1.chr,chr1_pat_hsa1,10
PR00249.hap1.chr,chr2_mat_hsa3,14
PR00249.hap1.chr,chr3_pat_hsa4,12
PR00249.hap1.chr,chr4_mat_hsa5,9
PR00249.hap1.chr,chr5_pat_hsa6,17
PR00249.hap1.chr,chr6_mat_hsa7,9
PR00249.hap1.chr,chr7_pat_hsa8,5
PR00249.hap1.chr,chr8_mat_hsa10,10
PR00249.hap1.chr,chr9_pat_hsa11,4
PR00249.hap1.chr,chr10_mat_hsa12,6
PR00249.hap1.chr,chr11_mat_hsa9,8
PR00249.hap1.chr,chr12_mat_hsa2a,22
PR00249.hap1.chr,chr13_mat_hsa2b,5
PR00249.hap1.chr,chr14_pat_hsa13,10
PR00249.hap1.chr,chr15_mat_hsa14,6
PR00249.hap1.chr,chr16_pat_hsa15,9
PR00249.hap1.chr,chr17_mat_hsa18,12
PR00249.hap1.chr,chr18_pat_hsa16,10
PR00249.hap1.chr,chr19_pat_hsa17,10
PR00249.hap1.chr,chr20_pat_hsa19,5
PR00249.hap1.chr,chr21_mat_hsa20,8
PR00249.hap1.chr,chr22_pat_hsa21,9
PR00249.hap1.chr,chr23_pat_hsa22,11
PR00249.hap1.chr,chrX_mat_hsaX,25
PR00249.hap1.chr,chrY_pat_hsaY,0
PR00249.hap2.chr,chr1_pat_hsa1,11
PR00249.hap2.chr,chr2_mat_hsa3,5
PR00249.hap2.chr,chr3_pat_hsa4,13
PR00249.hap2.chr,chr4_mat_hsa5,11
PR00249.hap2.chr,chr5_pat_hsa6,14
PR00249.hap2.chr,chr6_mat_hsa7,8
PR00249.hap2.chr,chr7_pat_hsa8,15
PR00249.hap2.chr,chr8_mat_hsa10,8
PR00249.hap2.chr,chr9_pat_hsa11,0
PR00249.hap2.chr,chr10_mat_hsa12,17
PR00249.hap2.chr,chr11_mat_hsa9,3
PR00249.hap2.chr,chr12_mat_hsa2a,13
PR00249.hap2.chr,chr13_mat_hsa2b,12
PR00249.hap2.chr,chr14_pat_hsa13,26
PR00249.hap2.chr,chr15_mat_hsa14,22
PR00249.hap2.chr,chr16_pat_hsa15,11
PR00249.hap2.chr,chr17_mat_hsa18,5
PR00249.hap2.chr,chr18_pat_hsa16,7
PR00249.hap2.chr,chr19_pat_hsa17,10
PR00249.hap2.chr,chr20_pat_hsa19,21
PR00249.hap2.chr,chr21_mat_hsa20,11
PR00249.hap2.chr,chr22_pat_hsa21,3
PR00249.hap2.chr,chr23_pat_hsa22,11
PR00249.hap2.chr,chrX_mat_hsaX,32
PR00249.hap2.chr,chrY_pat_hsaY,0
PR00251.hap1.chr,chr1_pat_hsa1,7
PR00251.hap1.chr,chr2_mat_hsa3,5
PR00251.hap1.chr,chr3_pat_hsa4,5
PR00251.hap1.chr,chr4_mat_hsa5,5
PR00251.hap1.chr,chr5_pat_hsa6,8
PR00251.hap1.chr,chr6_mat_hsa7,13
PR00251.hap1.chr,chr7_pat_hsa8,11
PR00251.hap1.chr,chr8_mat_hsa10,3
PR00251.hap1.chr,chr9_pat_hsa11,4
PR00251.hap1.chr,chr10_mat_hsa12,10
PR00251.hap1.chr,chr11_mat_hsa9,5
PR00251.hap1.chr,chr12_mat_hsa2a,9
PR00251.hap1.chr,chr13_mat_hsa2b,6
PR00251.hap1.chr,chr14_pat_hsa13,11
PR00251.hap1.chr,chr15_mat_hsa14,8
PR00251.hap1.chr,chr16_pat_hsa15,4
PR00251.hap1.chr,chr17_mat_hsa18,6
PR00251.hap1.chr,chr18_pat_hsa16,12
PR00251.hap1.chr,chr19_pat_hsa17,11
PR00251.hap1.chr,chr20_pat_hsa19,10
PR00251.hap1.chr,chr21_mat_hsa20,3
PR00251.hap1.chr,chr22_pat_hsa21,4
PR00251.hap1.chr,chr23_pat_hsa22,11
PR00251.hap1.chr,chrX_mat_hsaX,7
PR00251.hap1.chr,chrY_pat_hsaY,7
PR00251.hap2.chr,chr1_pat_hsa1,4
PR00251.hap2.chr,chr2_mat_hsa3,3
PR00251.hap2.chr,chr3_pat_hsa4,5
PR00251.hap2.chr,chr4_mat_hsa5,7
PR00251.hap2.chr,chr5_pat_hsa6,13
PR00251.hap2.chr,chr6_mat_hsa7,9
PR00251.hap2.chr,chr7_pat_hsa8,15
PR00251.hap2.chr,chr8_mat_hsa10,8
PR00251.hap2.chr,chr9_pat_hsa11,0
PR00251.hap2.chr,chr10_mat_hsa12,4
PR00251.hap2.chr,chr11_mat_hsa9,3
PR00251.hap2.chr,chr12_mat_hsa2a,9
PR00251.hap2.chr,chr13_mat_hsa2b,9
PR00251.hap2.chr,chr14_pat_hsa13,8
PR00251.hap2.chr,chr15_mat_hsa14,8
PR00251.hap2.chr,chr16_pat_hsa15,5
PR00251.hap2.chr,chr17_mat_hsa18,6
PR00251.hap2.chr,chr18_pat_hsa16,4
PR00251.hap2.chr,chr19_pat_hsa17,15
PR00251.hap2.chr,chr20_pat_hsa19,9
PR00251.hap2.chr,chr21_mat_hsa20,4
PR00251.hap2.chr,chr22_pat_hsa21,7
PR00251.hap2.chr,chr23_pat_hsa22,13
PR00251.hap2.chr,chrX_mat_hsaX,19
PR00251.hap2.chr,chrY_pat_hsaY,5
PR00366.hap1.chr,chr1_pat_hsa1,1
PR00366.hap1.chr,chr2_mat_hsa3,2
PR00366.hap1.chr,chr3_pat_hsa4,2
PR00366.hap1.chr,chr4_mat_hsa5,0
PR00366.hap1.chr,chr5_pat_hsa6,6
PR00366.hap1.chr,chr6_mat_hsa7,1
PR00366.hap1.chr,chr7_pat_hsa8,1
PR00366.hap1.chr,chr8_mat_hsa10,0
PR00366.hap1.chr,chr9_pat_hsa11,0
PR00366.hap1.chr,chr10_mat_hsa12,0
PR00366.hap1.chr,chr11_mat_hsa9,9
PR00366.hap1.chr,chr12_mat_hsa2a,0
PR00366.hap1.chr,chr13_mat_hsa2b,1
PR00366.hap1.chr,chr14_pat_hsa13,4
PR00366.hap1.chr,chr15_mat_hsa14,2
PR00366.hap1.chr,chr16_pat_hsa15,0
PR00366.hap1.chr,chr17_mat_hsa18,3
PR00366.hap1.chr,chr18_pat_hsa16,0
PR00366.hap1.chr,chr19_pat_hsa17,1
PR00366.hap1.chr,chr20_pat_hsa19,3
PR00366.hap1.chr,chr21_mat_hsa20,1
PR00366.hap1.chr,chr22_pat_hsa21,0
PR00366.hap1.chr,chr23_pat_hsa22,4
PR00366.hap1.chr,chrX_mat_hsaX,4
PR00366.hap2.chr,chr1_pat_hsa1,1
PR00366.hap2.chr,chr2_mat_hsa3,1
PR00366.hap2.chr,chr3_pat_hsa4,1
PR00366.hap2.chr,chr4_mat_hsa5,0
PR00366.hap2.chr,chr5_pat_hsa6,11
PR00366.hap2.chr,chr6_mat_hsa7,0
PR00366.hap2.chr,chr7_pat_hsa8,0
PR00366.hap2.chr,chr8_mat_hsa10,1
PR00366.hap2.chr,chr9_pat_hsa11,0
PR00366.hap2.chr,chr10_mat_hsa12,3
PR00366.hap2.chr,chr11_mat_hsa9,0
PR00366.hap2.chr,chr12_mat_hsa2a,2
PR00366.hap2.chr,chr13_mat_hsa2b,1
PR00366.hap2.chr,chr14_pat_hsa13,3
PR00366.hap2.chr,chr15_mat_hsa14,3
PR00366.hap2.chr,chr16_pat_hsa15,0
PR00366.hap2.chr,chr17_mat_hsa18,4
PR00366.hap2.chr,chr18_pat_hsa16,1
PR00366.hap2.chr,chr19_pat_hsa17,2
PR00366.hap2.chr,chr20_pat_hsa19,1
PR00366.hap2.chr,chr21_mat_hsa20,2
PR00366.hap2.chr,chr22_pat_hsa21,0
PR00366.hap2.chr,chr23_pat_hsa22,2
PR00366.hap2.chr,chrX_mat_hsaX,3
PR00366.hap2.chr,chrY_pat_hsaY,0
PR00445.hap1.chr,chr1_pat_hsa1,37
PR00445.hap1.chr,chr2_mat_hsa3,17
PR00445.hap1.chr,chr3_pat_hsa4,21
PR00445.hap1.chr,chr4_mat_hsa5,21
PR00445.hap1.chr,chr5_pat_hsa6,23
PR00445.hap1.chr,chr6_mat_hsa7,18
PR00445.hap1.chr,chr7_pat_hsa8,11
PR00445.hap1.chr,chr8_mat_hsa10,18
PR00445.hap1.chr,chr9_pat_hsa11,10
PR00445.hap1.chr,chr10_mat_hsa12,16
PR00445.hap1.chr,chr11_mat_hsa9,16
PR00445.hap1.chr,chr12_mat_hsa2a,15
PR00445.hap1.chr,chr13_mat_hsa2b,9
PR00445.hap1.chr,chr14_pat_hsa13,25
PR00445.hap1.chr,chr15_mat_hsa14,24
PR00445.hap1.chr,chr16_pat_hsa15,17
PR00445.hap1.chr,chr17_mat_hsa18,15
PR00445.hap1.chr,chr18_pat_hsa16,20
PR00445.hap1.chr,chr19_pat_hsa17,32
PR00445.hap1.chr,chr20_pat_hsa19,28
PR00445.hap1.chr,chr21_mat_hsa20,21
PR00445.hap1.chr,chr22_pat_hsa21,15
PR00445.hap1.chr,chr23_pat_hsa22,33
PR00445.hap1.chr,chrX_mat_hsaX,34
PR00445.hap1.chr,chrY_pat_hsaY,1
PR00445.hap2.chr,chr1_pat_hsa1,22
PR00445.hap2.chr,chr2_mat_hsa3,13
PR00445.hap2.chr,chr3_pat_hsa4,19
PR00445.hap2.chr,chr4_mat_hsa5,6
PR00445.hap2.chr,chr5_pat_hsa6,24
PR00445.hap2.chr,chr6_mat_hsa7,35
PR00445.hap2.chr,chr7_pat_hsa8,23
PR00445.hap2.chr,chr8_mat_hsa10,15
PR00445.hap2.chr,chr9_pat_hsa11,11
PR00445.hap2.chr,chr10_mat_hsa12,28
PR00445.hap2.chr,chr11_mat_hsa9,22
PR00445.hap2.chr,chr12_mat_hsa2a,35
PR00445.hap2.chr,chr13_mat_hsa2b,5
PR00445.hap2.chr,chr14_pat_hsa13,19
PR00445.hap2.chr,chr15_mat_hsa14,12
PR00445.hap2.chr,chr16_pat_hsa15,7
PR00445.hap2.chr,chr17_mat_hsa18,23
PR00445.hap2.chr,chr18_pat_hsa16,26
PR00445.hap2.chr,chr19_pat_hsa17,34
PR00445.hap2.chr,chr20_pat_hsa19,42
PR00445.hap2.chr,chr21_mat_hsa20,19
PR00445.hap2.chr,chr22_pat_hsa21,16
PR00445.hap2.chr,chr23_pat_hsa22,26
PR00445.hap2.chr,chrX_mat_hsaX,33
PR00445.hap2.chr,chrY_pat_hsaY,3
